HCH_015_042_000070	晏弟詡，永明中爲少府卿。
HCH_015_042_000071	六年，敕位未登黃門郎，不得畜女妓。
HCH_015_042_000072	詡與射聲校尉陰玄智坐畜妓免官，禁錮十年。
HCH_015_042_000073	敕特原詡禁錮。
HCH_015_042_000074	後出爲輔國將軍、始興內史。
HCH_015_042_000075	廣州刺史劉纘爲奴所殺，詡率郡兵討之。
HCH_015_042_000076	延興元年，授詡持節廣州刺史。
HCH_015_042_000077	詡亦篤舊。
HCH_015_042_000078	晏誅，上又遣南中郎司馬蕭季敞襲詡殺之。
HCH_015_042_000079	蕭諶字彥孚，南蘭陵蘭陵人也。
HCH_015_042_000080	祖道清，員外郎。
HCH_015_042_000081	父仙伯，桂陽國參軍。
HCH_015_042_000082	諶初爲州從事，晉熙國侍郎，左常侍。
HCH_015_042_000083	諶於太祖爲絕服族子，元徽末，世祖在郢州，欲知京邑消息，太祖遣諶就世祖宣傳謀計，留爲腹心。
HCH_015_042_000084	昇明中，爲世祖中軍刑獄參軍，東莞太守。
HCH_015_042_000085	以勳懃封安復縣男，三百戶。
HCH_015_042_000086	建元初，爲武陵王冠軍、臨川王前軍參軍，除尚書都官郎，建威將軍，臨川王鎮西中兵。
HCH_015_042_000087	世祖在東宮，諶領宿衞。
HCH_015_042_000088	太祖殺張景真，世祖令諶口啓乞景真命，太祖不悅，諶懼而退。
HCH_015_042_000089	世祖卽位，出諶爲大末令，未之縣，除步兵校尉，領射陽令，轉帶南濮陽太守，領御仗主。
HCH_015_042_000090	永明二年，爲南蘭陵太守，建威將軍如故。
HCH_015_042_000091	復除步兵校尉，太守如故。
HCH_015_042_000092	世祖齋內兵仗悉付之，心膂密事，皆使參掌。
HCH_015_042_000093	除正員郎，轉左中郎將，後軍將軍，太守如故。
HCH_015_042_000094	世祖卧疾延昌殿，敕諶在左右宿直。
HCH_015_042_000095	上崩，遺敕諶領殿內事如舊。
HCH_015_042_000096	鬱林卽位，深委信諶，諶每請急出宿，帝通夕不得寐，諶還乃安。
HCH_015_042_000097	轉衞軍司馬，兼衞尉，加輔國將軍。
HCH_015_042_000098	丁母憂，敕還復本任，守衞尉。
HCH_015_042_000099	高宗輔政，有所匡諫，帝旣在後宮不出，唯遣諶及蕭坦之遙進，乃得聞達。
HCH_015_042_000100	諶回附高宗，勸行廢立，密召諸王典籤約語之，不許諸王外接人物。
HCH_015_042_000101	諶親要日久，衆皆憚而從之。
HCH_015_042_000102	鬱林被廢日，初聞外有變，猶密爲手敕呼諶，其見信如此。
HCH_015_042_000103	諶性險進無計略，及廢帝日，領兵先入後宮，齋內仗身素隷服諶，莫有動者。
HCH_015_042_000104	海陵立，轉中領軍，進爵爲公，二千戶。
HCH_015_042_000105	甲仗五十人。
HCH_015_042_000106	入直殿內，月十日還府。
HCH_015_042_000107	建武元年，轉領軍將軍，左將軍，南徐州刺史，給扶，進爵衡陽郡公，食邑三千戶。
HCH_015_042_000108	高宗初許事克用諶爲揚州，及有此授，諶恚曰：「見炊飯熟，推以與人。」
HCH_015_042_000109	王晏聞之曰：「誰復爲蕭諶作甌箸者。」
HCH_015_042_000110	諶恃勳重，干豫朝政，諸有選用，輙命議尚書使爲申論。
HCH_015_042_000111	上新卽位，遣左右要人於外聽察，具知諶言，深相疑阻。
HCH_015_042_000112	二年六月，上幸華林園，宴諶及尚書令王晏等數人盡歡。
HCH_015_042_000113	坐罷，留諶晚出，至華林閤，仗身執還入省，上遣左右莫智明數諶曰：「隆昌之際，非卿無有今日。今一門二州，兄弟三封，朝廷相報，政可極此。卿恒懷怨望，乃云炊飯已熟，合甑與人邪？今賜卿死。」
HCH_015_042_000114	諶謂智明曰：「天去人亦復不遠，我與至尊殺高、武諸王，是君傳語來去。我今死，還取卿。」
