HCH_009_016_000084	己酉，夏人陷西寧州，尚書省都事僕散奴失不坐誅，駙馬都尉徒單壽春奪官一階，杖六十。
HCH_009_016_000085	癸丑，更定安泊逃亡出征軍人罪及捕獲賞格。
HCH_009_016_000086	甲寅，宋人出秦州，及夏人來侵。
HCH_009_016_000087	丙辰，鞏州行元帥府石盞合喜報定西州之捷。
HCH_009_016_000088	冬十月壬戌，大元遣蒙古塔忽、訛裏剌等來。
HCH_009_016_000089	己卯，陝西東路行省報綏德州之捷。
HCH_009_016_000090	泗州元帥府言，紅襖賊一月四入寇，掠人畜而去。
HCH_009_016_000091	庚辰，上擊鞠于臨武殿。
HCH_009_016_000092	辛巳，授紅襖賊時青滕陽公、本處兵馬總領、元帥兼宣撫。
HCH_009_016_000093	癸未，京西山寨各設守禦使、副，令本路府總之。
HCH_009_016_000094	諭陝西行省圖復會州。
HCH_009_016_000095	上擊鞠于臨武殿。
HCH_009_016_000096	十一月丁亥朔，免越王永功朔望朝參。
HCH_009_016_000097	易水公靖安民為其下所殺。
HCH_009_016_000098	戊子，黃陵堈經略使烏古論石虎等以戰陣失律，伏誅。
HCH_009_016_000099	壬辰，木星晝見於翼，積六十有七日伏，夜又犯靈臺北第一星。
HCH_009_016_000100	甲午，河南水，遣官勸課。
HCH_009_016_000101	更浮山縣名忠孝。
HCH_009_016_000102	戊戌，詔復衛紹王王爵，仍加開府議同三司。
HCH_009_016_000103	壬寅，山東東路軍戶徙許州，命行東平總管府治之，判官一人分司臨潁。
HCH_009_016_000104	乙巳，詔柴茂權元帥左都監，蓋仁貴攝右都監，同行元帥府于真定。
HCH_009_016_000105	是月，大元木華里國王以兵圍東平。
HCH_009_016_000106	十二月甲戌，祈雪。
HCH_009_016_000107	禮部郎中權左司諫抹撚胡魯剌上封事。
HCH_009_016_000108	戊寅，詔軍官許月擊鞠者三次，以習武事。
HCH_009_016_000109	庚辰，獵，享於太廟。
HCH_009_016_000110	乙酉，鎮南軍節度使溫蒂罕思敬上書言錢幣、稅賦二事。
HCH_009_016_000111	五年春正月丙戌朔，免朝。
HCH_009_016_000112	丁亥，世宗忌日，謁奠于啟慶宮。
HCH_009_016_000113	戊子，括南京諸州逋戶舊耕官田，給軍戶。
HCH_009_016_000114	壬辰，議禦西夏及征南事。
HCH_009_016_000115	諭皇太子以東平禦敵方略。
HCH_009_016_000116	甲午，諭樞密院，南伐事重，當詳議其便。
HCH_009_016_000117	撰故衛王事蹟，如海陵庶人例。
HCH_009_016_000118	丁酉，大元兵攻天井關。
HCH_009_016_000119	戊戌，宋人襲泗州西城，提控王祿死之。
HCH_009_016_000120	辛丑，太白晝見於牛，二百三十有二日伏。
HCH_009_016_000121	乙巳，詔諸道兵集蔡州，己酉，伐宋。
HCH_009_016_000122	庚戌，山東行省報東平之捷。
HCH_009_016_000123	二月丙辰朔，置招撫司于單州。
HCH_009_016_000124	曲赦東平府。
HCH_009_016_000125	庚申，下詔伐宋。
HCH_009_016_000126	以內族惟弼權同簽樞密院事，行院於中京；斡勒合打權元帥府右都監，行元帥府于蔡、息；納合降福權簽樞密院事，行院於宿州；孛朮魯達阿權元帥右都監，完顏訛論副右都監，行元帥府于唐、鄧。
HCH_009_016_000127	戊辰，罷懷州行元帥府，復置招撫司，與孟州經略司並受中京行樞密院節制。
HCH_009_016_000128	辛未，僕散安貞以元帥出息州，破宋人乾淨居山寺，拔黃土關。
HCH_009_016_000129	癸酉，以旱災，曲赦河南路。
HCH_009_016_000130	丙子，禁京城兵器。
HCH_009_016_000131	元帥紇石烈牙葉塔破宋兵，復泗州。
HCH_009_016_000132	進逼濠州，至渦口，乏糧而還西城。
HCH_009_016_000133	癸未，以旱災，詔中外。
HCH_009_016_000134	三月丙戌朔，上御仁安殿，祈雨，仍望祭於北郊。
HCH_009_016_000135	庚寅，宋人圍唐、鄧，行元帥府事完顏訛論力戰卻之。
HCH_009_016_000136	前鄧州千戶孛朮魯毛良虎自拔歸國，訛論便宜遷其官三階，授同知唐州事，乞正授以示信，從之。
HCH_009_016_000137	乙未，罷河南路行三司。
HCH_009_016_000138	丙申，參知政事徒單思忠進尚書右丞、兼修國史，以太子詹事僕散毅夫為參知政事。
HCH_009_016_000139	諭宰臣曰：「今奉御、奉職多不留心採訪外事。聞章宗時近侍人秩滿，以所采事定升降。今亦宜預為考核之法，以激勸之。」
HCH_009_016_000140	戊戌，長春節，免朝。
HCH_009_016_000141	己亥，夏因叛人竇趙兒之招，入據來羌城，孛朮魯合住以重賞誘脅從人為內應，督兵急攻城，拔之。
HCH_009_016_000142	省試經義進士，考官于常額外多放喬松等十餘人。
