HCH_014_003_000000	吉日甲子。
HCH_014_003_000001	天子賓于西王母。
HCH_014_003_000002	乃執白圭玄璧，以見西王母好獻錦組百純，□組三百純西王母再拜受之。
HCH_014_003_000003	□。
HCH_014_003_000004	乙丑，天子觴西王母于瑤池之上。
HCH_014_003_000005	西王母為天子謠，曰：白雲在天，丘陵自出。
HCH_014_003_000006	道裡悠遠，山川間之，將子無死，尚能複來。
HCH_014_003_000007	天子答之曰：予歸東土，和治諸夏。
HCH_014_003_000008	萬民平均，吾顧見汝。
HCH_014_003_000009	比及三年，將複而野。
HCH_014_003_000010	西王母又為天子吟曰：徂彼西土，爰居其野。
HCH_014_003_000011	虎豹為群，於鵲與處。
HCH_014_003_000012	嘉命不遷，我惟帝女。
HCH_014_003_000013	彼何世民，又將去子。
HCH_014_003_000014	吹笙鼓簧，中心翱翔。
HCH_014_003_000015	世民之子，惟天之望。
HCH_014_003_000016	天子遂驅升於弇山，乃紀丌跡於弇山之石而樹之槐。
HCH_014_003_000017	眉曰：西王母之山。
HCH_014_003_000018	丁未，天子飲于溫山。
HCH_014_003_000019	□考鳥。
HCH_014_003_000020	己酉，天子飲于溽水之上。
HCH_014_003_000021	乃發憲命，詔六師之人□其羽。
HCH_014_003_000022	爰有□藪水澤，爰有陵衍平陸，碩鳥解羽。
HCH_014_003_000023	六師之人畢至於曠原。
HCH_014_003_000024	曰：天子三月舍于曠原，天子大饗正公、諸侯、王，勤七萃之士，於羽琌之上，乃奏廣樂。
HCH_014_003_000025	□。
HCH_014_003_000026	六師之人翔畋于曠原，得獲無疆，鳥獸絕群。
HCH_014_003_000027	六師之人大畋九日，乃駐於羽陵之□，收皮效物，債車受載。
HCH_014_003_000028	天子於是載羽百車。
HCH_014_003_000029	己亥，天子東歸，六師□起。
HCH_014_003_000030	庚子，至於□之山，而休以待六師之人。
HCH_014_003_000031	庚辰，天子東征。
HCH_014_003_000032	癸未，至於戊□之山。
HCH_014_003_000033	智氏之所處，□智□往天子于戊□之山，勞用白驂二匹，野馬野牛四十，守犬七十。
HCH_014_003_000034	乃獻食馬四百，牛羊三千，曰：智氏□。
HCH_014_003_000035	天子北游于子之澤。
HCH_014_003_000036	智氏之夫獻酒百□于天子，天子賜之狗采，黃金之罌二九，貝帶四十，朱丹三百裹，桂薑百□，乃膜拜而受。
HCH_014_003_000037	乙酉，天子南征，東還。
HCH_014_003_000038	己丑，至於獻水，乃遂東征，飲而行。
HCH_014_003_000039	乃遂東南。
HCH_014_003_000040	己亥，至於瓜纑之山，三周若城。
HCH_014_003_000041	閼氏胡氏之所保。
HCH_014_003_000042	天子乃遂東征，南絕沙衍。
HCH_014_003_000043	辛丑。
HCH_014_003_000044	天子渴于沙衍，求飲未至。
HCH_014_003_000045	七萃之士曰高奔戎刺其左驂之頸，取其清血以飲天子。
HCH_014_003_000046	天子美之，乃賜奔戎佩玉一隻，奔戎再拜稽首。
HCH_014_003_000047	天子乃遂南征。
HCH_014_003_000048	甲辰，至於積山之，爰有柏。
HCH_014_003_000049	曰：餘之人命懷獻酒于天子。
HCH_014_003_000050	天子賜之黃金之罌。
HCH_014_003_000051	貝帶朱丹七十裹。
HCH_014_003_000052	命懷乃膜拜而受。
HCH_014_003_000053	乙巳，□諸飦獻酒于天子，天子賜之黃金之罌，貝帶朱丹七十裹。
HCH_014_003_000054	諸飦乃膜拜而受。
