HCH_012_010_000060	冬十月甲子，鎮守甘肅左副總兵任禮充總兵官，都督蔣貴、都督同知趙安為左、右副總兵，兵部侍郎柴車，僉都御史曹翼、羅亨信參贊軍務，討阿台朵兒只伯。
HCH_012_010_000061	兵部尚書王驥、太監王貴監督之。
HCH_012_010_000062	十一月乙巳，振河南饑，免稅糧。
HCH_012_010_000063	是年，琉球中山、撒馬兒罕、暹羅、土魯番、瓦剌、哈密入貢。
HCH_012_010_000064	三年春三月己亥，京師地震。
HCH_012_010_000065	辛丑，振陝西饑。
HCH_012_010_000066	夏四月乙卯，王驥、任禮、蔣貴、趙安襲擊阿台朵兒只伯，大破之，追至黑泉還。
HCH_012_010_000067	癸未，立大同馬市。
HCH_012_010_000068	六月癸酉，以旱讞中外疑獄。
HCH_012_010_000069	乙亥，都督方政、僉事張榮同征南將軍黔國公沐晟、右都督沐昂，討麓川叛蠻思任發。
HCH_012_010_000070	秋七月癸未，下禮部尚書胡濙於獄。
HCH_012_010_000071	辛卯，下戶部尚書劉中敷於獄。
HCH_012_010_000072	尋俱釋之。
HCH_012_010_000073	八月乙亥，以陝西饑，令雜犯死囚以下輸銀贖罪，送邊吏易米。
HCH_012_010_000074	九月癸巳，蠲兩畿、湖廣逋賦。
HCH_012_010_000075	冬十月癸丑，再振陝西饑。
HCH_012_010_000076	十二月丙辰，下刑部尚書魏源、右都御史陳智等於獄。
HCH_012_010_000077	是年，榜葛剌貢麒麟，中外表賀。
HCH_012_010_000078	琉球中山、暹羅、占城、瓦剌入貢。
HCH_012_010_000079	四年春正月壬午，方政破麓川蠻於大寨，追至空泥，敗沒。
HCH_012_010_000080	二月丁巳，總兵官蕭授平貴州計砂叛苗。
HCH_012_010_000081	閏月辛丑，釋魏源、陳智等，復其官，幷宥棄交阯王通、馬騏罪。
HCH_012_010_000082	三月己酉，詔赦天下。
HCH_012_010_000083	壬子，賜施槃等進士及第、出身有差。
HCH_012_010_000084	庚申，廢遼王貴烚為庶人。
HCH_012_010_000085	丁卯，黔國公沐晟卒於軍。
HCH_012_010_000086	癸酉，增南京及在外文武官軍俸廩。
HCH_012_010_000087	夏五月庚戌，右都督沐昂為征南將軍，充總兵官，討思任發。
HCH_012_010_000088	丁卯，錄中外囚。
HCH_012_010_000089	六月乙未，京師地震。
HCH_012_010_000090	丁酉，以京畿水災祭告天地，諭羣臣修省。
HCH_012_010_000091	戊戌，下詔寬卹，求直言。
HCH_012_010_000092	秋七月庚戌，免兩畿、山東、江西、河南被災稅糧。
HCH_012_010_000093	壬申，汰冗官。
HCH_012_010_000094	八月戊戌，增設沿海備倭官。
HCH_012_010_000095	己亥，京師地震。
HCH_012_010_000096	冬十二月丁丑，都督同知李安充總兵官，僉都御史王翺參贊軍務，討松潘祈命簇叛番。
HCH_012_010_000097	是年，琉球、占城、安南、瓦剌、榜葛剌、滿剌加、哈密入貢。
HCH_012_010_000098	五年春正月己未，大祀天地於南郊。
HCH_012_010_000099	二月乙亥，侍講學士馬愉、侍講曹鼐入閣預機務。
HCH_012_010_000100	甲申，僉都御史張純、大理少卿李畛振撫畿內流民。
HCH_012_010_000101	三月戊申，建北京宮殿。
HCH_012_010_000102	夏四月壬申，免山西逋賦。
HCH_012_010_000103	丙戌，祈命簇番降。
HCH_012_010_000104	五月，征麓川，參將張榮敗績於芒市。
HCH_012_010_000105	六月丁丑，免兩畿被災田糧。
HCH_012_010_000106	戊寅，錄囚。
HCH_012_010_000107	秋七月辛丑，遣刑部侍郎何文淵等分行天下，修備荒之政。
HCH_012_010_000108	壬寅，楊榮卒。
HCH_012_010_000109	八月乙未，令各邊修舉荒政。
HCH_012_010_000110	九月壬寅，蠲雲南逋賦。
HCH_012_010_000111	冬十一月壬寅，振浙江饑。
HCH_012_010_000112	壬子，免蘇、松、常、鎮、嘉、湖水災稅糧。
HCH_012_010_000113	丁巳，廣西僧楊行祥偽稱建文帝，械送京師，錮錦衣衞獄死。
HCH_012_010_000114	乙丑，沐昂討平師宗叛蠻。
HCH_012_010_000115	十二月壬午，免南畿、浙江、山東、河南被災稅糧。
HCH_012_010_000116	是年，占城、琉球中山、哈密、烏斯藏入貢。
HCH_012_010_000117	六年春正月己亥朔，日當食，不見，禮官請表賀，不許。
HCH_012_010_000118	庚戌，大祀天地於南郊。
HCH_012_010_000119	乙卯，以莊浪地屢震，躬祀郊廟，遣使祭西方嶽鎮。
HCH_012_010_000120	大舉征麓川，定西伯蔣貴為平蠻將軍，都督同知李安、僉事劉聚副之，兵部尚書王驥總督軍務。
HCH_012_010_000121	三月庚子，下兵部侍郎于謙於獄。
HCH_012_010_000122	夏四月甲午，以災異遣使省天下疑獄。
HCH_012_010_000123	五月甲寅，刑部侍郎何文淵、大理卿王文錄在京刑獄，巡撫侍郎周忱、刑科給事中郭瑾錄南京刑獄。
HCH_012_010_000124	釋于謙為大理少卿。
HCH_012_010_000125	秋七月丁未，振浙江、湖廣饑。
HCH_012_010_000126	冬十月丁丑，戶部尚書劉中敷，侍郎吳璽、陳瑺荷校於長安門，旬餘釋還職。
HCH_012_010_000127	庚寅，免畿內被災稅糧。
HCH_012_010_000128	十一月甲午朔，乾清、坤寧二宮，奉天、華蓋、謹身三殿成，大赦。
HCH_012_010_000129	定都北京，文武諸司不稱行在。
HCH_012_010_000130	癸卯，王驥拔麓川上江寨。
HCH_012_010_000131	癸丑，免河南、山東及鳳陽等府被災稅糧。
HCH_012_010_000132	閏月甲戌，復下劉中敷、吳璽、陳瑺於獄。
HCH_012_010_000133	踰年，釋中敷為民，璽、瑺戍邊。
HCH_012_010_000134	十二月，王驥克麓川，思任發走孟養。
HCH_012_010_000135	丁未，班師。
HCH_012_010_000136	左副總兵李安攻餘賊於高黎貢山，敗績。
HCH_012_010_000137	是年，占城、瓦剌、哈密入貢。
HCH_012_010_000138	七年春正月甲戌，大祀天地於南郊。
HCH_012_010_000139	二月庚申，如天壽山。
HCH_012_010_000140	三月甲子，還宮。
HCH_012_010_000141	乙亥，免陝西屯糧十之五。
HCH_012_010_000142	戊寅，賜劉儼等進士及第、出身有差。
HCH_012_010_000143	夏四月甲午，振陝西饑。
HCH_012_010_000144	是月，免山西、河南、山東被災稅糧。
HCH_012_010_000145	五月壬申，論平麓川功，進封蔣貴為侯，王驥靖遠伯。
HCH_012_010_000146	戊寅，立皇后錢氏。
HCH_012_010_000147	丁亥，倭陷大嵩所。
HCH_012_010_000148	六月壬子，戶部侍郎焦宏備倭浙江。
HCH_012_010_000149	秋七月丙寅，振陝西饑民，贖民所鬻子女。
HCH_012_010_000150	八月壬寅，復命王驥總督雲南軍務。
HCH_012_010_000151	九月甲戌，陝西進嘉禾，禮臣請表賀，不許。
HCH_012_010_000152	冬十月壬辰，兀良哈犯廣寧。
HCH_012_010_000153	乙巳，太皇太后崩。
