HCH_012_001_000087	總管靳義赴水死，太祖曰：「義士也」，禮葬之。
HCH_012_001_000088	揭榜禁剽掠。
HCH_012_001_000089	有卒違令，斬以徇，軍中肅然。
HCH_012_001_000090	改路曰府。
HCH_012_001_000091	置太平興國翼元帥府，自領元帥事，召陶安參幕府事，李習為知府。
HCH_012_001_000092	時太平四面皆元兵。
HCH_012_001_000093	右丞阿魯灰、中丞蠻子海牙等嚴師截姑孰口，陳埜先水軍帥康茂才以數萬眾攻城。
HCH_012_001_000094	太祖遣徐達、鄧愈、湯和逆戰，別將潛出其後，夾擊之，擒埜先并降其眾，阿魯灰等引去。
HCH_012_001_000095	秋九月，郭天敘、張天祐攻集慶，埜先叛，二人皆戰死，於是子興部將盡歸太祖矣。
HCH_012_001_000096	埜先尋為民兵所殺，從子兆先收其眾，屯方山，與海牙掎角以窺太平。
HCH_012_001_000097	冬十二月壬子，釋納哈出北歸。
HCH_012_001_000098	十六年春二月丙子，大破海牙於采石。
HCH_012_001_000099	三月癸未，進攻集慶，擒兆先，降其眾三萬六千人，皆疑懼不自保。
HCH_012_001_000100	太祖擇驍健者五百人入衞，解甲酣寢達旦，眾心始安。
HCH_012_001_000101	庚寅，再敗元兵於蔣山。
HCH_012_001_000102	元御史大夫福壽力戰死之，蠻子海牙遁歸張士誠，康茂才降。
HCH_012_001_000103	太祖入城，悉召官吏父老諭之曰：「元政瀆擾，干戈蜂起，我來為民除亂耳，其各安堵如故。賢士吾禮用之，舊政不便者除之，吏毋貪暴殃吾民。」
HCH_012_001_000104	民乃大喜過望。
HCH_012_001_000105	改集慶路為應天府，辟夏煜、孫炎、楊憲等十餘人，葬御史大夫福壽以旌其忠。
HCH_012_001_000106	當是時，元將定定扼鎮江，別不華、楊仲英屯寧國，青衣軍張明鑑據揚州，八思爾不花駐徽州，石抹宜孫守處州，其弟厚孫守婺州，宋伯顏不花守衢州，而池州已為徐壽輝將所據，張士誠自淮東陷平江，轉掠浙西。
HCH_012_001_000107	太祖既定集慶，慮士誠、壽輝強，江左、浙右諸郡為所并，於是遣徐達攻鎮江，拔之，定定戰死。
HCH_012_001_000108	夏六月，鄧愈克廣德。
HCH_012_001_000109	秋七月己卯，諸將奉太祖為吳國公。
HCH_012_001_000110	置江南行中書省，自總省事，置僚佐。
HCH_012_001_000111	貽書張士誠，士誠不報，引兵攻鎮江。
HCH_012_001_000112	徐達敗之，進圍常州，不下。
HCH_012_001_000113	九月戊寅，如鎮江，謁孔子廟。
HCH_012_001_000114	遣儒士告諭父老，勸農桑，尋還應天。
HCH_012_001_000115	十七年春二月，耿炳文克長興。
HCH_012_001_000116	三月，徐達克常州。
HCH_012_001_000117	夏四月丁卯，自將攻寧國，取之，別不華降。
HCH_012_001_000118	五月，上元、寧國、句容獻瑞麥。
HCH_012_001_000119	六月，趙繼祖克江陰。
HCH_012_001_000120	秋七月，徐達克常熟。
HCH_012_001_000121	胡大海克徽州，八思爾不花遁。
HCH_012_001_000122	冬十月，常遇春克池州，繆大亨克揚州，張明鑑降。
HCH_012_001_000123	十二月己丑，釋囚。
HCH_012_001_000124	是年，徐壽輝將明玉珍據重慶路。
HCH_012_001_000125	十八年春二月乙亥，以康茂才為營田使。
HCH_012_001_000126	三月己酉，錄囚。
HCH_012_001_000127	鄧愈克建德路。
HCH_012_001_000128	夏四月，徐壽輝將陳友諒遣趙普勝陷池州。
HCH_012_001_000129	是月，友諒據龍興路。
HCH_012_001_000130	五月，劉福通破汴梁，迎韓林兒都之。
HCH_012_001_000131	初，福通遣將分道四出，破山東，寇秦、晉，掠幽、薊，中原大亂，太祖故得次第略定江表。
HCH_012_001_000132	所過不殺，收召才雋，由是人心日附。
HCH_012_001_000133	冬十二月，胡大海攻婺州，久不下，太祖自將往擊之。
