HCH_012_079_000026	宣德四年，瑄及尚書黃福建議復支運法，乃令江西、湖廣、浙江民運百五十萬石於淮安倉，蘇、鬆、甯、池、廬、安、廣德民運糧二百七十四萬石於徐州倉，應天、常、鎮、淮、揚、鳳、太、滁、和、徐民運糧二百二十萬石於臨清倉，令官軍接運入京、通二倉。
HCH_012_079_000027	民糧既就近入倉，力大減省，乃量地近遠，糧多寡，抽民船十一或十三、五之一以給官軍。
HCH_012_079_000028	惟山東、河南、北直隸則徑赴京倉，不用支運。
HCH_012_079_000029	尋令南陽、懷慶、汝寧糧運臨清倉，開封、彰德、衛輝糧運德州倉，其後山東、河南皆運德州倉。
HCH_012_079_000030	六年，瑄言：「江南民運糧諸倉，往返幾一年，誤農業。令民運至淮安、瓜洲，兌與衛所。官軍運載至北，給與路費耗米，則軍民兩便。」
HCH_012_079_000031	是為兌運。
HCH_012_079_000032	命羣臣會議。
HCH_012_079_000033	吏部蹇義等上官軍兌運民糧加耗則例，以地遠近為差。
HCH_012_079_000034	每石，湖廣八斗，江西、浙江七斗，南直隸六斗，北直隸五斗。
HCH_012_079_000035	民有運至淮安兌與軍運者，止加四斗，如有兌運不盡，仍令民自運赴諸倉，不願兌者，亦聽其自運。
HCH_012_079_000036	軍既加耗，又給輕齎銀為洪閘盤撥之費，且得附載他物，皆樂從事，而民亦多以遠運為艱。
HCH_012_079_000037	於是兌運者多，而支運者少矣。
HCH_012_079_000038	軍與民兌米，往往恃強勒索。
HCH_012_079_000039	帝知其弊，敕戶部委正官監臨，不許私兌。
HCH_012_079_000040	已而頗減加耗米，遠者不過六斗，近者至二斗五升。
HCH_012_079_000041	以三分為率，二分與米，一分以他物準。
HCH_012_079_000042	正糧斛面銳，耗糧俱平概。
HCH_012_079_000043	運糧四百萬石，京倉貯十四，通倉貯十六。
HCH_012_079_000044	臨、徐、淮三倉各遣御史監收。
HCH_012_079_000045	正統初，運糧之數四百五十萬石，而兌運者二百八十萬餘石，淮、徐、臨、德四倉支運者十之三四耳。
HCH_012_079_000046	土木之變，復盡留山東、直隸軍操備。
HCH_012_079_000047	蘇、鬆諸府運糧仍屬民。
HCH_012_079_000048	景泰六年，瓦剌入貢，乃復軍運。
HCH_012_079_000049	天順末，兌運法行久，倉入覬耗餘，入庾率兌斛面，且求多索，軍困甚。
HCH_012_079_000050	憲宗即位，漕運參將袁佑上言便宜。
HCH_012_079_000051	帝曰：「律令明言，收糧令納戶平準，石加耗不過五升。今運軍願明加，則倉吏侵害過多可知。今後令軍自概，每石加耗五升，毋溢，勒索者治罪。」
HCH_012_079_000052	後從督倉中官言，加耗至八升。
HCH_012_079_000053	久之，復溢收如故，屢禁不能止也。
HCH_012_079_000054	初，運糧京師，未有定額。
HCH_012_079_000055	成化八年始定四百萬石，自後以為常。
HCH_012_079_000056	北糧七十五萬五千六百石，南糧三百二十四萬四千四百石，其內兌運者三百三十萬石，由支運改兌者七十萬石。
HCH_012_079_000057	兌運之中，湖廣、山東、河南折色十七萬七千七百石。
HCH_012_079_000058	通計兌運、改兌加以耗米入京、通兩倉者，凡五百十八萬九千七百石。
HCH_012_079_000059	而南直隸正糧獨百八十萬，薊州一府七十萬，加耗在外。
HCH_012_079_000060	浙賦視蘇減數萬。
HCH_012_079_000061	江西、湖廣又殺焉。
HCH_012_079_000062	天津、蘇州、密雲、昌平，共給米六十四萬餘石，悉支兌運米。
HCH_012_079_000063	而臨、德二倉，貯預備米十九萬餘石，取山東、河南改兌米充之。
HCH_012_079_000064	遇災傷，則撥二倉米以補運，務足四百萬之額，不令缺也。
HCH_012_079_000065	至成化七年，乃有改兌之議。
HCH_012_079_000066	時應天巡撫滕昭令運軍赴江南水次交兌，加耗外，復石增米一斗為渡江費。
HCH_012_079_000067	後數年，帝乃命淮、徐、臨、德四倉支運七十萬石之米，悉改水次交兌。
HCH_012_079_000068	由是悉變為改兌，而官軍長運遂為定制。
HCH_012_079_000069	然是時，司倉者多苛取，甚至有額外罰，運軍輾轉稱貸不支。
HCH_012_079_000070	弘治元年，都御史馬文升疏論運軍之苦，言：「各直省運船，皆工部給價，令有司監造。近者，漕運總兵以價不時給，請領價自造。而部臣慮軍士不加愛護，議令本部出料四分，軍衛任三分，舊船抵三分。軍衛無從措辦，皆軍士賣資產、鬻男女以供之，以造船之苦也。正軍逃亡數多，而額數不減，俱以餘丁充之，一戶有三、四人應役者。春兌秋歸，艱辛萬狀。船至張家灣，又僱車盤撥，多稱貸以濟用，此往來之苦也。其所稱貸，運官因以侵漁，責償倍息。而軍士或自載土產以易薪米，又格於禁例，多被掠奪。今宜加造船費每艘銀二十兩，而禁約運官及有司科害搜檢之弊，庶軍困少蘇。」
HCH_012_079_000071	詔從其議。
HCH_012_079_000072	五年，戶部尚書葉淇言：「蘇、鬆諸府，連歲荒歉，民買漕米，每石銀二兩。而北直隸、山東、河南歲供宣、大二邊糧料，每石亦銀一兩。去歲，蘇州兌運已折五十萬石，每石銀一兩。今請推行於諸府，而稍差其直。災重者，石七錢，稍輕者，石仍一兩。俱解部轉發各邊，抵北直隸三處歲供之數，而收三處本色以輸京倉，則費省而事易集。」
HCH_012_079_000073	從之。
HCH_012_079_000074	自後歲災，輒權宜折銀，以水次倉支運之糧充其數，而折價以六七錢為率，無復至一兩者。
HCH_012_079_000075	先是，成化間行長運之法。
HCH_012_079_000076	江南州縣運糧至南京，令官軍就水次兌支，計省加耗輸輓之費，得餘米十萬石有奇，貯預備倉以資緩急之用。
HCH_012_079_000077	至是，巡撫都御史以兌支有弊，請令如舊上倉而後放支。
HCH_012_079_000078	戶部言：「兌支法善，不可易。」
HCH_012_079_000079	詔從部議，以所餘就貯各衛倉，作正支銷。
HCH_012_079_000080	又從戶部言，山東改兌糧九萬石，仍聽民自運臨、德二倉，令官軍支運。
HCH_012_079_000081	正德二年，漕運官請疏通水次倉儲，言：「往時民運至淮、徐、臨、德四倉，以待衛軍支運，後改附近州縣水次交兌。已而並支運七十萬石亦令改兌。但七十萬石之外，猶有交兌不盡者，民仍運赴四倉，久無支銷，以致陳腐。請將浙江、江西、湖廣正兌糧米三十五萬石，折銀解京，而令三省衛軍赴臨、德等倉，支運如所折之數。則諸倉米不腐，三省漕卒便於支運。歲漕額外，又得三十五萬折銀，一舉而數善具矣。」
HCH_012_079_000082	帝命部臣議，如其請。
HCH_012_079_000083	六年，戶部侍郎邵寶以漕運遲滯，請復支運法。
HCH_012_079_000084	戶部議，支運法廢久，不可卒復，事遂寢。
HCH_012_079_000085	臨、德二倉之貯米也，凡十九萬，計十年得百九十萬。
HCH_012_079_000086	自世宗初，災傷撥補日多，而山東、河南以歲歉，數請輕減，且二倉囤積多朽腐。
HCH_012_079_000087	於是改折之議屢興，而倉儲漸耗矣。
