HCH_012_328_000107	善曰：「天位已定，不再更。」
HCH_012_328_000108	也先引善見上皇，遂設宴餞上皇行。
HCH_012_328_000109	也先席地彈琵琶，妻妾奉酒，顧善曰：「都御史坐。」
HCH_012_328_000110	善不敢坐，上皇曰：「太師著坐，便坐。」
HCH_012_328_000111	善承旨坐，即起，周旋其間。
HCH_012_328_000112	也先顧善曰：「有禮。」
HCH_012_328_000113	伯顏等亦各設餞畢，也先築土臺，坐上皇臺上，率妻妾部長羅拜其下，各獻器用、飲食物。
HCH_012_328_000114	上皇行，也先與部眾皆送約半日程，也先、伯顏乃下馬伏地慟哭曰：「皇帝行矣，何時復得相見！」
HCH_012_328_000115	良久乃去，仍遣其頭目七十人送至京。
HCH_012_328_000116	上皇歸後，瓦剌歲來貢，上皇所亦別有獻。
HCH_012_328_000117	於是帝意欲絕瓦剌，不復遣使往。
HCH_012_328_000118	也先以為請，尚書王直、金濂、胡濙等相繼言絕之且起釁。
HCH_012_328_000119	帝曰：「遣使，有前事，適以滋釁耳。曩瓦剌入寇時，豈無使邪？」
HCH_012_328_000120	因敕也先曰：「前者使往，小人言語短長，遂致失好。朕今不復遣，而太師請之，甚無益。」
HCH_012_328_000121	也先與脫脫不花內相猜。
HCH_012_328_000122	脫脫不花妻，也先姊也，也先欲立其姊子為太子，不從。
HCH_012_328_000123	也先亦疑其通中國，將謀己，遂治兵相攻。
HCH_012_328_000124	脫脫不花敗走，也先追殺之，執其妻子，以其人畜給諸部屬；遂乘勝迫脅諸蕃，東及建州、兀良哈，西及赤斤蒙古、哈密。
HCH_012_328_000125	三年冬，遣使來賀明年正旦，尚書王直等復請答使報之。
HCH_012_328_000126	下兵部議，兵部尚書于謙言：「臣職司馬，知戰而已，行人事非所敢聞。」
HCH_012_328_000127	詔仍毋遣使。
HCH_012_328_000128	明年冬，也先自立為可汗，以其次子為太師，來朝，書稱大元田盛大可汗，末曰添元元年。
HCH_012_328_000129	田盛，猶言天聖也。
HCH_012_328_000130	報書稱曰瓦剌可汗。
HCH_012_328_000131	未幾，也先復逼徙朵顏所部於黃河母納地。
HCH_012_328_000132	也先恃強，日益驕，荒於酒色。
HCH_012_328_000133	六年，阿剌知院攻也先，殺之。
HCH_012_328_000134	韃靼部孛來復殺阿剌，奪也先母妻幷其玉璽。
HCH_012_328_000135	也先諸子火兒忽答等徙居干趕河，弟伯都王、姪兀忽納等往依哈密。
HCH_012_328_000136	伯都王，哈密王母之弟也。
HCH_012_328_000137	英宗復辟三年，哈密為請封，詔授伯都王都督僉事，兀忽納指揮僉事。
HCH_012_328_000138	自也先死，瓦剌衰，部屬分散，其承襲代次不可考。
HCH_012_328_000139	天順中，瓦剌阿失帖木兒屢遣使入貢，朝廷以其為也先孫，循例厚賚之。
HCH_012_328_000140	又撦力克者，常與孛來讐殺。
HCH_012_328_000141	又拜亦撒哈者，常偕哈密來朝。
HCH_012_328_000142	其長曰克捨，頗強，數糾韃靼小王子入寇。
