HCH_010_077_000096	時有取當世名流作《七賢傳》者，吼與其一。
HCH_010_077_000097	天祿三年卒，年三十九。
HCH_010_077_000098	子何魯不。
HCH_010_077_000099	何魯不，字斜寧，嘗與耶律屋質平察割亂。
HCH_010_077_000100	穆宗以其父吼首議立世宗，故不顯用。
HCH_010_077_000101	晚年為本族敞史。
HCH_010_077_000102	及景宗即位，以平察割功，授昭德軍節度使，為北院大王。
HCH_010_077_000103	時黃龍府軍將燕頗殺守臣以叛，何魯不討之，破於鴨淥江。
HCH_010_077_000104	坐不親追擊，以至失賊，杖之。
HCH_010_077_000105	乾亨間卒。
HCH_010_077_000106	耶律安摶，曾祖巖木，玄祖之長子。
HCH_010_077_000107	祖楚不魯，為本部夷離堇。
HCH_010_077_000108	父叠裏，幼多疾，時太祖為撻馬狘沙裏，常加撫育。
HCH_010_077_000109	神冊六年，為惕隱，從太祖將龍軍討阻卜、党項有功。
HCH_010_077_000110	天贊三年，為南院夷離堇，征渤海，攻忽汗城，俘斬甚眾。
HCH_010_077_000111	太祖崩，淳欽皇后稱制，欲以大元帥嗣位。
HCH_010_077_000112	叠裏建言，帝位宣先嫡長；今東丹王赴朝，當立。
HCH_010_077_000113	由是忤旨。
HCH_010_077_000114	以黨附東丹王，詔下獄，訊鞫，加以炮烙。
HCH_010_077_000115	不伏，殺之，籍其家。
HCH_010_077_000116	安摶自幼若成人，居父喪，哀毀過禮，見者傷之。
HCH_010_077_000117	太宗屢加慰諭，嘗曰：「此兒必為令器。」
HCH_010_077_000118	既長，寡言笑，重然諾，動遵繩矩，事母至孝。
HCH_010_077_000119	以父死非罪，未葬，不預宴樂。
HCH_010_077_000120	世宗在藩邸，尤加憐恤，安摶密自結納。
HCH_010_077_000121	太宗伐晉還，至欒城崩，諸將欲立世宗，以李胡及壽安王在朝，猶豫未決。
HCH_010_077_000122	時安摶直宿衛，世宗密召問計。
HCH_010_077_000123	安摶曰：「大王聰安寬恕，人皇王之嫡長；先帝雖有壽安，天下屬意多在大王。今若不斷，後悔無及。」
HCH_010_077_000124	會有自京師來者，安摶詐以李胡死傳報軍中，皆以為信。
HCH_010_077_000125	於是安摶詣北、南二大王計之。
HCH_010_077_000126	北院大王窪聞而遽起曰：「吾二人方議此事。先帝嘗欲以永康王為儲貳，今日之事，有我輩在，孰敢不從！但恐不白太后而立，為國家啟釁。」
HCH_010_077_000127	安摶對曰：「大王既知先帝欲以永康王為儲副，況永康王賢明，人心樂附。今天下甫定，稍緩則大事去矣。若白太后，必立李胡。且李胡殘暴，行路共知，果嗣位，如社稷何？」
HCH_010_077_000128	南院大王吼曰：「此言是也。吾計決矣！」
HCH_010_077_000129	乃整軍，召諸將奉世宗即位於太宗柩前。
HCH_010_077_000130	帝立，以安摶為腹心，總知宿衛。
HCH_010_077_000131	是歲，約和於潢河橫渡。
HCH_010_077_000132	太后問安摶曰：「吾與汝有何隙？」
HCH_010_077_000133	安摶以父死為對，太后默然。
HCH_010_077_000134	及置北院樞密使，上命安摶為之，賜奴婢百口，寵任無比，事皆取決焉。
HCH_010_077_000135	然性太寬，事循茍簡，豪猾縱恣不能制。
HCH_010_077_000136	天祿末，察割兵犯禦幄，又不能討，由是中外短之。
HCH_010_077_000137	穆宗即位，以立世宗之故，不復委用。
HCH_010_077_000138	應歷三年，或誣安摶與齊王罨撒葛謀亂，系獄死。
HCH_010_077_000139	侄撒給，左皮室詳穩。
HCH_010_077_000140	耶律窪，字敵輦，隋國王釋魯孫，南院夷離堇綰思子。
HCH_010_077_000141	少有器識，人以公輔期之。
HCH_010_077_000142	太祖時，雖未官，常任以事。
HCH_010_077_000143	太宗即位，為惕隱。
HCH_010_077_000144	天顯末，帝援河東，窪為先鋒，敗張敬達軍於太原北。
HCH_010_077_000145	會同中，遷北院大王。
HCH_010_077_000146	及伐晉，復為先鋒，與梁漢璋戰於瀛州，敗之。
