HCH_012_057_000104	承製官以露布付受露布官，引禮引詣案跪受，由中道南行，以授宣露布官。
HCH_012_057_000105	宣訖，付中書省頒示天下。
HCH_012_057_000106	將校引俘至位，刑部尚書跪奏曰：「某官某以某處所俘獻，請付所司。」
HCH_012_057_000107	奏訖，退復位。
HCH_012_057_000108	其就刑者立於西廂，東向，以付刑官。
HCH_012_057_000109	其宥罪者，樓上承製官宣旨，有敕釋縛。
HCH_012_057_000110	樓下承旨，釋訖，贊禮贊所釋之俘謝恩，皆四拜三呼，將校以所釋俘退。
HCH_012_057_000111	如有所賜，就宣旨賜之。
HCH_012_057_000112	大將以下就拜位，舞蹈山呼如常儀。
HCH_012_057_000113	班前稍前跪，稱賀致詞訖，百官復四拜，禮畢還宮。
HCH_012_057_000114	洪武三年六月，左副將軍李文忠北征大捷，遣官送所俘元孫買的裏八剌及寶冊至京師。
HCH_012_057_000115	百官請行獻俘禮。
HCH_012_057_000116	帝不許，事詳《本紀》。
HCH_012_057_000117	止令服本俗服，朝見畢，賜中國衣冠就謝。
HCH_012_057_000118	復謂省臣曰：「故國之妃朝於君者，元有此禮，不必效之。」
HCH_012_057_000119	亦令衣本俗服，入見中宮，賜中國服就謝。
HCH_012_057_000120	十一月，大將軍徐達及文忠等師還，車駕出勞於江上。
HCH_012_057_000121	明日，達率諸將上《平沙漠表》。
HCH_012_057_000122	帝御奉天殿，皇太子親王侍，百官朝服陪列，達、文忠奉表賀。
HCH_012_057_000123	禮成，退自西階。
HCH_012_057_000124	皇太子親王入賀。
HCH_012_057_000125	後定，凡大捷，擇日以宣，其日不奏事，百官吉服賀，即日遣官薦告郊廟。
HCH_012_057_000126	中捷以下，止宣捷，不祭告慶賀。
HCH_012_057_000127	永樂四年定，凡捷，兵部官以露布奏聞，大將在軍則進露布官行禮，次日行開讀禮，第三日行慶賀禮，餘如前儀。
HCH_012_057_000128	武宗徵宸濠還，禮部上獻俘儀，值帝弗豫，不果行。
HCH_012_057_000129	嘉靖二十三年十月，叛賊王三屢導吉囊入犯大同，官軍計擒之。
HCH_012_057_000130	遣官謝南北郊、景神殿、太社稷。
HCH_012_057_000131	擇日獻俘，百官表賀。
HCH_012_057_000132	天啓二年，四川獻逆犯樊友邦等，山東獻逆犯徐鴻儒等，俱遣官告祭郊廟，御樓獻俘。
HCH_012_057_000133	凡凱還，中書省移文大都督府，兵部具諸將功績，吏部具勳爵職名，戶、禮二部具賞格。
HCH_012_057_000134	中書集六部論定功賞，奏取上裁。
HCH_012_057_000135	前期，陳御座香案於奉天殿，設寶案詔書案於殿中，誥命案于丹陛正中之北，宣制案於誥命案之北。
HCH_012_057_000136	吏、戶、禮三部尚書位於殿上東南，大都督、兵部尚書位於殿上西南，應受賞官拜位於丹墀中，序立位於丹墀西南，受賞位於誥命案之南，受賞執事位於受賞官序立位之西。
HCH_012_057_000137	每官用捧誥命、捧禮物各一人，俱北向。
HCH_012_057_000138	餘陳設如朝儀。
HCH_012_057_000139	是日，鼓三嚴，執事官各就位。
HCH_012_057_000140	皇帝袞冕升座，皇太子諸王袞冕，自殿東門入侍立，受賞官入就拜位，四拜。
HCH_012_057_000141	承製官跪承製，由殿中門出，吏、戶、禮尚書由殿西門出，立於誥命案東。
HCH_012_057_000142	承製官南向稱有制，受賞官皆跪，宣制曰：「朕嘉某等爲國建功，宜加爵賞。今授以某職，賜以某物，其恭承朕命。」
HCH_012_057_000143	宣畢，受賞官俯伏，興，再拜。
HCH_012_057_000144	唱行賞，受賞官第一人詣案前跪，吏部尚書捧誥命，戶部尚書捧禮物，各授受賞官。
HCH_012_057_000145	受賞官以授左右，俯伏，興，復位。
HCH_012_057_000146	餘官以次受賞訖，承製官、吏部尚書等俱至御前覆命，退復位。
HCH_012_057_000147	受賞官皆再拜，三舞蹈，山呼。
HCH_012_057_000148	俯伏，興，復四拜。
HCH_012_057_000149	禮畢，皇帝還宮。
HCH_012_057_000150	各官出，至午門外，以誥命禮物置於龍亭，用儀仗鼓樂各送還本第。
HCH_012_057_000151	明日進表稱謝，如常儀。
HCH_012_057_000152	宣德四年十月，帝將閱武郊外，命都督府整兵，文武各堂上官一員、屬官一員扈從。
HCH_012_057_000153	正統間，或閱於近郊，於西苑，不著令。
HCH_012_057_000154	隆慶二年，大學士張居正言：「祖宗時有大閱禮，乞親臨校閱。」
HCH_012_057_000155	兵部引宣宗、英宗故事，請行之。
HCH_012_057_000156	命於明年八月舉行。
HCH_012_057_000157	及期，禮部定儀。
HCH_012_057_000158	前期一日，皇帝常服告於內殿，行四拜禮，如出郊儀。
HCH_012_057_000159	司設監設御幄於將臺上，總協戎政大臣、巡視科道督率將領軍兵預肅教場。
HCH_012_057_000160	至日早，遣官於教場祭旗纛之神。
HCH_012_057_000161	三大營官軍具甲仗，將官四員統馬兵二千扈駕。
HCH_012_057_000162	文臣各堂上官，科道掌印官、禮兵二科、禮部儀制司、兵部四司官、糾儀監射御史、鴻臚寺供事官，武臣都督以上、錦衣衛堂上及南鎮撫司掌印僉書官，俱大紅便服，關領扈從，牙牌懸帶，先詣教場。
HCH_012_057_000163	是日免朝。
HCH_012_057_000164	錦衣衛備鹵簿。
HCH_012_057_000165	皇帝常服乘輦由長安左門出，官軍導從，鉦鼓振作。
HCH_012_057_000166	出安定門，至閱武門外。
HCH_012_057_000167	總協戎政官率大小將佐戎服跪迎，入將臺下，北向序立。
HCH_012_057_000168	駕進閱武門，內中軍舉號砲三，各營鉦鼓振作，扈從官序立於行宮門外。
HCH_012_057_000169	駕至門，降輦。
HCH_012_057_000170	兵部官導入行宮，鳴金止鼓，候升座。
HCH_012_057_000171	扈從官行一拜禮，傳賜酒飯。
HCH_012_057_000172	各官謝恩出，將臺下東西序立。
HCH_012_057_000173	兵部官奏請大閱。
HCH_012_057_000174	兵部、鴻臚寺官導駕登臺，舉砲三。
HCH_012_057_000175	京營將士叩頭畢，東西侍立。
HCH_012_057_000176	總協戎政官列於扈從官之北，諸將列從官之南。
HCH_012_057_000177	兵部尚書奏請，令各營整搠人馬。
HCH_012_057_000178	臺上吹號笛，麾黃旗，總協戎政及將佐等官各歸所部。
HCH_012_057_000179	兵部尚書請閱陣，舉砲三。
HCH_012_057_000180	馬步官軍演陣，如常法。
HCH_012_057_000181	演畢，復吹號笛，麾黃旗，將士俱回營。
HCH_012_057_000182	少頃，兵部尚書請閱射。
HCH_012_057_000183	總協戎政官以下及聽射公、侯、駙馬、伯、錦衣衛等官，俱於臺下較射。
HCH_012_057_000184	馬三矢，步六矢，中的者鳴鼓以報，御史、兵部官監視紀錄。
HCH_012_057_000185	把總以下及家丁、軍士射，以府部大臣並御史、兵部官於東西廳較閱。
HCH_012_057_000186	槍刀火器等藝，聽總協戎政官量取一隊，於御前呈驗。
HCH_012_057_000187	兵部尚書奏大閱畢，臺下舉號旗。
HCH_012_057_000188	總協戎政官及諸將領俱詣臺下，北向序立。
HCH_012_057_000189	鴻臚寺官奏傳制，贊跪。
HCH_012_057_000190	宣制訖，贊叩頭。
HCH_012_057_000191	各官先退，出門外，贊扈從官行叩頭禮。
HCH_012_057_000192	禮畢，駕回行宮，少憩，扈從等官趨至門內立。
HCH_012_057_000193	皇帝升輦。
HCH_012_057_000194	中軍舉砲三，各營皆鼓吹，鹵簿及馬兵導從如來儀，鉦鼓與大樂相應振作。
HCH_012_057_000195	總協戎政以下候駕至，叩頭退。
HCH_012_057_000196	馬兵至長安左門外止。
HCH_012_057_000197	鹵簿、大樂至午門外止。
HCH_012_057_000198	駕還，仍詣內殿參謁，如前儀。
HCH_012_057_000199	百官不扈從者，各吉服於承天門外橋南序立恭送，駕還，迎如之。
HCH_012_057_000200	次日，總協戎政官以下表謝，百官侍班行稱賀禮，如常儀。
HCH_012_057_000201	兵部以將士優劣及中箭多寡、教練等第奏聞。
HCH_012_057_000202	越二日，皇帝御皇極門，賜敕勉勵將士。
HCH_012_057_000203	總協戎政官捧至彩輿，將士迎導至教場，開讀行禮如儀。
HCH_012_057_000204	是日，即行賞賚並戒罰有差。
HCH_012_057_000205	次日，總協戎政官率將佐復謝恩。
HCH_012_057_000206	詔如議行。
HCH_012_057_000207	駕還，樂奏《武成之曲》。
HCH_012_057_000208	萬曆九年大閱，如隆慶故事。
HCH_012_057_000209	大射之禮，後世莫講，惟《宋史》列於嘉禮。
HCH_012_057_000210	至《明集禮》則附軍禮中，《會典》亦然。
HCH_012_057_000211	其制洪武三年定。
HCH_012_057_000212	凡郊廟祭祀，先期行大射禮，工部制射侯等器。
HCH_012_057_000213	其射鵠有七。
HCH_012_057_000214	虎鵠五采，天子用之。
HCH_012_057_000215	熊鵠五采，皇太子用之。
HCH_012_057_000216	豹鵠五采，親王用之。
HCH_012_057_000217	豹鵠四採，文武一品、二品者用之。
HCH_012_057_000218	糝鵠三採，三品至五品用之。
HCH_012_057_000219	狐鵠二採，六品至九品用之。
HCH_012_057_000220	布鵠無採，文武官子弟及士民俊秀用之。
HCH_012_057_000221	凡射時，置乏於鵠右。
HCH_012_057_000222	乏又名容，見《周禮·大司馬》服不氏，職執旗及待獲者以蔽身。
HCH_012_057_000223	設楅及韋，當射時置於前，以齊矢。
HCH_012_057_000224	設射中五。
HCH_012_057_000225	皮樹中，天子大射用之。
HCH_012_057_000226	閭中，天子宴射用之。
HCH_012_057_000227	虎中，皇太子親王射用之。
HCH_012_057_000228	兕中，一品至五品文武官用之。
HCH_012_057_000229	鹿中，六品至九品及文武官子弟士民俊秀通用之。
HCH_012_057_000230	其職事，設司正官二，掌驗射者品級尊卑人力強弱而定耦，其中否則書於算，兵部官職之。
HCH_012_057_000231	司射二，掌先以強弓射鵠誘射，以鼓衆氣，武職官充之。
HCH_012_057_000232	司射器官二，掌辨弓力強弱，分爲三等，驗人力強弱以授，工部官職之。
HCH_012_057_000233	舉爵者，掌以馬湩授中者飲，光祿寺官職之。
HCH_012_057_000234	請射者，掌定耦射。
HCH_012_057_000235	射畢，再請某耦射，侍儀司職之。
HCH_012_057_000236	待獲者、掌矢納於司射器者，以隸僕供其役。
HCH_012_057_000237	執旗者六人，掌於容後執五色旗。
HCH_012_057_000238	如射者中的，舉紅旗應之。
HCH_012_057_000239	中採，舉採旗應之。
HCH_012_057_000240	偏西，舉白旗。
HCH_012_057_000241	偏東，舉青旗。
HCH_012_057_000242	過於鵠舉黃旗。
HCH_012_057_000243	不及鵠，舉黑旗。
HCH_012_057_000244	軍士二人掌之。
HCH_012_057_000245	引禮二，掌引文武官進退，侍儀司舍人職之。
HCH_012_057_000246	太祖又以先王射禮久廢，弧矢之事專習於武夫，而文士多未解，乃詔國學及郡縣生員皆令習射，頒儀式於天下。
HCH_012_057_000247	朔望則於公廨或閒地習之。
HCH_012_057_000248	其官府學校射儀，略仿大射之式而殺其禮。
HCH_012_057_000249	射位初三十步，自後累加至九十步。
HCH_012_057_000250	射四矢，以二人爲耦。
HCH_012_057_000251	永樂時有擊球射柳之制。
HCH_012_057_000252	十一年五月五日幸東苑，擊球射柳，聽文武羣臣四夷朝使及在京耆老聚觀。
HCH_012_057_000253	分擊球官爲兩朋，自皇太孫而下諸王大臣以次擊射，賜中者幣布有差。
HCH_012_057_000254	洪武六年二月，定救日食禮。
HCH_012_057_000255	其日，皇帝常服，不御正殿。
HCH_012_057_000256	中書省設香案，百官朝服行禮。
HCH_012_057_000257	鼓人伐鼓，復圓乃止。
HCH_012_057_000258	月食，大都督府設香案，百官常服行禮，不伐鼓，雨雪雲翳則免。
HCH_012_057_000259	二十六年三月更定，禮部設香案於露臺，向日，設金鼓於儀門內，設樂於露臺下，各官拜位於露臺上。
HCH_012_057_000260	至期，百官朝服入班，樂作，四拜興，樂止，跪。
HCH_012_057_000261	執事者捧鼓，班首擊鼓三聲，衆鼓齊鳴，候復圓，復行四拜禮。
HCH_012_057_000262	月食，則百官便服於都督府救護如儀。
HCH_012_057_000263	在外諸司，日食則於布政使司、府州縣，月食則於都指揮使司、衛所，如儀。
HCH_012_057_000264	隆慶六年，大喪。
HCH_012_057_000265	方成服，遇日食。
HCH_012_057_000266	百官先哭臨，後赴禮部，青素衣、黑角帶，向日四拜，不用鼓樂。
