HCH_012_005_000153	己亥，徇揚州，駐軍江北。
HCH_012_005_000154	天子遣慶成郡主至軍中，許割地以和，不聽。
HCH_012_005_000155	六月癸丑，江防都督僉事陳瑄以舟師叛，附於王。
HCH_012_005_000156	甲寅，祭大江。
HCH_012_005_000157	乙卯，自瓜州渡，盛庸以海艘迎戰，敗績。
HCH_012_005_000158	戊午，下鎮江。
HCH_012_005_000159	庚申，次龍潭。
HCH_012_005_000160	辛酉，天子復遣大臣議割地，諸王繼至，皆不聽。
HCH_012_005_000161	乙丑，至金川門，谷王橞、李景隆等開門納王，都城遂陷。
HCH_012_005_000162	是日，王分命諸將守城及皇城，還駐龍江，下令撫安軍民。
HCH_012_005_000163	大索齊泰、黃子澄、方孝孺等五十餘人，榜其姓名曰奸臣。
HCH_012_005_000164	丙寅，諸王羣臣上表勸進。
HCH_012_005_000165	己巳，王謁孝陵。
HCH_012_005_000166	羣臣備法駕，奉寶璽，迎呼萬歲。
HCH_012_005_000167	王升輦，詣奉天殿即皇帝位。
HCH_012_005_000168	復周王橚、齊王榑爵。
HCH_012_005_000169	壬申，葬建文皇帝。
HCH_012_005_000170	丁丑，殺齊泰、黃子澄、方孝孺，並夷其族。
HCH_012_005_000171	坐奸黨死者甚眾。
HCH_012_005_000172	戊寅，遷興宗孝康皇帝主於陵園，仍稱懿文太子。
HCH_012_005_000173	秋七月壬午朔，大祀天地於南郊，奉太祖配。
HCH_012_005_000174	詔：「今年以洪武三十五年為紀，明年為永樂元年。建文中更改成法，一復舊制。山東、北平、河南被兵州縣，復徭役三年，未被兵者與鳳陽、淮安、徐、滁、揚三州蠲租一年，餘天下州縣悉蠲今年田租之半。」
HCH_012_005_000175	癸未，召前北平按察使陳瑛為左副都御史，盡復建文朝廢斥者官。
HCH_012_005_000176	甲申，復官制。
HCH_012_005_000177	癸巳，改封吳王允熥廣澤王，衡王允熞懷恩王，徐王允𤐤敷惠王，隨母妃呂氏居懿文太子陵園。
HCH_012_005_000178	癸卯，江陰侯吳高督河南、陝西兵備，撫安軍民。
HCH_012_005_000179	甲辰，尚書嚴震直、王鈍，府尹薛正言等巡視山西、山東、河南、陝西。
HCH_012_005_000180	八月壬子，侍讀解縉、編修黃淮入直文淵閣。
HCH_012_005_000181	尋命侍讀胡廣，修撰楊榮，編修楊士奇，檢討金幼孜、胡儼同入直，並預機務。
HCH_012_005_000182	執兵部尚書鐵鉉至，不屈，殺之。
HCH_012_005_000183	左軍都督劉真鎮遼東。
HCH_012_005_000184	丁巳，分遣御史察天下利弊。
HCH_012_005_000185	戊午，都督何福為征虜將軍，鎮寧夏，節制陝西行都司。
HCH_012_005_000186	都督同知韓觀練兵江西，節制廣東、福建。
HCH_012_005_000187	甲子，西平侯沐晟鎮雲南。
HCH_012_005_000188	九月甲申，論靖難功，封丘福淇國公，朱能成國公，張武等侯者十三人，徐祥等伯者十一人。
HCH_012_005_000189	論欵附功，封駙馬都尉王寧為侯，茹瑺、陳瑄及都督同知王佐皆為伯。
HCH_012_005_000190	甲午，定功臣死罪減祿例。
HCH_012_005_000191	乙未，徙山西民無田者實北平，賜之鈔，復五年。
HCH_012_005_000192	韓觀為征南將軍，鎮廣西。
HCH_012_005_000193	冬十月丁巳，命北平州縣棄官避靖難兵者朱寧等二百一十九人入粟免死，戍興州。
HCH_012_005_000194	己未，脩太祖實錄。
HCH_012_005_000195	丙寅，鎮遠侯顧成鎮貴州。
HCH_012_005_000196	壬申，徙封谷王橞於長沙。
HCH_012_005_000197	甲戌，詔從征將士掠民間子女者還其家。
HCH_012_005_000198	十一月壬辰，立妃徐氏為皇后。
HCH_012_005_000199	廢廣澤王允熥、懷恩王允熞為庶人。
HCH_012_005_000200	十二月癸丑，蠲被兵州縣明年夏稅。
