HCH_012_116_000067	所著有《經進小鳴集》。
HCH_012_116_000068	弘治十一年薨，無子。
HCH_012_116_000069	從弟臨潼王誠澯子昭王秉欆嗣。
HCH_012_116_000070	十四年薨。
HCH_012_116_000071	子定王惟焯嗣，有賢行，有司以聞。
HCH_012_116_000072	嘉靖十九年，敕表以綽楔。
HCH_012_116_000073	獻金助太廟工，益歲祿二百石，賜玉帶襲衣。
HCH_012_116_000074	惟焯嘗奏請潼關以西、鳳翔以東河堧地，曰：「皇祖所賜先臣樉也。」
HCH_012_116_000075	戶部尚書梁材執奏：「陝西外供三鎮，內給四王，民困已極。豈得復奪堧地，濫給宗籓。」
HCH_012_116_000076	詔如材言。
HCH_012_116_000077	二十三年薨，無子。
HCH_012_116_000078	再從子宣王懷埢由中尉嗣。
HCH_012_116_000079	奏以本祿千石贍諸宗，賜敕獎諭。
HCH_012_116_000080	四十五年薨。
HCH_012_116_000081	子靖王敬鎔嗣，萬歷四年薨。
HCH_012_116_000082	子敬王誼澏嗣，十四年薨。
HCH_012_116_000083	無子，弟誼漶由紫陽王嗣。
HCH_012_116_000084	薨，子存樞嗣。
HCH_012_116_000085	李自成破西安，存樞降於賊，偽授權將軍，妃劉氏死之。
HCH_012_116_000086	汧陽王誠洌，康王諸孫也，事父及繼母以孝聞。
HCH_012_116_000087	父疾，經月不解帶。
HCH_012_116_000088	及薨，醯醬鹽酪不入口。
HCH_012_116_000089	明年，墓生嘉禾，一本雙穗，嘉瓜二實並蒂，慈烏異鳥環集。
HCH_012_116_000090	以母馬妃早卒，不逮養，追服衰食蔬者三年。
HCH_012_116_000091	雪中萱草生華，鹹謂孝感所致。
HCH_012_116_000092	弘治十五年賜敕嘉獎。
HCH_012_116_000093	時有輔國將軍秉樺，亦好學篤行。
HCH_012_116_000094	父病，禱於神，乞以身代，疾竟愈。
HCH_012_116_000095	母喪廬墓，有雙鶴集庭中。
HCH_012_116_000096	定王以聞。
HCH_012_116_000097	世宗表其門。
HCH_012_116_000098	晉恭王棡，太祖第三子也。
HCH_012_116_000099	學文於宋濂，學書於杜環，洪武三年封。
HCH_012_116_000100	十一年就籓太原，中道笞膳夫。
HCH_012_116_000101	帝馳諭曰：「吾帥群英平禍亂，不為姑息。獨膳夫徐興祖，事吾二十三年未嘗折辱。怨不在大，小子識之。」
HCH_012_116_000102	棡修目美髯，顧盼有威，多智數。
HCH_012_116_000103	然性驕，在國多不法。
HCH_012_116_000104	或告棡有異謀。
HCH_012_116_000105	帝大怒，欲罪之，太子力救得免。
HCH_012_116_000106	二十四年，太子巡陝西歸，棡隨來朝，敕歸籓。
HCH_012_116_000107	自是折節，待官屬皆有禮，更以恭慎聞。
HCH_012_116_000108	是時，帝念邊防甚，且欲諸子習兵事，諸王封並塞居者皆預軍務。
HCH_012_116_000109	而晉、燕二王，尤被重寄，數命將兵出塞及築城屯田。
HCH_012_116_000110	大將如宋國公馮勝、穎國公傅友德皆受節制。
HCH_012_116_000111	又詔二王，軍中事大者方以聞。
HCH_012_116_000112	三十一年三月薨，子定王濟熹嗣。
HCH_012_116_000113	永樂初，帝以濟熹縱下，黜其長史龍潭。
HCH_012_116_000114	濟熹懼，欲上護衛。
HCH_012_116_000115	不許。
HCH_012_116_000116	弟平陽王濟熿，幼狠戾，失愛於父。
HCH_012_116_000117	及長，太祖召秦、晉、燕、週四世子及庶子之長者，教於京師。
HCH_012_116_000118	濟熿與燕王子高煦、周王子有爋邪詭相比，不為太祖所愛。
HCH_012_116_000119	濟熹既嗣王，成祖封濟熿平陽王。
HCH_012_116_000120	濟熿追憾父，並憾濟熹不為解，嗾其弟慶成王濟炫等日訴濟熹過於朝，又誘府中官校，文致其罪，歷年不已。
HCH_012_116_000121	十二年，帝奪濟熹爵，及世子美圭皆為庶人，俾守恭王園，而立濟熿為晉王。
HCH_012_116_000122	濟熿既立，益橫暴，至進毒弒嫡母謝氏，逼烝恭王侍兒吉祥，幽濟熹父子，蔬食不給。
HCH_012_116_000123	父兄故侍從宮人多為所害，莫敢言。
HCH_012_116_000124	恭王宮中老媼走訴成祖，乃即獄中召晉府故承奉左微問之，盡得濟熿構濟熹狀。
HCH_012_116_000125	立命微馳召濟熹父子，濟熹幽空室已十年矣。
HCH_012_116_000126	左微者，故因濟熹牽連繫獄，或傳微死已久。
HCH_012_116_000127	及至，一府大驚。
HCH_012_116_000128	微入空室，釋濟熹父子，相抱持大慟。
HCH_012_116_000129	時帝北征，駐驛沙城，濟熹父子謁行在所。
HCH_012_116_000130	帝見濟熹病，惻然，封美圭平陽王，使奉父居平陽，予以恭王故連伯灘田。
HCH_012_116_000131	會帝崩，濟熿遂不與美圭田。
HCH_012_116_000132	仁宗連以書諭，卒不聽。
HCH_012_116_000133	又聞朝廷賜濟熹王者冠服及他賚予，益怨望。
HCH_012_116_000134	成祖、仁宗之崩，不為服，使寺人代臨，幕中廣致妖巫為詛咒不輟。
HCH_012_116_000135	宣宗即位，濟熿密遣人結高煦謀不軌，寧化王濟煥告變。
HCH_012_116_000136	比擒高煦，又得濟熿交通書，帝未之問也，而濟熿所遣使高煦人懼罪及，走京師首實。
HCH_012_116_000137	內使劉信等數十人告濟熿擅取屯糧十萬餘石，欲應高煦，並發其宮中詛咒事。
HCH_012_116_000138	濟煥亦至是始知嫡母被弒，馳奏。
HCH_012_116_000139	遣人察實，召至京，示以諸所發奸逆狀，廢為庶人，幽鳳陽。
HCH_012_116_000140	同謀官屬及諸巫悉論死。
HCH_012_116_000141	時宣德二年四月也。
HCH_012_116_000142	晉國絕封凡八年，至英宗即位之二月，乃進封美圭為晉王，還居太原。
HCH_012_116_000143	正統六年薨。
HCH_012_116_000144	子莊王鐘鉉嗣，弘治十五年薨。
HCH_012_116_000145	世子奇源及其子表榮皆前卒，表榮子端王知烊嗣。
HCH_012_116_000146	知烊七歲而孤，能盡哀，居母喪嘔血，芝生寢宮。
HCH_012_116_000147	嘉靖十二年薨。
HCH_012_116_000148	無子，再從子簡王新㙉嗣。
HCH_012_116_000149	新化王表槏、滎澤王表檈者，端王諸父也。
HCH_012_116_000150	表槏先卒，子知㸅嗣為新化王，亦前卒，二子新㙉、新墧。
HCH_012_116_000151	端王請新㙉嗣新化王，未封而端王薨，表檈謀攝府事。
HCH_012_116_000152	端王妃王氏曰：「王無後，次及新化王，新化父子卒，有孫新㙉在。」
HCH_012_116_000153	即召入府，拜几筵為喪主。
HCH_012_116_000154	表檈忿曰：「我尊行，顧不得王。」
HCH_012_116_000155	上疏言：「新㙉故新化王長子，不得為人後，新㙉宜嗣新化王，新墧宜嗣晉王。」
HCH_012_116_000156	禮部議新㙉宜嗣，是為簡王。
HCH_012_116_000157	新㙉母太妃尚氏嚴，教子以禮。
HCH_012_116_000158	太妃疾，新㙉叩頭露禱。
HCH_012_116_000159	長史有敷陳，輒拜受教。
HCH_012_116_000160	其老也，以弟鎮國將軍新橋子慎鏡攝籓事。
HCH_012_116_000161	萬歷三年薨，慎鏡亦卒。
HCH_012_116_000162	弟惠王慎鋷嗣，七年薨。
HCH_012_116_000163	子穆王敏淳嗣，三十八年薨，子求桂嗣。
HCH_012_116_000164	李自成陷山西，求桂與秦王存樞並為賊所執，入北京，不知所終。
HCH_012_116_000165	慶成王濟炫，晉恭王子。
