HCH_010_017_000150	詔渤海舊族有勛勞材力者敘用，餘分居來、隰、遷、潤等州。
HCH_010_017_000151	十二月乙巳，宋遣梅詢、王令傑來賀千齡節。
HCH_010_017_000152	漆水郡王耶律敵烈加尚父，烏古部節度使蕭普達為乙室部大王，尚書左僕射蕭琳為臨海軍節度使。
HCH_010_017_000153	十一年春正月己酉朔，如混同江。
HCH_010_017_000154	二月，如長春河。
HCH_010_017_000155	三月，上不豫。
HCH_010_017_000156	夏五月，大雨水，諸河橫流，皆失故道。
HCH_010_017_000157	六月丁丑朔，駐蹕大福河之北。
HCH_010_017_000158	己卯，帝崩於行宮，年六十一，在位四十九年。
HCH_010_017_000159	景福元年閏十月壬申，上尊謚曰文武大孝宣皇帝，廟號聖宗。
HCH_010_017_000160	贊曰：聖宗幼沖嗣位，政出慈闈。
HCH_010_017_000161	及宋人二道來攻，親禦甲胄，一舉而復燕、雲，破信、彬，再舉而躪河、朔，不亦偉歟！
HCH_010_017_000162	既而侈心一啟，佳兵不祥，東有茶、陀之敗，西有甘州之喪，此狃於常勝之過也。
HCH_010_017_000163	然其踐阼四十九年，理冤滯，舉才行，察貪殘，抑奢僭，錄死事之子孫，振諸部之貧乏，責迎合不忠之罪，卻高麗女樂之歸。
HCH_010_017_000164	遼之諸帝，在位長久，令名無窮，其唯聖宗乎！
HCH_010_017_000165	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
