HCH_010_024_000088	丁巳，以耶律頗德為北院樞密使，耶律巢哥南府宰相，劉筠南院樞密使，蕭撻不也兼知北院樞密使事，王績漢人行宮都部署，蕭酬斡國舅詳穩。
HCH_010_024_000089	乙丑，阻卜長來貢。
HCH_010_024_000090	丙子，以耶律慎思知右夷離畢事。
HCH_010_024_000091	秋七月甲午，如秋山。
HCH_010_024_000092	南京霖雨，沙河溢永清、歸義、新城、安次、武清、香河六縣，傷稼。
HCH_010_024_000093	九月庚寅，謁慶陵。
HCH_010_024_000094	丁未，駐蹕藕絲澱。
HCH_010_024_000095	大風雪，牛馬多死，賜扈從官以下衣馬有差。
HCH_010_024_000096	冬十月乙卯，詔化哥傅導梁王延禧，加金吾衛大將軍。
HCH_010_024_000097	丙子，謁乾陵。
HCH_010_024_000098	十一月壬午，以乙室大王蕭何葛為南院宣徽使。
HCH_010_024_000099	權知奚六部大王事圖趕為本部大王。
HCH_010_024_000100	十二月癸丑，烏古敵烈統軍使耶律馬五為北院大王。
HCH_010_024_000101	庚申，降皇后為惠妃，出居乾陵。
HCH_010_024_000102	九年春正月辛巳，如春水。
HCH_010_024_000103	夏四月丙午朔，大雪，平地丈餘，馬死者十六七。
HCH_010_024_000104	五月，如黑嶺。
HCH_010_024_000105	六月己未，駐蹕散水原。
HCH_010_024_000106	甲子，以耶律阿思為契丹行宮都部署，耶律慎思北院樞密副使。
HCH_010_024_000107	庚午，詔諸路檢括脫戶，罪至死者，原之。
HCH_010_024_000108	閏月丁丑，以漢人行宮副部署可汗奴為南院大王。
HCH_010_024_000109	戊寅，追謚庶人浚為昭懷太子。
HCH_010_024_000110	丁亥，阻卜來貢。
HCH_010_024_000111	己丑，以知興中府事邢熙年為漢人行宮都部署，漢人行宮都部署王績為南院樞密副使。
HCH_010_024_000112	秋七月乙巳，獵馬尾山。
HCH_010_024_000113	丁巳，謁慶陵。
HCH_010_024_000114	癸亥，禁外官部內貸錢取息及使者館於民家。
HCH_010_024_000115	八月，高麗王徽薨。
HCH_010_024_000116	九月癸卯朔，日有食之。
HCH_010_024_000117	己酉，射熊於白石山，加圍場使涅葛左金吾衛大將軍。
HCH_010_024_000118	己巳，以高麗王徽子三韓國公勛權知國事。
HCH_010_024_000119	辛未，五國部長來貢。
HCH_010_024_000120	壬申，召北、南樞密院官議政事。
HCH_010_024_000121	冬十月丁丑，謁觀德黔。
HCH_010_024_000122	己卯，南院樞密使劉筠薨。
HCH_010_024_000123	壬辰，混同郡王耶律乙辛謀亡入宋，伏誅。
HCH_010_024_000124	十一月丙午，進封梁王延禧為燕國王，大赦。
HCH_010_024_000125	以南院宣徽使蕭何葛為南府宰相，三司使王經參知政事兼知樞密事。
HCH_010_024_000126	甲寅，詔僧善知讎校高麗所進佛經，頒行之。
HCH_010_024_000127	己未，定諸令史、譯史遷敘等級。
HCH_010_024_000128	十二月丁亥，以邢熙年知南院樞密使事。
HCH_010_024_000129	辛卯，以王言敷為漢人行宮都部署。
HCH_010_024_000130	高麗三韓國公王勛薨。
HCH_010_024_000131	是年，御前放進士李君裕等五十一人。
HCH_010_024_000132	十年春正月辛丑朔，如春水。
HCH_010_024_000133	丙午，復建南京奉福寺浮圖。
HCH_010_024_000134	戊辰，如山榆澱。
HCH_010_024_000135	二月庚午朔，萌古國遣使來聘。
HCH_010_024_000136	三月戊申，遠萌古國遣使來聘。
HCH_010_024_000137	丁巳，命知制誥王師儒、牌印郎君耶律固傅導燕國王延禧。
HCH_010_024_000138	夏四月丁丑，女直貢良馬。
HCH_010_024_000139	五月壬戌，駐蹕散水原。
HCH_010_024_000140	乙丑，阻卜來貢。
HCH_010_024_000141	丙寅，降國舅詳穩班位在敞穩之下。
HCH_010_024_000142	六月壬辰，禁毀銅錢為器。
HCH_010_024_000143	秋七月甲辰，如黑嶺。
HCH_010_024_000144	九月癸亥，駐蹕藕絲澱。
HCH_010_024_000145	冬十二月乙未，改慶州大安軍曰興平。
HCH_010_024_000146	是月，改明年為大安，赦雜犯死罪以下。
HCH_010_024_000147	大安元年春正月丁酉，如混同江。
HCH_010_024_000148	癸卯，王績知南院樞密使事，邢熙年為中京留守。
HCH_010_024_000149	戊申，以樞密直學士杜公謂參知政事。
HCH_010_024_000150	庚戌，五國酋長來貢良馬。
HCH_010_024_000151	二月辛未，如山榆澱。
HCH_010_024_000152	夏四月乙酉，宋主頊殂，子煦嗣位，使來告哀。
HCH_010_024_000153	辛卯，西幸。
HCH_010_024_000154	六月戊辰，駐蹕拖古烈。
HCH_010_024_000155	壬申，以王績為南府宰相，蕭撻不也兼知南院樞密使事。
HCH_010_024_000156	丁丑，遣使吊祭於宋。
HCH_010_024_000157	戊寅，宋遣王真、甄佑等饋其先帝遺物。
HCH_010_024_000158	秋七月乙巳，遣使賀宋主即位。
HCH_010_024_000159	戊午，獵於赤山。
HCH_010_024_000160	八月丁卯，幸慶州。
HCH_010_024_000161	戊辰，謁慶陵。
HCH_010_024_000162	冬十月癸亥，駐蹕好草澱。
HCH_010_024_000163	戊辰，夏國王李秉常遣使報其母梁氏哀。
HCH_010_024_000164	甲申，以蕭撻不也為南院樞密使。
HCH_010_024_000165	十一月乙未，詔「比者外官因譽進秩，久而不調，民被其害。今後皆以資給遷轉。」
HCH_010_024_000166	丁酉，以南女直詳穩蕭袍裏為北府宰相。
HCH_010_024_000167	辛亥，史臣進太祖以下七帝《實錄》。
HCH_010_024_000168	丙辰，遣使冊三韓國公王勛弟運為高麗國王。
HCH_010_024_000169	己未，詔僧尼無故不得赴闕。
HCH_010_024_000170	十二月甲戌，宋遣蔡卞來謝吊祭。
HCH_010_024_000171	二年春正月辛卯，如混同江。
HCH_010_024_000172	己酉，五國諸部長來貢。
HCH_010_024_000173	癸丑，召權翰林學士趙孝嚴、知制誥王師儒等講《五經》大義。
HCH_010_024_000174	二月癸酉，駐蹕山榆澱。
HCH_010_024_000175	是月，太白犯歲星。
HCH_010_024_000176	三月乙酉，女直貢良馬。
HCH_010_024_000177	夏四月戊戌，北幸。
HCH_010_024_000178	癸丑，遣使加統軍使蕭訛都斡太子太保，裨將老古金吾衛大將軍，蕭雅哥靜江軍節度使，耶律燕奴右監門衛大將軍，仍賜賚諸軍士。
HCH_010_024_000179	五月丁巳朔，以牧馬蕃息多至百萬，賞群牧官，以次進階。
HCH_010_024_000180	乙亥，駐蹕納葛濼。
HCH_010_024_000181	戊寅，宰相梁穎出知興中府事。
HCH_010_024_000182	是月，放進士張轂等二十六人。
HCH_010_024_000183	六月丁亥朔，以左夷離畢耶律坦為惕隱，知樞密院事耶律斡特剌兼知左夷離畢事。
HCH_010_024_000184	丙申，阻卜來朝。
HCH_010_024_000185	癸卯，遣使按諸路獄。
HCH_010_024_000186	甲辰，以同知南京留守事耶律那也知右夷離畢事。
HCH_010_024_000187	乙巳，阻卜酋長余古赧及愛的來朝，詔燕國王延禧相結為友。
HCH_010_024_000188	戊申，以契丹行宮都部署耶律阿思兼知北院大王事。
HCH_010_024_000189	壬子，高墩以下、縣令、錄事兄弟及子，悉許敘用。
HCH_010_024_000190	秋七月丁巳，惠妃母燕國夫人削古以厭魅梁王事覺，伏誅，子蘭陵郡王蕭酬斡除名，置邊郡，仍隸興聖宮。
HCH_010_024_000191	戊午，獵沙嶺。
HCH_010_024_000192	甲子，賜興聖、積慶二宮貧民錢。
HCH_010_024_000193	乙酉，出粟振遼州貧民。
HCH_010_024_000194	八月戊子，以雪罷獵。
HCH_010_024_000195	九月庚午，還上京。
HCH_010_024_000196	壬申，發粟振上京、中京貧民。
HCH_010_024_000197	丙子，謁二儀、五鸞二殿。
HCH_010_024_000198	己卯，出太祖、太宗所禦鎧仗示燕國王延禧，諭以創業征伐之難。
HCH_010_024_000199	辛巳，召南府宰相議國政。
HCH_010_024_000200	冬十月乙酉朔，以樞密副使竇景庸知樞密院事。
HCH_010_024_000201	丙戌，五國部長來貢。
HCH_010_024_000202	丁亥，以夏國王李秉常薨，遣使詔其子乾順知國事。
HCH_010_024_000203	十一月甲戌，為燕國王延禧行再生禮，曲赦上京囚。
HCH_010_024_000204	戊寅，高麗遣使謝封冊。
HCH_010_024_000205	癸未，出粟振乾、顯、成、懿四州貧民。
HCH_010_024_000206	十二月辛卯，以蘭陵郡王蕭撻不也為南院樞密使。
HCH_010_024_000207	己亥，夏國王李乾順遣使上其父遺物。
HCH_010_024_000208	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
