HCH_009_013_000001	衛紹王諱永濟，小字興勝，更諱允濟，章宗時避顯宗諱，詔改「允」為「永」。
HCH_009_013_000002	世宗第七子，母曰元妃李氏。
HCH_009_013_000003	衛王長身，美髯鬚，天資儉約，不好華飾，大定十一年，封薛王。
HCH_009_013_000004	是歲，進封禭王。
HCH_009_013_000005	十七年，授世襲猛安。
HCH_009_013_000006	二十五年，加開府義同三司。
HCH_009_013_000007	二十六年，為秘書監。
HCH_009_013_000008	明年，轉刑部尚書。
HCH_009_013_000009	又明年，改殿前都點檢。
HCH_009_013_000010	二十九年，世宗崩，章宗即位，進封潞王。
HCH_009_013_000011	起複，判安武軍節度使。
HCH_009_013_000012	五月，至冀州，以到任表謝，賜詔優答。
HCH_009_013_000013	明昌二年，進封韓王。
HCH_009_013_000014	四年，改判興平軍。
HCH_009_013_000015	五年，改沁南軍。
HCH_009_013_000016	承安二年，改封衛王。
HCH_009_013_000017	三年，改昭義軍。
HCH_009_013_000018	泰和元年，改判彰德府事。
HCH_009_013_000019	五年，改判平陽府。
HCH_009_013_000020	初，章宗誅鄭王永蹈、趙王永中，久，頗悔之。
HCH_009_013_000021	七年，下詔追復舊封，仍賜諡。
HCH_009_013_000022	而永蹈無後，乃以衛王子按陳為鄭王後，賜衛王詔曰：「朕念鄭王自棄天常，以幹國憲，槁瘞曠野，忽諸不祀。歷歲既久，深用愴然。親親之情。有懷難置。已詔追復舊爵，改葬如儀。稽考古禮，以卿之子按陳為鄭王後，謹其祭祀，卿其悉之。」
HCH_009_013_000023	已而改武定軍節度使。
HCH_009_013_000024	八年十一月，自武定軍入朝。
HCH_009_013_000025	是時，章宗已感嗽疾，衛王且辭行，而章宗意留之。
HCH_009_013_000026	宗章初年，雅愛諸王，置王傳府尉官以傳導德義。
HCH_009_013_000027	及永中、永蹈之誅，由是疏忌宗室，遂以王傅府尉檢制王家，苛部嚴密，門戶出入皆有籍。
HCH_009_013_000028	而衛王乃永蹈母弟，柔弱鮮智能，故章宗愛之。
HCH_009_013_000029	既無繼嗣，而諸叔兄弟多在，章宗皆不肯立，惟欲立衛王，故於辭行留之。
HCH_009_013_000030	無何，章宗大漸，元妃李氏、黃門李新喜、平章政事完顏匡定策。
HCH_009_013_000031	章宗崩，匡等傳遣詔，立衛王。
HCH_009_013_000032	衛王固讓，乃承詔舉哀，即皇帝位於柩前。
HCH_009_013_000033	明日，群臣朝見于大安殿。
HCH_009_013_000034	詔路府州縣為大行皇帝服七日。
HCH_009_013_000035	大安元年正月辛丑，飛星如火。
HCH_009_013_000036	起天市垣，有尾，跡若赤龍。
HCH_009_013_000037	壬戌，改元，大赦。
HCH_009_013_000038	立元妃徒單氏為皇后。
HCH_009_013_000039	二月乙丑朔，太白晝見，經天。
HCH_009_013_000040	壬辰，章宗內人范氏損其遣腹，以詔內外。
HCH_009_013_000041	初，章宗遣詔：「內人有娠者兩人，生男則立為儲貳。」
HCH_009_013_000042	至是平章政事僕散端等奏：「承御賈氏當以十一月免乳，今則已出三月。范氏產期合在正月，醫稱胎氣有損，用藥調治，脈息雖和，胎形已失。范氏願削髮為尼。」
HCH_009_013_000043	封皇子六人為王。
HCH_009_013_000044	三月甲辰，道陵禮成，大赦。
HCH_009_013_000045	詔曰：「自今於朕名不連續，及昶、詠等字，不須別改。」
HCH_009_013_000046	以平章政事僕散端為右丞相。
HCH_009_013_000047	四月庚辰，殺章宗元妃李氏及承御賈氏。
HCH_009_013_000048	以平章政事完顏匡為尚書令。
HCH_009_013_000049	五月，高麗賀即位。
HCH_009_013_000050	試宏詞科。
HCH_009_013_000051	七月，幸海王莊，臨奠魯國公主。
HCH_009_013_000052	八月，萬秋節，宋遣使來賀。
HCH_009_013_000053	九月，如大房山，謁奠睿陵、裕陵、道陵。
HCH_009_013_000054	百官表請建儲，不允。
HCH_009_013_000055	十月，歲星犯左執法。
HCH_009_013_000056	己卯，詔戒勵風俗。
HCH_009_013_000057	十一月，平陽地震，有聲如雷，自西北來。
HCH_009_013_000058	十二月，詔平陽地震，人戶三人死者免租稅一年，二人及傷者免一年，貧民死者給葬錢五千，傷者三千。
