HCH_012_296_000026	成化間，則有神機營指揮方榮，大醫院生安陽郭本，順天舉人萬盛，順天東安昌樂訓導周尚文，武清柳芳，玉田李茂，無極李皚，開州任勉、陳璋、僉事侯英及弟侃、副使甘澤，贊皇劉哲，平山光祿署丞李傑，莘縣李誌及子忱，邢臺井澍，豐潤馬敬，柏鄉高明，定州竇文真、王達，平鄉張翺、史諫、史誼，永平秦良、朱輝，武平衛成綱、楊升，隆慶左衛衛瑾，宣府左衛何文玘，潼關衛千戶藍瑄，遼東定遼左衛劉定、東寧衛序班劉鼎，江寧福建參議盧雍，徐州吳友直、路車、張棟，山陽楊旻、順孫王钅宏，滁州黃正，長洲朱灝，無錫秦永孚、仲孚，合肥沈諲，六安黃用賢，沭陽支儉，休寧吳仲成，懷寧吳本清，沛縣蔡清，歸德衛沈忠，杭州右衛金洪，黃巖項茂，富陽何訥，浙江西安錦衣百戶鄭得，麗水葉伯廣，海寧董謙，浙江建德蔡廷茶，奉化陸洪，余幹桃源訓導張憲，永豐呂盛，晉江史惠，平谿汪浩，江夏傅實、周璽，監利劉祥，湘陰邵敏，東昌張銳，莘縣孔昭、趙全，恩縣王弘，汶上張鄜，堂邑王歡，陽谷錢道，單縣徐洲，聊城王安、孫良，歷城湖廣布政使王允，曹州黃表、張倫，臨清劉端，壽陽吳宗，潞州張倫，大同楊茂、楊瑞、焦鑒，渾源慶都縣丞王誠，高平李振民，平陽衛指揮僉事楊輔，安東中屯衛王經，許州何清，汜水張俊，信陽王綱、袁洪，汲縣張琛，封丘陳瑛，光州太平通判劉進，羅山王賓，衛輝徐寧，郟縣劉濟，西平尹冕，新鄉王興，確山劉政，長葛蒙陰訓導羅貴，陽武舉人蕭盛，弘農衛習潤，涇陽趙謐、駱森、趙遂，同州張鼎，洋縣武全，甘州左衛毛綱，華陰周祿，保安李端，合州陳伯剛，臨桂劉本，姚州土官高紫、潼賜。
HCH_012_296_000027	弘治間，則有大興錢福，宛平序班夏琮，青縣張俸，南和張彪，曲周趙象賢，長垣王鼐，開州甘潤、馬宗範，薊州孟振，遷安韓廷玉，元氏王懋，深州王寧，天津衛鄭海，武平衛王矩，廣寧右衛李周，霍丘徐汝楫，海州定邊衛經歷徐謐，邳州丁友，懷遠徐本忠、劉澄，宣城吳宗周，潁上王翊，鳳陽衛張全，鳳陽張欽、王澄，嘉定縣沈輔、沈呈，昆山徐協祥，豐縣周潭，徐州權宇、楊輔，績谿許欽，英山段弘仁，六安張時厚，蕭縣唐鸞、南傑，錢塘朱昌，仁和陳璋、璋妻錢氏，余姚黃濟之，桐廬王瑁，江西樂安謝紳，南昌左衛黃璉，安福劉珍，豐城余壽，湖廣寧鄉同知劉端，湘陰甘準，祁陽張機，閩縣高惟一，龍谿王彜，濟南序班谷珍，莘縣白溥，鄒平辛恕，堂邑李尚質，益都冀琮，文登致仕縣丞劉鑒，臨清王祐，寧海州卜懷，陵川徐河、徐瑛，平遙趙澄，澤州宋甫、裴春、舉人李用，興縣白好古，解州李錦，陽曲薛敬，榆次趙復性，屯留衛李清，儀封謝欽，祥符陳鎧、周府儀賓史經，西平張文佐，河南唐縣李擴，登封王祺，嵩縣杜端，裕州劉宗周，閿鄉薛璋，洛陽護衛軍余章瀚，鈞州陣希全，新鄭張遂，郟縣黃錦，鹹寧舉人楊時敷，涇陽熊玻、張憲，隴西李琦，甘州後衛徐行，博羅何宇新，雲南芮城李錦及子澤、澤子柄，太和楊謫仙，靖安陳伯瑄及子恩。
HCH_012_296_000028	正德間，則有高邑湘潭驛丞董玄，槁城劉強，定州趙鵬，吳橋段興，直隸新城李瑟，沙河王得時，青陽李希仁，永康歸德訓導應剛，進賢趙氏郡珍，宜春易直，善化陳大用，湘陰蘇純，侯官黃文會，邵武謝思，長山許嗣聰，聊城梁瑾，曲阜孔承夏，日照張旻，臨汾李大經及子承芳，新鄭王科，蒲城雷瑜，嵩明陳大韶。
HCH_012_296_000029	嘉靖以後，國史不詳載，姓名所可考者，嘉靖間，則有直隸趙進、黃流、張節，冀州王國臣，六安順孫李九疇，望江順孫龍湧，太湖呂腆，沛縣楊冕，潁上王敷政，華亭徐億，浙江龔曇、王晁、孫堪、樓階、丘敘、吳燧，江西余冠雄、曾柏，福建吳毓嘉、孫炳、丘子能，莆田舉人方重傑，山東宮守禮、王選，河南馮金玉、劉一魁，信陽趙謨，孝婦韓氏、安氏，杞縣邊雲鵡，陜西黃驥、張琛、李實，環縣趙璋，新會容，四川李應麒，嘉定州舉人王表，祿豐唐文炳、文蔚，蒙化舉人範運吉、黃巖。
HCH_012_296_000030	又有旌表天下孝子鮑燦、陸爻、徐億等，俱軼其鄉里。
HCH_012_296_000031	隆慶間，則有大興李彪，靜海周一念、周斐，遷安楊騰，松江舉人馮行可，新鄉張登元，興業何世錦，崇善何呈。
HCH_012_296_000032	萬歷間，則有直隸韓錫，深州林基，井陘張民望，清豐侯燦，河間吳應奎，平山舉人邢雲衢，邳州張縝，直隸華亭楊應祈、高承順，太湖顧槐，盱眙蔣臚，六安何金，遂安毛存元，江西余鑰、徐信，都昌曹珊，萬安劉靜，新建樊儆、舒泰，會昌歐於復，鄱陽李岐，奉新周勃，南昌曹必和，湖廣賈應進，光化蔡玉、蔡佩，黃岡唐治，浦城徐彪，泉州訓導王熺及熺子文升，晉江韋起宗，山東馬致遠，冠縣申一琴、一攀，嶽陽王應科，河南侯鶴齡，歸德賈洙，密縣陳邦寵，舞陽楊愈光，汜水王謙，淅川劉待徵，陜西劉燧，涇陽韓汝復，寧州周大賢，成都後衛楊茂勛，井研曾海，大姚金鯉，蒙化範潤，四川孝女解氏。
HCH_012_296_000033	又有馬錦、張浩、杜惠、孝女楊氏等，不詳邑裏。
HCH_012_296_000034	天啟間，則有安州邵桂，棗強先自正，晉州張蘭，高邑孫喬，上海張秉介，高淳葛至學，旌德江景宗，山陽張致中，歙縣吳榮讓、孝童女胡之憲、玉娥，慈谿馮象臨，吉水郭元達，宜春鐘名揚，峽江黃國賓，臨川傅合，萬載彭夢瑞，南康楊可幸，萬安羅應賫，江西樂安曹希和，安福孝婦王三重妻謝氏，孝感施文星，福建李躍龍，甌寧陳榮，晉江丘應賓，浦城吳昂，禹城給事中楊士衡，泰安範希賢，曹縣王治寧，曲阜孔弘傳，德州紀紹堯，聞喜張學孔，陳州郭一肖，虞城呂桂芳，淅川何大縉，華州孫繩祖，梁山李資孝，又有王錫光不詳邑裏。
HCH_012_296_000035	崇禎間，則有應天王之卿，故城李華先，仁和沈尚誌，江西王之範，福建吳宗烜，山東朱文龍，忻州趙裕心，稷山舉人史宗禹，淳化高起鳳，雲南趙文宿。
