HCH_011_049_000079	又奉敕與陸倕各制《新闕銘》，辭多不載。
HCH_011_049_000080	庾於陵字子介，散騎常侍黔婁之弟也。
HCH_011_049_000081	七歲能言玄理。
HCH_011_049_000082	旣長，清警博學有才思。
HCH_011_049_000083	齊隨王子隆爲荊州，召爲主簿，使與謝朓、宗夬抄撰羣書。
HCH_011_049_000084	子隆代還，又以爲送故主簿。
HCH_011_049_000085	子隆尋爲明帝所害，僚吏畏避，莫有至者，唯於陵與夬獨留，經理喪事。
HCH_011_049_000086	始安王遙光爲撫軍，引爲行參軍，兼記室。
HCH_011_049_000087	永元末，除東陽遂安令，爲民吏所稱。
HCH_011_049_000088	天監初，爲建康獄平，遷尚書工部郎，待詔文德殿。
HCH_011_049_000089	出爲湘州別駕，遷驃騎錄事參軍，兼中書通事舍人。
HCH_011_049_000090	俄領南郡邑中正，拜太子洗馬，舍人如故。
HCH_011_049_000091	舊事，東宮官屬，通爲清選，洗馬掌文翰，尤其清者。
HCH_011_049_000092	近世用人，皆取甲族有才望，時於陵與周捨並擢充職，高祖曰：「官以人而清，豈限以甲族。」
HCH_011_049_000093	時論以爲美。
HCH_011_049_000094	俄遷散騎侍郎，改領荊州大中正。
HCH_011_049_000095	累遷中書黃門侍郎，舍人、中正並如故。
HCH_011_049_000096	出爲宣毅晉安王長史、廣陵太守，行府州事，以公事免。
HCH_011_049_000097	復起爲通直郎，尋除鴻臚卿，復領荊州大中正。
HCH_011_049_000098	卒官，時年四十八。
HCH_011_049_000099	文集十卷。
HCH_011_049_000100	弟肩吾。
HCH_011_049_000101	肩吾字子慎。
HCH_011_049_000102	八歲能賦詩，特爲兄於陵所友愛。
HCH_011_049_000103	初爲晉安王國常侍，仍遷王宣惠府行參軍。
HCH_011_049_000104	自是每王徙鎮，肩吾常隨府。
HCH_011_049_000105	歷王府中郎、雲麾參軍，並兼記室參軍。
HCH_011_049_000106	中大通三年，王爲皇太子，兼東宮通事舍人，除安西湘東王錄事參軍，俄以本官領荊州大中正。
HCH_011_049_000107	累遷中錄事諮議參軍、太子率更令、中庶子。
HCH_011_049_000108	初，太宗在籓，雅好文章士，時肩吾與東海徐摛、吳郡陸杲、彭城劉遵、劉孝儀、儀弟孝威，同被賞接。
HCH_011_049_000109	及居東宮，又開文德省，置學士，肩吾子信、摛子陵、吳郡張長公、北地傅弘、東海鮑至等充其選。
HCH_011_049_000110	齊永明中，文士王融、謝朓、沈約文章始用四聲，以爲新變，至是轉拘聲韻，彌尚麗靡，復逾於往時。
HCH_011_049_000111	時太子與湘東王書論之曰：太清中，侯景寇陷京都；及太宗卽位，以肩吾爲度支尚書。
HCH_011_049_000112	時上流諸蕃，並據州拒景，景矯詔遣肩吾使江州，喻當陽公大心，大心尋舉州降賊。
HCH_011_049_000113	肩吾因逃入建昌界，久之，方得赴江陵，未幾卒。
HCH_011_049_000114	文集行於世。
HCH_011_049_000115	劉昭字宣卿，平原高唐人，晉太尉實九世孫也。
HCH_011_049_000116	祖伯龍，居父憂以孝聞，宋武帝敕皇太子諸王並往吊慰，官至少府卿。
HCH_011_049_000117	父彪，齊征虜晉安王記室。
HCH_011_049_000118	昭幼清警，七歲通《老》、《莊》義。
HCH_011_049_000119	旣長，勤學善屬文，外兄江淹早相稱賞。
HCH_011_049_000120	天監初，起家奉朝請，累遷征北行參軍、尚書倉部郎，尋除無錫令。
HCH_011_049_000121	曆爲宣惠豫章王、中軍臨川王記室。
HCH_011_049_000122	初，昭伯父肜集衆家《晉書》注干寶《晉紀》爲四十卷，至昭又集《後漢》同異以注范曄書，世稱博悉。
HCH_011_049_000123	遷通直郎，出爲剡令，卒官。
HCH_011_049_000124	《集注後漢》一百八十卷，《幼童傳》十卷，文集十卷。
HCH_011_049_000125	子縚，字言明。
HCH_011_049_000126	亦好學，通《三禮》。
HCH_011_049_000127	大同中，爲尚書祠部郎，尋去職，不復仕。
HCH_011_049_000128	縚弟緩，字含度，少知名。
HCH_011_049_000129	歷官安西湘東王記室，時西府盛集文學，緩居其首。
HCH_011_049_000130	除通直郎，俄遷鎮南湘東王中錄事，復隨府江州，卒。
HCH_011_049_000131	何遜字仲言，東海郯人也。
HCH_011_049_000132	曾祖承天，宋御史中丞。
HCH_011_049_000133	祖翼，員外郎。
HCH_011_049_000134	父詢，齊太尉中兵參軍。
HCH_011_049_000135	遜八歲能賦詩，弱冠，州舉秀才。
HCH_011_049_000136	南鄉范雲見其對策，大相稱賞，因結忘年交好。
HCH_011_049_000137	自是一文一詠，雲輒嗟賞，謂所親曰：「頃觀文人，質則過儒，麗則傷俗；其能含清濁，中今古，見之何生矣。」
HCH_011_049_000138	沈約亦愛其文，嘗謂遜曰：「吾每讀卿詩，一日三復，猶不能已。」
HCH_011_049_000139	其爲名流所稱如此。
HCH_011_049_000140	天監中，起家奉朝請，遷中衛建安王水曹行參軍，兼記室。
HCH_011_049_000141	王愛文學之士，日與遊讌，及遷江州，遜猶掌書記。
HCH_011_049_000142	還爲安西安成王參軍事，兼尚書水部郎，母憂去職。
HCH_011_049_000143	服闋，除仁威廬陵王記室，復隨府江州，未幾卒。
HCH_011_049_000144	東海王僧孺集其文爲八卷。
HCH_011_049_000145	初，遜文章與劉孝綽並見重於世，世謂之「何劉」。
HCH_011_049_000146	世祖著論論之云：「詩多而能者沈約，少而能者謝朓、何遜。」
HCH_011_049_000147	時有會稽虞騫，工爲五言詩，名與遜相埒，官至王國侍郎。
HCH_011_049_000148	其後又有會稽孔翁歸、濟陽江避，並爲南平王大司馬府記室。
HCH_011_049_000149	翁歸亦工爲詩，避博學有思理，更注《論語》《孝經》。
HCH_011_049_000150	二人並有文集。
HCH_011_049_000151	鍾嶸字仲偉，潁川長社人，晉侍中雅七世孫也。
HCH_011_049_000152	父蹈，齊中軍參軍。
HCH_011_049_000153	嶸與兄岏、弟嶼並好學，有思理。
HCH_011_049_000154	嶸，齊永明中爲國子生，明《周易》，衛軍王儉領祭酒，頗賞接之。
HCH_011_049_000155	舉本州秀才。
HCH_011_049_000156	起家王國侍郎，遷撫軍行參軍，出爲安國令。
HCH_011_049_000157	永元末，除司徒行參軍。
