HCH_012_274_000082	可法馳疏解，孔昭卒扼甡不用。
HCH_012_274_000083	可法祭二陵畢，上疏曰：「陛下踐阼初，祗謁孝陵，哭泣盡哀，道路感動。若躬謁二陵，親見泗、鳳蒿萊滿目，雞犬無聲，當益悲憤。願慎終如始，處深宮廣廈，則思東北諸陵魂魄之未安；享玉食大庖，則思東北諸陵麥飯之無展；膺圖受籙，則念先帝之集木馭朽，何以忽遘危亡；早朝晏罷，則念先帝之克儉克勤，何以卒隳大業。戰兢惕厲，無時怠荒，二祖列宗將默佑中興。若晏處東南，不思遠略，賢奸無辨，威斷不靈，老成投簪，豪傑裹足，祖宗怨恫，天命潛移，東南一隅未可保也。」
HCH_012_274_000084	王嘉答之。
HCH_012_274_000085	得功、澤清、傑爭欲駐揚州。
HCH_012_274_000086	傑先至，大殺掠，屍橫野。
HCH_012_274_000087	城中恟懼，登陴守，傑攻之浹月。
HCH_012_274_000088	澤清亦大掠淮上。
HCH_012_274_000089	臨淮不納良佐軍，亦被攻。
HCH_012_274_000090	朝命可法往解，得功、良佐、澤清皆聽命。
HCH_012_274_000091	乃詣傑。
HCH_012_274_000092	傑素憚可法，可法來，傑夜掘坎十百，埋暴骸。
HCH_012_274_000093	旦日朝可法帳中，辭色俱變，汗浹背。
HCH_012_274_000094	可法坦懷待之，接偏裨以溫語，傑大喜過望。
HCH_012_274_000095	然傑亦自是易可法，用己甲士防衛，文檄必取視而後行。
HCH_012_274_000096	可法夷然為具疏，屯其眾於瓜洲，傑又大喜。
HCH_012_274_000097	傑去，揚州以安，可法乃開府揚州。
HCH_012_274_000098	六月，大清兵擊敗賊李自成，自成棄京師西走。
HCH_012_274_000099	青州諸郡縣爭殺偽官，據城自保。
HCH_012_274_000100	可法請頒監國、登極二詔，慰山東、河北軍民心。
HCH_012_274_000101	開禮賢館，招四方才智，以監紀推官應廷吉領其事。
HCH_012_274_000102	八月出巡淮安，閱澤清士馬。
HCH_012_274_000103	返揚州，請餉為進取資。
HCH_012_274_000104	士英靳不發，可法疏趣之。
HCH_012_274_000105	因言：「邇者人才日耗，仕途日淆，由名心勝而實意不修，議論多而成功少。今事勢更非昔比，必專主討賊復仇。舍籌兵籌餉無議論，舍治兵治餉無人才。有摭拾浮談、巧營華要者，罰無赦！」
HCH_012_274_000106	王優詔答之。
HCH_012_274_000107	初，可法虞傑跋扈，駐得功儀真防之。
HCH_012_274_000108	九月朔，得功、傑構兵，曲在傑。
HCH_012_274_000109	賴可法調劑，事得解。
HCH_012_274_000110	北都降賊諸臣南還，可法言：「諸臣原籍北土者，宜令赴吏、兵二部錄用，否則恐絕其南歸之心。」
HCH_012_274_000111	又言：「北都之變，凡屬臣子皆有罪。在北者應從死，豈在南者非人臣？即臣可法謬典南樞，臣士英叨任鳳督，未能悉東南甲疾趨北援，鎮臣澤清、傑以兵力不支，折而南走。是首應重論者，臣等罪也。乃因聖明繼統，鈇鉞未加，恩榮疊被。而獨于在北諸臣毛舉而概繩之，豈散秩閑曹，責反重于南樞、鳳督哉。宜摘罪狀顯著者，重懲示儆。若偽命未汙，身被刑辱，可置勿問。其逃避北方、俳徊而後至者，許戴罪討賊，赴臣軍前酌用。」
HCH_012_274_000112	廷議並從之。
HCH_012_274_000113	傑居揚州，桀驁甚。
HCH_012_274_000114	可法開誠佈公，導以君臣大義。
HCH_012_274_000115	傑大感悟，奉約束。
HCH_012_274_000116	十月，傑帥師北征。
HCH_012_274_000117	可法赴清江浦，遣官屯田開封，為經略中原計。
HCH_012_274_000118	諸鎮分汛地，自王家營而北至宿遷，最沖要，可法自任之，築壘緣河南岸。
HCH_012_274_000119	十一月四日，舟次鶴鎮，諜報我大清兵入宿遷。
HCH_012_274_000120	可法進至白洋河，令總兵官劉肇基往援。
HCH_012_274_000121	大清兵還攻邳州，肇基復援之，相持半月而解。
HCH_012_274_000122	時自成既走陝西，猶未滅，可法請頒討賊詔書，言：自三月以來，大仇在目，一矢未加。
HCH_012_274_000123	昔晉之東也，其君臣日圖中原，而僅保江左；宋之南也，其君臣盡力楚、蜀，而僅保臨安。
HCH_012_274_000124	蓋偏安者，恢復之退步，未有志在偏安，而遽能自立者也。
HCH_012_274_000125	大變之初，黔黎灑泣，紳士悲哀，猶有朝氣。
HCH_012_274_000126	今則兵驕餉絀，文恬武嬉，頓成暮氣矣。
HCH_012_274_000127	河上之防，百未經理，人心不肅，威令不行。
HCH_012_274_000128	復仇之師不聞及關、陝，討賊之詔不聞達燕、齊。
HCH_012_274_000129	君父之仇，置諸膜外。
HCH_012_274_000130	夫我即卑宮菲食，嘗膽臥薪，聚才智精神，枕戈待旦，合方州物力，破釜沉舟，尚虞無救。
HCH_012_274_000131	以臣觀廟堂謀畫，百執事經營，殊未盡然。
HCH_012_274_000132	夫將所以能克敵者，氣也；君所以能禦將者，志也。
HCH_012_274_000133	廟堂志不奮，則行間氣不鼓。
HCH_012_274_000134	夏少康不忘出竇之辱，漢光武不忘爇薪之時。
HCH_012_274_000135	臣願陛下為少康、光武，不願左右在位，僅以晉元、宋高之說進也。
HCH_012_274_000136	先皇帝死于賊，恭皇帝亦死于賊，此千古未有之痛也。
HCH_012_274_000137	在北諸臣，死節者無多；在南諸臣，討賊者復少。
HCH_012_274_000138	此千古未有之恥也。
HCH_012_274_000139	庶民之家，父兄被殺，尚思穴胸斷脰，得而甘心，況在朝廷，顧可漠置。
HCH_012_274_000140	臣願陛下速發討賊之詔，責臣與諸鎮悉簡精銳，直指秦關，懸上爵以待有功，假便宜而責成效，絲綸之布，痛切淋漓，庶海內忠臣義士，聞而感憤也。
HCH_012_274_000141	國家遘此大變，陛下嗣登大寶，與先朝不同。
HCH_012_274_000142	諸臣但有罪之當誅，曾無功之足錄。
HCH_012_274_000143	今恩外加恩未已，武臣腰玉，名器濫觴。
HCH_012_274_000144	自後宜慎重，務以爵祿待有功，庶猛將武夫有所激厲。
HCH_012_274_000145	兵行最苦無糧，搜括既不可行，勸輸亦難為繼。
HCH_012_274_000146	請將不急之工程，可已之繁費，朝夕之燕衎，左右之進獻，一切報罷。
HCH_012_274_000147	即事關典禮，亦宜概從節省。
HCH_012_274_000148	蓋賊一日未滅，即有深宮曲房，錦衣玉食，豈能安享！
HCH_012_274_000149	必刻刻在復仇雪恥，振舉朝之精神，萃萬方之物力，盡並於送將練兵一事，庶人心可鼓，天意可回。
HCH_012_274_000150	可法每繕疏，迴圈諷誦，聲淚俱下，聞者無不感泣。
HCH_012_274_000151	比大清兵已下邳、宿，可法飛章報。
HCH_012_274_000152	士英謂人曰：「渠欲敘防河將士功耳。」
HCH_012_274_000153	慢弗省。
HCH_012_274_000154	而諸鎮逡巡無進師意，且數相攻。
HCH_012_274_000155	明年，是為大清順治之二年，正月，餉缺，諸軍皆饑。
HCH_012_274_000156	頃之，河上告警。
HCH_012_274_000157	詔良佐、得功率師扼潁、壽，傑進兵歸、徐。
HCH_012_274_000158	傑至睢州，為許定國所殺。
HCH_012_274_000159	部下兵大亂，屠睢旁近二百里殆盡。
HCH_012_274_000160	變聞，可法流涕頓足歎曰：「中原不可為矣。」
HCH_012_274_000161	遂如徐州，以總兵李本身為提督，統傑兵。
HCH_012_274_000162	本身者，傑甥也。
HCH_012_274_000163	以胡茂順為督師中軍，李成棟為徐州總兵，諸將各分地，又立傑子元爵為世子，請恤於朝。
HCH_012_274_000164	軍乃定。
HCH_012_274_000165	傑軍既還，於是大樑以南皆不守。
HCH_012_274_000166	土英忌可法威名，加故中允衛胤文兵部右侍郎，總督興平軍，以奪可法權。
HCH_012_274_000167	胤文，傑同鄉也，陷賊南還，傑請為己監軍。
HCH_012_274_000168	傑死，胤文承士英旨，疏誚可法。
HCH_012_274_000169	士英喜，故有是命，駐揚州。
HCH_012_274_000170	二月，可法還揚州。
HCH_012_274_000171	未至，得功來襲興平軍，城中大懼。
HCH_012_274_000172	可法遣官講解。
HCH_012_274_000173	乃引去。
HCH_012_274_000174	時大兵已取山東、河南北，逼淮南。
HCH_012_274_000175	四月朔，可法移軍駐泗州，護祖陵。
HCH_012_274_000176	將行，左良玉稱兵犯闕，召可法入援。
HCH_012_274_000177	渡江抵燕子磯，得功已敗良玉軍。
HCH_012_274_000178	可法乃趨天長，檄諸將救盱眙。
HCH_012_274_000179	俄報盱眙已降大清，泗州援將侯方岩全軍沒。
HCH_012_274_000180	可法一日夜奔還揚州。
HCH_012_274_000181	訛傳定國兵將至，殲高氏部曲。
HCH_012_274_000182	城中人悉斬關出，舟楫一空。
HCH_012_274_000183	可法檄各鎮兵，無一至者。
HCH_012_274_000184	二十日，大清兵大至，屯班竹園。
HCH_012_274_000185	明日，總兵李棲鳳、監軍副使高岐鳳拔營出降，城中勢益單。
HCH_012_274_000186	諸文武分陴拒守。
HCH_012_274_000187	舊城西門險要，可法自守之。
HCH_012_274_000188	作書寄母妻，且曰：「死葬我高皇帝陵側。」
HCH_012_274_000189	越二日，大清兵薄城下，砲擊城西北隅，城遂破。
HCH_012_274_000190	可法自刎不殊，一參將擁可法出小東門，遂被執。
HCH_012_274_000191	可法大呼曰：「我史督師也。」
HCH_012_274_000192	遂殺之。
HCH_012_274_000193	揚州知府任民育，同知曲從直、王纘爵，江都知縣周志畏、羅伏龍，兩淮鹽運使楊振熙，監餉知縣吳道正，江都縣丞王志端，賞功副將汪思誠，幕客盧渭等皆死。
HCH_012_274_000194	可法初以定策功加少保兼太子太保，以太后至加少傅兼太子太傅，敘江北戰功加少師兼太子太師，擒劇盜程繼孔功加太傅，皆力辭，不允。
HCH_012_274_000195	後以宮殿成，加太師，力辭，乃允。
HCH_012_274_000196	可法為督師，行不張蓋，食不重味，夏不箑，冬不裘，寢不解衣。
HCH_012_274_000197	年四十餘，無子，其妻欲置妾。
HCH_012_274_000198	太息曰：「王事方殷，敢為兒女計乎！」
HCH_012_274_000199	歲除遣文牒，至夜半，倦索酒。
HCH_012_274_000200	庖人報殽肉已分給將士，無可佐者，乃取鹽鼓下之。
HCH_012_274_000201	可法素善飲，數鬥不亂，在軍中絕飲。
HCH_012_274_000202	是夕，進數十觥，思先帝，泫然淚下，憑幾臥。
HCH_012_274_000203	比明，將士集轅門外，門不啟，左右遙語其故。
HCH_012_274_000204	知府民育曰：「相公此夕臥，不易得也。」
HCH_012_274_000205	命鼓人仍擊四鼓，戒左右毋驚相公。
HCH_012_274_000206	須臾，可法寤，聞鼓聲，大怒曰：「誰犯吾令！」
HCH_012_274_000207	將士述民育意，乃獲免。
HCH_012_274_000208	嘗孑處鈴閣或舟中，有言宜警備者，曰：「命在天。」
HCH_012_274_000209	可法死，覓其遺骸。
HCH_012_274_000210	天暑，眾屍蒸變，不可辯識。
HCH_012_274_000211	逾年，家人舉袍笏招魂，葬于揚州郭外之梅花領。
HCH_012_274_000212	其後四方弄兵者，多假其名號以行，故時謂可法不死雲。
HCH_012_274_000213	可法無子，遺命以副將史德威為之後。
HCH_012_274_000214	有弟可程，崇禎十六年進士。
HCH_012_274_000215	擢庶起士。
HCH_012_274_000216	京師陷，降賊。
HCH_012_274_000217	賊敗，南歸，可法請置之理。
HCH_012_274_000218	王以可法故，令養母。
HCH_012_274_000219	可程遂居南京，後流寓宜興，閱四十年而卒。
HCH_012_274_000220	任民育，字時澤，濟寧人。
HCH_012_274_000221	天啟中鄉舉，善騎射。
HCH_012_274_000222	真定巡撫徐標請於朝，用為贊畫，理屯事。
HCH_012_274_000223	真定失，南還。
HCH_012_274_000224	福王時，授亳州知州。
HCH_012_274_000225	以才擢揚州知府，可法倚之。
HCH_012_274_000226	城破，緋衣端坐堂上，遂見殺，闔家男婦盡赴井死。
HCH_012_274_000227	從直，遼東人，與其子死東門。
HCH_012_274_000228	纘爵，鄞人，工部尚書佐孫。
HCH_012_274_000229	志畏，亦鄞人，進士，年少好氣，數遭傑將士窘辱，求解職。
HCH_012_274_000230	會伏龍至，可法命代之。
HCH_012_274_000231	伏龍，新喻人。
HCH_012_274_000232	故梓潼知縣，受代甫三日。
HCH_012_274_000233	振熙，臨海人。
HCH_012_274_000234	道正，余姚人。
HCH_012_274_000235	志端，孝豐人。
HCH_012_274_000236	思誠，字純一，貴池人。
HCH_012_274_000237	渭，字渭生，長洲諸生，可法出鎮淮、揚，謂等伏闕上書，言：「秦檜在內，李綱居外，宋終北轅。」
HCH_012_274_000238	不納。
HCH_012_274_000239	居禮賢館久，可法才渭。
HCH_012_274_000240	渭方歲貢，當得官，不受職，而擬授昆山歸昭等二十餘人為通判、推官、知縣。
HCH_012_274_000241	甫二旬，城陷，渭監守鈔關，投於河。
HCH_012_274_000242	昭死西門，從死者十七人。
HCH_012_274_000243	時同守城死者，又有遵義知府何剛、庶起士吳爾壎。
HCH_012_274_000244	而揚州諸生殉養者，有高孝纘、王士琇、王纘、王績、王續等。
HCH_012_274_000245	又有武生戴之籓、醫者陳天拔、畫士陸愉、義兵張有德、市民馮應昌、舟子徐某，並自盡。
HCH_012_274_000246	他婦女死節者，不可勝紀。
HCH_012_274_000247	何剛，字愨人，上海人。
HCH_012_274_000248	崇禎三年舉於鄉。
HCH_012_274_000249	見海內大亂，慨然有濟世之志。
HCH_012_274_000250	交天下豪俊，與東陽許都善，語之曰：「子所居天下精兵處，盍練一旅以待用。」
HCH_012_274_000251	都諾而去。
HCH_012_274_000252	十七年正月，入都上書，言：「國家設制科，立資格，以約束天下豪傑。此所以弭亂，非所以戡亂也。今日救生民，匡君國，莫急於治兵。陛下誠簡強壯英敏之士，命知兵大臣教習之，講韜鈐，練筋骨，拓膽智，時召而試之。學成優其秩，寄以兵柄，必能建奇功。臣讀戚繼光書，繼光數言義烏、東陽兵可用。誠得召募數千，加之訓練，准繼光遺法，分佈河南郡縣，大寇可平。」
HCH_012_274_000253	因薦都及錢塘進士姚奇胤、桐城諸生周岐、陝西諸生劉湘客、絳州舉人韓霖。
HCH_012_274_000254	帝壯其言，即擢剛職方主事，募兵金華。
HCH_012_274_000255	而都作亂已前死，霖亦為賊用，剛不知，故並薦之。
HCH_012_274_000256	剛出都，都城陷，馳還南京。
HCH_012_274_000257	先是，賊逼京師，剛友陳子龍、夏允彝將聯海舟達天津，備緩急，募卒二千人，至是令剛統之。
HCH_012_274_000258	子龍入為兵科，言防江莫如水師，更乞廣行召募，委剛訓練，從之。
