HCH_013_035_000054	疏上，下錦衣獄鞫訊，體無完膚。
HCH_013_035_000055	御史鍾同先有言，故併逮之。
HCH_013_035_000056	以進士楊集為六安州知州。
HCH_013_035_000057	集上書于謙曰：「姦人黃𤣾進易儲之說，以迎合上意，本逃死之計耳。公等國家柱石，乃戀官僚之賞，而不思所以善後乎？脫章綸、鍾同死獄下，而公坐享崇高，如清議何！」
HCH_013_035_000058	謙以示王文，文曰：「書生不知朝廷法度，然有膽，當進一級處之。」
HCH_013_035_000059	進士選知州始此。
HCH_013_035_000060	謫給事中徐正戍鐵嶺衛。
HCH_013_035_000061	正密請召見便殿，屏左右言：「今日臣民有望上皇復位者，有望廢太子沂王嗣位者，陛下不可不慮。宜出沂王于沂州，增高南城數尺，伐去城邊高樹，宮門之鎖亦宜灌鐵，以備非常。」
HCH_013_035_000062	上怒，謫戍。
HCH_013_035_000063	御史高平亦言城南多樹，事叵測，遂盡伐之。
HCH_013_035_000064	時盛暑，上皇嘗倚樹憩息。
HCH_013_035_000065	及樹伐，得其故，大懼。
HCH_013_035_000066	復辟後，正、平皆伏誅。
HCH_013_035_000067	南京大理少卿廖莊上言：「宜篤親親之誼，時朝見上皇于南宮。上皇諸子，皇上之猶子也，亦宜令親近儒臣，以待皇嗣之生，使天下曉然知皇上公天下之心。」
HCH_013_035_000068	不報。
HCH_013_035_000069	六年八月，杖大理寺少卿廖莊、禮部郎中章綸、御史鍾同于闕。
HCH_013_035_000070	同死杖下，綸仍詔獄，謫莊定羌驛丞。
HCH_013_035_000071	先是，莊上疏忤旨。
HCH_013_035_000072	至是，赴京陛見，上念及，命杖之。
HCH_013_035_000073	英宗天順元年春正月壬午，武清侯石亨、副都御史徐有貞等迎上皇復位。
HCH_013_035_000074	先是，景帝不豫，以儲位未定，中外憂懼。
HCH_013_035_000075	兵部尚書于謙日與廷臣疏請立東宮，蓋謂復憲宗也。
HCH_013_035_000076	中外藉藉，謂大學士王文與太監王誠謀白太后，迎取襄王世子。
HCH_013_035_000077	十有一日，都御史蕭維楨同百官問安于左順門外，太監興安自內出，曰：「若皆朝廷大臣，不能為社稷計，徒問安耶？」
HCH_013_035_000078	即日，維楨集御史議曰：「今日興安之言，若皆達其意否？」
HCH_013_035_000079	眾曰：「皇儲一立，無他慮矣。」
HCH_013_035_000080	眾還，道作封事草，會稿于朝，眾謂：「上皇子宜復立。」
HCH_013_035_000081	惟王文意他有所屬。
HCH_013_035_000082	陳循知文意，獨不言。
HCH_013_035_000083	李賢以問蕭鎡，鎡曰：「既退不可再。」
HCH_013_035_000084	文遂對眾言曰：「今只請立東宮，安知朝廷之意在誰？」
HCH_013_035_000085	維楨因舉筆曰：「我更一字。」
HCH_013_035_000086	乃更「早建元良」為「早擇」。
HCH_013_035_000087	笑曰：「吾帶亦欲更也。」
HCH_013_035_000088	疏進，有「候十七日御朝」之旨。
HCH_013_035_000089	時武清侯石亨知景帝疾必不起，念請復立東宮，不如請太上皇復位，可得功賞。
HCH_013_035_000090	遂與都督張軏、太監曹吉祥以南城復辟謀，叩太常卿許彬，彬曰：「此社稷功也。彬老矣，無能為矣，盍圖之徐元玉。」
HCH_013_035_000091	元玉，徐有貞字也。
HCH_013_035_000092	初名珵，以己巳倡南遷議，朝廷［鄙］之，後更名有貞。
HCH_013_035_000093	亨、軏從其言，遂往來有貞家；有貞亦時時詣亨，人莫知也。
HCH_013_035_000094	是月十四日，夜會有貞宅，有貞曰：「太上皇帝昔者出狩，非以遊畋，為國家耳。況天下無離心，今天子置不問，乃紛紛外求何為也？如公所謀，南城亦知之乎？」
HCH_013_035_000095	亨、軏曰：「一日前已密達之。」
HCH_013_035_000096	有貞曰：「俟得審報乃可。」
HCH_013_035_000097	亨、軏去。
HCH_013_035_000098	至十六日，既暮，復會有貞，曰：「得報矣，計將安出？」
HCH_013_035_000099	有貞乃升屋，覽步乾象，亟下，曰：「事在今夕，不可失。」
HCH_013_035_000100	遂相與密語，人不聞。
HCH_013_035_000101	而是時會有邊吏報警，有貞曰：「宜乘此以備非常為名，納兵入大內，誰不可者！」
HCH_013_035_000102	亨、軏然之。
HCH_013_035_000103	計定，倉皇出。
HCH_013_035_000104	有貞焚香祝天，與家人訣，曰：「事成社稷之利，不成門戶之禍。歸，人；不歸，鬼矣。」
HCH_013_035_000105	遂與亨、軏往會吉祥及王驥、楊善、陳汝言，收諸門鑰。
HCH_013_035_000106	夜四鼓，開長安門，納兵千人，宿衛士驚愕不知所為。
HCH_013_035_000107	兵既入，有貞仍鎖門，取鑰投水竇中，曰：「萬一內外夾攻，事去矣！」
HCH_013_035_000108	亨、軏亦惟有貞處分，莫知所為。
HCH_013_035_000109	時天色晦冥，亨惶惑，叩有貞曰：「事當濟否？」
HCH_013_035_000110	有貞大言曰：「時至矣，勿退！」
HCH_013_035_000111	率眾薄南宮，門錮不可啟，扣之不應。
HCH_013_035_000112	俄聞城中隱隱開門聲，有貞命眾取巨木懸之，數十人舉之撞門。
HCH_013_035_000113	又令勇士踰垣入，與外兵合毀垣，垣壞門啟，亨、軏等入見。
HCH_013_035_000114	上皇燭下獨出，呼亨、軏曰：「爾等何為？」
HCH_013_035_000115	眾俯伏合辭云：「請陛下登位。」
HCH_013_035_000116	呼兵士舉轝至，兵士驚懼，不能舉，有貞等助挽之，掖上皇登轝以行。
HCH_013_035_000117	忽天色明霽，星月皎然。
HCH_013_035_000118	上皇顧問有貞等為誰，各自陳官職姓名。
HCH_013_035_000119	入大內，門者呵止之，上皇曰：「吾太上皇也。」
HCH_013_035_000120	門者不敢御。
HCH_013_035_000121	眾掖升奉天殿，武士以瓜擊有貞，上皇叱之，乃止。
HCH_013_035_000122	時黼座尚在殿隅，眾推之使中，遂升座，鳴鐘鼓，啟諸門。
HCH_013_035_000123	是日，百官入候景帝視朝。
HCH_013_035_000124	既入，見南城，暨殿上呼譟聲，尚不知故。
HCH_013_035_000125	有貞號于眾曰：「上皇復辟矣！趣入賀。」
HCH_013_035_000126	百官震駴，乃就班賀。
HCH_013_035_000127	上皇宣諭之，眾始定。
HCH_013_035_000128	景帝聞鐘鼓聲，大驚，問左右曰：「于謙耶？」
HCH_013_035_000129	既知為上皇，連聲曰：「好，好。」
HCH_013_035_000130	明日，上皇臨朝，謂諸臣曰：「弟昨日食粥，頗無恙。」
HCH_013_035_000131	詔逮少保于謙、王文，學士陳循、蕭鎡、商輅，尚書俞士悅、江淵，都督范廣，太監王誠、舒良、王勤、張玉下獄。
HCH_013_035_000132	命副都御史徐有貞以本官兼翰林院學士直內閣，典機務，尋晉兵部尚書，兼職如故。
HCH_013_035_000133	出前禮部郎中章綸于獄，擢禮部侍郎。
HCH_013_035_000134	上以綸建議復儲，出之獄，喜嘆良久，遂有是擢。
HCH_013_035_000135	丁亥，殺少保兵部尚書于謙于市。
HCH_013_035_000136	先是，己巳城下之役，石亨功不如謙，而得侯爵，心媿之，乃推謙功，詔予一子千戶。
HCH_013_035_000137	謙固辭，且曰：「縱臣欲為子求官，自當乞恩于君父，何必假手于石亨！」
HCH_013_035_000138	亨聞恚甚。
HCH_013_035_000139	亨從子彪貪暴，謙奏出之大同，亨益啣之。
HCH_013_035_000140	徐有貞者，常因謙求祭酒，景帝召謙，辟左右諭之曰：「有貞雖有才，然奸邪。」
HCH_013_035_000141	謙頓首退。
HCH_013_035_000142	有貞不知，亦恨謙。
HCH_013_035_000143	方上之復辟也，有貞嗾言官以迎立外藩議，劾王文，且誣謙，下獄。
HCH_013_035_000144	所司勘之無驗，金牌符檄見在禁中。
HCH_013_035_000145	有貞曰：「雖無顯跡，意有之。」
HCH_013_035_000146	法司蕭維楨等阿亨輩，乃以「意欲」二字成獄。
HCH_013_035_000147	文憤怒，目如炬，辯不已。
HCH_013_035_000148	謙顧笑曰：「辯生耶？無庸。彼不論事有無，直死我耳！」
HCH_013_035_000149	獄具，上猶豫未忍，曰：「于謙曾有功。」
HCH_013_035_000150	有貞直前曰：「不殺于謙，今日之事無名。」
HCH_013_035_000151	上意乃決，遂與王文及太監舒良、王誠、張永、王勤斬東市，妻子戍邊徼。
HCH_013_035_000152	謙有再造功。
HCH_013_035_000153	上北狩，廷臣間主和，謙輒曰：「社稷為重，君為輕。」
HCH_013_035_000154	以故也先抱空質，上得還，然謙禍機亦萌此矣。
HCH_013_035_000155	景帝嘗賜謙甲第，謙頓首曰：「去病豎子，尚知此意，臣獨何人，而敢饕此！」
HCH_013_035_000156	不許。
HCH_013_035_000157	乃置上前後所賜璽書、袍鎧、弓劒、冠帶之屬于堂，而加封識，歲時一謹視。
HCH_013_035_000158	謙以國家多事，寓直房不歸家。
HCH_013_035_000159	謙與中貴曹吉祥等共兵事，氣陵之，故小人無不憾謙者。
HCH_013_035_000160	謙既死，籍其家，無餘貲，蕭然僅書籍耳。
HCH_013_035_000161	而正室鎖鑰甚固，則皆上賜也。
HCH_013_035_000162	謙死之日，陰霾翳天，行路嗟嘆。
HCH_013_035_000163	吉祥麾下指揮朶耳者，以觴醻地而慟，吉祥恚朴之，明日復醻慟如故。
HCH_013_035_000164	天下無不寃之。
HCH_013_035_000165	都督范廣勇而知義，為謙所任，亨惡之，并斬廣。
HCH_013_035_000166	論迎復功，封武清侯石亨為忠國公，都督張軏為太平侯，張輗為文安侯，都御史楊善為興濟伯。
HCH_013_035_000167	石彪封定遠伯，充大同副總兵。
HCH_013_035_000168	以袁彬為錦衣衛指揮僉事。
HCH_013_035_000169	奪大同總兵郭登定襄伯，以為南京都督僉事。
HCH_013_035_000170	召廖莊于定羌驛，賜還官。
HCH_013_035_000171	贈故御史鍾同大理左寺丞，諡恭愍，廕其子入太學。
HCH_013_035_000172	二月乙未朔，皇太后誥諭，廢景泰帝仍為郕王，歸西宮，廢皇后汪氏仍為郕王妃。
HCH_013_035_000173	欽天監奏革除景泰年號，上曰：「朕心有所不忍，可仍舊書之。」
HCH_013_035_000174	郕王薨，祭葬禮悉如親王，諡曰戾。
HCH_013_035_000175	妃嬪唐氏等賜帛自盡，以殉葬。
HCH_013_035_000176	命汪妃出居舊王府。
HCH_013_035_000177	先是，景帝即位，立妃為皇后，后無子，有二女，次妃杭氏生見濟。
HCH_013_035_000178	景帝廢立時，后泣諫以為不可。
HCH_013_035_000179	景帝竟立見濟，而以杭氏為皇后。
HCH_013_035_000180	以后諫，故幽之宮中。
HCH_013_035_000181	至是，上以郕王薨，欲令妃殉葬。
HCH_013_035_000182	大學士李賢曰：「汪妃雖立為后，即遭廢棄，與兩女度日，若令隨去，情所不堪。況幼女無依，尤可矜憫。」
HCH_013_035_000183	上惻然曰：「卿言是。朕以為弟婦少，不宜存內，初不計其母子之命。」
HCH_013_035_000184	而皇太子雅知妃不欲廢立意，事之甚恭，遂得出舊府。
HCH_013_035_000185	太子又時時護持之，悉得挾貲屬外，二女育宮中如故，由是母子得全。
HCH_013_035_000186	三月，封直內閣兵部尚書徐有貞為武功伯，兼華蓋殿大學士，掌文淵閣事。
HCH_013_035_000187	初，于謙之獄，中外咸側目有貞，而有貞意殊自得，請于石亨曰：「願得冠側注而從兄後。」
HCH_013_035_000188	石亨為言之上，上曰：「為我語有貞，但戮力，不患不封也。」
HCH_013_035_000189	居旬日，亨復言，上乃下詔封之。
HCH_013_035_000190	歲支祿一千一百石，子孫世錦衣指揮使，賜貂蟬冠玉帶。
HCH_013_035_000191	旬月之間，恩賜赫奕，與石亨、張軏埒。
HCH_013_035_000192	夏四月，復立元子見深為皇太子。
HCH_013_035_000193	襄王瞻墡來朝。
HCH_013_035_000194	先是，土木之變，王兩上疏慰安皇太后，乞命皇太子居攝天位。
HCH_013_035_000195	急發府庫，募勇敢之士，務圖迎復。
HCH_013_035_000196	仍乞訓諭郕王，盡心輔政。
HCH_013_035_000197	疏上，景帝已立八日矣。
HCH_013_035_000198	至是，得疏宮中，上覽之感嘆，手敕取王入朝，禮待甚隆。
HCH_013_035_000199	王辭歸，上送至午門，王伏地不起，上曰：「叔父欲何言？」
HCH_013_035_000200	王頓首曰：「萬方望治如饑渴，願皇上省刑薄歛。」
HCH_013_035_000201	上拱手謝曰：「敬受教。」
HCH_013_035_000202	六月，逮徐有貞下獄。
HCH_013_035_000203	曹吉祥、石亨憾有貞，嗾諸閹巧詆，數為險語觸上，上殊不為動。
HCH_013_035_000204	錦衣官門達復劾其阿比，排陷石亨。
HCH_013_035_000205	詔執鞫之，降廣東參政。
HCH_013_035_000206	既有以飛章謗國是者，其語復多侵亨、吉祥，于是復訴上謂有貞實主使。
HCH_013_035_000207	逮歸置獄，窮極鍛鍊無所得，摘其誥詞「纘禹神功」語，為所自草，大不敬，無人臣禮，當死。
HCH_013_035_000208	以雷震奉天門，宥為黔首，謫戍雲南金齒。
HCH_013_035_000209	有貞去，而曹、石日益專橫矣。
