HCH_010_023_000095	二月戊子，振黃龍府饑。
HCH_010_023_000096	癸丑，南京路饑，免租稅一年。
HCH_010_023_000097	三月辛酉，皇太后崩。
HCH_010_023_000098	壬戌，遣殿前副點檢耶律轄古報哀於宋。
HCH_010_023_000099	癸亥，遣使報哀於高麗、夏國。
HCH_010_023_000100	丁卯，大赦。
HCH_010_023_000101	戊寅，以皇太后遺物遣使遺宋、夏。
HCH_010_023_000102	夏六月乙酉朔，上大行皇太后尊謚曰仁懿皇后。
HCH_010_023_000103	戊子，宋及高麗、夏國各遣使吊祭。
HCH_010_023_000104	甲午，葬仁懿皇后於慶陵。
HCH_010_023_000105	己亥，駐蹕拖古烈。
HCH_010_023_000106	壬寅，出北院樞密使魏王耶律乙辛為中京留守。
HCH_010_023_000107	丁未，冊皇后蕭氏，封其父祗候郎君鱉裏剌為趙王，叔西北路招討使餘里也遼西郡王，兄漢人行宮都部署、駙馬都慰霞抹柳城郡王，參知政事楊遵勖知南院樞密使事，北院樞密使副蕭速撒知北院樞密使事，漢人行宮副部署劉詵參知政事。
HCH_010_023_000108	己酉，南府宰相趙徽致仕。
HCH_010_023_000109	秋七月戊辰，如秋山。
HCH_010_023_000110	癸酉，柳城郡王霞抹薨。
HCH_010_023_000111	八月庚寅，獵，遇麛失其母，憫之，不射。
HCH_010_023_000112	九月戊午，以南京蝗，免明年租稅。
HCH_010_023_000113	己卯，駐蹕藕絲澱。
HCH_010_023_000114	冬十月戊戌，召中京留守魏王耶律乙辛復為北院樞密使。
HCH_010_023_000115	十一月甲戌，上欲觀《起居註》，修註郎不攧及忽突堇等不進，各杖二百，罷之。
HCH_010_023_000116	流林牙蕭巖壽於烏隗部。
HCH_010_023_000117	是月，南京地震，民舍多壞。
HCH_010_023_000118	十二月己丑，以左夷離畢蕭撻不也為南京統軍使。
HCH_010_023_000119	三年春正月癸丑，如混同江。
HCH_010_023_000120	乙卯，省諸道春貢金帛，及停周歲所輸尚方銀。
HCH_010_023_000121	二月壬午朔，東北路統軍使蕭韓家奴加尚父，封吳王。
HCH_010_023_000122	甲申，詔北院樞密使魏王耶律乙辛同母兄大奴、同母弟阿思世預北、南院樞密之選，其異母諸弟世預夷離堇之選。
HCH_010_023_000123	己丑，如魚兒濼。
HCH_010_023_000124	辛卯，中京饑，罷巡幸。
HCH_010_023_000125	夏四月乙酉，泛舟黑龍江。
HCH_010_023_000126	五月丙辰，玉田、安次蝝，傷稼。
HCH_010_023_000127	癸亥，日中有黑子。
HCH_010_023_000128	己巳，駐蹕犢山。
HCH_010_023_000129	乙亥，北院樞密使耶律乙辛奏，右護衛太保查剌等告知北院樞密使事蕭速撒等八人謀立皇太子，上以無狀，不治，出速撒等三人補外，護衛撒撥等六人各鞭百餘，徙於邊。
HCH_010_023_000130	丙子，以西北路招討使遼西郡王蕭餘里也為北府宰相，兼知契丹行宮都部署事。
HCH_010_023_000131	戊寅，詔告謀逆事者，重加官賞。
HCH_010_023_000132	六月己卯朔，耶律乙辛令牌印郎君蕭訛都斡誣首嘗預速撒等謀，籍其姓名以告。
HCH_010_023_000133	即命乙辛及耶律仲禧、蕭餘里也、耶律孝傑、楊遵勖、燕哥、抄只、蕭十三等鞫治，杖皇太子，囚之宮中。
HCH_010_023_000134	辛巳，殺宿直官敵裏剌等三人。
HCH_010_023_000135	壬午，殺宣徽使撻不也等二人。
HCH_010_023_000136	癸未，殺始平軍節度使撒剌等十人，又遣使殺上京留守速撒，及已徙護衛撒撥等六人。
HCH_010_023_000137	乙酉，殺耶律撻不也及其弟陳留。
HCH_010_023_000138	丙戌，廢皇太子為庶人，囚之上京。
HCH_010_023_000139	己丑，回鶻來貢。
HCH_010_023_000140	殺東京留守同知耶律回裏不。
HCH_010_023_000141	辛卯，殺速撒等諸子，籍其家。
HCH_010_023_000142	戊申，遣使按五京諸道獄。
HCH_010_023_000143	秋七月辛亥，護衛太保查剌加鎮國大將軍，預突呂不部節度使之選，室韋查剌及蕭寶神奴、謀魯古並加左衛大將軍，牌印郎君訛都斡尚皇女趙國公主，授駙馬都尉、始平軍節度使，祗候郎君耶律撻不也及蕭圖古辭並加監門衛上將軍。
HCH_010_023_000144	壬子，知北院樞密副使蕭韓家奴為漢人行宮都部署。
HCH_010_023_000145	乙丑，如秋山。
HCH_010_023_000146	丁丑，謁慶陵。
HCH_010_023_000147	八月庚寅，漢人行宮都部署蕭韓家奴薨。
HCH_010_023_000148	辛丑，謁慶陵。
HCH_010_023_000149	九月癸亥，玉田貢嘉禾。
HCH_010_023_000150	壬申，修乾陵廟。
HCH_010_023_000151	冬十月辛丑，駐蹕藕絲澱。
HCH_010_023_000152	十一月，北院樞密使耶律乙辛遣其私人盜殺庶人浚於上京。
HCH_010_023_000153	閏十二月戊午，以北府宰相遼西郡王蕭餘里也知北院樞密使事，左夷離畢耶律燕哥為契丹行宮都部署。
HCH_010_023_000154	丙寅，預行正旦禮。
HCH_010_023_000155	是歲，南京大熟。
HCH_010_023_000156	四年春正月庚辰，如春水。
HCH_010_023_000157	甲午，振東京饑。
HCH_010_023_000158	二月乙丑，駐蹕掃獲野。
HCH_010_023_000159	戊辰，以東路統軍使耶律王九為惕隱。
HCH_010_023_000160	夏四月辛亥，高麗遣使乞賜鴨淥江以東地，不許。
HCH_010_023_000161	五月丙戌，駐蹕散水原。
HCH_010_023_000162	六月甲寅，阻卜諸酋長進良馬。
HCH_010_023_000163	秋七月甲戌，諸路奏飯僧尼三十六萬。
HCH_010_023_000164	八月癸卯，詔有司決滯獄。
HCH_010_023_000165	九月乙未，駐蹕藕絲澱。
HCH_010_023_000166	庚子，五國部長來貢。
HCH_010_023_000167	冬十月癸卯，以參知政事劉伸為保靜軍節度使。
HCH_010_023_000168	十一月丁亥，禁士庶服用錦綺、日月、山龍之文。
HCH_010_023_000169	己丑，回鶻遣使來貢。
HCH_010_023_000170	庚寅，南院樞密使耶律仲禧為廣德軍節度使。
HCH_010_023_000171	辛卯，錦州民張寶四世同居，命諸子三班院祗候。
HCH_010_023_000172	十二月丁卯，以北院樞密副使耶律霂知北院樞密使事。
HCH_010_023_000173	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
