HCH_012_171_000086	初，寧夏備邊軍，半歲一更。
HCH_012_171_000087	後邊事亟，三年乃更。
HCH_012_171_000088	軍士日久疲罷，又益選軍余防冬，家有五六人在邊者，軍用重困。
HCH_012_171_000089	驥請歲一更，當代者以十月至，而代者留至來年正月乃遣歸，邊備足而軍不勞。
HCH_012_171_000090	帝善其議，行之諸邊。
HCH_012_171_000091	當是時，緬人已以思任發來獻，而思機發竊駐孟養地，屢遣使入貢謝罪。
HCH_012_171_000092	中外咸願罷兵。
HCH_012_171_000093	振意終未慊，要思機發躬入朝謝。
HCH_012_171_000094	沐斌帥師至金沙江招之，不至。
HCH_012_171_000095	諭孟養執之以獻，亦不聽命。
HCH_012_171_000096	於是振怒，欲盡滅其種類。
HCH_012_171_000097	十三年春復命驥總督軍務，宮聚為平蠻將軍，帥師十五萬人往。
HCH_012_171_000098	明年造舟浮金沙江，蠻人柵西岸拒守。
HCH_012_171_000099	官軍聯舟為浮橋以濟，拔其柵，進破鬼哭山，連下十餘寨，墜溺死者無算。
HCH_012_171_000100	而思機發終脫去，不可得。
HCH_012_171_000101	是時，官軍逾孟養。
HCH_012_171_000102	至孟𨚗海。
HCH_012_171_000103	地在金沙江西，去麓川千里，自古兵力所不至，諸蠻見大軍皆震怖。
HCH_012_171_000104	而大軍遠涉，驥慮饋餉不繼，亟謀引還。
HCH_012_171_000105	時思機發雖遁匿，而思任發少子思陸復擁眾據孟養。
HCH_012_171_000106	驥度賊終不可滅，乃與思陸約，立石表，誓金沙江上，曰：「石爛江枯，爾乃得渡。」
HCH_012_171_000107	遂班師。
HCH_012_171_000108	驥凡三征麓川，卒不得思機發。
HCH_012_171_000109	議者咎驥等老師費財，以一隅騷動天下。
