HCH_009_129_000070	海陵獵於途你山，次於鐸瓦，酹天而拜，謂群臣曰：「朕幼時習射，至一門下，默祝曰：'若我異日大貴，當使一矢橫加門脊上。'及射，果橫加門脊上。後為中京留守，嘗大獵於此地，圍未合，禱曰：'我若有大位，百步之內當獲三鹿。若止為公相，獲一而已。'於是不及百步連獲三鹿。又祝曰：'若統一海內，當複獲一大鹿。'於是果獲一大鹿。此事嘗與蕭裕言之，朕今複至此地，故拜奠焉。」
HCH_009_129_000071	海陵意欲取江南，故先設禨祥以諷群臣，是以仲軻每先逢其意，導之南伐。
HCH_009_129_000072	貞元二年正月，宋賀正旦使施巨朝辭，海陵使左宣徽使敬嗣暉問施巨曰：「宋國幾科取士？」
HCH_009_129_000073	對曰：「詩賦、經義、策論兼行。」
HCH_009_129_000074	又問：「秦檜作何官，年今幾何？」
HCH_009_129_000075	對曰：「檜為尚書左僕射中書門下平章事，年六十五矣。」
HCH_009_129_000076	複謂之曰：「我聞秦檜賢，故問之。」
HCH_009_129_000077	正隆二年，仲軻為左諫議大夫，修起居注，但食諫議俸，不得言事。
HCH_009_129_000078	三年正月，宋賀正使孫道夫陛辭，海陵使左宣徽使敬嗣暉諭之曰：「歸白爾帝，事我上國多有不誠，今略舉二事：爾民有逃入我境者，邊吏皆即發還，我民有逃叛入爾境者，有司索之往往託辭不發，一也。爾於沿邊盜買鞍馬，備戰陣，二也。且馬待人而後可用，如無其人，得馬百萬亦奚以為？我亦豈能無備。且我不取爾國則已，如欲取之，固非難事。我聞接納叛亡、盜買鞍馬，皆爾國楊太尉所為，常因俘獲問知其人，無能為者也。」
HCH_009_129_000079	又曰：「聞秦檜已死，果否？」
HCH_009_129_000080	道夫對曰：「檜實死矣，陪臣亦檜所薦用者。」
HCH_009_129_000081	又曰：「爾國比來行事，殊不似秦檜時何也？」
HCH_009_129_000082	道夫曰：「容陪臣還國，一一具聞宋帝。」
HCH_009_129_000083	海陵蓋欲南伐，故先設納叛亡、盜買馬二事，而雜以他辭言之。
HCH_009_129_000084	海陵召仲軻、右補闕馬欽、校書郎田與信、直長習失入便殿侍坐。
HCH_009_129_000085	海陵與仲軻論《漢書》，謂仲軻曰：「漢之封疆不過七八千里，今吾國幅員萬里，可謂大矣。」
HCH_009_129_000086	仲軻曰：「本朝疆土雖大，而天下有四主，南有宋，東有高麗，西有夏，若能一之，乃為大耳。」
HCH_009_129_000087	海陵曰：「彼且何罪而伐之？」
HCH_009_129_000088	仲軻曰：「臣聞宋人買馬修器械，招納山東叛亡，豈得為無罪？」
