HCH_011_037_000082	中大同元年三月，高祖幸同泰寺講《金字三慧經》，敬容請預聽，敕許之。
HCH_011_037_000083	又有敕聽朔望問訊。
HCH_011_037_000084	尋起爲金紫光祿大夫，未拜，又加侍中。
HCH_011_037_000085	敬容舊時賓客門生喧嘩如昔，冀其復用。
HCH_011_037_000086	會稽謝鬱致書戒之曰：「草萊之人，聞諸道路，君侯已得瞻望朝夕，出入禁門，醉尉將不敢呵，灰然不無其漸，甚休，甚休！敢賀於前，又將吊也。昔流言裁作，公旦東奔；燕書始來，子孟不入。夫聖賢被虛過以自斥，未有嬰時釁而求親者也。且曝鰓之鱗，不念杯杓之水；雲霄之翼，豈顧籠樊之糧。何者？所托已盛也。昔君侯納言加首，鳴玉在腰，回豊貂以步文昌，聳高蟬而趨武帳，可謂盛矣。不以此時薦才拔士，少報聖主之恩；今卒如爰絲之說，受責見過，方復欲更窺朝廷，觖望萬分，竊不爲左右取也。昔竇嬰、楊惲亦得罪明時，不能謝絕賓客，猶交黨援，卒無後福，終益前禍。僕之所吊，實在於斯。人人所以頗猶有踵君侯之門者，未必皆感惠懷仁，有灌夫、任安之義，乃戒翟公之大署，冀君侯之復用也。夫在思過之日，而挾復用之意，未可爲智者說矣。君侯宜杜門念失，無有所通，築茅茨于鐘阜，聊優遊以卒歲，見可憐之意，著待終之情。復仲尼能改之言，惟子貢更也之譬，少戢言於衆口，微自救於竹帛，所謂『失之東隅，收之桑榆』。如此，令明主聞知，尚有冀也。僕東皋鄙人，入穴幸無銜窶，恥天下之士不爲執事道之，故披肝膽，示情素，君侯豈能鑒焉。」
HCH_011_037_000087	太清元年，遷太子詹事，侍中如故。
HCH_011_037_000088	二年，侯景襲京師，敬容自府移家臺內。
HCH_011_037_000089	初，景于渦陽退敗，未得審實，傳者乃云其將暴顯反，景身與衆並沒，朝廷以爲憂。
HCH_011_037_000090	敬容尋見東宮，太宗謂曰：「淮北始更有信，侯景定得身免，不如所傳。」
HCH_011_037_000091	敬容對曰：「得景遂死，深是朝廷之福。」
HCH_011_037_000092	太宗失色，問其故。
HCH_011_037_000093	敬容曰：「景翻覆叛臣，終當亂國。」
HCH_011_037_000094	是年，太宗頻於玄圃自講《老》《莊》二書，學士吳孜時寄詹事府，每日入聽。
HCH_011_037_000095	敬容謂孜曰：「昔晉代喪亂，頗由祖尚玄虛，胡賊殄覆中夏。今東宮復襲此，殆非人事，其將爲戎乎？」
HCH_011_037_000096	俄而侯景難作，其言有徵也。
HCH_011_037_000097	三年正月，敬容卒于圍內，詔贈仁威將軍，本官並如故。
HCH_011_037_000098	何氏自晉司空充、宋司空尚之，世奉佛法，並建立塔寺；至敬容又舍宅東爲伽藍，趨勢者因助財造構，敬容並不拒，故此寺堂宇校飾，頗爲宏麗。
HCH_011_037_000099	時輕薄者因呼爲「衆造寺」焉。
HCH_011_037_000100	及敬容免職出宅，止有常用器物及囊衣而已，竟無餘財貨，時亦以此稱之。
HCH_011_037_000101	子瑴，秘書丞，早卒。
HCH_011_037_000102	陳吏部尚書姚察曰：魏正始及晉之中朝，時俗尚於玄虛，貴爲放誕，尚書丞郎以上，簿領文案，不復經懷，皆成于令史。
HCH_011_037_000103	逮乎江左，此道彌扇，惟卞壼以臺閤之務，頗欲綜理，阮孚謂之曰：「卿常無閒暇，不乃勞乎？」
HCH_011_037_000104	宋世王敬弘身居端右，未嘗省牒，風流相尚，其流遂遠。
HCH_011_037_000105	望白署空，是稱清貴；恪勤匪懈，終滯鄙俗。
HCH_011_037_000106	是使朝經廢於上，職事隳於下。
HCH_011_037_000107	小人道長，抑此之由。
HCH_011_037_000108	嗚呼！
HCH_011_037_000109	傷風敗俗，曾莫之悟。
HCH_011_037_000110	永嘉不競，戎馬生郊，宜其然矣。
HCH_011_037_000111	何國禮之識治，見譏薄俗，惜哉！
HCH_011_037_000112	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
