HCH_012_228_000079	學曾自花馬池還靈州，被圍，救至而解。
HCH_012_228_000080	貴等數攻城不能克，賊殺慶王妃，盡掠其宮人金帛。
HCH_012_228_000081	牛秉忠戰傷右股，乃復退師。
HCH_012_228_000082	帝用尚書星言，賜學曾尚方劍督戰。
HCH_012_228_000083	會寧夏巡撫朱正色、甘肅巡撫葉夢熊、監軍御史梅國楨，諸大將劉承嗣、董一奎、李如松先後至軍，六月復攻城，連戰不下。
HCH_012_228_000084	夢熊，字男兆，歸善人。
HCH_012_228_000085	嘉靖四十年進士。
HCH_012_228_000086	由福清知縣入為戶部主事，轉餉寧夏。
HCH_012_228_000087	改御史，以諫受把漢那吉降，貶鄖陽丞。
HCH_012_228_000088	累遷贛州知府，平黃鄉賊。
HCH_012_228_000089	遷浙江副使，改永平。
HCH_012_228_000090	萬歷十七年冬，由山東布政使擢右僉都御史，巡撫貴州。
HCH_012_228_000091	尋改陜西，進右副都御史。
HCH_012_228_000092	以請討撦力克，與經略洛議相左。
HCH_012_228_000093	廷議方右洛，絀其議不用。
HCH_012_228_000094	會撦力克東歸，洛亦還宣、大，乃移夢熊甘肅，與學曾共事。
HCH_012_228_000095	夢熊有膽決，敢任事。
HCH_012_228_000096	會拜反，上疏自請討賊，帝然之。
HCH_012_228_000097	以六月至靈州，與學曾合。
HCH_012_228_000098	國楨，字克生，麻城人。
HCH_012_228_000099	少雄傑自喜，善騎射。
HCH_012_228_000100	舉萬歷十一年進士。
HCH_012_228_000101	除固安知縣。
HCH_012_228_000102	中官詣國楨請收責於民，國楨偽令民鬻妻以償。
HCH_012_228_000103	民夫婦哀慟，中官為毀券。
HCH_012_228_000104	擢御史，會拜反，學曾師久無功。
HCH_012_228_000105	時寧遠伯李成梁方被論，廷議欲遣為大將，未敢決，國楨獨疏保之。
HCH_012_228_000106	乃遣成梁子如松為提督，將遼東、宣、大、山西諸鎮兵以往。
HCH_012_228_000107	而國楨監其軍，遂與如松至寧夏。
HCH_012_228_000108	初，學曾欲招東旸、朝，令殺拜父子贖罪，遣卒葉得新往。
HCH_012_228_000109	四人方約同死，折得新脛，置之獄。
HCH_012_228_000110	巡撫朱正色以賊詭請降，而張傑嘗總寧夏兵，故與拜善，遣傑入城招之。
HCH_012_228_000111	朝乃舁得新見傑，得新大罵賊，被殺，傑亦系不遣。
