HCH_012_316_000066	巡撫陳儀以西堡獅子孔之平，由觀與子貴榮統部眾二萬攻白石崖，四旬而克，家自饋餉，口不言功，特給觀正三品昭勇將軍誥。
HCH_012_316_000067	初，安氏世居水西，管苗民四十八族，宋氏世居貴州城側，管水東、貴竹等十長官司，皆設治所於城內，銜列左右。
HCH_012_316_000068	而安氏掌印，非有公事不得擅還水西。
HCH_012_316_000069	至是總兵官為之請，許其以時巡歷所部，趣辦貢賦，聽暫還水西，以印授宣慰宋然代理。
HCH_012_316_000070	貴榮老，請以子佐襲，命賜貴榮父子錦纻。
HCH_012_316_000071	先是，宋然貪淫，所管陳湖等十二馬頭科害苗民，致激變。
HCH_012_316_000072	而貴榮欲並然地，誘其眾作亂。
HCH_012_316_000073	於是阿朵等聚眾二萬餘，署立名號，攻陷寨堡，襲據然所居大羊腸，然僅以身免。
HCH_012_316_000074	貴榮遽以狀上，冀令己按治之。
HCH_012_316_000075	會阿朵黨泄其情，官軍進討。
HCH_012_316_000076	貴榮懼，乃自率所部為助。
HCH_012_316_000077	及賊平，貴榮已死，坐追奪，然坐斬。
HCH_012_316_000078	然奏世受爵土，負國厚恩。
HCH_012_316_000079	但變起於榮，而身陷重辟，乞分釋。
HCH_012_316_000080	因從末減，依土俗納粟贖罪。
HCH_012_316_000081	都御史請以貴築、平伐七長官司地設立府縣，皆以流官撫理。
HCH_012_316_000082	巡撫覆奏以蠻民不願，遂寢。
HCH_012_316_000083	宋氏亦遂衰，子孫守世官，衣租食稅，聽征調而已。
HCH_012_316_000084	時安萬鐘應襲，驕縱不法。
HCH_012_316_000085	漢民張純、土目烏掛等導之遊獵，酒酣，輒射人為戲。
HCH_012_316_000086	又嘗撻其左右，為所殺。
HCH_012_316_000087	無子，其從弟萬鎰宜襲，鎰以賊未獲辭。
HCH_012_316_000088	烏掛等遂以疏族幼子普者冒萬鐘弟曰萬鈞告襲，承勘官入其賄，遂暫委鐘妻奢播攝事。
HCH_012_316_000089	萬鎰悔不立，而恨烏掛之主其謀也，遂以兵襲烏掛，烏掛亦發兵相仇殺，皆以萬鐘之死為辭。
HCH_012_316_000090	巡按御史上其狀，以萬鎰宜襲，但與烏掛相誣訐，宜各宥輸贖。
HCH_012_316_000091	而梟殺鐘者，並戍純等，受其賄者亦罰治，詔如之。
HCH_012_316_000092	未幾，鎰死，子阿寫幼，命以萬銓借襲。
HCH_012_316_000093	萬銓有助平阿向功，提督尚書伍文定為之請。
HCH_012_316_000094	萬銓亦自陳其功，乞加參政銜，賜蟒衣，帝命賜以應得之服。
HCH_012_316_000095	後阿寫長，襲職，改名仁。
HCH_012_316_000096	未幾死，子國亨襲。
HCH_012_316_000097	淫虐，乃以事殺萬銓之子信。
HCH_012_316_000098	信兄智與其母別居於安順州，聞之，因告國亨反。
HCH_012_316_000099	巡撫王諍遽請發兵誅國亨，智遂為總兵安大朝畫策，且約輸兵糧數萬。
HCH_012_316_000100	及師至陸廣河，智糧不至。
HCH_012_316_000101	諍乃令人諭國亨，而止大朝毋進。
HCH_012_316_000102	兵已渡河，為國亨所敗。
HCH_012_316_000103	國亨懼大誅，遣使哀辭乞降，朝廷未之許。
HCH_012_316_000104	巡撫阮文中至，檄捕諸反者，密使語國亨，亟出諸奸徒，割地以處安智母子，還所費兵糧，朝廷當待汝以不死。
HCH_012_316_000105	於是國亨悉聽命，帝果赦不誅，而命國亨子民襲。
HCH_012_316_000106	國亨事起於隆慶四年，至成歷五年乃已。
HCH_012_316_000107	國亨既革任，日遣人至京納賂，為起復地。
HCH_012_316_000108	十三年，播州宣慰楊應龍以獻大木得賜飛魚服，國亨亦請以大木進，乞還給冠帶誥封如播例。
HCH_012_316_000109	既而木竟不至，乃諉罪於木商。
HCH_012_316_000110	上怒，命奪所賚。
HCH_012_316_000111	國亨請補貢以明不欺，上仍如所請。
HCH_012_316_000112	萬歷二十六年，國亨子疆臣襲職。
HCH_012_316_000113	會播州楊應龍反，疆臣亦以戕殺安定事為有司所案。
HCH_012_316_000114	科臣有言其逆節漸萌者，詔不問，許殺賊圖功。
HCH_012_316_000115	疆臣奏稱：「播警方殷，臣心未白。」
