HCH_013_077_000074	賊方渡巴霧河，應元馳赴河上然礮，擊殺一賊帥衣緋者，賊不得渡。
HCH_013_077_000075	雲鳳苦戰久得脫，渴飲水斗餘，臥血凝臆而卒，兵多潰亡。
HCH_013_077_000076	九月，獻忠、汝才陷大昌。
HCH_013_077_000077	庚寅，屯夔城山背。
HCH_013_077_000078	賊行營輜重婦女甚衆，而諸軍多觀望不前，但尾賊後。
HCH_013_077_000079	所至關隘，防兵多遠遁，賊長驅直過。
HCH_013_077_000080	二賊合兵趨達州，謀西渡。
HCH_013_077_000081	丙午，賊渡河，遂入巴西。
HCH_013_077_000082	督師嗣昌命監軍萬元吉監諸軍西行，尾擊賊。
HCH_013_077_000083	十月壬戌，獻忠、汝才陷劍州。
HCH_013_077_000084	甲子，過劍閣，趨廣元，直走陽平關。
HCH_013_077_000085	從間道別出百丈山，將入漢中。
HCH_013_077_000086	總兵趙光遠守陽平甚嚴，賀人龍、李國奇復整兵而東。
HCH_013_077_000087	賊乃踰昭化走西川。
HCH_013_077_000088	丙寅，川兵追賊於劍州，敗績，賊擒四將以去。
HCH_013_077_000089	官軍轉戰於綿州，逐北至城下，賊渡綿河而西。
HCH_013_077_000090	十一月庚辰，督師監軍元吉大饗將士於保寧。
HCH_013_077_000091	以諸軍進止不一，立大帥以統之。
HCH_013_077_000092	以總兵猛如虎爲正總統，張應元爲副總統。
HCH_013_077_000093	癸未，發保寧，趨綿州，諸將分屯要害，元吉督諸軍自間道趨射洪，扼蓬溪以待之。
HCH_013_077_000094	癸卯，賊屯安岳，知大兵且至，宵遁走內江。
HCH_013_077_000095	乙巳，猛如虎至安岳，選驍騎逐賊。
HCH_013_077_000096	元吉與應元屯於安岳城下，以遏賊歸路。
HCH_013_077_000097	十二月己酉，賊走瀘州，賀人龍等以兵躡之。
HCH_013_077_000098	辛亥，賊陷瀘州。
HCH_013_077_000099	瀘州三隅皆陡絕臨江，止立石站一路可北走。
HCH_013_077_000100	賊旣走絕地，元吉謀以大兵自南搗其老營，伏兵旁塞險要，蹙賊北竄永州，逆而擊之，可以盡殲也。
HCH_013_077_000101	乙卯，元吉兵至立石站，賊營先移渡南溪，官軍隔水追之不及。
HCH_013_077_000102	癸亥，賊越成都，走漢［州］德陽，復至綿河。
HCH_013_077_000103	十四年正月丁丑，獻忠、汝才入巴州。
HCH_013_077_000104	己卯，走達州。
HCH_013_077_000105	甲申，賊渡違河而東，往新開焚燬驛道，人煙斷絕者七百里。
HCH_013_077_000106	初，賊南竄，元吉欲從間道出梓潼，扼歸路以待賊。
HCH_013_077_000107	嗣昌檄諸軍躡賊急追，不得距賊遠，令他逸。
HCH_013_077_000108	諸將皆盡向瀘州，賊折而東返，歸路盡空，不可復遏。
HCH_013_077_000109	賀人龍頓兵廣元不進。
HCH_013_077_000110	己丑，猛如虎率諸將及賊於開縣，日暮雨作，諸將咸以人馬乏，請詰朝戰。
HCH_013_077_000111	參將劉士傑曰：「自瀘州逐賊，馳騖四旬。僅而及之，惟敵是求。今遇賊不戰，縱敵失賊，誰執其咎乎？請爲諸君先！」
HCH_013_077_000112	揮戈而進。
HCH_013_077_000113	如虎亦率親兵從之。
HCH_013_077_000114	士傑奮勇前搏賊陣，連勝之。
HCH_013_077_000115	獻忠憑高而望，見後軍無繼，左軍皆前卻不進，因以精銳繞谷中，出官軍後，馳而下。
HCH_013_077_000116	左軍先潰，士傑及游擊郭開、如虎子猛先捷皆戰死。
HCH_013_077_000117	前軍已覆，如虎突戰潰圍出，馬仗軍符盡失。
HCH_013_077_000118	賊東走巫山、大昌。
HCH_013_077_000119	監軍元吉赴開縣收召殘兵，祭陣亡諸將，哀動三軍。
HCH_013_077_000120	嗣昌在雲陽聞開縣失利，始悔不用諸將扼歸路之謀矣。
HCH_013_077_000121	初，賊之西渡違河也，嗣昌策其必入秦，令左良玉自興、歸趣漢中。
HCH_013_077_000122	及賊東走，嗣昌復檄良玉自夷、夔進勦。
HCH_013_077_000123	使者憚行，中道返命，曰：「平賊已入漢中矣。」
HCH_013_077_000124	旣慮其言不售也，更使人紿良玉曰：「賊向漢中矣。」
HCH_013_077_000125	良玉不至，嗣昌之使十九返，良玉曰：「向依督師令，瑪瑙山安得功乎？」
HCH_013_077_000126	遂撤興、房兵趨漢中。
HCH_013_077_000127	賊下夔門，無一人攔截者。
HCH_013_077_000128	賊旣度巫山，晝夜疾走興、房山中。
HCH_013_077_000129	二月，獻忠、汝才走當陽，鄖撫袁繼咸悉兵扼賊於房、竹。
HCH_013_077_000130	賊走宜城，偵襄陽無備，簡二十騎持符，僞爲官兵。
HCH_013_077_000131	己酉夜，至城下，守者驗符信啓關。
HCH_013_077_000132	賊旣入，卽揮刀大呼殺門者，城中先伏賊百餘俱起應之，縱火，光燭天。
HCH_013_077_000133	賊大隊疾馳至，城中大亂，門洞開。
HCH_013_077_000134	庚戌昧爽，賊盡入城。
HCH_013_077_000135	知府王承曾突圍走，兵備副使張克儉、推官酈曰廣死之。
HCH_013_077_000136	賊焚襄王府，執襄王。
HCH_013_077_000137	獻忠據坐王宮，坐王堂下，勸之以卮酒，曰：「吾欲斷楊嗣昌頭，而嗣昌遠在蜀，今當借王頭，使嗣昌以陷藩伏法。王其努力，盡此一杯酒！」
HCH_013_077_000138	因縛王殺之，投屍火中。
HCH_013_077_000139	福清王常澄逃免，潛遣人索王屍，已燼，僅拾顱骨數寸以歸。
HCH_013_077_000140	賊殺宮眷，幷貴陽王常法，盡掠宮女，發銀十五萬以賑飢民。
HCH_013_077_000141	襄陽守兵數千，軍資器械山積，盡爲賊有。
HCH_013_077_000142	初，左良玉屢破賊，掠其輜重，盡蓄之許州，爲獻忠襲取。
HCH_013_077_000143	良玉在鄖，厝家口貲蓄於襄陽，至是復盡爲獻忠有。
HCH_013_077_000144	良玉聞之，同鄖撫袁繼咸發兵馳援，已不及。
HCH_013_077_000145	癸丑，賊渡江破樊城。
HCH_013_077_000146	己未，陷當陽、郟縣。
HCH_013_077_000147	乙丑，陷光州、新野。
HCH_013_077_000148	三月丙子，督師大學士楊嗣昌自縊於軍。
HCH_013_077_000149	時李自成已陷河南，福王遇害。
HCH_013_077_000150	嗣昌以連失二郡，喪兩親藩，度不免，遂自盡。
HCH_013_077_000151	監軍元吉部署行營，命猛如虎駐蘄、黃，防獻忠東逞。
HCH_013_077_000152	上以襄陽失陷，左良玉違制避賊，削職戴罪平賊。
HCH_013_077_000153	逮鄖撫袁繼咸入京。
HCH_013_077_000154	四月，獻忠焚掠襄陽旣空，聞左兵漸逼，以兵三萬犯應山，知縣章日煇擊卻之。
HCH_013_077_000155	北至隨州，掠汝寧縣。
HCH_013_077_000156	難民逸歸，見獻忠面帶刀瘢二，箭創一，方令羣盜備乾糒爲半月糧，往攻固始，陷光州，漸逼麻城。
HCH_013_077_000157	革、左諸賊在皖、桐，聞獻忠東來，自潛、太至麻城勾合之。
HCH_013_077_000158	將謀渡江，巡撫宋一鶴擒賊諜，焚其舟。
HCH_013_077_000159	庚午，獻忠、汝才合兵陷隨州，知州徐世淳死之，合戶被殺，吏民屠戮不遺，血流成溝澮。
HCH_013_077_000160	六月，左良玉敗獻忠於南陽之西山。
HCH_013_077_000161	獻忠西走，與汝才合兵攻南陽，晝夜穴城，知府顏日愉力拒之。
HCH_013_077_000162	賊去，陷信陽，獲左兵旗幟，令羣盜襲以入泌陽，陷之。
HCH_013_077_000163	癸亥，走隨州。
HCH_013_077_000164	七月丁丑，獻忠圍鄖陽，鄖兵禦之多殺傷。
HCH_013_077_000165	己卯，獻忠宵遁。
HCH_013_077_000166	總兵黃得功戲下兵叛，西走投獻忠。
HCH_013_077_000167	獻忠陷鄖西。
HCH_013_077_000168	羅汝才忤於獻忠，北走合自成，左良玉敗之於鄧州，再敗之於浙川。
HCH_013_077_000169	辛卯，鄖兵與獻忠戰，敗績。
HCH_013_077_000170	獻忠以所擒鄖兵人斷一手，縱歸以辱官軍。
HCH_013_077_000171	督師丁啓睿與左良玉俱屯南陽，頓兵不進。
HCH_013_077_000172	獻忠旣拔鄖西，馬騾器甲，搶獲甚盛。
HCH_013_077_000173	羣盜蟻附之，衆至數十萬。
HCH_013_077_000174	獻忠屢勝而驕。
HCH_013_077_000175	八月，東掠信陽。
HCH_013_077_000176	左良玉營多降將，家在鄖、襄，多被獻忠殺掠，人思致死於賊。
HCH_013_077_000177	良玉乃自南陽引兵逆擊獻忠於信陽，斬其首將沙賊，大破之，奪其馬萬餘，降衆數萬。
HCH_013_077_000178	獻忠負重創，易服夜遁，竄入山中。
HCH_013_077_000179	良玉軍聲大振，降附日衆，遣諸將分道窮搜獻忠。
HCH_013_077_000180	戊午，獻忠收餘衆數千，反走向鄖陽，驟遇官軍，不戰而潰，棄馬騾二千。
HCH_013_077_000181	尚有衆二千，趨南陽，負創不能馳，保其婦豎，日行三十里，部曲日逃十六七，僅隨數百人。
HCH_013_077_000182	辛未，良玉自鄖北發，獻忠已過南陽，追之不及。
HCH_013_077_000183	監軍御史汪承詔劾將士觀望縱賊。
HCH_013_077_000184	羅汝才旣北合李自成，自成踞河、雒，有衆五十萬。
HCH_013_077_000185	獻忠衆散且盡，九月，因汝才以奔自成。
HCH_013_077_000186	初，獻忠與自成並起延西，以狡詐相雄長。
HCH_013_077_000187	自陷襄陽，嗣昌縊死，自以威名遠出自成右。
HCH_013_077_000188	及敗來歸，僅從數百騎。
HCH_013_077_000189	自成方強，欲屈之，獻忠不爲下。
HCH_013_077_000190	自成怒，欲殺之。
HCH_013_077_000191	汝才知之，陰選良馬五百騎資獻忠，令他徙。
HCH_013_077_000192	獻忠乃盡夜東馳，與回、革諸賊合，入霍山，扼險拒守。
HCH_013_077_000193	督師啓睿以兵赴商城，旋北行討李賊，獻忠得逸山中。
HCH_013_077_000194	十月，張獻忠合六營賊，復出攻舒城。
HCH_013_077_000195	十五年二月乙卯，張獻忠陷亳州。
HCH_013_077_000196	亳州官吏先已棄城走，賊按兵入城。
HCH_013_077_000197	三月，獻忠合回、革諸賊，復攻舒城。
