HCH_015_011_000047	晉傅玄作《祀先農先蠶夕牲歌詩》一篇八句，《迎送神》一篇，《饗社稷》、《先農》、《先聖》、《先蠶歌詩》三篇，前一篇十二句，中一篇十六句，後一篇十二句，辭皆敘田農事。
HCH_015_011_000048	胡道安《先農饗神詩》一篇，竝八句。
HCH_015_011_000049	樂府相傳舊歌三章。
HCH_015_011_000050	永明四年藉田，詔驍騎將軍江淹造《藉田歌》。
HCH_015_011_000051	淹制二章，不依胡、傅，世祖口勑付太樂歌之。
HCH_015_011_000052	元會大饗四廂樂歌辭，晉泰始五年太僕傅玄撰。
HCH_015_011_000053	正旦大會行禮歌詩四章，壽酒詩一章，食舉東西廂樂十三章，黃門郎張華作。
HCH_015_011_000054	上壽食舉行禮詩十八章，中書監荀勗、侍郎成公綏，言數各異。
HCH_015_011_000055	宋黃門郎王韶之造《肆夏》四章，行禮一章，上壽一章，登歌三章，食舉十章，《前後舞歌》一章。
HCH_015_011_000056	齊微改革，多仍舊辭。
HCH_015_011_000057	其《前後舞》二章新改。
HCH_015_011_000058	其臨軒樂，亦奏《肆夏·於鑠》四章。
HCH_015_011_000059	《宣烈舞》執干戚。
HCH_015_011_000060	郊廟奏，平冕，黑介幘，玄衣裳，白領袖、絳領袖中衣，絳合幅袴，絳襪。
HCH_015_011_000061	朝廷，則武冠，赤幘，生絳袍單衣，絹領袖，皂領袖中衣，虎文畫合幅袴，白布彩，皆黑韋緹。
HCH_015_011_000062	周《大武舞》，秦改爲《五行》。
HCH_015_011_000063	漢高造《武德舞》，執干戚，象天下樂己除亂。
HCH_015_011_000064	按《禮》云「朱干玉戚，冕而舞《大武》」，是則漢放此舞而立也。
HCH_015_011_000065	魏文帝改《五行》還爲《大武》，而《武德》曰《武頌舞》。
HCH_015_011_000066	明帝改造《武始舞》。
HCH_015_011_000067	晉世仍舊。
HCH_015_011_000068	傅玄六代舞歌有《武》辭，此《武舞》非一也。
HCH_015_011_000069	宋孝建初，朝議以《凱容舞》爲《韶舞》，《宣烈舞》爲《武舞》。
HCH_015_011_000070	據《韶》爲言，《宣烈》卽是古之《大武》，非《武德》也。
HCH_015_011_000071	今世諺呼爲武王伐紂。
HCH_015_011_000072	其冠服，魏明帝世尚書所奏定《武始舞》服，晉、宋承用，齊初仍舊，不改宋舞名。
HCH_015_011_000073	其舞人冠服，見魏尚書奏，後代相承用之。
HCH_015_011_000074	《凱容舞》，執羽籥。
HCH_015_011_000075	郊廟，冠委貌，服如前。
HCH_015_011_000076	朝廷，進賢冠，黑介幘，生黃袍單衣，白合幅袴，餘如前。
HCH_015_011_000077	本舜《韶舞》，漢高改曰《文始》，魏復曰《大韶》。
HCH_015_011_000078	又造《咸熙》爲《文舞》。
HCH_015_011_000079	晉傅玄六代舞有《虞韶舞》辭。
HCH_015_011_000080	宋以《凱容》繼《韶》爲《文舞》。
HCH_015_011_000081	相承用魏咸熙冠服。
HCH_015_011_000082	《前舞》、《後舞》，晉泰始九年造。
HCH_015_011_000083	《正德大豫舞》，傅玄、張華各爲歌辭。
HCH_015_011_000084	宋元嘉中，改《正德》爲《前舞》，《大豫》爲《後舞》。
HCH_015_011_000085	舞曲，皆古辭雅音，稱述功德，宴享所奏。
HCH_015_011_000086	傅玄歌辭云：「獲罪於天，北徙朔方，墳墓誰掃，超若流光。」
HCH_015_011_000087	如此十餘小曲，名爲舞曲，疑非宴樂之辭。
HCH_015_011_000088	然舞曲總名起此矣。
HCH_015_011_000089	淮南王，自言尊，百尺高樓與天連。
HCH_015_011_000090	我欲渡河河無梁，願作雙黃鵠還故鄉。
HCH_015_011_000091	俳不言不語，呼俳噏所。
HCH_015_011_000092	俳適一起，狼率不止。
HCH_015_011_000093	生拔牛角，摩斷膚耳。
HCH_015_011_000094	馬無懸蹄，牛無上齒。
HCH_015_011_000095	駱駼無角，奮迅兩耳。
HCH_015_011_000096	角抵、像形、雜伎，歷代相承有也。
HCH_015_011_000097	其增損源起，事不可詳，大略漢世張衡《西京賦》是其始也。
HCH_015_011_000098	魏世則事見陳思王樂府《宴樂篇》，晉世則見傅玄《元正篇》、《朝會賦》。
HCH_015_011_000099	江左咸康中，罷紫鹿、跂行、鱉食、笮鼠、齊王卷衣、絕倒、五案等伎，中朝所無，見《起居注》，竝莫知所由也。
HCH_015_011_000100	太元中，苻堅敗後，得關中簷橦胡伎，進太樂，今或有存亡，案此則可知矣。
HCH_015_011_000101	永明六年，赤城山雲霧開朗，見石橋瀑布，從來所罕睹也。
HCH_015_011_000102	山道士朱僧標以聞，上遣主書董仲民案視，以爲神瑞。
HCH_015_011_000103	太樂令鄭義泰案孫興公賦造天台山伎，作莓苔、石橋、道士捫翠屏之狀，尋又省焉。
HCH_015_011_000104	《永平樂歌》者，竟陵王子良與諸文士造奏之。
HCH_015_011_000105	人爲十曲。
HCH_015_011_000106	道人釋寶月辭頗美，上常被之管弦，而不列於樂官也。
HCH_015_011_000107	贊曰：綜采六代，和平八風。
HCH_015_011_000108	殷薦宴享，舞德歌功。
HCH_015_011_000109	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
