HCH_012_330_000059	成化三年，陝西副使鄭安言：「進貢番僧，自烏斯藏來者不過三之一，餘皆洮、岷寺僧詭名冒貢。進一羸馬，輒獲厚直，得所賜幣帛，制為戰袍，以拒官軍。本以羈縻之，而益致寇掠，是虛國帑而齎盜糧也。」
HCH_012_330_000060	章下禮部，會廷臣議，請行陝西文武諸臣，計定貢期、人數及存留、起送之額以聞，報可。
HCH_012_330_000061	已而奏上，諸自烏斯藏來者皆由四川入，不得徑赴洮、岷，遂著為例。
HCH_012_330_000062	明年冬，洮州番寇擁眾掠鐵城、後川二寨，指揮張翰等率兵御之，敗去，獲所掠人口以歸。
HCH_012_330_000063	五年，巡按江孟綸言：「岷州番寇縱橫，村堡為虛。頃令指揮後泰與其弟通反覆開示，生番忍藏、占藏等三十餘族酋長百六十餘人，熟番栗林等二十四族酋長九十一人，轉相告語，悔過來歸，且還被掠人畜，願供徭賦。殺牛告天，誓不再犯。已令副使李圮從宜賞勞，宣示朝廷恩威，皆歡躍而去。惟熟番綠園一族怙惡不服。」
HCH_012_330_000064	兵部言：「番性無常，朝撫夕叛，未可弛備。請諭邊臣，向化者加意撫綏，犯順者克期剿滅。」
HCH_012_330_000065	帝納其言。
HCH_012_330_000066	八年，禮官言：「洮、岷諸衛送各族番人赴京，多至四千二百餘人，應賞彩幣人二表裡，帛如之，鈔二十九萬八千有奇，馬直尚在其外。考正統、天順間，各番貢使不過三五百人。成化初，因洮、岷諸處濫以熟番作生番冒送，已定例，生番三年一貢，大族四五人，小族一二人赴京，餘悉遣還。成化六年，副使鄧本瑞妄自招徠，又復冒送，臣部已重申約束。今副使吳圮等不能嚴飭武備，專事通番，以紓近患。乞降敕切責，務遵前令。」
HCH_012_330_000067	帝亦如其言。
HCH_012_330_000068	西寧即古湟中，其西四百里有青海，又曰西海，不草豐美。
HCH_012_330_000069	番人環居之，專務畜牧，日益繁滋，素號樂土。
HCH_012_330_000070	正德四年，蒙古部酋亦不刺、阿爾禿廝獲罪其主，擁眾西奔。
HCH_012_330_000071	瞰知青海饒富，襲而據之，大肆焚掠。
HCH_012_330_000072	番人失其地，多遠徙。
HCH_012_330_000073	其留者不能自存，反為所役屬。
HCH_012_330_000074	自是甘肅、西寧始有海寇之患。
HCH_012_330_000075	九年，總制彭澤集諸道軍，將搗其巢。
HCH_012_330_000076	寇詗知之，由河州渡黃河，奔四川，出松潘、茂州境，直走烏斯藏。
HCH_012_330_000077	及大軍引還，則仍返海上，惟阿爾禿廝遁去。
HCH_012_330_000078	嘉靖二年，尚書金獻民西征，議遣官招撫，許為籓臣，如先朝設安定、曲先諸衛故事。
HCH_012_330_000079	兵部行總制楊一清計度，一清意在征討，言寇精騎不過二三千，餘皆脅從番人，然怨之入骨，時欲報仇，可用為間諜，大舉剿絕。
HCH_012_330_000080	議末定，王憲、王瓊相繼來代，皆以兵寡餉詘，議竟不行。
HCH_012_330_000081	八年，洮、岷諸番數犯臨洮、鞏昌，內地騷動。
HCH_012_330_000082	樞臣李承勛言：「番為海寇所侵，日益內徙。倘二寇交通，何以善後。昔趙充國不戰而服羌，段穎殺羌百萬而內地虛耗，兩者相去遠矣。乞廣先帝之明，專充國之任，制置方略，悉聽瓊便宜從事。」
HCH_012_330_000083	瓊乃集眾議，且剿且撫。
HCH_012_330_000084	先遣總兵官劉文、游擊彭椷分佈士馬。
HCH_012_330_000085	明年二月自固原進至洮、岷，遣人開示禍福。
HCH_012_330_000086	洮州東路木舍等三十一族，西路答祿失等十三族，岷州西寧溝等十五族，皆聽撫，給白旂犒賜遣歸。
HCH_012_330_000087	惟岷州東路若籠族、西路板爾等十五族及岷州剌即等五族，恃險不服。
HCH_012_330_000088	乃分兵先攻若籠、板爾二族，覆其巢，剌即諸族震慴乞降。
HCH_012_330_000089	凡斬首三百六十餘級，撫定七十餘族，乃班師。
HCH_012_330_000090	自是，洮、岷獲寧，而西寧仍苦寇患。
HCH_012_330_000091	十一年，甘肅巡撫趙載等言：「亦不剌據海上已二十餘年，其黨卜兒孩獨傾心向化，求帖木哥等屬番來納款。宜因而撫之，或俾之納馬，或令其遣質，或授官給印，建立衛所，為我籓籬，於計為便。」
HCH_012_330_000092	疏甫上，會河套酋吉囊引眾西掠，大破亦不剌營，收其部落大半而去，惟卜兒孩一枝斂眾自保。
HCH_012_330_000093	由是西寧亦獲休息，而納款之議竟寢。
HCH_012_330_000094	及唐龍為總制，寇南掠松潘。
HCH_012_330_000095	龍慮其回巢與諸番及他部勾結為患，奏行甘肅守臣，繕兵積粟，為殄滅計。
HCH_012_330_000096	及龍去，事亦不行。
HCH_012_330_000097	二十年正月，卜兒孩獻金牌、良馬求款。
HCH_012_330_000098	兵部言：「寇果輸誠通貢，誠西陲大利。乃止獻馬及金牌，未有如往歲遣子入侍、酋長入朝之請，未可遽許。宜令督撫臣偵察情實，並條制馭之策以聞。」
HCH_012_330_000099	報可。
HCH_012_330_000100	會寇勢漸衰，番人亦漸復業，其議復寢。
HCH_012_330_000101	二十四年設岷州，隸鞏昌府。
HCH_012_330_000102	岷西臨極邊，番漢雜處。
HCH_012_330_000103	洪武時，改土番十六族為十六里，設衛治之，俾稍供徭役。
HCH_012_330_000104	自設州之後，徵發繁重，人日困敝。
HCH_012_330_000105	且番人戀世官，而流官又不樂居，遙寄治他所。
HCH_012_330_000106	越十餘年，督撫合疏言不便，乃設衛如故。
HCH_012_330_000107	時北部俺答猖獗，歲掠宣、大諸鎮。
HCH_012_330_000108	又羡青海富饒，三十八年攜子賓兔、丙兔等數萬眾，襲據其地。
HCH_012_330_000109	卜兒孩竄走，遂縱掠諸番。
HCH_012_330_000110	已，引去，留賓兔據松山，丙兔據青海，西寧亦被其患。
HCH_012_330_000111	隆慶中，俺答受封順義王，修貢惟謹，二子亦斂戢。
HCH_012_330_000112	時烏斯藏僧有稱活佛者，諸部多奉其教。
HCH_012_330_000113	丙兔乃以焚修為名，請建寺青海及嘉峪關外，為久居計。
HCH_012_330_000114	廷臣多言不可許，禮官言：「彼已採木興工，而令改建於他所，勢所不能，莫若因而許之，以鼓其善心，而杜其關外之請。況中國之御戎，惟在邊關之有備。戎之順逆，亦不在一寺之遠近。」
HCH_012_330_000115	帝許之。
HCH_012_330_000116	丙兔既得請，又近脅番人，使通道松潘以迎活佛。
HCH_012_330_000117	四川守臣懼逼，乞令俺答約束其子，毋擾鄰境。
HCH_012_330_000118	俺答言，丙兔止因甘肅不許開市，寧夏又道遠艱難，雖有禁令，不能盡制。
HCH_012_330_000119	宣大總督方逢時亦言開市為便。
HCH_012_330_000120	帝以責陝西督撫，督撫不敢違。
HCH_012_330_000121	萬曆二年冬，許丙兔市於甘肅，賓兔市於庄浪，歲一次。
HCH_012_330_000122	既而寺成，賜額仰華。
HCH_012_330_000123	先是，亦不剌之據青海，邊臣猶以外寇視之。
HCH_012_330_000124	至是以俺答故，竟視若屬番。
HCH_012_330_000125	諸酋亦以父受王封，不敢大為邊患，而洮州之變乃起。
HCH_012_330_000126	初，洮州番人以河州奸民負其物貨，入掠內地，他族亦乘機為亂。
HCH_012_330_000127	奸民以告河州參將陳堂，堂曰：「此洮州番也，何與我事。」
HCH_012_330_000128	洮州參將劉世英曰：「彼犯河州，非我失事。」
HCH_012_330_000129	由是二將有隙。
HCH_012_330_000130	總督石茂華聞之，令二人及蘭州參將徐勛、岷州守備硃憲、舊洮州守備史經各引兵壓其境，曉以利害。
HCH_012_330_000131	番人懼，即還所掠人畜。
HCH_012_330_000132	世英謂首惡未擒，不可遽已，遂剿破之，殺傷及焚死者無算。
HCH_012_330_000133	軍律，吹銅角乃退兵。
HCH_012_330_000134	堂挾前憾，不待角聲而去，諸部亦多引去。
HCH_012_330_000135	憲、經方深入搜捕，鄰番見其勢孤，圍而殺之。
HCH_012_330_000136	事聞，帝震怒，褫堂、世英職，切責茂華等。
HCH_012_330_000137	茂華乃集諸軍分道進討，斬首百四十餘級，焚死者九百餘人，獲孳畜數十群。
HCH_012_330_000138	諸番震恐遠徙，來降者七十一族，斬送首惡四人，生縛以獻者二人，輸馬牛羊二百六十。
HCH_012_330_000139	稽首謝罪，誓不再犯，師乃還。
HCH_012_330_000140	自丙兔據青海，有切盡台吉者，河套酋吉能從子，俺答從孫也，從之而西。
HCH_012_330_000141	屢掠番人不得志，邀俺答往助。
HCH_012_330_000142	俺答雅欲侵瓦剌，乃假迎活佛名，擁眾西行。
HCH_012_330_000143	疏請授丙兔都督，賜金印，且開茶市。
HCH_012_330_000144	部議不許，但稍給以茶。
HCH_012_330_000145	俺答既抵瓦剌，戰敗而還。
HCH_012_330_000146	乃移書甘肅守臣，乞假道赴烏斯藏。
HCH_012_330_000147	守臣不能拒，遂越甘肅而南，會諸酋於海上。
HCH_012_330_000148	番人益遭蹂躪，多竄徙。
HCH_012_330_000149	八年春，始以活佛言東還，而切盡弟火落赤及俺答庶兄子永邵卜遂留居青海不去。
HCH_012_330_000150	八月，丙兔率眾掠番並內地人畜，詔絕其市賞。
HCH_012_330_000151	俺答聞之，馳書切責。
HCH_012_330_000152	乃盡還所掠，執獻為惡者六人，自罰牛羊七百。
