HCH_012_123_000082	久之乏食，突圍出湖口。
HCH_012_123_000083	諸將自上流邀擊之，大戰涇江口。
HCH_012_123_000084	漢軍且鬥且走，日暮猶不解。
HCH_012_123_000085	友諒從舟中引首出，有所指捴，驟中流矢，貫晴及顱死。
HCH_012_123_000086	軍大潰，太子善兒被執。
HCH_012_123_000087	太尉張定邊夜挾友諒次子理，載其屍遁還武昌。
HCH_012_123_000088	友諒豪侈，嘗造鏤金床甚工，宮中器物類是。
HCH_012_123_000089	既亡，江西行省以床進。
HCH_012_123_000090	太祖歎曰：「此與孟昶七寶溺器何異！」
HCH_012_123_000091	命有司毀之。
HCH_012_123_000092	友諒僭號凡四年。
HCH_012_123_000093	子理既還武昌，嗣偽位，改元德壽。
HCH_012_123_000094	是冬，太祖親征武昌。
HCH_012_123_000095	明年二月再親征。
HCH_012_123_000096	其丞相張必先自岳州來援，次洪山。
HCH_012_123_000097	常遇春擊擒之，徇於城下。
HCH_012_123_000098	必先，驍將也，軍中號「潑張」，倚為重。
HCH_012_123_000099	及被擒，城中大懼，由是欲降者眾。
HCH_012_123_000100	太祖乃遣其故臣羅復仁入城招理。
HCH_012_123_000101	理遂降，入軍門，俯伏不敢視。
HCH_012_123_000102	太祖見理幼弱，掖之起，握其手曰：「吾不汝罪也。」
HCH_012_123_000103	府庫財物恣理取，旋應天，授爵歸德侯。
HCH_012_123_000104	友諒之從徐壽輝也，其父普才止之。
HCH_012_123_000105	不聽。
HCH_012_123_000106	及貴，往迎之。
HCH_012_123_000107	普才曰：「汝違吾命，吾不知死所矣。」
HCH_012_123_000108	普才五子：長友富，次友直，又次友諒，又次友仁、友貴。
HCH_012_123_000109	友仁、友貴前死鄱陽。
HCH_012_123_000110	太祖平武昌，封普才承恩侯，友富歸仁伯，友直懷恩伯，贈友仁康山王，命所司立廟祀之，以友貴祔。
HCH_012_123_000111	理居京師，邑邑出怨望語。
HCH_012_123_000112	帝曰：「此童孺小過耳，恐細人蠱惑，不克全朕恩，宜處之遠方。」
HCH_012_123_000113	洪武五年，理及歸義侯明升並徙高麗，遣元降臣樞密使延安答理護行。
HCH_012_123_000114	賜高麗王羅綺，俾善視之。
HCH_012_123_000115	亦徙普才等滁陽。
HCH_012_123_000116	熊天瑞者，本荊州樂工，從徐壽輝抄略江、湘間。
HCH_012_123_000117	後受陳友諒命，攻陷臨江、吉安，又陷贛州。
HCH_012_123_000118	友諒俾以參知政事，守贛，兼統吉安、南安、南雄、韶州諸路。
HCH_012_123_000119	久之，陽言東下，署其幟曰「無敵」，自稱金紫光祿大夫、司徒、平章軍國重事。
HCH_012_123_000120	友諒不能制。
HCH_012_123_000121	陰圖取廣東，造戰艦于南雄，帥數萬眾趨廣州。
HCH_012_123_000122	元將何真以兵迎于胥江。
HCH_012_123_000123	會天大雷雨，震其艦檣折，天瑞懼而還。
HCH_012_123_000124	太祖兵克臨江，遣常遇春等攻贛，天瑞拒守五越月，至正二十五年正月，乃帥其養子元震肉袒詣軍門降。
HCH_012_123_000125	太祖宥之，授指揮使。
HCH_012_123_000126	明年從攻浙西，叛降于張士誠，教士誠飛礮擊外軍。
HCH_012_123_000127	城中木石俱盡，外軍多傷者。
HCH_012_123_000128	士誠滅，天瑞伏誅。
HCH_012_123_000129	有周時中者，龍泉人，嘗為壽輝平章。
HCH_012_123_000130	後帥所部降，策天瑞必叛。
HCH_012_123_000131	後果如其言。
HCH_012_123_000132	時中累官吏部尚書，出為鎮江知府，曆福建鹽運副使。
HCH_012_123_000133	元震本姓田氏，善戰有名。
HCH_012_123_000134	遇春之圍贛也，元震竊出覘兵，遇春亦引數騎出，猝與遇。
HCH_012_123_000135	元震不知為遇春也，過之。
HCH_012_123_000136	及遇春還，始覺，遂單騎前襲遇春。
HCH_012_123_000137	遇春遣從騎揮刀擊之，元震奮鐵撾且鬥且走。
HCH_012_123_000138	遇春曰：「壯男子也。」
HCH_012_123_000139	舍之。
HCH_012_123_000140	由是喜其才勇。
HCH_012_123_000141	既從天瑞降，薦以為指揮使。
HCH_012_123_000142	天瑞誅，復故姓雲。
HCH_012_123_000143	張士誠，小字九四，泰州白駒場亭人。
HCH_012_123_000144	有弟三人，並以操舟運鹽為業，緣私作奸利。
HCH_012_123_000145	頗輕財好施，得群輩心。
HCH_012_123_000146	常鬻鹽諸富家，富家多陵侮之，或負其直不酬。
HCH_012_123_000147	而弓手丘義尤窘辱士誠甚。
HCH_012_123_000148	士誠忿，即帥諸弟及壯士李伯升等十八人殺義，並滅諸富家，縱火焚其居。
HCH_012_123_000149	入旁郡場，招少年起兵。
HCH_012_123_000150	鹽丁方苦重役，遂共推為主，陷泰州。
HCH_012_123_000151	高郵守李齊諭降之，復叛。
HCH_012_123_000152	殺行省參政趙璉，並陷興化，結砦德勝湖，有眾萬餘。
HCH_012_123_000153	元以萬戶告身招之。
HCH_012_123_000154	不受。
HCH_012_123_000155	紿殺李齊，襲據高郵，自稱誠王，僭號大周，建元天祐。
HCH_012_123_000156	是歲至正十三年也。
HCH_012_123_000157	明年，元右丞相脫脫總大軍出討，數敗士誠，圍高郵，隳其外城。
HCH_012_123_000158	城且下，順帝信讒，解脫脫兵柄，削官爵，以他將代之。
HCH_012_123_000159	士誠乘間奮擊，元兵潰去，由是復振。
HCH_012_123_000160	逾年，淮東饑，士誠乃遣弟士德由通州渡江入常熟。
HCH_012_123_000161	十六年二月陷平江，並陷湖州、松江及常州諸路。
HCH_012_123_000162	改平江為隆平府，士誠自高郵來都之。
HCH_012_123_000163	即承天寺為府第，踞坐大殿中，射三矢於棟以識。
HCH_012_123_000164	是歲，太祖亦下集慶，遣楊憲通好於士誠。
HCH_012_123_000165	其書曰：「昔隗囂稱雄於天水，今足下亦擅號于姑蘇，事勢相等，吾深為足下喜。睦鄰守境，古人所貴，竊甚慕焉。自今信使往來，毋惑讒言，以生邊釁。」
HCH_012_123_000166	士誠得書，留憲不報。
HCH_012_123_000167	已，遣舟師攻鎮江。
HCH_012_123_000168	徐達敗之于龍潭。
HCH_012_123_000169	太祖遣達及湯和攻常州。
HCH_012_123_000170	士誠兵來援，大敗，失張、湯二將，乃以書求和，請歲輸粟二十萬石，黃金五百兩，白金三百斤。
HCH_012_123_000171	太祖答書，責其歸楊憲，歲輸五十萬石。
