HCH_013_047_000074	遣人往廣東，收買皮帳，製作皮甲，及私製鎗刀盔甲，并佛郎機銃兵器，日夜造作不息。
HCH_013_047_000075	夏五月，宸濠忌布政使張嵿，賄錢寧囑吏部陞光祿卿以遠之。
HCH_013_047_000076	秋七月，以許逵為江西按察司副使。
HCH_013_047_000077	宸濠以進貢方物為名，遣徐紀、趙隆、盧孔章等赴京偵伺，沿途伏健步快馬，限十二日報知。
HCH_013_047_000078	九月，巡撫孫燧奏宜重九江兵備之權，湖東分巡兼理兵備。
HCH_013_047_000079	佞倖阻之，不行。
HCH_013_047_000080	冬十一月，宸濠仇大學士費宏，遣人焚毀其廬墓，并攻城掠羣從兄弟殺之。
HCH_013_047_000081	孫燧請兵擒捕，下兵部議。
HCH_013_047_000082	十二月，命太監畢貞守江西，貞遂附宸濠謀逆。
HCH_013_047_000083	十三年春正月，寧王宸濠誣奏清軍御史范輅賄近倖，逮問除名。
HCH_013_047_000084	輅與畢貞爭坐，及辨朝王服色，故被陷。
HCH_013_047_000085	秋八月，宸濠大集羣盜淩十一、閔廿四、吳十三等四出劫掠，有抗者，陰使盜屠其家。
HCH_013_047_000086	吳十三劫新建庫銀七千餘兩，南昌知府鄭瓛置其窩主何順於理。
HCH_013_047_000087	濠怒，誣瓛事，執送按察司監禁。
HCH_013_047_000088	九月，宸濠賄佞倖，改中官畢貞鎮守浙江。
HCH_013_047_000089	冬十月，巡撫孫燧捕賊首吳十三等，繫南康府獄，濠恐泄謀，陰令賊黨劫獄奪之。
HCH_013_047_000090	十四年春二月，寧王宸濠持重賄交通南京留守太監劉琅。
HCH_013_047_000091	夏四月，孫燧自劾乞罷，不許。
HCH_013_047_000092	時李士實、劉養正、王春、劉吉、萬銳等，日夜與宸濠謀，恐事起以反為名，欲伺晏駕後乘變起。
HCH_013_047_000093	益遣奸黨盧孔章等分布水陸要道，萬里傳報，浹旬往返，蹤跡大露。
HCH_013_047_000094	先是，孫燧託禦盜名，城進賢、南康、瑞州。
HCH_013_047_000095	又請勅湖東道分巡兼理兵備，與饒相掎角，九江當湖衝最要害，請重兵備，兼設南康、寧州、武寧、瑞昌及湖廣、興國、通城，便控制。
HCH_013_047_000096	廣信、橫峰、香山諸寨，地險人悍，設通判駐其地，兼督六縣。
HCH_013_047_000097	又恐宸濠一旦起，劫兵器，假討賊盡調衞城兵器於外。
HCH_013_047_000098	嘗笑曰：「即賊起，吾不滅賊，賊必以吾處分故速滅也。」
HCH_013_047_000099	會江西大水，淩十一、吳十三、閔廿四等出沒鄱陽湖為寇，燧與許逵自江外掩捕之。
HCH_013_047_000100	夜大風雨，不克濟，三賊走匿宸濠林墓中，竟不得。
HCH_013_047_000101	濠恐，乃致書陸完曰：「急去孫燧，用梁辰、湯沐來，王守仁亦可，切勿用吳廷舉。」
