HCH_013_067_000062	而元聲、允成、納陛得寬旨，然並封旨竟如故。
HCH_013_067_000063	元聲與允成、納陛、泰來、孔兼暨李啓美、曾鳳儀、鍾化民、項德禎面詰錫爵於朝房，錫爵色甚厲。
HCH_013_067_000064	元聲曰：「閣下奈何誤引親王入繼之文，為儲宮待嫡之例？」
HCH_013_067_000065	鳳儀語稍遜，元聲厲聲呵之曰：「曾員外不知祖訓。」
HCH_013_067_000066	錫爵容霽。
HCH_013_067_000067	眾欲出，元聲曰：「大事未定，奈何出！」
HCH_013_067_000068	錫爵曰：「然則如何？」
HCH_013_067_000069	元聲曰：「當以廷臣相迫，告之皇上。」
HCH_013_067_000070	錫爵曰：「書諸公之名以進，何如？」
HCH_013_067_000071	元聲曰：「請即以元聲為首，杖戍惟命。」
HCH_013_067_000072	錫爵唯唯。
HCH_013_067_000073	庶吉士李騰芳上書錫爵曰：「聖明在上，議者俱為杞憂，以公苦心，疑為集菀，此皆妄也。但聞古賢豪將與立權謀之事，必度其身能作之，身能收之，則不難晦其迹於一時，而終可皎然於天下。公欲暫承上意，巧借王封，轉作册立。然以公之明，試度事機，急則旦夕，緩則一二年，竟公在朝之日，可以遂公之志否？恐王封既定，大典愈遲，他日繼公之後者，精誠智力稍不如公，容或壞公事，隳公功，而罪公為尸謀，公何辭以解？此不獨宗社之憂，亦公子孫之禍也。」
HCH_013_067_000074	錫爵讀訖，爽然曰：「諸公詈我，我無以自明。如子言，我受教。但我每揭皆手書，祕跡甚明也。」
HCH_013_067_000075	騰芳曰：「揭帖手書，人何由知？異日能使天子出公手書，傳示天下乎？」
HCH_013_067_000076	錫爵默默良久，復曰：「古人留侯、鄴侯皆以權勝。」
HCH_013_067_000077	騰芳曰：「鄴侯不欲以建寧為元帥，而咏《摘瓜詩》以衞廣平，此經也，非權也。但與肅宗私議家事，恐上皇不安，而遲廣平為太子，別是一則，然建寧之死胎此矣。若子房以強諫為無益，而招致四皓，有似行權，然未嘗請太子與趙王並封。且行權必大智人，委曲宛轉，或立語而移，或默然而定，若需之數年，更以他手，雖聖人不能保矣。」
HCH_013_067_000078	語次，錫爵不覺泣下。
HCH_013_067_000079	翌日，上疏自劾三誤。
HCH_013_067_000080	不允。
HCH_013_067_000081	二月，輔臣王錫爵復疏册立。
HCH_013_067_000082	上命三皇子俱停封。
HCH_013_067_000083	錫爵復疏爭之，略曰：「皇上旋止封王之命，再訂二三年册立之期，真古聖人從善轉圜之盛德。顧臣私憂過計，去年之命既改於今年，則焉知今年之命不改於他日？夫人情惟無疑則已，疑心一生，則將究及宮闈之隱情，慮及千萬世之流禍。」
HCH_013_067_000084	復曰：「皇長子年近加冠，未就外傅，從來所未聞。皇上縱欲少緩册立之期，豈可不先行豫教之禮？」
HCH_013_067_000085	上不允。
HCH_013_067_000086	尋降陳泰來、薛敷教、于孔兼、顧允成於外，削禮科張貞觀籍為民。
HCH_013_067_000087	八月，王錫爵以星變言：「天以皇上為子，皇上以太子為子，天子之象帝星，太子之象前星，方今禳彗，第一議莫如册立。」
HCH_013_067_000088	上慰答之。
HCH_013_067_000089	十一月，上御煖閣，召輔臣王錫爵。
HCH_013_067_000090	錫爵叩頭力請建儲。
HCH_013_067_000091	上允明年出閣聽講。
HCH_013_067_000092	尋又傳諭皇長子、皇三子齡歲相等，欲一併行出閣禮。
HCH_013_067_000093	錫爵復奏：「皇上有子而均愛之，均教之，固慈父一體之念。然自外廷而觀，皇長子明年十三歲，皇三子明年九歲，大抵皇子生十歲而入學，以皇長子之太遲，形皇三子之太早，先後緩急之間，一不慎而聖心又晦矣。」
HCH_013_067_000094	十二月，輔臣王錫爵等請皇長子先行冠禮，上報云：「東宮與王衮冕皮弁二服，冠則皆同，其服則異，今冠禮將何從，宜暫著常服出講。」
HCH_013_067_000095	二十二年二月，皇長子出閣講學，禮部侍郎馮琦進儀注，上以未册立，免侍衞儀仗。
HCH_013_067_000096	二十六年五月，吏科給事戴士衡、全椒知縣樊玉衡削籍謫戍。
HCH_013_067_000097	先是庚寅，山西按察使呂坤輯《閨範圖誌》，鄭國泰重刻之，增刊后妃，首漢明德皇后，終鄭貴妃。
HCH_013_067_000098	科臣戴士衡指其書上言，謂呂坤逢迎掖庭，菀枯之形已分，語侵貴妃。
HCH_013_067_000099	樊玉衡前疏皇長子册立中，亦有「皇上不慈，皇長子不孝，皇貴妃不智」等語。
HCH_013_067_000100	貴妃聞之，泣訴於上。
HCH_013_067_000101	會有援引歷代嫡庶廢立之事，著為一書，內刺張養蒙、劉道亨、魏允貞、鄭承恩、鄧光祚、洪其道、程紹、白所知、薛亨、呂坤等，名曰《憂危竑議》者，戚黨疑其書出士衡手，張位教之。
HCH_013_067_000102	鄭承恩遂上疏力辯，並奏士衡假造偽書，中傷善類，日為二衡，以激聖怒，欲併殺張位。
HCH_013_067_000103	上怒甚，二臣謫戍。
HCH_013_067_000104	六月，御史趙之翰以《憂危竑議》為戴士衡偽造，主於張位，預謀者徐作、劉楚先、劉應秋、楊廷蘭、萬建崑也。
HCH_013_067_000105	中旨禮部右侍郎劉楚先、都察院右都御史徐作罷，國子祭酒劉應秋降調，吏科左給事楊廷蘭、禮部主事萬建崑俱謫典史，張位先以密薦楊鎬東征失利，罷去，命值赦不宥。
HCH_013_067_000106	二十八年春正月，禮部尚書余繼登請先皇長子册立，而後冠禮可致祝，婚禮可致醮。
HCH_013_067_000107	大學士沈一貫請皇長子冠婚。
HCH_013_067_000108	不報。
HCH_013_067_000109	三月，南京禮部侍郎葉向高等乞行皇長子三禮。
HCH_013_067_000110	不報。
HCH_013_067_000111	己巳，移皇長子慈慶宮，再諭內閣，册立有期，羣臣不得瀆擾。
HCH_013_067_000112	夏四月，刑部主事謝廷讚請册立，謫貴州布政司照磨。
HCH_013_067_000113	戊寅，沈一貫密揭請撰勅。
HCH_013_067_000114	上報曰：「謝廷讚狂妄，少待之，俾天下臣民曉然知出自朕心。」
HCH_013_067_000115	秋七月癸卯，諭：「皇長子清弱，大禮稍俟之，百官毋沽名煩聒。」
HCH_013_067_000116	冬十月乙酉，諭內閣來春册儲。
