HCH_009_034_000079	大樂令帥工人入。
HCH_009_034_000080	禮直官各引祭官入，就位立定，奉禮曰：「眾官再拜。」
HCH_009_034_000081	贊者曰：「在位者皆再拜。」
HCH_009_034_000082	其先拜者不拜。
HCH_009_034_000083	禮直官進太尉之左曰：「有司謹具，請行事。」
HCH_009_034_000084	退復位。
HCH_009_034_000085	禮直官引光祿卿就瘞血所，又引祝史奉盤血降自西陛，至瘞位，光祿卿瘞血，訖，復位。
HCH_009_034_000086	祝史以盤還饌幔，以俟奉毛血豆。
HCH_009_034_000087	奉禮曰：「眾官再拜。」
HCH_009_034_000088	在位者皆再拜。
HCH_009_034_000089	諸太祝取玉幣於篚，各立於尊所。
HCH_009_034_000090	禮直官引太尉詣盥洗位。
HCH_009_034_000091	協律郎跪，俯伏，舉麾，樂作太簇宮《正甯之曲》。
HCH_009_034_000092	後盥洗同。
HCH_009_034_000093	至洗位南向立，樂止。
HCH_009_034_000094	搢笏，盥手、帨手訖，詣太社壇，樂作應鐘宮《嘉甯之曲》。
HCH_009_034_000095	後升壇同。
HCH_009_034_000096	升自北陛，樂止，南向立。
HCH_009_034_000097	太祝以玉帛西向授太尉，太尉受玉帛。
HCH_009_034_000098	禮神之玉奠於神前，瘞玉加於幣，配位不用玉。
HCH_009_034_000099	玉用兩圭有邸。
HCH_009_034_000100	盛以匣。
HCH_009_034_000101	瘞玉以玉石為之。
HCH_009_034_000102	帛用黑繒，長一丈八尺。
HCH_009_034_000103	樂作太簇宮《嘉甯之曲》，太稷同。
HCH_009_034_000104	禮直官引太尉進，南向跪奠於太社座前，俯伏，興。
HCH_009_034_000105	引太尉少退，詣褥位南向再拜。
HCH_009_034_000106	太祝以幣授太尉，太尉受幣，西向跪奠於後土神座前，俯伏，興。
HCH_009_034_000107	禮直官引太尉少退，西向再拜，訖，樂止。
HCH_009_034_000108	禮直官引太尉降自北陛，詣太稷壇，盥洗、升奠玉幣如太社後土之儀。
HCH_009_034_000109	祝史奉毛血入，各由其陛升，毛血豆系別置一豆。
HCH_009_034_000110	諸太祝迎取於壇上，俱進奠於神座前，祝史退立於樽所。
HCH_009_034_000111	太尉既升奠玉幣，太官令出帥進饌者，奉饌陳於西門外。
HCH_009_034_000112	禮直官引司徒出詣饌所，司徒奉太社之俎。
HCH_009_034_000113	諸太祝既奠毛血，禮直官太官令引太社太稷之饌入自正門，配座之饌入自左闥。
HCH_009_034_000114	饌初入門，樂作太簇宮《正甯之曲》，饌至陛，樂止。
HCH_009_034_000115	祝史俱進徹毛血豆，降自西陛以出。
HCH_009_034_000116	太社太稷之饌升自北陛，配座之饌升自西陛，諸太祝迎引於壇上，各於神座前設訖，禮直官引司徒已下降自西陛，樂作，復位，樂止。
HCH_009_034_000117	諸太祝還樽所。
HCH_009_034_000118	禮直官引太尉詣罍洗位，樂作，至位，樂止。
HCH_009_034_000119	盥手、洗爵訖，禮直官引太尉詣太社壇，升自北陛，樂作，至太社酒樽所，樂止。
HCH_009_034_000120	執樽者舉冪，執事者以爵授太尉，太尉執爵，太官令酌酒，訖，樂作太簇宮《阜甯之曲》。
HCH_009_034_000121	太稷同。
HCH_009_034_000122	太尉以爵授執事者。
HCH_009_034_000123	禮直官引太尉詣太社神座前，執事者以爵授太尉，南向跪奠爵，訖，以爵授執事者，俯伏，興。
HCH_009_034_000124	太尉少退，樂止。
HCH_009_034_000125	讀祝官與捧祝官進於神座前右，西向跪讀祝，讀訖，讀祝官就一拜，各還樽所。
HCH_009_034_000126	太尉拜訖，詣配位酒樽所。
HCH_009_034_000127	執事者舉冪，執事者以爵授太尉，太尉執爵，太官令酌酒，訖，樂作太簇宮《昭甯之曲》。
HCH_009_034_000128	太尉以爵授執事者。
HCH_009_034_000129	禮直官引太尉進後土神座前，執事者以爵授太尉，西向跪奠爵，訖，以爵授執事者，俯伏，興。
HCH_009_034_000130	太尉少退，樂止。
HCH_009_034_000131	讀祝如上儀。
HCH_009_034_000132	太尉再拜，訖，禮直官引太尉降自北陛，樂作，至罍洗位，樂止。
HCH_009_034_000133	盥手、洗爵訖，禮直官引太尉詣太稷壇，升自北陛，並如太社後土之儀，樂曲同。
HCH_009_034_000134	訖，禮直官引太尉還本位。
HCH_009_034_000135	亞、終獻，盥洗升獻並如太尉之儀。
HCH_009_034_000136	禮直官引終獻降復位，樂止。
HCH_009_034_000137	太祝各進徹豆，樂作應鐘宮《娛甯之曲》，還樽所，樂止。
HCH_009_034_000138	徹者籩豆各一，少移於故處。
HCH_009_034_000139	奉禮曰：「賜胙。」
HCH_009_034_000140	贊者曰：「眾官再拜。」
HCH_009_034_000141	在位者皆再拜。
HCH_009_034_000142	禮直官進太尉之右，請就望瘞位，御史博士從，南向立。
HCH_009_034_000143	於眾官將拜之前，太祝執篚進於神座前取玉幣，齋郎以俎載牲體、稷黍飯、爵酒體謂牲之左髀，各由其陛降壇，以玉幣饌物置於坎，訖，奉禮曰：「可瘞。」
HCH_009_034_000144	坎東西二人置土半坎，訖，禮直官進太尉之左曰：「禮畢。」
HCH_009_034_000145	遂引太尉出，祭官以下以次出。
HCH_009_034_000146	禮直官引御史博士以下俱複執事位，立定。
HCH_009_034_000147	奉禮曰：「再拜。」
HCH_009_034_000148	御史以下皆再拜，訖，出。
HCH_009_034_000149	工人以次出。
HCH_009_034_000150	祝版燔於齋坊。
HCH_009_034_000151	光祿卿以胙奉進，御史就位展視，光祿卿望闕再拜，乃退。
HCH_009_034_000152	其州郡祭享，一遵唐、宋舊儀。
HCH_009_034_000153	明昌五年，禮官言：「國之大事，莫重於祭。王者奉神靈，祈福祐，皆為民也。我國家自祖廟禘祫五享外，惟社稷、嶽鎮海瀆定為常祀，而天地日月風雨雷師其禮尚闕，宜詔有司講定儀注以聞。」
HCH_009_034_000154	尚書省奏：「天地日月，或親祀或令有司攝事。若風雨雷師乃中祀，合令有司攝之。且又州縣之所通祀者也，合先舉行。」
HCH_009_034_000155	制可。
HCH_009_034_000156	乃為壇于景豐門外東南，闕之巽地，歲以立春後醜日，以祀風師。
HCH_009_034_000157	牲、幣、進熟，如中祀儀。
HCH_009_034_000158	又為壇於端禮門外西南，闕之坤地，以立夏後申日以祀雨師，其儀如中祀，羊豕各一。
HCH_009_034_000159	是日，祭雷師於位下，禮同小祀，一獻，羊一，無豕。
HCH_009_034_000160	其祝稱：「天子謹遣臣某」雲。
HCH_009_034_000161	大定四年，禮官言：「嶽鎮海瀆，當以五郊迎氣日祭之。」
HCH_009_034_000162	詔依典禮以四立、土王日就本廟致祭，其在他界者遙祀。
HCH_009_034_000163	立春，祭東嶽於泰安州、東鎮於益都府、東海於萊州、東瀆大淮于唐州。
HCH_009_034_000164	立夏，望祭南嶽衡山、南鎮會稽山于河南府，南海、南瀆大江於萊州。
HCH_009_034_000165	季夏土王日，祭中嶽于河南府、中鎮霍山於平陽府。
