HCH_009_078_000061	或請厘革河南官吏之濫雜者，筈曰：「廢齊用兵江表，求一切近效，其所用人不必皆以章程，故有不由科目而為大吏，不試弓馬而握兵柄者。今撫定未久，姑收人心，奈何為是紛更也。」
HCH_009_078_000062	遂仍其舊。
HCH_009_078_000063	七年，帥府議于館陶築三城，以為有警即令北軍入居之。
HCH_009_078_000064	筈曰：「今天下一家，孰為南北。設或有變，軍人入城，獨能安耶。當嚴武備以察奸，無示彼此之間也。」
HCH_009_078_000065	其後，竟從筈議。
HCH_009_078_000066	初，以河外三州賜夏人，或言秦之在夏者數千人，皆願來歸。
HCH_009_078_000067	諸將請約之，筈曰：「三小州不足為輕重，恐失朝廷大信。且秦人之在蜀者倍多於此，何獨舍彼而取此乎。」
HCH_009_078_000068	遂從筈議。
HCH_009_078_000069	陝西邊帥請完沿邊城郭以備南寇，筈曰：「我利車騎而不利城守。今城之，則勞民而結怨。況盟已定，豈可妄動。」
HCH_009_078_000070	遂罷之。
HCH_009_078_000071	九年八月，拜司空。
HCH_009_078_000072	九月，拜平章政事，封吳國公，行台右丞相如故。
HCH_009_078_000073	天德元年，封滕王。
HCH_009_078_000074	二年，拜尚書右丞相兼中書令，進封鄭王。
HCH_009_078_000075	未幾，以疾求解政務，授燕京留守，進封曹王。
HCH_009_078_000076	居數月，乞致仕。
HCH_009_078_000077	筈自為宣徽使，以能得悼後意，致位宰相。
HCH_009_078_000078	海陵即位，意頗鄙之。
HCH_009_078_000079	及筈求致仕，詔略曰：「不為暗於臨事，不為諂於事君。未許告歸，姑從解職。」
HCH_009_078_000080	筈因慚懼而死，年五十八。
HCH_009_078_000081	子仲誨。
HCH_009_078_000082	仲誨字子忠。
HCH_009_078_000083	皇統初，以宰相子授忠勇校尉。
HCH_009_078_000084	九年，賜進士第，除應奉翰林文字。
HCH_009_078_000085	海陵嚴暴，臣下應對多失次。
HCH_009_078_000086	嘗以時政訪問在朝官，仲誨從容敷奏，無懼色，海陵稱賞之。
HCH_009_078_000087	貞元初，丁父憂，起複翰林修撰。
HCH_009_078_000088	大定二年，遷待制，尋兼修起居注、左補闕。
HCH_009_078_000089	三年，詔仲誨與左司員外郎蒲察蒲速越廉問所過州縣，仲誨等還奏狀，詔玉田縣令李方進一階，順州知法、權密雲縣事王宗永擢密雲縣尉，順州司候張璘、密雲縣尉石抹烏者皆免去。
HCH_009_078_000090	丁母憂，起複太子右諭德，遷翰林直學士、改棣州防禦使。
HCH_009_078_000091	厭次縣捕得強盜數十人，詣州欲以全獲希賞。
HCH_009_078_000092	仲誨疑其有冤，緩其獄。
HCH_009_078_000093	同僚曰：「縣境多盜，請置之法，以懲其餘。」
HCH_009_078_000094	仲誨乃擇老稚者先釋之。
HCH_009_078_000095	未幾，乃獲真盜。
HCH_009_078_000096	入為禮部侍郎兼左諭德，遷太子詹事兼左諫議大夫。
HCH_009_078_000097	上曰：「東宮官屬，尤當選用正人，如行檢不修及不稱位者，具以名聞。」
HCH_009_078_000098	又曰：「東宮講書或論議間，當以孝儉德行正身之事告之。」
HCH_009_078_000099	頃之，東宮請增牧人及張設什用，上謂仲誨曰：「太子生於富貴，每教之恭儉。朕服禦未嘗妄有增益，卿以此意諭之。」
HCH_009_078_000100	改御史中丞。
HCH_009_078_000101	十四年，為宋國歲元使，宋主欲變親起接書之儀，遣館伴王抃來議，曲辨強說，欲要以必從。
HCH_009_078_000102	仲誨曰：「使臣奉命，遠來修好，固欲成禮，而信約所載，非使臣輒敢變更。公等宋國腹心，毋僥倖一時，失大國歡。」
HCH_009_078_000103	往復再三，竟用舊儀，親起接書成禮而還。
HCH_009_078_000104	複為太子詹事，遷吏部尚書，轉太子少師兼御史中丞。
HCH_009_078_000105	坐失糾舉大長公主事，與侍御史李瑜各削一階。
HCH_009_078_000106	仲誨前後為東宮官且十五年，多進規戒，顯宗特加禮敬。
HCH_009_078_000107	大定十九年，卒。
HCH_009_078_000108	仲誨立朝峻整，容色莊重，世宗嘗曰：「朕見劉仲誨嘗若將切諫者。」
HCH_009_078_000109	其以剛嚴見知如此。
HCH_009_078_000110	頍字元矩。
HCH_009_078_000111	以大臣子孫充閣門祗候，調莘縣令，召為承奉班都知，遷西上閣門副使兼宮苑令，累遷西上、東上閣門使。
HCH_009_078_000112	泰和二年，宋盱眙軍報：明年賀正旦使魯<宜宜>、楊明輝。
HCH_009_078_000113	及過界，副使乃王處久。
HCH_009_078_000114	入見，魯<宜宜>殿上不雙跪。
HCH_009_078_000115	詔<宜宜>就閣詰問先報名銜楊明輝不復報改王處久之故，及不雙跪者。
HCH_009_078_000116	魯<宜宜>對，拜時並雙跪，有足疾似單跪者。
HCH_009_078_000117	初，南苑有唐舊碑，書「貞元十年御史大夫劉怦葬」。
HCH_009_078_000118	上見之曰：「苑中不宜有墓。」
HCH_009_078_000119	頍家本怦後，詔賜頍錢三百貫改葬之。
HCH_009_078_000120	三遷右宣徽使。
