HCH_012_132_000096	逾年，帥所部來歸。
HCH_012_132_000097	太祖知其才，使備宿衛。
HCH_012_132_000098	破張士誠兵於湖州，取池州石埭，攻婺源州，斬守將鐵木兒不花，拔其城，獲甲三千。
HCH_012_132_000099	擢元帥。
HCH_012_132_000100	下蘭溪、金華、諸暨。
HCH_012_132_000101	援池州，復太平，下龍興、吉安。
HCH_012_132_000102	大戰鄱陽，邀擊陳友諒於涇江口。
HCH_012_132_000103	從平武昌，還克廬州。
HCH_012_132_000104	拔安豐，破襄陽、安陸。
HCH_012_132_000105	取淮東，克舊館，降士誠將硃暹，遂取湖州。
HCH_012_132_000106	遷驍騎右衛親軍指揮使。
HCH_012_132_000107	進圍平江，弼軍盤門。
HCH_012_132_000108	士誠親帥銳士突圍，出西門搏戰，將奔常遇春軍。
HCH_012_132_000109	遇春分兵北濠，截其後，而別遣兵與戰。
HCH_012_132_000110	士誠軍殊死斗。
HCH_012_132_000111	遇春拊弼臂曰：「軍中皆稱爾健將，能為我取此乎？」
HCH_012_132_000112	弼應曰：「諾。」
HCH_012_132_000113	馳騎，揮雙刀奮擊。
HCH_012_132_000114	敵小卻。
HCH_012_132_000115	遇春帥眾乘之，吳兵大敗，人馬溺死沙盆潭者甚眾。
HCH_012_132_000116	士誠馬逸墮水，幾不救，肩輿入城，自是不敢復出。
HCH_012_132_000117	吳平，賞賚甚厚。
HCH_012_132_000118	從大軍征中原，下山東，略定河南北，遂取元都。
HCH_012_132_000119	克山西，走擴廓。
HCH_012_132_000120	自河中渡河，克陝西，進征察罕腦兒，師還。
HCH_012_132_000121	洪武三年，授大都督府僉事，世襲指揮使。
HCH_012_132_000122	十一年副西平侯沐英征西番，降朵甘諸酋及洮州十八族，殺獲甚眾。
HCH_012_132_000123	論功，封定遠侯，食祿二千石。
HCH_012_132_000124	十四年從傅友德征雲南，至大理，土酋段世扼龍尾關。
HCH_012_132_000125	弼以兵由洱水趨上關，與沐英兵夾擊之，拔其城，擒段世，鶴慶、麗江諸郡以次悉平。
HCH_012_132_000126	加祿五百石，予世券。
HCH_012_132_000127	二十年，以副將軍從馮勝北伐，降納哈出。
HCH_012_132_000128	明年復以副將軍從藍玉出塞。
HCH_012_132_000129	深入不見敵，玉欲引還。
HCH_012_132_000130	弼持不可，玉從之。
HCH_012_132_000131	進至捕魚兒海，以弼為前鋒，直薄敵營。
HCH_012_132_000132	走元嗣主脫古思帖木兒，盡獲其輜重，語在玉傳。
HCH_012_132_000133	二十三年奉詔還鄉。
HCH_012_132_000134	二十五年從馮勝、傅友德練軍山西、河南。
HCH_012_132_000135	明年同召還，先後賜死。
HCH_012_132_000136	爵除。
HCH_012_132_000137	弼子六人，女為楚王妃。
HCH_012_132_000138	藍玉，定遠人。
HCH_012_132_000139	開平王常遇春婦弟也。
HCH_012_132_000140	初隸遇春帳下，臨敵勇敢，所向皆捷。
HCH_012_132_000141	遇春數稱於太祖，由管軍鎮撫積功至大都督府僉事。
HCH_012_132_000142	洪武四年，從傅友德伐蜀，克綿州。
HCH_012_132_000143	五年從徐達北征，先出雁門，敗元兵於亂山，再敗之於土剌河。
HCH_012_132_000144	七年帥兵拔興和，獲其國公帖里密赤等五十九人。
HCH_012_132_000145	十一年同西平侯沐英討西番，擒其酋三副使，斬獲千計。
HCH_012_132_000146	明年，師還。
HCH_012_132_000147	封永昌侯，食祿二千五百石，予世券。
HCH_012_132_000148	十四年，以征南左副將軍從潁川侯傅友德征雲南，擒元平章達里麻於曲靖，梁王走死，滇地悉平。
HCH_012_132_000149	玉功為多，益祿五百石。
HCH_012_132_000150	冊其女為蜀王妃。
HCH_012_132_000151	二十年，以征虜左副將軍從大將軍馮勝征納哈出，次通州。
HCH_012_132_000152	聞元兵有屯慶州者，玉乘大雪，帥輕騎襲破之，殺平章果來，擒其子不蘭溪還。
HCH_012_132_000153	會大軍進至金山，納哈出遣使詣大將軍營納欸，玉往受降。
HCH_012_132_000154	納哈出以數百騎至，玉大喜，飲以酒。
HCH_012_132_000155	納哈出酌酒酬玉，玉解衣衣之，曰：「請服此而飲。」
HCH_012_132_000156	納哈出不肯服，玉亦不飲。
HCH_012_132_000157	爭讓久之，納哈出覆酒於地，顧其下咄咄語，將脫去。
HCH_012_132_000158	鄭國公常茂在坐，直前砍傷之，都督耿忠擁以見勝。
HCH_012_132_000159	其眾驚潰，遣降將觀童諭降之。
HCH_012_132_000160	還至亦迷河，悉降其餘眾。
HCH_012_132_000161	會馮勝有罪，收大將軍印，命玉行總兵官事，尋即軍中拜玉為大將軍，移屯薊州。
HCH_012_132_000162	時順帝孫脫古思帖木兒嗣立，擾塞上。
HCH_012_132_000163	二十一年三月，命玉帥師十五萬征之。
HCH_012_132_000164	出大寧，至慶州，諜知元主在捕魚兒海，間道兼程進至百眼井。
HCH_012_132_000165	去海四十里，不見敵，欲引還。
HCH_012_132_000166	定遠侯王弼曰：「吾輩提十餘萬眾，深入漠北，無所得，遽班師，何以覆命？」
HCH_012_132_000167	玉曰：「然。」
HCH_012_132_000168	令軍士穴地而爨，毋見煙火。
HCH_012_132_000169	乘夜至海南，敵營尚在海東北八十餘里。
HCH_012_132_000170	玉令弼為前鋒，疾馳薄其營。
HCH_012_132_000171	敵謂我軍乏水草，不能深入，不設備。
HCH_012_132_000172	又大風揚沙，晝晦。
HCH_012_132_000173	軍行，敵無所覺。
HCH_012_132_000174	猝至前，大驚。
HCH_012_132_000175	迎戰，敗之。
HCH_012_132_000176	殺太尉蠻子等，降其眾。
HCH_012_132_000177	元主與太子天保奴數十騎遁去。
HCH_012_132_000178	玉以精騎追之，不及。
HCH_012_132_000179	獲其次子地保奴、妃、公主以下百餘人。
HCH_012_132_000180	又追獲吳王朵兒只、代王達里麻及平章以下官屬三千人，男女七萬七千餘人，並寶璽、符敕金牌、金銀印諸物，馬駝牛羊十五萬餘。
HCH_012_132_000181	焚其甲仗蓄積無算。
HCH_012_132_000182	奏捷京師，帝大喜，賜敕褒勞，比之衛青、李靖。
HCH_012_132_000183	又破哈剌章營，獲人畜六萬。
HCH_012_132_000184	師還，進涼國公。
HCH_012_132_000185	明年命督修四川城池。
HCH_012_132_000186	二十三年，施南、忠建二宣撫司蠻叛，命玉討平之。
HCH_012_132_000187	又平都勻，安撫司散毛諸洞，益祿五百石，詔還鄉。
HCH_012_132_000188	二十四年命玉理蘭州、庄浪等七衛兵，以追逃寇祁者孫，遂略西番罕東之地。
HCH_012_132_000189	土酋哈昝等遁去。
HCH_012_132_000190	會建昌指揮使月魯帖木兒叛，詔移兵討之。
HCH_012_132_000191	至則都指揮瞿能等已大破其眾，月魯走柏興州。
HCH_012_132_000192	玉遣百戶毛海誘縛其父子，送京師誅之，而盡降其眾，因請增置屯衛。
HCH_012_132_000193	報可。
HCH_012_132_000194	復請籍民為兵，討朵甘、百夷。
HCH_012_132_000195	詔不許，遂班師。
HCH_012_132_000196	玉長身赬面，饒勇略，有大將才。
HCH_012_132_000197	中山、開平既沒，數總大軍，多立功。
HCH_012_132_000198	太祖遇之厚。
HCH_012_132_000199	浸驕蹇自恣，多蓄庄奴、假子，乘勢暴橫。
