HCH_009_010_000087	前河北西路轉連使李揚言慶陽府進士李獎純德博學，鄉曲譽之。
HCH_009_010_000088	絳州李天祺、應州康晉侯屢赴廷試，皆有才德。
HCH_009_010_000089	上曰：「文商可令召之。李獎給主簿半俸終身，余賜同進士出身。」
HCH_009_010_000090	遣國子祭酒劉璣冊李純佑為夏國王。
HCH_009_010_000091	丁亥，幸城南別宮。
HCH_009_010_000092	二月丁酉，初定長吏勸課能否賞格。
HCH_009_010_000093	尚書省奏：「禮官言孝懿皇太后祥除已久，宜易隆慶宮為東宮，慈訓殿為承華殿。」
HCH_009_010_000094	從之。
HCH_009_010_000095	詔購求《崇文總目》內所闕書籍。
HCH_009_010_000096	戊戌，祭社稷，以宣獻皇后忌辰，用熙寧祀儀，樂縣而不作。
HCH_009_010_000097	甲辰，鄆王琮薨。
HCH_009_010_000098	己酉，宰臣請罷北邊屯駐軍馬，不允。
HCH_009_010_000099	癸丑，以齊河縣民張涓、濟陽縣王琛、河州李錡急義好施，詔複之終身，仍著於令。
HCH_009_010_000100	命宣徽使移剌敏、戶部主事赤盞實理哥相視北邊營屯，經畫長久之計。
HCH_009_010_000101	三月壬申，初定限錢禁。
HCH_009_010_000102	庚辰，初定日月風雨雷師常祀。
HCH_009_010_000103	戊子，置弘文院，譯寫經書。
HCH_009_010_000104	夏四月壬辰朔，幸北苑。
HCH_009_010_000105	庚子，詔各路所舉德行才能之士，涿州時琦、雲中劉摯、鄭州李升、恩州傅礪、濟南趙摯、興中田扈方六人，並特賜同進士出身。
HCH_009_010_000106	以文商為國子教授，特遷登仕郎。
HCH_009_010_000107	己酉，詔自今筐櫝床榻之飾毋以金玉。
HCH_009_010_000108	壬子，特賜翰林待制溫蒂罕迪翰林學士承旨、中奉大夫。
HCH_009_010_000109	乙卯，幸景明宮，董師中、賈守謙、路鐸先後凡兩上封事切諫，不報。
HCH_009_010_000110	五月庚午，次烏十撒八。
HCH_009_010_000111	戊子，桓、撫二州旱，遣使禱於縉山。
HCH_009_010_000112	六月壬辰，如冰井。
HCH_009_010_000113	己亥，出獵。
HCH_009_010_000114	登胡土白山。
HCH_009_010_000115	酹酒再拜。
HCH_009_010_000116	曹王永升以下進酒。
HCH_009_010_000117	丙午，拜天，曲赦西北路，己未，如查沙秋山。
HCH_009_010_000118	是月，宋前主甗殂。
HCH_009_010_000119	七月戊辰，獵於豁赤火，一發貫雙鹿。
HCH_009_010_000120	是日，獲鹿二百二十二，賜扈從官有差。
HCH_009_010_000121	辛巳，次魯溫合失不。
HCH_009_010_000122	是日，上親射，獲黃羊四百七十一。
HCH_009_010_000123	乙酉，次冰井。
HCH_009_010_000124	丙戌，以天壽節，宴樞光殿，凡從官及承應人遇覃恩遷秩者，並受宣敕於殿前。
HCH_009_010_000125	時久雨初霽，有龍曳尾於殿前雲間。
HCH_009_010_000126	戊子，禦膳羹中有發，上舉視而棄之，戒左右毋宣言。
HCH_009_010_000127	八月辛亥，至自景明宮。
HCH_009_010_000128	壬子，河決陽武故堤，灌封丘而東。
HCH_009_010_000129	丁巳，賜從幸山后親軍銀、絹有差。
HCH_009_010_000130	九月戊午朔，天壽節，宋、高麗、夏遣使來賀。
