HCH_010_115_000090	九年、十年，來貢。
HCH_010_115_000091	大康二年三月，皇太后崩，遣使報哀。
HCH_010_115_000092	六月，使來弔祭。
HCH_010_115_000093	四年，王徽乞賜鴨淥江以東地，不許。
HCH_010_115_000094	九年八月，王徽薨，以徽子三韓國公勳權知國事。
HCH_010_115_000095	十二月，勳薨。
HCH_010_115_000096	大安元年，冊勳子運為國王。
HCH_010_115_000097	二年，遣使來謝封冊。
HCH_010_115_000098	三年，來貢。
HCH_010_115_000099	四年三月，免歲貢。
HCH_010_115_000100	五年、六年，連貢。
HCH_010_115_000101	九年，賜王運羊。
HCH_010_115_000102	十年，運薨，子昱遣使來告，即賻贈。
HCH_010_115_000103	壽隆元年，來貢。
HCH_010_115_000104	十一月，王昱病，命其子顒權知國事。
HCH_010_115_000105	二年，來貢。
HCH_010_115_000106	三年三月，王昱薨。
HCH_010_115_000107	五年，王顒乞封冊。
HCH_010_115_000108	六年，封顒為三韓國公。
HCH_010_115_000109	七年，道宗崩，天祚即位，改為乾統元年，報道宗哀，使來慰奠。
HCH_010_115_000110	十二月，遣使來賀。
HCH_010_115_000111	五年，三韓國公顒薨，子俁遣使來告。
HCH_010_115_000112	八年，封俁為三韓國公，贈其父顒為國王。
HCH_010_115_000113	十二月，遣使來謝。
HCH_010_115_000114	九年，來貢。
HCH_010_115_000115	天慶二年，王俁母薨，來告，遣使致祭，起復。
HCH_010_115_000116	三年，遣使來謝致祭，又來謝起復。
HCH_010_115_000117	十年，乞兵于高麗以禦金，而金人責之。
HCH_010_115_000118	至是遼國亡矣。
HCH_010_115_000119	西夏，本魏拓跋氏後，其地則赫連國也。
HCH_010_115_000120	遠祖思恭，唐季受賜姓曰李，涉五代至宋，世有其地。
HCH_010_115_000121	至李繼遷始大，據夏、銀、綏、宥、靜五州，緣境七鎮，其東西二十五驛，南北十餘驛。
HCH_010_115_000122	子德明，曉佛書，通法律，嘗觀太一金鑑訣、野戰歌，製番書十二卷，又製字若符篆。
HCH_010_115_000123	其俗，衣白窄衫，氊冠，冠後垂紅結綬。
HCH_010_115_000124	自號嵬名，設官分文武。
HCH_010_115_000125	其冠用金縷貼，間起雲，銀紙帖，緋衣，金塗銀帶，佩蹀躞、解錐、短刀、弓矢，穿靴，禿髮，耳重環，紫旋襴六襲。
HCH_010_115_000126	出入乘馬，張青蓋，以二旗前引，從者百餘騎。
HCH_010_115_000127	民庶衣青綠。
HCH_010_115_000128	革樂之五音為一音，裁禮之九拜為三拜。
HCH_010_115_000129	凡出兵先卜，有四：一炙勃焦，以艾灼羊胛骨；二擗筭，擗竹于地以求數，若揲蓍然；三呪羊，其夜牽羊，焚香禱之，又焚穀火于野，次晨屠羊，腸胃通則吉，羊心有血則敗；四矢擊絃，聽其聲，知勝負及敵至之期。
HCH_010_115_000130	病者不用醫藥，召巫者送鬼，西夏語以巫為「厮」也；或遷他室，謂之「閃病」。
HCH_010_115_000131	喜報仇，有喪則不伐人，負甲葉於背識之。
HCH_010_115_000132	仇解，用雞猪犬血和酒，貯於髑髏中飲之，乃誓曰：「若復報仇，穀麥不收，男女禿癩，六畜死，蛇入帳。」
HCH_010_115_000133	有力小不能復仇者，集壯婦，享以牛羊酒食，趨讎家縱火，焚其廬舍。
HCH_010_115_000134	俗曰敵女兵不祥，輒避去。
HCH_010_115_000135	訴于官，官擇舌辯氣直之人為和斷官，聽其屈直。
HCH_010_115_000136	殺人者，納命價錢百二十千。
HCH_010_115_000137	土產大麥、蓽豆、青稞、𢇲子、古子蔓、鹹地蓬實、蓯蓉苗、小蕪荑、席雞草子、地黃葉、登廂草、沙葱、野韭、拒灰蓧、白蒿、鹹地松實。
HCH_010_115_000138	民年十五為丁。
HCH_010_115_000139	有二丁者，取一為正軍。
HCH_010_115_000140	負擔雜使一人為抄，四丁為兩抄。
HCH_010_115_000141	餘人得射它丁，皆習戰鬬。
HCH_010_115_000142	正軍馬駝各一，每家自置一帳。
HCH_010_115_000143	團練使上，帳、弓、矢各一，馬五百疋，槖駝一，旗鼓五，槍、劍、棍棓、粆袋、雨氊、渾脫、鍬、钁、箭牌、鐵笊籬各一；刺史以下，人各一駝，箭三百，毛幕一；餘兵三人共一幕。
HCH_010_115_000144	有炮手二百人，號「潑喜」。
HCH_010_115_000145	勇健者號「撞令郎」。
HCH_010_115_000146	齎糧不過一旬。
HCH_010_115_000147	晝則舉煙、揚塵，夜則煹火為候。
HCH_010_115_000148	若獲人馬，射之，號曰殺鬼招魂。
HCH_010_115_000149	或射草縳人。
HCH_010_115_000150	出軍用單日，避晦日。
HCH_010_115_000151	多立虛寨，設伏兵。
HCH_010_115_000152	衣重甲，乘善馬，以鐵騎為前鋒，用鈎索絞聯，雖死馬上不落。
HCH_010_115_000153	其民俗勇悍，衣冠、騎乘、土產品物、子姓傳國，亦略知其大概耳。
HCH_010_115_000154	初，西夏臣宋有年，賜姓曰趙；迨遼聖宗統和四年，繼遷叛宋，始來附遼，授特進檢校太師、都督夏州諸軍事，遂復姓李。
HCH_010_115_000155	十月，遣使來貢。
HCH_010_115_000156	六年，入貢。
HCH_010_115_000157	七年，來貢，以王子帳耶律襄之女封義成公主，下嫁繼遷。
HCH_010_115_000158	八年正月，來謝。
HCH_010_115_000159	三月，又來貢。
HCH_010_115_000160	九月，繼遷遣使獻宋俘。
HCH_010_115_000161	十月，以敗宋軍來告。
HCH_010_115_000162	十二月，下宋麟、鄜等州，來告，遣使封繼遷為夏國王。
HCH_010_115_000163	九年二月，遣使告伐宋之捷。
HCH_010_115_000164	四月，遣李知白來謝封冊。
HCH_010_115_000165	七月，復綏、銀二州，來告。
HCH_010_115_000166	十月，繼遷以宋所授敕命，遣使來上。
HCH_010_115_000167	是月，定難軍節度使李繼捧來附，授開府儀同三司、檢校太師，兼侍中，封西平王，仍賜推忠效順啟聖定難功臣。
HCH_010_115_000168	十二月，繼遷潛附于宋，遣韓德威持詔諭之。
HCH_010_115_000169	十年二月，韓德威還，奏繼遷託故不出，至靈州俘掠以還。
HCH_010_115_000170	西夏遣使來奏德威俘掠，賜詔撫諭。
HCH_010_115_000171	十月，來貢。
HCH_010_115_000172	十二年，入貢。
HCH_010_115_000173	十三年，敗宋師，遣使來告。
HCH_010_115_000174	十四年，又來貢。
HCH_010_115_000175	十五年三月，以破宋兵來告，封繼遷為西平王。
HCH_010_115_000176	六月，遣使來謝封冊。
HCH_010_115_000177	十六年，來貢。
HCH_010_115_000178	十八年，授繼遷子德明朔方軍節度使。
HCH_010_115_000179	十九年，遣李文冀來貢。
HCH_010_115_000180	六月，奏下宋恒、環、慶三州，賜詔褒美。
HCH_010_115_000181	二十年，遣使來進馬、駝。
HCH_010_115_000182	六月，遣劉仁勗來告下靈州。
HCH_010_115_000183	二十一年，繼遷薨，其子德昭遣使來告。
HCH_010_115_000184	六月，贈繼遷尚書令，遣西上閤門使丁振弔慰。
HCH_010_115_000185	八月，德昭遣使來謝弔贈。
HCH_010_115_000186	二十二年三月，德昭遣使上繼遷遺留物。
HCH_010_115_000187	七月，封德昭為西平王。
HCH_010_115_000188	十月，遣使來謝封冊。
HCH_010_115_000189	二十三年，下宋青城，來告。
HCH_010_115_000190	二十五年，德昭母薨，遣使弔祭，起復。
HCH_010_115_000191	二十七年，承天皇太后崩，遣使報哀于夏。
HCH_010_115_000192	二十八年，遣使冊德昭為夏國王。
HCH_010_115_000193	開泰元年，德昭遣使進良馬。
HCH_010_115_000194	二年，遣引進使李延弘賜夏國王李德昭及義成公主車馬。
HCH_010_115_000195	太平元年，來貢。
HCH_010_115_000196	十一年，聖宗崩，報哀于夏，德昭遣使來進賻幣。
HCH_010_115_000197	興宗即位，以興平公主下嫁李元昊，以元昊為駙馬都尉。
HCH_010_115_000198	重熙元年，夏國遣使來賀。
HCH_010_115_000199	李德昭薨，冊其子夏國公元昊為王。
HCH_010_115_000200	二年，來貢。
HCH_010_115_000201	十二月，禁夏國使沿路私市公鐵。
HCH_010_115_000202	七年，來貢。
HCH_010_115_000203	李元昊與興平公主不諧，公主薨，遣北院承旨耶律庶成持詔問之。
HCH_010_115_000204	九年，宋遣郭禎以伐夏來報。
HCH_010_115_000205	十年，夏國獻所俘宋將及生口。
HCH_010_115_000206	十一年，遣使問宋興師伐夏之由。
HCH_010_115_000207	十二月，禁吐渾鬻馬于夏，沿邊築障塞以防之。
HCH_010_115_000208	十二年正月，遣同知析津府事耶律敵烈、樞密都承旨王惟吉諭夏國與宋和。
