HCH_013_040_000071	事下廷議，通事王英言：「罕東及野也克力諸部怨土魯番刺骨，撫而用之，皆吾兵也。西域使者方扣關互市為利，我聲阿黑麻罪，謝勿與通。令彼窮而歸怨，皆吾間也。」
HCH_013_040_000072	而廷議皆欲命海以檄往，如土魯番歸陝巴，聽予貢；否則留前使勿遣，而絕其後使。
HCH_013_040_000073	上從之。
HCH_013_040_000074	海等至甘州，遣哈密人齎璽書往責阿黑麻歸陝巴，不報。
HCH_013_040_000075	乃修嘉峪關，捕哈密奸回通阿黑麻者二十餘人，奏請戍廣西。
HCH_013_040_000076	七年春三月，下張海、侯謙于獄。
HCH_013_040_000077	張海等不候命，遽歸，上言：「西域遠方，勢難興師。哈密存亡，不必過煩中國。」
HCH_013_040_000078	上怒其無功，下海、謙獄，黜之。
HCH_013_040_000079	馬文升乃請：「安置寫亦滿等四十餘人于閩、廣，示懲創。而稍用王英策，閉嘉峪關，命西域諸賈人歸怨阿黑麻，以攜其黨。」
HCH_013_040_000080	從之。
HCH_013_040_000081	乃閉嘉峪關，絕西域貢。
HCH_013_040_000082	時西域諸胡皆言：「成化間，我入貢，皇帝先遣中貴人迓我河南，至京宴賜甚伙。今不撫我，我泛海萬里貢獅子，謂我開海道，却不受。即從河西貢者，賞宴亦薄。天朝棄絕我，相率從阿黑麻，且拒命，中國能奈我何！」
HCH_013_040_000083	阿黑麻遂復入據哈密，自稱可汗，大掠罕東諸郡。
HCH_013_040_000084	諜言：「土魯番用雲梯攻肅州，且躪甘州。」
HCH_013_040_000085	文升曰：「是虛聲恫喝我耳！土魯番至哈密十數程，中經黑風川，哈密至苦峪又數程，皆絕水草，貢使往返䭾水行。我第整師旅，謹斥堠，俟彼至肅州，出奇縱擊，以逸待勞，可匹馬不返也。」
HCH_013_040_000086	八年春正月，阿黑麻西去，留其將牙蘭與撒他兒率精銳二百守哈密。
HCH_013_040_000087	牙蘭機警，驍勇絕人，能并開六弓，夜宿十徙，雖近人莫知所在。
HCH_013_040_000088	哈密脅從者，皆懾服不敢動。
HCH_013_040_000089	其雄黠者反從之，教以撓中國之術。
HCH_013_040_000090	馬文升聞之，曰：「是可襲而執也。」
