HCH_011_045_000052	還復領軍將軍。
HCH_011_045_000053	侯景浮江西寇，軍次夏首。
HCH_011_045_000054	僧辯爲大都督，率巴州刺史淳于量、定州刺史杜龕、宜州刺史王琳、郴州刺史裴之橫等，俱赴西陽。
HCH_011_045_000055	軍次巴陵，聞郢州已沒，僧辯因據巴陵城。
HCH_011_045_000056	世祖乃命羅州刺史徐嗣徽、武州刺史杜崱並會僧辯于巴陵。
HCH_011_045_000057	景旣陷郢城，兵衆益廣，徒黨甚銳，將進寇荊州。
HCH_011_045_000058	乃使偽儀同丁和統兵五千守江夏，大將宋子仙前驅一萬造巴陵，景悉凶徒水步繼進。
HCH_011_045_000059	於是緣江戍邏，望風請服，賊拓邏至于隱磯。
HCH_011_045_000060	僧辯悉上江渚米糧，並沉公私船於水。
HCH_011_045_000061	及賊前鋒次江口，僧辯乃分命衆軍，乘城固守，偃旗臥鼓，安若無人。
HCH_011_045_000062	翌日，賊衆濟江，輕騎至城下，問：「城內是誰？」
HCH_011_045_000063	答曰：「是王領軍。」
HCH_011_045_000064	賊曰：「語王領軍，事勢如此，何不早降？」
HCH_011_045_000065	僧辯使人答曰：「大軍但向荊州，此城自當非礙。僧辯百口在人掌握，豈得便降。」
HCH_011_045_000066	賊騎旣去，俄爾又來，曰：「我王已至，王領軍何爲不出與王相見邪？」
HCH_011_045_000067	僧辯不答。
HCH_011_045_000068	頃之，又執王珣等至於城下，珣爲書誘說城內。
HCH_011_045_000069	景帥船艦並集北寺，又分入港中，登岸治道，廣設氈屋，耀軍城東隴上，芟除草芿，開八道向城，遣五千兔頭肉薄苦攻。
HCH_011_045_000070	城內同時鼓噪，矢石雨下，殺賊旣多，賊乃引退。
HCH_011_045_000071	世祖又命平北將軍胡僧祐率兵下援僧辯。
HCH_011_045_000072	是日，賊復攻巴陵，水步十處，鳴鼓吹脣，肉薄斫上。
HCH_011_045_000073	城上放木擲火爨昚石，殺傷甚多。
HCH_011_045_000074	午後賊退，乃更起長柵繞城，大列舸艦，以樓船攻水城西南角；又遣人渡洲岸，引䍧柯推蝦蟆車填壍，引障車臨城，二日方止。
HCH_011_045_000075	賊又於艦上豎木桔禋，聚茅置火，以燒水柵，風勢不利，自焚而退。
HCH_011_045_000076	旣頻戰挫衂，賊帥任約又爲陸法和所擒，景乃燒營夜遁，旋軍夏首。
HCH_011_045_000077	世祖策勳行賞，以僧辯爲征東將軍、開府儀同三司、江州刺史，封長寧縣公。
HCH_011_045_000078	於是世祖命僧辯卽率巴陵諸軍，沿流討景。
HCH_011_045_000079	師次郢城，步攻魯山。
HCH_011_045_000080	魯山城主支化仁，景之騎將也，率其黨力戰，衆軍大破之，化仁乃降。
HCH_011_045_000081	僧辯仍督諸軍渡江攻郢，卽入羅城。
HCH_011_045_000082	宋子仙蟻聚金城拒守，攻之未剋。
HCH_011_045_000083	子仙使其黨時靈護率衆三千，開門出戰，僧辯又大破之，生擒靈護，斬首千級。
HCH_011_045_000084	子仙衆退據倉門，帶江阻險，衆軍攻之，頻戰不剋。
HCH_011_045_000085	景旣聞魯山已沒，郢鎮復失羅城，乃率餘衆倍道歸建業。
