HCH_010_038_000088	相去一百四十里。
HCH_010_038_000089	穆州，保和軍，刺史。
HCH_010_038_000090	本渤海會農郡，故縣四：會農、水歧、順化、美縣，皆廢。
HCH_010_038_000091	戶三百。
HCH_010_038_000092	隸開州。
HCH_010_038_000093	東北至開州一百二十里。
HCH_010_038_000094	統縣一：會農縣。
HCH_010_038_000095	賀州，刺史。
HCH_010_038_000096	本渤海吉理郡，故縣四：洪賀、送誠、吉理、石山，皆廢。
HCH_010_038_000097	戶三百。
HCH_010_038_000098	隸開州。
HCH_010_038_000099	定州，保寧軍。
HCH_010_038_000100	高麗置州，故縣一，曰定東。
HCH_010_038_000101	聖宗統和十三年升軍，遷遼西民實之。
HCH_010_038_000102	隸東京留守司。
HCH_010_038_000103	統縣一：定東縣。
HCH_010_038_000104	高麗所置，遼徙遼西民居之。
HCH_010_038_000105	戶八百。
HCH_010_038_000106	保州，宣義軍，節度。
HCH_010_038_000107	高麗置州，故縣一，曰來遠。
HCH_010_038_000108	聖宗以高麗王詢擅立，問罪不服，統和末，高麗降，<七>開泰三年取其保、定二州，於此置榷場。
HCH_010_038_000109	隸東京統軍司。
HCH_010_038_000110	統州、軍二，縣一：來遠縣。
HCH_010_038_000111	初徙遼西諸縣民實之，又徙奚、漢兵七百防戍焉。
HCH_010_038_000112	戶一千。
HCH_010_038_000113	宣州，定遠軍，刺史。
HCH_010_038_000114	開泰三年徙漢戶置。
HCH_010_038_000115	隸保州。
HCH_010_038_000116	懷化軍，下，刺史。
HCH_010_038_000117	開泰三年置。
HCH_010_038_000118	隸保州。
HCH_010_038_000119	辰州，奉國軍，節度。
HCH_010_038_000120	本高麗蓋牟城。
HCH_010_038_000121	唐太宗會李世攻破蓋牟城，即此。
HCH_010_038_000122	渤海改爲蓋州，又改辰州，以辰韓得名。
HCH_010_038_000123	井邑駢列，最爲沖會。
HCH_010_038_000124	遼徙其民於祖州。
HCH_010_038_000125	初曰長平軍。
HCH_010_038_000126	戶二千。
HCH_010_038_000127	隸東京留守司。
HCH_010_038_000128	統縣一：建安縣。
HCH_010_038_000129	盧州，玄德軍，刺史。
HCH_010_038_000130	本渤海杉盧郡，故縣五：山陽、杉盧、漢陽、白岩、霜岩，皆廢。
HCH_010_038_000131	戶三百。
HCH_010_038_000132	在京東一百三十里。
HCH_010_038_000133	兵事屬南女直湯河司。
HCH_010_038_000134	統縣一：熊嶽縣。
HCH_010_038_000135	西至海一十五里，傍海有熊嶽山。
HCH_010_038_000136	來遠城。
HCH_010_038_000137	本熟女直地。
