HCH_012_175_000058	景泰元年二月，師至廣州。
HCH_012_175_000059	賊舟千餘艘，勢甚熾，而征兵未至，諸將請濟師。
HCH_012_175_000060	軾曰：「廣民延頸久矣，即以狼兵往擊，猶拉朽耳。」
HCH_012_175_000061	興從之。
HCH_012_175_000062	既而兵大集，進至大洲擊賊，殺溺死者萬餘人，余多就撫。
HCH_012_175_000063	蕭養中流矢死，函首以獻，俘其父及子等，余黨皆伏誅。
HCH_012_175_000064	論功，進右都督，留鎮廣東。
HCH_012_175_000065	給事中黃士俊劾興寬縱，降其官。
HCH_012_175_000066	明年復職。
HCH_012_175_000067	久之，召還，分督京營。
HCH_012_175_000068	與曹吉祥結姻，冒「奪門」功，封海寧伯。
HCH_012_175_000069	未幾，充總兵官，鎮遼東，予世券。
HCH_012_175_000070	議革「奪門」者爵，興以守邊得免。
HCH_012_175_000071	吉祥誅，乃奪興爵，仍右都督，發廣西立功。
HCH_012_175_000072	以錦衣李貴薦，復爵，總兵宣府，再予世券。
HCH_012_175_000073	憲宗嗣位，罷還。
HCH_012_175_000074	已，停世襲。
HCH_012_175_000075	家居十餘年卒。
HCH_012_175_000076	何洪，全椒人。
HCH_012_175_000077	嗣世職，為成都前衛指揮使。
HCH_012_175_000078	正統中，從征麓川。
HCH_012_175_000079	景泰末，從征天柱、銅鼓。
HCH_012_175_000080	皆有功。
HCH_012_175_000081	屢遷都指揮使，掌四川都司事，與平東苗。
HCH_012_175_000082	憲宗即位，論功，擢都督僉事。
HCH_012_175_000083	巡撫汪浩乞留洪四川，許之。
HCH_012_175_000084	德陽人趙鐸反，自稱趙王，漢州諸賊皆歸之。
HCH_012_175_000085	連番眾，數陷城，殺將吏。
HCH_012_175_000086	遣其黨何文讓及僧悟升掠安嶽諸縣。
HCH_012_175_000087	洪斬悟升，生擒文讓。
HCH_012_175_000088	鐸將逼成都，官軍分三路討。
HCH_012_175_000089	洪偕都指揮寧用趨彰明，賊引去。
HCH_012_175_000090	追至梓潼朱家河，力戰，賊少卻。
HCH_012_175_000091	洪乘勝陷陣，後軍不繼，為賊所圍，左右跳蕩，殺賊甚眾，力竭而死。
HCH_012_175_000092	洪勇敢，善撫士，號令嚴，蜀將無及之者。
HCH_012_175_000093	既死，官軍奪氣。
HCH_012_175_000094	而四川都指揮僉事臨淮劉雄亦戰死。
HCH_012_175_000095	雄剛勁，遇敵輒前，嘗捕賊漢州，生擒七十餘人。
HCH_012_175_000096	及鐸亂，追之羅江大水河，手馘數人，賊連敗。
HCH_012_175_000097	千戶周鼎傷，雄前救之，徑奔賊陣，叢刺死。
HCH_012_175_000098	詔贈洪都督同知，予祭葬，子節襲都指揮僉事。
HCH_012_175_000099	雄贈都指揮同知，賜祭，命子襲職，超二官。
HCH_012_175_000100	洪雖死，綿竹典史蕭讓帥鄉兵擊鐸，破之。
HCH_012_175_000101	官兵頻進擊，其黨稍散去。
HCH_012_175_000102	鐸勢孤，帥余賊趨彰明。
HCH_012_175_000103	千戶田儀等設伏梓潼，而參將周貴直搗其巢。
HCH_012_175_000104	賊大敗，夜奔石子嶺。
HCH_012_175_000105	儀亟進，斬鐸，賊盡平。
HCH_012_175_000106	成化元年五月也。
HCH_012_175_000107	劉玉，字仲璽，磁州人。
HCH_012_175_000108	生有膂力，給侍曹吉祥家。
HCH_012_175_000109	從征麓川，授副千戶，積功至都指揮僉事，天順元年以「奪門」功進都督僉事，尋充右參將，守備潯州。
HCH_012_175_000110	慶遠蠻剽博白及廣東之寧川，玉偕左參將範信邀擊，敗之。
