HCH_012_300_000071	後歸太祖，授中書省令史。
HCH_012_300_000072	洪武五年歷官吏部尚書。
HCH_012_300_000073	六年改太常司卿。
HCH_012_300_000074	明年四月，御史臺言：「本奉職不謹，郊壇牲角非繭栗，功臣廟壞不修。」
HCH_012_300_000075	詔免官，罰役功臣廟。
HCH_012_300_000076	已，釋為北平按察司僉事。
HCH_012_300_000077	帝召本及同時被命楊基、答祿與權，諭之曰：「風憲之設，在肅紀綱，清吏治，非專理刑名。爾等往修厥職，務明大體，毋效俗吏拘繩墨。善雖小，為之不已，將成全德；過雖小，積之不已，將為大憝。不見干雲之臺，由寸土之積，燎原之火，由一爝之微，可不慎哉！」
HCH_012_300_000078	本等頓首受命，尋復累遷太常司卿。
HCH_012_300_000079	逾二年卒，無子，賜葬鐘山之陰。
HCH_012_300_000080	馬全，洪武中為光祿少卿。
HCH_012_300_000081	其女，乃惠帝后也。
HCH_012_300_000082	燕兵陷都城，全不知所終。
HCH_012_300_000083	張麒，永城人。
HCH_012_300_000084	洪武二十九年以女為燕世子妃，授兵馬副指揮。
HCH_012_300_000085	世子為太子，進京衛指揮使，尋卒。
HCH_012_300_000086	仁宗即位，追封彭城伯，謚恭靖，後進侯。
HCH_012_300_000087	二子昶、升，並昭皇后兄也。
HCH_012_300_000088	昶從成祖起兵取大寧，戰鄭村壩，俱有功，授義勇中衛指揮同知。
HCH_012_300_000089	已，援蘇州，敗遼東軍，還佐世子守北平。
HCH_012_300_000090	永樂初，累官錦衣衛指揮使。
HCH_012_300_000091	昶嘗有過，成祖戒之曰：「戚畹最當守法，否則罪倍常人。汝今富貴，能不忘貧賤，驕逸何自生。若奢傲放縱，陵虐下人，必不爾恕，慎之。」
HCH_012_300_000092	昶頓首謝。
HCH_012_300_000093	仁宗立，擢中軍都督府左都督，俄封彭城伯，子孫世襲。
HCH_012_300_000094	洪熙改元，命掌五軍右哨軍馬。
HCH_012_300_000095	英宗嗣位，年幼，太皇太后召昶兄弟誡諭之，凡朝政弗令預。
HCH_012_300_000096	昶兄弟素恭謹，因訓飭益自斂。
HCH_012_300_000097	正統三年卒。
HCH_012_300_000098	長子輔病廢，子瑾嗣。
HCH_012_300_000099	以伯爵封輔，命未下而輔卒。
HCH_012_300_000100	初，昶私蓄奄人，瑾匿不舉。
HCH_012_300_000101	事發，下獄，已，獲釋。
HCH_012_300_000102	瑾從弟玘，天順中，官錦衣衛副千戶。
HCH_012_300_000103	飲千戶呂宏家，醉抽刀刺宏死，法當斬，有司援議親末滅。
HCH_012_300_000104	詔不從，迄如律。
HCH_012_300_000105	成化十六年，瑾卒，子信嗣。
HCH_012_300_000106	其後裔嗣封，見《世表》。
HCH_012_300_000107	升，字叔暉。
