HCH_012_140_000098	開郡學，聘葉儀、宋濂為《五經》師；戴良為學正；吳沈、徐源等為訓導。
HCH_012_140_000099	自兵興，學校久廢，至是始聞弦誦聲。
HCH_012_140_000100	未幾，卒官。
HCH_012_140_000101	太祖之下婺也，又以王興宗為金華知縣。
HCH_012_140_000102	興宗，故隸人也，李善長、李文忠皆以為不可。
HCH_012_140_000103	太祖曰：「興宗從我久，勤廉能斷，儒生法吏莫先也。」
HCH_012_140_000104	居三年，果以治行聞。
HCH_012_140_000105	遷判南昌，改知嵩州。
HCH_012_140_000106	時方籍民為軍，興宗奏曰：「元末聚民為兵，散則仍為民。今軍民分矣，若籍為軍，則無民，何所征賦？」
HCH_012_140_000107	帝曰：「善。」
HCH_012_140_000108	遷懷慶知府。
HCH_012_140_000109	上計至京，帝以事詰諸郡守，至興宗，獨曰：「是守公勤不貪，不須問。」
HCH_012_140_000110	再遷蘇州，擢河南布政使。
HCH_012_140_000111	陛辭，帝曰：「久不見爾，老矣，我須亦白。」
HCH_012_140_000112	宴而遣之，益勤其職。
HCH_012_140_000113	後坐累得白，卒於官。
HCH_012_140_000114	同時有呂文燧，字用明，永康人。
HCH_012_140_000115	元末盜起，文燧散家財，募壯士得三千人，與盜連戰，破走之。
HCH_012_140_000116	三授以官，皆不受。
HCH_012_140_000117	太祖定婺，置永康翼，以文燧為左副元帥兼知縣事。
HCH_012_140_000118	尋召為營田司經歷，擢知廬州府。
HCH_012_140_000119	浙西平，徙知嘉興。
HCH_012_140_000120	松江民作亂，寇嘉興，文燧柵內署，帥壯士拒守。
HCH_012_140_000121	李文忠援至，賊就擒，諸將因欲屠城。
HCH_012_140_000122	文燧曰：「作亂者賊也，民何罪？」
HCH_012_140_000123	力止之。
HCH_012_140_000124	滿三載，入朝。
HCH_012_140_000125	奉詔持節諭阇婆國，次興化，疾卒。
HCH_012_140_000126	明年，嘉興佐貳以下坐鹽法死者數十人，有司以文燧嘗署名公牘，請籍其家。
HCH_012_140_000127	帝曰：「文燧誠信，必不為奸利，且沒於使事，可念也，勿籍。」
HCH_012_140_000128	一時郡守以治行稱者，又有王興福、蘇恭讓二人。
HCH_012_140_000129	興福，隨人。
HCH_012_140_000130	初守徵州，有善政，遷杭州。
HCH_012_140_000131	杭初附，人心未安。
HCH_012_140_000132	興福善撫輯，民甚德之。
HCH_012_140_000133	秩滿當遷，郡人遮道攀留。
HCH_012_140_000134	興福諭遣之曰：「非余能惠父老，父老善守法耳。」
HCH_012_140_000135	太祖嘉之，擢吏部尚書。
HCH_012_140_000136	坐事左遷西安知府，卒官。
HCH_012_140_000137	恭讓，玉田人。
HCH_012_140_000138	舉「聰明正直」。
HCH_012_140_000139	任漢陽知府，為治嚴明而不苛。
HCH_012_140_000140	有重役，輒詣上官反復陳說，多得減省。
HCH_012_140_000141	而知漢陽縣者趙庭蘭，徐人。
HCH_012_140_000142	亦能愛民任事。
HCH_012_140_000143	朝廷嘗遣使征陳氏散卒，他縣多以民丁應，庭蘭獨言縣無有。
HCH_012_140_000144	漢陽人言郡守則稱「恭讓」，言縣令則稱「庭蘭」雲。
HCH_012_140_000145	王觀，字尚賓，祥符人。
HCH_012_140_000146	性耿介，儀度英偉，善談論。
HCH_012_140_000147	由鄉薦入太學，擢知蘇州府。
HCH_012_140_000148	公廉有威。
HCH_012_140_000149	黠吏錢英屢陷長官，觀捶殺之。
HCH_012_140_000150	事聞，太祖遣行人賫敕褒之，勞以禦酒。
HCH_012_140_000151	歲大，民多逋賦，部使者督甚急。
HCH_012_140_000152	觀置酒，延諸富人，勸貸貧民償，辭指誠懇，富人皆感動，逋賦以完。
HCH_012_140_000153	朝廷嘉其能，榜以勵天下。
HCH_012_140_000154	守蘇者前有季亨、魏觀，後有姚善、況鐘，皆賢，稱「姑蘇五太守」，並祀學宮。
HCH_012_140_000155	楊卓，字自立，泰和人。
HCH_012_140_000156	洪武四年進士，授吏部主事。
HCH_012_140_000157	逾年，遷廣東行省員外郎。
HCH_012_140_000158	田家婦獨行山中，遇伐木卒，欲亂之。
HCH_012_140_000159	婦不從，被殺。
HCH_012_140_000160	官拷同役卒二十人，皆引服。
HCH_012_140_000161	卓曰：：「卒人眾，必善惡異也，可盡抵罪乎？」
HCH_012_140_000162	列二十人庭下，熟視久之，指兩卒曰：「殺人者，汝也！」
HCH_012_140_000163	兩卒大驚，服罪。
HCH_012_140_000164	坐事謫田鳳陽，復起為杭州通判。
HCH_012_140_000165	有兄弟爭田者，累歲不決，卓至，垂涕開諭，遂罷爭。
HCH_012_140_000166	卓精吏事，吏不能欺。
HCH_012_140_000167	而治平恕，民悅服焉。
HCH_012_140_000168	病免，卒。
HCH_012_140_000169	卓同邑羅性，字子理。
HCH_012_140_000170	洪武初舉於鄉，授德安同知。
HCH_012_140_000171	有大盜久不獲，株連繫獄者數百人。
HCH_012_140_000172	性至郡，悉出所系。
HCH_012_140_000173	約十日得賊即盡貸。
HCH_012_140_000174	眾叩頭願盡力，七日果得。
HCH_012_140_000175	嘗治蔬圃，得窖鐵萬餘斤。
