HCH_011_043_000062	左民郎沈炯、少府丞顧璵嘗奏事不允，高祖厲色呵責之；子四乃趨前代炯等對，言甚激切，高祖怒呼縛之，子四據地不受，高祖怒亦止，乃釋之。
HCH_011_043_000063	猶坐免職。
HCH_011_043_000064	及侯景反，攻陷歷陽，自橫江將渡，子一帥舟師千餘人，於下流欲邀之，其副董桃生家在江北，因與其黨散走。
HCH_011_043_000065	子一乃退還南洲，復收餘衆，步道赴京師。
HCH_011_043_000066	賊亦尋至，子一啓太宗曰：「賊圍未合，猶可出蕩，若營柵一固，無所用武。」
HCH_011_043_000067	請與其弟子四、子五帥所領百餘人，開承明門挑賊。
HCH_011_043_000068	許之。
HCH_011_043_000069	子一乃身先士卒，抽戈獨進，群賊夾攻之，從者莫敢繼。
HCH_011_043_000070	子四、子五見事急，相引赴賊，並見害。
HCH_011_043_000071	詔曰：「故戎昭將軍、通直散騎侍郎、南津校尉江子一，前尚書右丞江子四，東宮直殿主帥子五，禍故有聞，良以矜惻，死事加等，抑惟舊章。可贈子一給事黃門侍郎，子四中書侍郎，子五散騎侍郎。」
HCH_011_043_000072	侯景平，世祖又追贈子一侍中，諡義子；子四黃門侍郎，諡毅子；子五中書侍郎，諡烈子。
HCH_011_043_000073	子一續《黃圖》及班固「九品」，並辭賦文筆數十篇，行於世。
HCH_011_043_000074	張嵊字四山，鎮北將軍稷之子也。
HCH_011_043_000075	少方雅，有志操，能清言。
HCH_011_043_000076	父臨青州，爲土民所害，嵊感家禍，終身蔬食布衣，手不執刀刃。
HCH_011_043_000077	州舉秀才。
HCH_011_043_000078	起家秘書郎，累遷太子舍人、洗馬、司徒左西掾、中書郎。
HCH_011_043_000079	出爲永陽內史，還除中軍宣城王司馬、散騎常侍。
HCH_011_043_000080	又出爲鎮南湘東王長史、尋陽太守。
HCH_011_043_000081	中大同元年，徵爲太府卿，俄遷吳興太守。
HCH_011_043_000082	太清二年，侯景圍京城，嵊遣弟伊率郡兵數千人赴援。
HCH_011_043_000083	三年，宮城陷，御史中丞沈浚違難東歸。
HCH_011_043_000084	嵊往見而謂曰：「賊臣憑陵，社稷危恥，正是人臣效命之秋。今欲收集兵力，保據貴鄉。若天道無靈，忠節不展，雖復及死，誠亦無恨。」
HCH_011_043_000085	浚曰：「鄙郡雖小，仗義拒逆，誰敢不從！」
HCH_011_043_000086	固勸嵊舉義。
HCH_011_043_000087	於是收集士卒，繕築城壘。
HCH_011_043_000088	時邵陵王東奔至錢唐，聞之，遣板授嵊征東將軍，加秩中二千石。
HCH_011_043_000089	嵊曰：「朝廷危迫，天子蒙塵，今日何情，復受榮號。」
HCH_011_043_000090	留板而已。
HCH_011_043_000091	賊行台劉神茂攻破義興，遣使說嵊曰：「若早降附，當還以郡相處，復加爵賞。」
HCH_011_043_000092	嵊命斬其使，仍遣軍主王雄等帥兵於鱧瀆逆擊之，破神茂，神茂退走。
HCH_011_043_000093	侯景聞神茂敗，乃遣其中軍侯子鑒帥精兵二萬人，助神茂以擊嵊。
HCH_011_043_000094	嵊遣軍主范智朗出郡西拒戰，爲神茂所敗，退歸。
HCH_011_043_000095	賊騎乘勝焚柵，柵內衆軍皆土崩。
HCH_011_043_000096	嵊乃釋戎服，坐於聽事，賊臨之以刃，終不爲屈。
HCH_011_043_000097	乃執嵊以送景，景刑之於都市，子弟同遇害者十餘人，時年六十二。
HCH_011_043_000098	賊平，世祖追贈侍中、中衛將軍、開府儀同三司。
HCH_011_043_000099	諡曰忠貞子。
HCH_011_043_000100	沈浚字叔源，吳興武康人。
HCH_011_043_000101	祖憲，齊散騎常侍，《齊史》有傳。
HCH_011_043_000102	浚少博學，有才幹，歷山陰、吳、建康令，並有能名。
HCH_011_043_000103	入爲中書郎、尚書左丞。
HCH_011_043_000104	侯景逼京城，遷御史中丞。
HCH_011_043_000105	是時外援並至，侯景表請求和，詔許之。
HCH_011_043_000106	旣盟，景知城內疾疫，復懷奸計，遲疑不去。
HCH_011_043_000107	數日，皇太子令浚詣景所，景曰：「卽已向熱，非復行時。十萬之衆，何由可去，還欲立效朝廷，君可見爲申聞。」
HCH_011_043_000108	浚曰：「將軍此論，意在得城。城內兵糧，尚支百日。將軍儲積內盡，國家援軍外集，十萬之衆，將何所資？而反設此言，欲脅朝廷邪？」
HCH_011_043_000109	景橫刃於膝，暿真目叱之。
HCH_011_043_000110	浚正色責景曰：「明公親是人臣，舉兵向闕，聖主申恩赦過，已共結盟，口血未乾，而有翻背。沈浚六十之年，且天子之使，死生有命，豈畏逆臣之刀乎！」
HCH_011_043_000111	不顧而出。
HCH_011_043_000112	景曰：「是真司直也。」
HCH_011_043_000113	然密銜之。
HCH_011_043_000114	及破張嵊，乃求浚以害之。
HCH_011_043_000115	柳敬禮，開府儀同三司慶遠之孫。
HCH_011_043_000116	父津，太子詹事。
HCH_011_043_000117	敬禮與兄仲禮，皆少以勇烈知名。
HCH_011_043_000118	起家著作佐郎，稍遷扶風太守。
HCH_011_043_000119	侯景渡江，敬禮率馬步三千赴援。
HCH_011_043_000120	至都，據青溪埭，與景頻戰，恒先登陷陳，甚著威名。
HCH_011_043_000121	台城沒，敬禮與仲禮俱見於景，景遣仲禮經略上流，留敬禮爲質，以爲護軍。
HCH_011_043_000122	景餞仲禮於後渚，敬禮密謂仲禮曰：「景今來會，敬禮抱之，兄拔佩刀，便可斫殺，敬禮死亦無所恨。」
HCH_011_043_000123	仲禮壯其言，許之。
HCH_011_043_000124	及酒數行，敬禮目仲禮，仲禮見備衛嚴，不敢動，計遂不果。
HCH_011_043_000125	會景征晉熙，敬禮與南康王會理共謀襲其城，剋期將發，建安侯蕭賁知而告之，遂遇害。
HCH_011_043_000126	史臣曰：若夫義重於生，前典垂誥，斯蓋先哲之所貴也。
HCH_011_043_000127	故孟子稱生者我所欲，義亦我所欲，二事必不可兼得，寧捨生而取義。
HCH_011_043_000128	至如張嵊二三子之徒，捐軀殉節，赴死如歸，英風勁氣，籠罩今古，君子知梁代之有忠臣焉。
HCH_011_043_000129	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
