HCH_009_017_000074	內族王家奴故殺鮮于主簿，權貴多救之者，上曰：「英王朕兄，敢妄撻一人乎？朕為人主，敢以無罪害一人乎？國家衰弱之際，生靈有幾何，而族子恃殺一主簿，吾民無主矣。」
HCH_009_017_000075	特命斬之。
HCH_009_017_000076	詔有司為死節士十有三人立褒忠廟。
HCH_009_017_000077	禁宿、泗、青口巡邊官兵，毋複擅殺過淮紅衲軍。
HCH_009_017_000078	詔趙秉文、楊雲翼作《龜鏡萬年錄》。
HCH_009_017_000079	三年春正月丁巳朔，夏國遣使來賀。
HCH_009_017_000080	三月，陝西旱。
HCH_009_017_000081	平章政事胥鼎複請致仕，不許。
HCH_009_017_000082	詔尚書省議省減用度。
HCH_009_017_000083	夏四月辛卯，親享於太廟。
HCH_009_017_000084	郕國夫人車經禦路，過廟前，馭者乘馬，二婢坐車中，俱不下，詔繫獄杖之。
HCH_009_017_000085	辛丑，以旱，遣官禱於濟瀆。
HCH_009_017_000086	癸卯，祈於太廟。
HCH_009_017_000087	禁傘扇。
HCH_009_017_000088	河南大雨雹。
HCH_009_017_000089	己酉，遣使慮囚，遣使捕蝗。
HCH_009_017_000090	五月己未，大雨。
HCH_009_017_000091	宋兵掠壽州境。
HCH_009_017_000092	癸亥，永州桃園軍失利，死者四百人。
HCH_009_017_000093	乙丑，大雨。
HCH_009_017_000094	壬申，詔諭庾州趙甫等，能以土地來歸，當任使之。
HCH_009_017_000095	六月辛卯，京東大雨雹，蝗盡死。
HCH_009_017_000096	壬子，詔諭高麗及遼東行省葛不靄，討反賊萬奴，赦脅從者。
HCH_009_017_000097	秋七月庚午，平章政事英國公胥鼎薨。
HCH_009_017_000098	八月，移剌蒲阿複曲沃及晉安。
HCH_009_017_000099	辛卯，詔設益政院於內廷，以禮部尚書楊雲翼等為益政院說書官，日二人直，備顧問。
HCH_009_017_000100	冬十月丁酉，夏使來報哀。
HCH_009_017_000101	十一月庚申，議與宋修好。
HCH_009_017_000102	戊辰，又議之。
HCH_009_017_000103	己巳，宋忠義軍夏全自楚州來歸，楚州王義深、張惠、范成進以城降，封四人為郡王。
HCH_009_017_000104	辛未，改楚州為平淮府，以夏全等來降，赦諸路從宋及淮、楚官吏軍民，並其家屬。
HCH_009_017_000105	甲戌，遣使夏國賀正旦。
HCH_009_017_000106	丙子，夏以兵事方殷來報，各停使聘。
HCH_009_017_000107	大元兵征西夏，平中興府。
