HCH_012_072_000052	惟永樂間，成祖幸北京，以姚廣孝專為太子少師，留輔太子。
HCH_012_072_000053	自是以後，終明世皆為虛銜，於太子輔導之職無與也。
HCH_012_072_000054	中極殿大學士(舊名華蓋殿)，建極殿大學士(舊名謹身殿)，文華殿大學士，武英殿大學士，文淵閣大學士，東閣大學士，並正五品，掌獻替可否，奉陳規誨，點檢題奏，票擬批答，以平允庶政。
HCH_012_072_000055	凡上之達下，曰詔，曰誥，曰制，曰冊文，曰諭，曰書，曰符，曰令，曰檄，皆起草進畫，以下之諸司。
HCH_012_072_000056	下之達上，曰題，曰奏，曰表，曰講章，曰書狀，曰文冊，曰揭帖，曰制對，曰露布，曰譯，皆審署申覆而修畫焉，平允乃行之。
HCH_012_072_000057	凡車駕郊祀、巡幸則扈從。
HCH_012_072_000058	遇經筵，則知經筵或同知經筵事。
HCH_012_072_000059	東宮出閣講讀，則領其事，敘其官，而授之職業。
HCH_012_072_000060	冠婚，則充賓贊及納徵等使。
HCH_012_072_000061	修實錄、史志諸書，則充總裁官。
HCH_012_072_000062	春秋上丁釋奠先師，則攝行祭事。
HCH_012_072_000063	會試充考試官，殿試充讀卷官。
HCH_012_072_000064	進士題名，則大學士一人撰文，立石於太學。
HCH_012_072_000065	大典禮、大政事，九卿、科道官會議已定，則按典制，相機宜，裁量其可否，斟酌入告。
HCH_012_072_000066	頒詔則捧授禮部。
HCH_012_072_000067	會敕則稽其由狀以請。
HCH_012_072_000068	宗室請名、請封，諸臣請諡，並擬上。
HCH_012_072_000069	以其授餐大內，常侍天子殿閣之下，避宰相之名，又名內閣。
HCH_012_072_000070	先是，太祖承前制，設中書省，置左、右丞相，正一品。
HCH_012_072_000071	甲辰正月，初置左、右相國，以李善長為右相國，徐達為左相國。
HCH_012_072_000072	吳元年命百官禮儀俱尚左，改右相國為左相國，左相國為右相國。
HCH_012_072_000073	洪武元年改為左、右丞相，平章政事(從一品)，左、右丞(正二品)，參知政事(從二品)，以統領眾職。
HCH_012_072_000074	置屬官左、右司郎中(正五品)；員外郎(正六品)、都事、檢校(正七品)，照磨、管勾(從七品)；參議府參議(正三品)；參軍、斷事官(從三品)；斷事、經歷(正七品)；知事(正八品)；都鎮撫司都鎮撫(正五品)；考功所考功郎(正七品)。
HCH_012_072_000075	甲辰十月以都鎮撫司隸大都督府。
HCH_012_072_000076	吳元年革參議府。
HCH_012_072_000077	洪武元年革考功所。
HCH_012_072_000078	二年革照磨、檢校所、斷事官。
HCH_012_072_000079	七年設直省舍人十人，尋改中書舍人。
HCH_012_072_000080	洪武九年汰平章政事、參知政事。
HCH_012_072_000081	十三年正月，誅丞相胡惟庸，遂罷中書省。
HCH_012_072_000082	其官屬盡革，惟存中書舍人。
HCH_012_072_000083	九月，置四輔官，以儒士王本等為之。
