HCH_013_064_000071	促取屍棺，以勘報未完，不肯發。
HCH_013_064_000072	趣其完贖，大言曰：「吾子活，銀即至矣。」
HCH_013_064_000073	擁兵驅千餘僧，招魂而去。
HCH_013_064_000074	分遣土目置闕據險，僭立巡警，搜戮仇民，劫掠屯堡，殆無虛日。
HCH_013_064_000075	厚撫諸苗，用以摧鋒，名「硬手」。
HCH_013_064_000076	州人稍殷厚者，沒其家以養苗，由是諸苗人願為之出死力矣。
HCH_013_064_000077	二十四年七月，楊應龍肆逆，劈餘慶土吏毛承雲棺，磔其屍。
HCH_013_064_000078	已，又掠大阡、都壩，焚劫餘慶、草堂二司，徧及興隆、偏鎮、都勻各衞。
HCH_013_064_000079	遣弟兆龍引兵圍黃平，戮重安司長官張熹家，勢復大熾。
HCH_013_064_000080	二十五年三月，楊應龍流劫江津縣及南川。
HCH_013_064_000081	十二月，楊應龍臨合江，索其讎袁子升縋城下，臠割之。
HCH_013_064_000082	石砫宣撫司土舍馬千駟入播。
HCH_013_064_000083	先是，千駟母覃與應龍私，覃寵千駟，謀奪長子千乘爵，於是聘應龍次女為聲援。
HCH_013_064_000084	二十六年十一月，兵備副使王士琦調征倭，楊應龍益統苗兵大掠貴州洪頭、高坪、新村諸屯。
HCH_013_064_000085	已，又侵湖廣四十八屯，阻塞驛站，詗原奏讎民宋世臣父鑾及羅承恩等，挈家匿偏橋衞城，襲執指揮陳天寵等。
HCH_013_064_000086	大索城中，得鑾、承恩及子女，慘戮以徇。
HCH_013_064_000087	令諸苗對父姦女，面夫淫妻。
HCH_013_064_000088	或裸體坐木叢射笑樂，或燒蛇從陰入腹，人蛇俱斃。
HCH_013_064_000089	又掘墳墓焚屍，灰飛蔽天。
HCH_013_064_000090	巡撫四川都御史譚希思請於合江、綦江各置遊擊一員。
HCH_013_064_000091	合江募兵千二百人，扼岡門；綦江募兵二千人，扼安穩。
HCH_013_064_000092	二十七年二月，貴州巡撫江東之令都司楊國柱、指揮李廷棟部兵三千勦楊應龍。
HCH_013_064_000093	龍遣子朝棟、弟兆龍、何漢良等，迎敵於飛練堡。
HCH_013_064_000094	官軍師奪三百落，賊佯走天邦囤誘官軍，殲之。
HCH_013_064_000095	楊國柱駡賊不屈，與經歷潘汝資等俱死。
HCH_013_064_000096	於是江東之坐浪戰罷，以郭子章代之。
HCH_013_064_000097	起前都御史李化龍兼兵部侍郎，節制川、湖、貴三省兵事，決意進勦。
HCH_013_064_000098	調東征諸將南征，劉綎督川兵先發，麻貴、陳璘、董一元相繼回兵。
HCH_013_064_000099	五月，總督馳至蜀，即請設標兵，益調募浙、閩、滇、粵將士。
HCH_013_064_000100	檄總兵萬鏊自松潘移重慶，并調集鎮雄、永寧各漢、土兵設防。
HCH_013_064_000101	六月，楊應龍乘我師未集，大勒兵犯綦江，分屯趕水、貓兒岡，［遣］婁國等以偏師一犯南川，一犯江津。
HCH_013_064_000102	其子朝棟守沙溪緝麻山，防永寧宣撫與貴州。
HCH_013_064_000103	十七日，遊擊張良賢遇賊舊東溪，頗有斬獲。
HCH_013_064_000104	二十一日，應龍督苗兵圍綦江城數匝。
HCH_013_064_000105	遊擊房嘉寵誤爇火磚，反傷城上兵。
HCH_013_064_000106	賊乘勢登城，嘉寵帥師巷戰。
HCH_013_064_000107	蜀兵爭譟走水上，嘉寵乃殺其妻，與良賢赴敵死。
HCH_013_064_000108	應龍因劫令縱囚焚掠，出綦江庫犒師，依倉就食，盡取資財子女去。
HCH_013_064_000109	老弱者殺之，投屍蔽江而下，水為赤。
HCH_013_064_000110	退屯三溪，以綦江之三溪、毋渡，南川之東鄉壩，立石為播界，號「宣慰官莊」。
HCH_013_064_000111	聲言：「江津、合江皆播故土。」
HCH_013_064_000112	總督郭子章日夜徵調漢、土各兵守渝城，分戍南川、合江、瀘州，軍聲漸振，賊遷延不進。
HCH_013_064_000113	初，賊本無意竟反，徒以安忍猖狂，既覆我師飛練，則騎虎勢不終下，益結九股生苗及紅、黑腳等苗，負險弄兵。
HCH_013_064_000114	然猶冀我如往事曲宥，未敢鼓行深入，止言爭界給葬，并索奸民。
HCH_013_064_000115	而總督因我援師未集，蜀人畏賊如虎，時時移文詰責，示無遽絕意，計以緩賊。
HCH_013_064_000116	賊果具文求撫，不復西向。
HCH_013_064_000117	總督亦謬為好語縻之，止駐會城調度，示賊無張皇。
HCH_013_064_000118	已，上聞破綦江，追褫兩省撫臣譚希思、江東之各為民。
HCH_013_064_000119	緹綺逮兵備使王貽德，賜劍懸賞，嚴旨進勦。
HCH_013_064_000120	總督益調各路兵，專俟大舉。
HCH_013_064_000121	十月，命總督李化龍駐重慶，調度川、貴、湖廣兵。
HCH_013_064_000122	總兵劉綎兵亦至。
HCH_013_064_000123	綎素有威名，其家丁良馬，皆可決勝。
HCH_013_064_000124	然夙與應龍昵，人皆疑之。
HCH_013_064_000125	於是總督延入臥內，輸心腹，且以危言激之，引其父顯九絲功為比。
HCH_013_064_000126	綎大慟，願誓死報效。
HCH_013_064_000127	總督乃騰書於朝，遂委綎專制，而總督治軍益有次第。
HCH_013_064_000128	十一月，楊應龍屯官壩，聲窺蜀。
HCH_013_064_000129	已，遂焚東坡爛橋，楚、黔路梗，黃平、龍泉所在告急。
HCH_013_064_000130	賊復據偏橋，出掠興隆、鎮遠。
HCH_013_064_000131	總督議置勁兵萬餘，據要害，通楚、黔道，黔帥童元鎮擁兵銅仁不前，革職立功，以李應祥代。
HCH_013_064_000132	命僉都御史江鐸巡撫偏沅，監總兵陳璘之師。
HCH_013_064_000133	二十八年春正月，楊應龍勒兵數萬，五道並出，攻龍泉司，守備楊惟忠擁兵二千，以勢不敵，先期託臺謁，走思南鸚鵡溪。
HCH_013_064_000134	土官安民志率步卒五百拒守，死之。
HCH_013_064_000135	吏目劉玉鑾偕妻子並死於賊。
HCH_013_064_000136	副總兵陳良玭，託守偏橋，不之援。
HCH_013_064_000137	石砫宣撫司馬千乘軍鄧坎，賊乘夜掩襲，我軍堅壁。
HCH_013_064_000138	詰旦奮擊，連破金竹、青岡觜、虎跳關等七寨。
HCH_013_064_000139	酉陽宣撫司冉御龍進攻官壩，斬關直上，復擒斬三百有奇。
HCH_013_064_000140	初，賊既下龍泉，方移兵攻婺州，聞敗，撤兵遁。
HCH_013_064_000141	徵兵大集，延寧四鎮、河南、山東、天津、滇、浙、粵西兵至者，踵背相屬，各土司亦用命。
HCH_013_064_000142	總督李化龍分兵八路。
HCH_013_064_000143	川師分四路：總兵劉綎從綦江入，以參將麻鎮等隸，參政張文耀監之；總兵馬孔英從南川入，以參將周國柱、宣撫冉御龍等隸，僉事徐仲佳監之；總兵吳廣從合江入，以遊擊徐世威等隸，參議劉一相監之；副將曹希彬受吳廣節制，從永寧入，以參將吳文傑宣撫奢世績等隸，參議史旌賢監之。
HCH_013_064_000144	而中軍，率標下遊兵策應。
HCH_013_064_000145	黔師分三路：總兵童元鎮，統土知府隴澄、知州岑紹勳等由烏江；參將朱鶴齡受元鎮節制，統宣慰安疆臣等由沙溪；總兵李應祥統宣慰彭元瑞等由興隆；參議張存意、按察司楊寅秋監之。
HCH_013_064_000146	湖廣偏橋一路，分兩翼：總兵陳璘，統宣慰彭養正等由白泥；副總兵陳良玭受璘節制，統宣撫單宜等由龍泉；副使胡桂芳、參議魏養蒙監之。
HCH_013_064_000147	以偏橋江外為四牌，江內為七牌，五司遺種及九股惡苗盤據故也。
HCH_013_064_000148	其黔撫郭子章駐貴陽，楚撫支可大移沅州。
HCH_013_064_000149	部署既定，大會文武於重慶，登壇誓師。
HCH_013_064_000150	二月十二日，分道並發，每路兵約三萬人，官兵三之，土司七之。
HCH_013_064_000151	苗見，驚曰：「今番真天兵，與昔不同！」
HCH_013_064_000152	總督諭諸將，以抵婁山等關為期，移鎮重慶節制，且曰：「關外且戰且招降，多不可勝誅也。關內疾戰勿受降，師不可久老，賊詐不可信也。」
HCH_013_064_000153	先是，蜀玉壘山忽裂，僉謂昔年平九絲，地數動，殆播平前兆云。
HCH_013_064_000154	十五日，劉綎進入綦江，連戰破三峒。
HCH_013_064_000155	綦江自東溪入播，並峻嶺茂箐，楠木山、羊簡臺、三峒，素號奇險，賊首穆照等盤據。
HCH_013_064_000156	綎力戰，克之。
HCH_013_064_000157	三月，楊朝棟統苗兵數萬，分道迎敵，鋒甚銳。
HCH_013_064_000158	官軍夾擊，綎身自陷陣，苗大驚曰：「劉大刀至矣！」
HCH_013_064_000159	棟潰圍走，幾為我獲。
