HCH_011_028_000078	又還爲左軍將軍，出爲南譙太守、監北徐州，遷員外散騎常侍。
HCH_011_028_000079	尋除雄信將軍、西豫州刺史，餘如故。
HCH_011_028_000080	侯景亂，之高率衆入援，南豫州刺史、鄱陽嗣王範命之高總督江右援軍諸軍事，頓于張公洲。
HCH_011_028_000081	柳仲禮至橫江，之高遣船舸二百餘艘迎致仲禮，與韋粲等俱會青塘立營，據建興苑。
HCH_011_028_000082	及城陷，之高還合肥，與鄱陽王範西上。
HCH_011_028_000083	稍至新蔡，衆將一萬，未有所屬。
HCH_011_028_000084	元帝遣蕭慧正召之，以爲侍中、護軍將軍。
HCH_011_028_000085	到江陵，承制除特進、金紫光祿大夫。
HCH_011_028_000086	卒，時年七十三。
HCH_011_028_000087	贈侍中、儀同三司，鼓吹一部。
HCH_011_028_000088	諡曰恭。
HCH_011_028_000089	子畿，累官太子右衛率、雋州刺史。
HCH_011_028_000090	西魏攻陷江陵，畿力戰死之。
HCH_011_028_000091	之平字如原，之高第五弟。
HCH_011_028_000092	少亦隨邃征討，以軍功封都亭侯。
HCH_011_028_000093	歷武陵王常侍、扶風、弘農二郡太守，不行，除譙州長史、陽平太守。
HCH_011_028_000094	拒侯景，城陷後，遷散騎常侍、右衛將軍、太子詹事。
HCH_011_028_000095	之橫字如岳，之高第十三弟也。
HCH_011_028_000096	少好賓遊，重氣俠，不事產業。
HCH_011_028_000097	之高以其縱誕，乃爲狹被蔬食以激厲之。
HCH_011_028_000098	之橫歎曰：「大丈夫富貴，必作百幅被。」
HCH_011_028_000099	遂與僮屬數百人，於芍陂大營田墅，遂致殷積。
HCH_011_028_000100	太宗在東宮，聞而要之，以爲河東王常侍、直殿主帥，遷直閤將軍。
HCH_011_028_000101	侯景亂，出爲貞威將軍，隸鄱陽王範討景。
HCH_011_028_000102	景濟江，仍與範長子嗣入援。
HCH_011_028_000103	連營度淮，據東城。
HCH_011_028_000104	京都陷，退還合肥，與範溯流赴湓城。
HCH_011_028_000105	景遣任約上逼晉熙，範令之橫下援，未及至，範薨，之橫乃還。
HCH_011_028_000106	時尋陽王大心在江州，範副梅思立密要大心襲湓城，之橫斬思立而拒大心。
HCH_011_028_000107	大心以州降景。
HCH_011_028_000108	之橫率衆與兄之高同歸元帝，承制除散騎常侍、廷尉卿，出爲河東內史。
HCH_011_028_000109	又隨王僧辯拒侯景於巴陵，景退，遷持節、平北將軍、東徐州刺史，中護軍，封豫寧侯，邑三千戶。
HCH_011_028_000110	又隨僧辯追景，平郢、魯、江、晉等州，恒爲前鋒陷陣。
HCH_011_028_000111	仍至石頭，破景，景東奔，僧辯令之橫與杜崱入守臺城。
HCH_011_028_000112	及陸納據湘州叛，又隸王僧辯南討焉。
HCH_011_028_000113	于陣斬納將李賢明，遂平之。
HCH_011_028_000114	又破武陵王於硤口。
HCH_011_028_000115	還除吳興太守，乃作百幅被，以成其初志。
HCH_011_028_000116	後江陵陷，齊遣上黨王高渙挾貞陽侯攻東關，晉安王方智承制，以之橫爲使持節、鎮北將軍、徐州刺史，都督衆軍，給鼓吹一部，出守蘄城。
HCH_011_028_000117	之橫營壘未周，而齊軍大至，兵盡矢窮，遂於陣沒，時年四十一。
HCH_011_028_000118	贈侍中、司空公，諡曰忠壯。
HCH_011_028_000119	子鳳寶嗣。
HCH_011_028_000120	夏侯亶字世龍，車騎將軍詳長子也。
HCH_011_028_000121	齊初，起家奉朝請。
HCH_011_028_000122	永元末，詳爲西中郎南康王司馬，隨府鎮荊州，亶留京師，爲東昏聽政主帥。
HCH_011_028_000123	及崔慧景作亂，亶以捍禦功，除驍騎將軍。
HCH_011_028_000124	及高祖起師，詳與長史蕭穎胄協同義舉，密遣信下都迎亶，亶乃齎宣德皇后令，令南康王纂承大統，封十郡爲宣城王，進位相國，置僚屬，選百官。
HCH_011_028_000125	建康城平，以亶爲尚書吏部郎，俄遷侍中，奉璽於高祖。
HCH_011_028_000126	天監元年，出爲宣城太守。
HCH_011_028_000127	尋入爲散騎常侍，領右驍騎將軍。
HCH_011_028_000128	六年，出爲平西始興王長史、南郡太守，父憂解職。
HCH_011_028_000129	居喪盡禮，廬于墓側，遺財悉推諸弟。
HCH_011_028_000130	八年，起爲持節、督司州諸軍事、信武將軍、司州刺史，領安陸太守。
HCH_011_028_000131	服闋，襲封豊城縣公。
HCH_011_028_000132	居州甚有威惠，爲邊人所悅服。
HCH_011_028_000133	十二年，以本號還朝，除都官尚書，遷給事中、右衛將軍、領豫州大中正。
HCH_011_028_000134	十五年，出爲信武將軍、安西長史、江夏太守。
HCH_011_028_000135	十七年，入爲通直散騎常侍、太子右衛率，遷左衛將軍，領前軍將軍。
HCH_011_028_000136	俄出爲明威將軍、吳興太守。
HCH_011_028_000137	在郡復有惠政，吏民圖其像，立碑頌美焉。
HCH_011_028_000138	普通三年，入爲散騎常侍，領右驍騎將軍，轉太府卿，常侍如故。
HCH_011_028_000139	以公事免，未幾，優詔復職。
HCH_011_028_000140	五年，遷中護軍。
HCH_011_028_000141	六年，大舉北伐。
HCH_011_028_000142	先遣豫州刺史裴邃帥譙州刺史湛僧智、歷陽太守明紹世、南譙太守魚弘、晉熙太守張澄，並世之驍將，自南道伐壽陽城，未克而邃卒。
HCH_011_028_000143	乃加亶使持節，馳驛代邃，與魏將河間王元琛、臨淮王元彧等相拒，頻戰克捷。
HCH_011_028_000144	尋有密敕，班師合肥，以休士馬，須堰成復進。
HCH_011_028_000145	七年夏，淮堰水盛，壽陽城將沒，高祖復遣北道軍元樹帥彭寶孫、陳慶之等稍進，亶帥湛僧智、魚弘、張澄等通清流澗，將入淮、肥。
HCH_011_028_000146	魏軍夾肥築城，出亶軍後，亶與僧智還襲，破之。
HCH_011_028_000147	進攻黎漿，貞威將軍韋放自北道會焉。
HCH_011_028_000148	兩軍既合，所向皆降下。
HCH_011_028_000149	凡降城五十二，獲男女口七萬五千人，米二十萬石。
HCH_011_028_000150	詔以壽陽依前代置豫州，合肥鎮改爲南豫州，以亶爲使持節、都督豫州緣淮南豫霍義定五州諸軍事、雲麾將軍、豫、南豫二州刺史。
HCH_011_028_000151	壽春久罹兵荒，百姓多流散，亶輕刑薄賦，務農省役，頃之民戶充復。
HCH_011_028_000152	大通二年，進號平北將軍。
HCH_011_028_000153	三年，卒於州鎮。
HCH_011_028_000154	高祖聞之，卽日素服舉哀，贈車騎將軍。
HCH_011_028_000155	諡曰襄。
HCH_011_028_000156	州民夏侯簡等五百人表請爲亶立碑置祠，詔許之。
HCH_011_028_000157	亶爲人美風儀，寬厚有器量，涉獵文史，辯給能專對。
HCH_011_028_000158	宗人夏侯溢爲衡陽內史，辭日，亶侍御坐，高祖謂亶曰：「夏侯溢於卿疏近？」
HCH_011_028_000159	稟答曰：「是臣從弟。」
HCH_011_028_000160	高祖知溢于亶已疏，乃曰：「卿傖人，好不辨族從。」
HCH_011_028_000161	亶對曰：「臣聞服屬易疏，所以不忍言族。」
HCH_011_028_000162	時以爲能對。
