HCH_012_029_000136	八年三月戊子，鎮東等堡躍火星如鬥，毀公館倉廒，人馬多斃。
HCH_012_029_000137	十一年，自春徂夏，貴州大火。
HCH_012_029_000138	毀官民房舍千八百餘所，死傷者六千餘人。
HCH_012_029_000139	十月甲戌夜，清寧宮災。
HCH_012_029_000140	十二年六月甲辰夜，闕里聖廟災。
HCH_012_029_000141	十二月，建陽縣書坊火，古今書板皆燼。
HCH_012_029_000142	十三年二月乙酉，禮部官舍火。
HCH_012_029_000143	七月甲寅，南城縣空中有火，乍分乍合，流光下墜十餘丈，隱隱有聲，毀軍民廬舍。
HCH_012_029_000144	庚申，永寧衛雁尾山至居庸關之石縱山，東西四十餘里，南北七十餘里，延燒七晝夜。
HCH_012_029_000145	閏七月辛巳，福州城樓毀。
HCH_012_029_000146	八月己未，沈府火。
HCH_012_029_000147	十一月庚辰，寧河府火。
HCH_012_029_000148	十六年三月庚午，遼東鐵嶺衛墜火如鬥。
HCH_012_029_000149	丙子，火起，燒房屋二千五百餘間，死者百餘人。
HCH_012_029_000150	四月戊午，寬河衛倉災，毀米豆四萬餘石。
HCH_012_029_000151	九月戊寅，廣寧衛城火，燔三百餘家。
HCH_012_029_000152	十七年四月丁巳，淮安火焚五百餘家。
HCH_012_029_000153	五月癸巳，正陽門內西廊火，燔武功坊。
HCH_012_029_000154	正德元年二月庚寅，鄖陽火，毀譙樓官舍，延百餘家。
HCH_012_029_000155	是歲，寧夏左屯衛紅氣亙天，既而火作，城樓臺堡俱燼。
HCH_012_029_000156	六月庚寅，大同平虜城災，燔藁百萬餘。
HCH_012_029_000157	十一月己亥，臨海縣治火，延燒數千家。
HCH_012_029_000158	七年三月己未，嶧縣有火如鬥，自空而隕，大風隨之，毀官民房千餘間。
HCH_012_029_000159	火逸城外，延及丘木。
HCH_012_029_000160	庚申，成山衛秦皇廟火，屋宇悉毀，像設如故。
HCH_012_029_000161	是月，文登大桑樹火，樹燔而枝葉無損。
HCH_012_029_000162	五月癸酉至閏五月丙子，遼東懿路城火三作，焚官民廬舍之半。
HCH_012_029_000163	九月壬午，玉山火，燔學舍及民居三百餘家。
HCH_012_029_000164	八年六月辛酉，豐城縣西南連隕火星，如盆如鬥。
HCH_012_029_000165	既而火作，至七月初始熄，燔二萬餘家。
HCH_012_029_000166	七月戊子，火隕龍泉縣，焚四千餘家。
HCH_012_029_000167	十月壬寅，饒州及永豐、浮樑火，各燔五百餘家。
HCH_012_029_000168	浮樑學舍災。
HCH_012_029_000169	庚申，臨江火，燔官舍，延八百餘家。
HCH_012_029_000170	九年正月庚辰，乾清宮火。
HCH_012_029_000171	十一年八月丁丑，黔陽火，毀城樓官廨，延七百餘家。
HCH_012_029_000172	十二年正月甲辰，清寧宮小房火。
HCH_012_029_000173	四月，裕陵神宮監火。
HCH_012_029_000174	八月丁卯，南昌火，燔三百家。
HCH_012_029_000175	九月壬午，建安火，燔二百五十餘家。
HCH_012_029_000176	十三年二月己卯，夷陵火，燔七百餘家。
HCH_012_029_000177	八月庚辰，獻陵明樓災。
HCH_012_029_000178	丁酉，延平火，燔五百餘家。
HCH_012_029_000179	十四年四月乙巳，淮安新城火。
HCH_012_029_000180	七月丙辰，泰寧火，燔五千餘家。
HCH_012_029_000181	十五年五月辛卯，靜樂火，燔八百餘家。
HCH_012_029_000182	嘉靖元年正月己未，清寧宮後三小宮災。
HCH_012_029_000183	楊廷和言廢禮之應，不報。
HCH_012_029_000184	二月己丑，南京針線廠火。
HCH_012_029_000185	己亥，通州城樓火。
HCH_012_029_000186	二年五月丙子，榮府火。
HCH_012_029_000187	九月戊辰，秦府宮殿火。
HCH_012_029_000188	四年三月壬午夜，仁壽宮災，玉德、安喜、景福諸殿俱燼。
HCH_012_029_000189	五年三月乙酉，趙府家廟火。
HCH_012_029_000190	六年三月丁亥，西庫火。
HCH_012_029_000191	八年十月癸未，大內所房災。
HCH_012_029_000192	十年正月辛亥，大內東偏火。
HCH_012_029_000193	四月庚辰，兵、工二部公廨災，毀文籍。
HCH_012_029_000194	十三年六月甲子，南京太廟火，毀前後殿、東西廡、神廚庫。
HCH_012_029_000195	十五年四月癸卯，山西平虜衛火，盡毀神機官庫軍器。
HCH_012_029_000196	十八年二月乙丑，趙州及臨洺鎮行宮俱火。
HCH_012_029_000197	丁卯，駕幸衛輝，行宮四更火，陸炳負帝出，後宮及內侍有殞於火者。
HCH_012_029_000198	六月丁酉，皇城北鼓樓災。
HCH_012_029_000199	二十年四月辛酉夜，宗廟災。
HCH_012_029_000200	毀成、仁二廟主。
HCH_012_029_000201	二十五年五月壬申，盔甲廠火。
HCH_012_029_000202	二十六年十一月壬午，宮中火，釋楊爵於獄。
HCH_012_029_000203	三十一年八月乙丑，南京試院火。
HCH_012_029_000204	三十五年九月戊辰，杭州大火，延燒數千家。
HCH_012_029_000205	三十六年四月丙申，奉天、華蓋、謹身三殿，文武二樓，午門、奉天門俱災。
HCH_012_029_000206	三十七年正月，光祿寺災。
HCH_012_029_000207	三十八年正月癸未，前軍都督府火。
HCH_012_029_000208	四十年十一月辛亥夜，萬壽宮災。
HCH_012_029_000209	四十四年三月己亥夜，大明門內西千步廊火。
HCH_012_029_000210	隆慶二年正月，浙江省城外災。
HCH_012_029_000211	毀室廬舟艦以千計。
HCH_012_029_000212	三月乙亥，乾清、坤寧兩宮，一時俱燼。
