HCH_013_029_000080	十二月，太監王振矯旨以徐晞為兵部尚書。
HCH_013_029_000081	時振權日重，晞以諂見擢。
HCH_013_029_000082	于是府、部、院諸大臣及百執事，在外方面，俱攫金進見。
HCH_013_029_000083	每當朝覲日，進見者以百金為恆，千金者始得醉飽出。
HCH_013_029_000084	由是競趨苞苴，乃被容接，都御史陳鎰、王文俱跪門俯首焉。
HCH_013_029_000085	振姪千戶山，為錦衣衛指揮同知世襲，尋命侍經筵。
HCH_013_029_000086	八年夏四月，雷震奉天殿鴟吻，詔求直言。
HCH_013_029_000087	初，張太后既崩，王振遂無忌憚，作大第于皇城，又作智化寺于居東，以祝釐，自撰碑，始弄威福。
HCH_013_029_000088	時楊榮先卒，楊士奇以子稷故，堅臥不出。
HCH_013_029_000089	惟楊溥在朝，年老勢孤。
HCH_013_029_000090	繼登庸者悉皆委靡，于是大權悉歸振矣。
HCH_013_029_000091	侍講劉球上言十事：「勤聖學以正心德，親政務以總乾綱，別賢否以清正士，選禮臣以隆祀典，嚴考核以篤吏治，慎刑罰以彰憲典，罷營作以蘇民勞，定法守以杜下移，息兵威以重民命，修武備以防外患。」
HCH_013_029_000092	疏入，下獄。
HCH_013_029_000093	初，王振憾球阻麓川之師。
HCH_013_029_000094	錦衣指揮彭德清，球鄉人也，往來王振門用事。
HCH_013_029_000095	公卿率趨謁，球獨不為禮，德清銜之。
HCH_013_029_000096	會球疏上，乃激振曰：「公知之乎？劉侍讀疏之三章，蓋詆公也。」
HCH_013_029_000097	振怒，欲置之死。
HCH_013_029_000098	會編修董璘自陳願為太常，而球疏有「太常不可用道士，宜易儒臣」語，乃逮璘及球俱下獄。
HCH_013_029_000099	振即令其黨錦衣衛指揮馬順以計殺球。
HCH_013_029_000100	一夕五更，順獨攜一校，推獄門入，球與董璘同臥，小校前持球，球知不免，大呼曰：「死訴太祖、太宗！」
HCH_013_029_000101	校持刀斷球頸，流血被體，屹立不動。
HCH_013_029_000102	順舉足倒之，曰：「如此無禮！」
HCH_013_029_000103	遂支解之，裹以蒲，埋衛後隙地。
HCH_013_029_000104	董璘從旁匿球血裙。
HCH_013_029_000105	尋得釋，密歸球家，家人始知球死。
HCH_013_029_000106	子釪、鉞求屍，僅得一臂，乃以血裙葬焉。
HCH_013_029_000107	小校，盧氏人，故與耿九疇鄰。
HCH_013_029_000108	一日，見九疇，視其瘠不類平時，曰：「汝得無疾乎？」
HCH_013_029_000109	校具以實告，且曰：「馬順將舉事，密語我曰：「今夕有事，汝當早來。』至則使懷刃相隨，迫于勢，不得不爾。比聞劉公忠，吾儕小人，死有餘罪矣！」因慟哭死。未幾，馬順子亦死，死時捽順髮，拳且蹴之，曰：「老賊！令爾異日禍踰我。我劉球也！」太監王振陷大理寺少卿薛瑄下錦衣獄，誣死罪。瑄素不為振屈，振銜之。會有武吏病死，其妾有色，振姪王山欲奪之，妻持不可，妾因誣告妻毒其夫。都御史王文究問，已誣服。瑄辨其寃，屢駁還之。王文諂事振，譛之，嗾御史劾瑄受賄，故出人罪。廷鞫，竟坐瑄死，下獄。瑄怡然曰：「辨寃獲咎，死何愧焉？」在獄讀《易》以自娛。初，瑄既論死，子淳等三人請一人代死，二人戍，贖父罪。不許。將決，王振老僕泣于爨下，振問之，曰：「薛少卿不免，是以泣。」曰：「何以知之？」曰：「鄉人也。」因述其平生。振少解。會侍郎王偉申救之，得免死，除名放歸田里。南京國子監祭酒陳敬宗考績至京，振素慕敬宗名，欲致之門下。適南畿巡撫周忱亦在京師謁振，知忱與敬宗同年，語之意。忱詣敬宗達之，敬宗曰：「為人師表而求謁中官，可乎？」忱乃謂振曰：「陳祭酒善書法。以求書為名，先之禮幣，彼將謁謝矣。」振然之，乃遺金綺求書程子《四箴》。敬宗為書之，
HCH_013_029_000110	而返其幣，竟不往見。
HCH_013_029_000111	敬宗為祭酒十八年不遷。
HCH_013_029_000112	秋八月，王振枷祭酒李時勉于國子監門，尋釋之。
HCH_013_029_000113	王振嘗詣監，銜時勉無加禮，令人廉其事，無所得。
HCH_013_029_000114	彝倫堂有古樹，故許衡所值也。
HCH_013_029_000115	時勉嫌其陰翳，妨諸生班列，稍命伐其旁枝。
HCH_013_029_000116	振遂誣以伐官木，私家用，矯旨令荷校，肆諸成均。
HCH_013_029_000117	時為三械，與司業趙琬、掌饌金鑑同校。
HCH_013_029_000118	時勉校特重，而竅隘。
HCH_013_029_000119	鑑請易之，時勉不可。
HCH_013_029_000120	監生石大用乞以身代，號哭奔走闕下。
HCH_013_029_000121	上疏求解者數千人。
HCH_013_029_000122	會昌伯孫繼宗言于孫太后，太后為上言之，始知振所為也，命立釋之。
HCH_013_029_000123	內使張環、顧忠匿名寫誹謗語，錦衣衛鞫之，得實，詔磔于市。
HCH_013_029_000124	仍令內官出觀，乃知誹謗者訐振惡也。
HCH_013_029_000125	九年秋七月，駙馬都尉石璟詈家閹呂寶，太監王振惡之，下錦衣獄。
HCH_013_029_000126	冬十月，下監察御史李儼錦衣獄。
HCH_013_029_000127	時儼監收光祿寺祭物，值太監王振不跪，遂得罪，戍鐵嶺衛。
HCH_013_029_000128	十年春正月，錦衣衛卒王永陰揭王振罪于通逵，匿其名。
HCH_013_029_000129	邏校緝得之，詔即磔于市，不覆奏。
HCH_013_029_000130	秋七月，霸州知州張需下錦衣獄。
HCH_013_029_000131	需善字民，順天府丞王鐸嘗旌異之。
HCH_013_029_000132	有牧馬官擾民，需置于法。
HCH_013_029_000133	牧馬官以譖太監王振，遂被逮，箠楚幾死，謫戍邊。
HCH_013_029_000134	併坐鐸私舉，下于理。
HCH_013_029_000135	十一年春正月，賜司禮太監王振白金、寶楮、綵幣諸物，振姪林為錦衣衛指揮僉事。
