HCH_010_089_000090	十五年，出為武定軍節度使。
HCH_010_089_000091	境內亢旱，苗稼將槁。
HCH_010_089_000092	視事之夕，雨澤沾足。
HCH_010_089_000093	百姓歌曰：「何以蘇我？上天降雨。誰其撫我？楊公為主。」
HCH_010_089_000094	漯陽水失故道，歲為民害，乃以己俸創長橋，人不病涉。
HCH_010_089_000095	及被召，郡民攀轅泣送。
HCH_010_089_000096	上御清涼殿宴勞之，即日除吏部尚書，兼門下侍郎、同中書門下平章事。
HCH_010_089_000097	上曰：「卿今日何減呂望之遇文王！」
HCH_010_089_000098	佶對曰：「呂望比臣遭際有十年之晚。」
HCH_010_089_000099	上悅。
HCH_010_089_000100	其居相位，以進賢為己任，事總大綱，責成百司，人人樂為之用。
HCH_010_089_000101	三請致政，許之，月給錢粟傔隸，四時遣使存問。
HCH_010_089_000102	卒。
HCH_010_089_000103	有《登瀛集》行於世。
HCH_010_089_000104	耶律和尚，字特抹，系出季父房。
HCH_010_089_000105	善滑稽。
HCH_010_089_000106	重熙初，補祗候郎君。
HCH_010_089_000107	時帝篤於親親，凡三父之後，皆序父兄行第，於和尚尤狎愛。
HCH_010_089_000108	然每侍宴飲，雖詼諧，未嘗有一言之過，由是上益重之。
HCH_010_089_000109	歷積慶、永興宮使，累遷至同知南院宣徽使事、南面林牙。
HCH_010_089_000110	十六年，出為懷化軍節度使，俄召為御史大夫。
HCH_010_089_000111	二十三年，因大冊，加天平軍節度使、檢校太師，徙中京路按問使，卒。
HCH_010_089_000112	和尚雅有美行，數以財恤親友，人皆愛重。
HCH_010_089_000113	然嗜酒不事事，以故不獲柄用。
HCH_010_089_000114	或以為言，答曰：「吾非不知，顧人生如風燈石火，不飲將何為？」
HCH_010_089_000115	晚年沈湎尤甚，人稱為「酒仙」云。
HCH_010_089_000116	論曰：庶成定法令，治民者不容高下其手。
HCH_010_089_000117	庶箴雖嘗表請廣姓氏，以秩典禮，其隨勢俯仰，則有愧於其子蒲魯矣。
HCH_010_089_000118	楊皙為上寵遇，叠封王爵，而功業不少概見。
HCH_010_089_000119	然得愛民治國之要，其楊佶哉！
HCH_010_089_000120	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
