HCH_012_007_000082	丙午，召張輔還。
HCH_012_007_000083	戊申，漢王高煦有罪，削二護衞。
HCH_012_007_000084	徙山東、山西、湖廣流民於保安州，賜復三年。
HCH_012_007_000085	十二月丁卯，鄭和復使西洋。
HCH_012_007_000086	是年，占城、古里、爪哇、滿剌加、蘇門答剌、南巫里、浡泥、彭亨、錫蘭山、溜山、南渤利、阿丹、麻林、忽魯謨斯、柯枝入貢。
HCH_012_007_000087	琉球中山入貢者再。
HCH_012_007_000088	十五年春正月丁酉，大祀天地於南郊。
HCH_012_007_000089	壬子，平江伯陳瑄督漕，運木赴北京。
HCH_012_007_000090	二月癸亥，谷王橞有罪，廢為庶人。
HCH_012_007_000091	丁卯，豐城侯李彬鎮交阯。
HCH_012_007_000092	壬申，泰寧侯陳珪董建北京，柳升、王通副之。
HCH_012_007_000093	三月丁亥，交阯始貢士至京師。
HCH_012_007_000094	丙申，雜犯死罪以下囚，輸作北京贖罪。
HCH_012_007_000095	丙午，漢王高煦有罪，徙封樂安州。
HCH_012_007_000096	壬子，北巡，發京師，皇太子監國。
HCH_012_007_000097	夏四月己巳，次邾城。
HCH_012_007_000098	申禁軍士毋踐民田稼，有傷者除今年租。
HCH_012_007_000099	或先被水旱逋租，亦除之。
HCH_012_007_000100	癸未，西宮成。
HCH_012_007_000101	五月丙戌，至北京。
HCH_012_007_000102	六月丁酉，李彬討交阯賊黎核，斬之。
HCH_012_007_000103	己亥，中官張謙使西洋還。
HCH_012_007_000104	敗倭寇於金鄉衞。
HCH_012_007_000105	秋八月甲午，甌寧人進金丹。
HCH_012_007_000106	帝曰：「此妖人也。令自餌之，毀其方書。」
HCH_012_007_000107	九月丁卯，曲阜孔子廟成，帝親製文勒石。
HCH_012_007_000108	冬十月，李彬敗交阯賊楊進江，斬之。
HCH_012_007_000109	十一月癸酉，禮部尚書趙羾為兵部尚書，巡視塞北屯戍軍民利弊。
HCH_012_007_000110	是年，西洋蘇祿東西峒王來朝。
HCH_012_007_000111	琉球中山、別失八里、琉球山南、真臘、浡泥、占城、暹羅、哈烈、撒馬兒罕入貢。
