HCH_012_150_000095	性剛果，有幹局，馭下甚嚴。
HCH_012_150_000096	帝以為才，數命治他事，不得時至部。
HCH_012_150_000097	然屬吏與罪人交通私饋餉，慶輒知之，繩以重法。
HCH_012_150_000098	五年，改左副都御史。
HCH_012_150_000099	兩遭親喪，並起復。
HCH_012_150_000100	時勛貴武臣多令子弟家人行商中鹽，為官民害。
HCH_012_150_000101	慶言：「舊制，四品以上官員家不得與民爭利。今都督蔡福等既行罰，公侯有犯，亦乞按問。」
HCH_012_150_000102	帝命嚴禁如制。
HCH_012_150_000103	忻成伯趙彜擅殺運夫，盜賣軍餉。
HCH_012_150_000104	都督譚青、朱崇貪縱。
HCH_012_150_000105	慶劾之，皆下吏。
HCH_012_150_000106	已，劾都督費瓛欺罔、梁銘貪暴、鎮守德州都督曹得黷貨。
HCH_012_150_000107	皆被責。
HCH_012_150_000108	中外凜其風采。
HCH_012_150_000109	十八年進工部尚書，尋兼領兵部事。
HCH_012_150_000110	仁宗立，改兵部，加太子少保。
HCH_012_150_000111	弋謙以言事忤旨，呂震等交口詆之，惟慶與夏原吉無所言。
HCH_012_150_000112	帝尋悟，降敕自責，並責震等，震等甚愧此兩人。
HCH_012_150_000113	山陵事多，趣辦中官有求，執不與，人多嚴憚之，號為「生李」。
HCH_012_150_000114	奉命侍皇太子謁孝陵，在途約束將士，秋毫無所擾。
HCH_012_150_000115	太子欲獵，慶諫止。
HCH_012_150_000116	及太子還北京，遂留慶南京兵部。
HCH_012_150_000117	宣德二年，安遠侯柳升討黎利，命慶參贊軍務，許擇部曹賢能者自隨。
HCH_012_150_000118	師至鎮夷關，升意輕賊，不為備。
HCH_012_150_000119	郎中史安、主事陳鏞言於慶。
HCH_012_150_000120	時慶已病甚，強起告升。
HCH_012_150_000121	升不聽，直前，中伏敗死。
HCH_012_150_000122	慶病遂篤，明日亦死，一軍盡沒。
HCH_012_150_000123	師逵，字九達，東阿人。
HCH_012_150_000124	少孤，事母至孝。
HCH_012_150_000125	年十三，母疾，思藤花菜。
HCH_012_150_000126	逵出城南二十餘里求得之。
HCH_012_150_000127	及歸，夜二鼓，遇虎。
HCH_012_150_000128	逵驚呼天，虎舍之去。
HCH_012_150_000129	母疾尋愈。
HCH_012_150_000130	洪武中，以國子生從御史出按事，為御史所劾，逮至。
HCH_012_150_000131	帝偉其貌，釋之，謫御史臺書案牘。
HCH_012_150_000132	久之，擢御史，遷陜西按察使。
HCH_012_150_000133	獄囚淹系千人，浹旬盡決遣，悉當其罪。
HCH_012_150_000134	母憂去官，廬墓側，不飲酒食肉者三年。
HCH_012_150_000135	成祖即位，召為兵部侍郎，改吏部。
HCH_012_150_000136	永樂四年建北京宮殿，分遣大臣出采木。
HCH_012_150_000137	逵往湖、湘，以十萬眾入山辟道路，召商賈，軍役得貿易，事以辦。
HCH_012_150_000138	然頗嚴刻，民不堪，多從李法良為亂。
HCH_012_150_000139	左中允周幹劾之。
HCH_012_150_000140	時仁宗監國，以帝所特遣，置不問。
HCH_012_150_000141	八年，帝北征，命總督饋餉，逵請量程置頓堡，更遞轉輸。
HCH_012_150_000142	從之。
HCH_012_150_000143	逵佐蹇義在吏部二十年，人不敢幹以私。
HCH_012_150_000144	仁宗嗣位，與趙羾、古樸皆改官南京，而逵進戶部尚書，兼掌吏部。
HCH_012_150_000145	宣德二年正月卒官，年六十二。
HCH_012_150_000146	逵廉，不殖生產，祿賜皆分宗黨。
HCH_012_150_000147	有子八人，至無以自贍。
HCH_012_150_000148	成祖在北京嘗語左右曰：「六部扈從臣，不貪者惟逵而已。」
HCH_012_150_000149	古樸，字文質，陳州人。
HCH_012_150_000150	洪武中以太學生清理郡縣田賦圖籍，還隸五軍斷事理刑。
HCH_012_150_000151	自陳家貧，願得祿養母。
HCH_012_150_000152	帝嘉之，除工部主事。
HCH_012_150_000153	母歿，官給舟歸葬。
HCH_012_150_000154	服闋，改兵部，累遷郎中。
HCH_012_150_000155	建文三年擢兵部侍郎。
HCH_012_150_000156	成祖即位，改戶部。
HCH_012_150_000157	永樂二年，樸奏：「先奉詔令江西、湖廣及蘇、松諸府輸糧北京，今聞並患水潦，轉運艱難，而北京諸郡歲幸豐。宜發鈔命有司增價收糴，減南方運。」
HCH_012_150_000158	從之。
HCH_012_150_000159	營建北京，命采木江西，以恤民見褒。
HCH_012_150_000160	七年，帝北巡，皇太子監國。
HCH_012_150_000161	召還，佐夏原吉理戶部。
HCH_012_150_000162	仁宗即位，改南京通政使。
HCH_012_150_000163	明年就拜戶部尚書，出督畿內田賦。
HCH_012_150_000164	師逵病，命樸代之。
HCH_012_150_000165	宣德三年二月卒於官。
HCH_012_150_000166	初，戶部主事劉良不檢，乞中貴人求上考。
HCH_012_150_000167	樸不可。
HCH_012_150_000168	良遂誣奏樸罪，樸就逮。
HCH_012_150_000169	成祖察其誣，得釋。
HCH_012_150_000170	他日，吏部奏予良誥。
HCH_012_150_000171	仁宗曰：「此人素無行，且嘗誣大臣，不可與。」
HCH_012_150_000172	良後果以贓敗。
HCH_012_150_000173	樸在朝三十餘年，自郎署至尚書，確然有守，不通幹請，與右都御史向寶，俱以清介稱。
HCH_012_150_000174	寶，字克忠，進賢人。
HCH_012_150_000175	洪武中，以進士授兵部員外郎。
HCH_012_150_000176	九年無過，擢通政使，以不善奏對力辭，改應天府尹。
HCH_012_150_000177	建文時，坐事謫廣西。
HCH_012_150_000178	成祖即位，召復職。
HCH_012_150_000179	已，復坐事下獄，降兩浙鹽運判官。
HCH_012_150_000180	仁宗在東宮，知其廉。
HCH_012_150_000181	及即位，召為右都御史兼詹事，並給兩俸。
HCH_012_150_000182	尋應詔陳八事，多可采者。
HCH_012_150_000183	宣德初，改南京。
HCH_012_150_000184	三年入覲，帝憫其老，命致仕。
HCH_012_150_000185	歸，卒於途。
HCH_012_150_000186	寶有文學，寬厚愛民，而持身廉直，屢遭困厄不稍易，平居言不及利。
HCH_012_150_000187	歷仕四十餘年，卒之日，家具蕭然。
HCH_012_150_000188	陳壽，隨人。
HCH_012_150_000189	洪武中，由國子生授戶部主事。
HCH_012_150_000190	永樂元年遷員外郎。
HCH_012_150_000191	出為山東參政，所至以愛民為務。
HCH_012_150_000192	用夏原吉薦，召為工部左侍郎。
HCH_012_150_000193	皇太子監國南京，壽日陳兵民困，又乘間言左右幹恩澤者多，恐累明德。
HCH_012_150_000194	太子深納之。
HCH_012_150_000195	嘗目送之出，顧侍臣曰：「侍郎中第一人也。」
HCH_012_150_000196	九年以漢王高煦譖，下獄，貧不能給朝夕。
HCH_012_150_000197	官屬有饋之者，拒不受，竟死獄中。
HCH_012_150_000198	逾年，啟殯如生。
HCH_012_150_000199	仁宗即位，贈工部尚書，謚敏肅，官其子常中書舍人，後亦至工部侍郎。
HCH_012_150_000200	與壽同下獄死者，有馬京、許思溫。
HCH_012_150_000201	京，武功人。
HCH_012_150_000202	洪武中，以進士授翰林編修，歷左通政、大理卿。
HCH_012_150_000203	永樂元年為行部左侍郎。
HCH_012_150_000204	皇太子守北京，命兼輔導，盡誠翊贊，太子甚重之。
HCH_012_150_000205	數為高煦所譖，謫戍廣西，仍坐前事，逮下獄。
HCH_012_150_000206	思溫，字叔雍，吳人。
HCH_012_150_000207	以國子生署刑部主事，累官北平按察副使。
HCH_012_150_000208	燕師起，思溫佐城守有勞，擢刑部侍郎，改吏部，兼贊善。
HCH_012_150_000209	亦以讒下獄。
HCH_012_150_000210	皆瘐死。
HCH_012_150_000211	仁宗立，贈京少傅，謚文簡；思溫吏部尚書，官其子俊贊禮郎，進學翰林。
HCH_012_150_000212	劉季篪，名韶，以字行，余姚人。
HCH_012_150_000213	洪武中進士。
HCH_012_150_000214	除行人。
HCH_012_150_000215	使朝鮮，卻其饋贐。
HCH_012_150_000216	帝聞，賜衣鈔，擢陜西參政。
HCH_012_150_000217	陜有逋賦，有司峻刑督，民不能輸。
HCH_012_150_000218	季篪至，與其僚分行郡縣，悉縱械者，緩為期。
HCH_012_150_000219	民感其德，悉完納。
HCH_012_150_000220	陜不產碙砂，而歲有課。
HCH_012_150_000221	季篪言於朝，罷之。
HCH_012_150_000222	洪渠水溢，為治堰蓄泄，遂為永利。
HCH_012_150_000223	建文中，召為刑部侍郎。
HCH_012_150_000224	民有為盜所引者，逮至，盜已死，乃召盜妻子使識之。
HCH_012_150_000225	聽其辭，誣也，釋之。
HCH_012_150_000226	吏虧官錢，誣千餘人，悉為辨免。
HCH_012_150_000227	河陽逆旅朱、趙二人異室寢。
HCH_012_150_000228	趙被殺，有司疑朱殺之，考掠誣服。
HCH_012_150_000229	季篪獨曰：「是非夙仇，且其裝無可利。」
HCH_012_150_000230	緩其獄，竟得殺趙者。
HCH_012_150_000231	揚州民家，盜夜入殺人，遺刀屍傍，刀有記識，其鄰家也。
HCH_012_150_000232	官捕鞫之。
HCH_012_150_000233	鄰曰：「失此刀久矣。」
HCH_012_150_000234	不勝掠，誣服。
