HCH_012_147_000057	今雖有申明旌善之舉，而無黨庠鄉學之規。
HCH_012_147_000058	互知之法雖嚴，訓告之方未備。
HCH_012_147_000059	臣欲求古人治家之禮，睦鄰之法，若古藍田呂氏之《鄉約》，今義門鄭氏之家范，布之天下。
HCH_012_147_000060	世臣大族，率先以勸，旌之復之，為民表帥。
HCH_012_147_000061	將見作新於變，至於比屋可封不難矣。
HCH_012_147_000062	陛下天資至高，合於道微。
HCH_012_147_000063	神怪妄誕，臣知陛下洞矚之矣。
HCH_012_147_000064	然猶不免所謂神道設教者，臣謂不必然也。
HCH_012_147_000065	一統之輿圖已定矣，一時之人心已服矣，一切之奸雄已慴矣。
HCH_012_147_000066	天無變災，民無患害。
HCH_012_147_000067	聖躬康寧，聖子聖孫繼繼繩繩。
HCH_012_147_000068	所謂得真符者矣。
HCH_012_147_000069	何必興師以取寶為名，諭眾以神仙為征應也哉。
HCH_012_147_000070	臣觀地有盛衰，物有盈虛，而商稅之征，率皆定額。
HCH_012_147_000071	是使其或盈也，奸黠得以侵欺；其歉也，良善困於補納。
HCH_012_147_000072	夏稅一也，而茶椒有糧，果絲有稅。
HCH_012_147_000073	既稅於所產之地，又稅於所過之津，何其奪民之利至於如此之密也！
HCH_012_147_000074	且多貧下之家，不免拋荒之咎。
HCH_012_147_000075	今日之土地，無前日之生植；而今日之征聚，有前日之稅糧。
HCH_012_147_000076	或賣產以供稅，產去而稅存；或賠辦以當役，役重而民困。
HCH_012_147_000077	土田之高下不均，起科之輕重無別。
HCH_012_147_000078	膏腴而稅反輕，瘠鹵而稅反重。
HCH_012_147_000079	欲拯困而革其弊，莫若行授田均田之法，兼行常平義倉之舉。
HCH_012_147_000080	積之以漸，至有九年之食無難者。
HCH_012_147_000081	臣聞仲尼曰：「王公設險以守其國。」
HCH_012_147_000082	近世狃於晏安，墮名城，銷鋒鏑，禁兵諱武，以為太平。
HCH_012_147_000083	一旦有不測之虞，連城望風而靡。
HCH_012_147_000084	及今宜敕有司整葺，寬之以歲月，守之以里胥，額設弓手，兼教民兵。
HCH_012_147_000085	開武舉以收天下之英雄，廣鄉校以延天下之俊乂。
HCH_012_147_000086	古時多有書院學田，貢士有庄，義田有族，皆宜興復而廣益之。
HCH_012_147_000087	夫罪人不孥，罰弗及嗣。
HCH_012_147_000088	連坐起於秦法，孥戮本於偽書。
HCH_012_147_000089	今之為善者妻子未必蒙榮，有過者里胥必陷其罪。
HCH_012_147_000090	況律以人倫為重，而有給配婦女之條，聽之於不義，則又何取夫節義哉。
HCH_012_147_000091	此風化之所由也。
HCH_012_147_000092	孔子曰：「名不正則言不順。」
HCH_012_147_000093	尚書、侍郎，內侍也，而以加於六卿；郎中、員外，內職也，而以名於六屬。
HCH_012_147_000094	御史詞臣，所以居寵台閣；郡守縣令，不應迴避鄉邦。
HCH_012_147_000095	同寅協恭，相倡以禮。
HCH_012_147_000096	而今內外百司捶楚屬官，甚於奴隸。
HCH_012_147_000097	是使柔懦之徒，盪無廉恥，進退奔趨，肌膚不保。
HCH_012_147_000098	甚非所以長孝行、勵節義也。
HCH_012_147_000099	臣以為自今非犯罪惡解官，笞杖之刑勿用。
HCH_012_147_000100	催科督厲，小有過差，蒲鞭示辱，亦足懲矣。
HCH_012_147_000101	臣但知罄竭愚衷，急於陳獻，略無次序，惟陛下幸垂鑒焉。
HCH_012_147_000102	書奏，帝稱其才。
HCH_012_147_000103	已，復獻《太平十策》，文多不錄。
HCH_012_147_000104	縉嘗入兵部索皁隸，語嫚。
HCH_012_147_000105	尚書沈溍以聞。
HCH_012_147_000106	帝曰：「縉以冗散自恣耶。」
HCH_012_147_000107	命改為御史。
HCH_012_147_000108	韓國公李善長得罪死，縉代郎中王國用草疏白其冤。
HCH_012_147_000109	又為同官夏長文草疏，劾都御史袁泰。
HCH_012_147_000110	泰深銜之。
HCH_012_147_000111	時近臣父皆得入覲。
HCH_012_147_000112	縉父開至，帝謂曰：「大器晚成，若以而子歸，益令進學，後十年來，大用未晚也。」
HCH_012_147_000113	歸八年，太祖崩，縉入臨京師。
HCH_012_147_000114	有司劾縉違詔旨，且母喪未葬，父年九十，不當舍以行。
HCH_012_147_000115	謫河州衛吏。
HCH_012_147_000116	時禮部侍郎董倫方為惠帝所信任，縉因寓書於倫曰：「縉率易狂愚，無所避忌，數上封事，所言分封勢重，萬一不幸，必有厲長、吳濞之虞。𨚗哈術來歸，欽承顧問，謂宜待之有禮，稍忤機權，其徒必貳。此類非一，頗皆億中。又嘗為王國用草諫書，言韓國事，為詹徽所疾，欲中以危法。伏蒙聖恩，申之慰諭，重以鏹賜，令以十年著述，冠帶來廷。《元史》舛誤，承命改修，及踵成《宋書》，刪定《禮經》，凡例皆已留中。奉親之暇，杜門纂述，漸有次第，洊將八載。賓天之訃忽聞，痛切欲絕。母喪在殯，未遑安厝。家有九十之親，倚門望思，皆不暇戀。冀一拜山陵，隕淚九土。何圖詿誤，蒙恩遠行。揚、粵之人，不耐寒暑，復多疾病。俯仰奔趨，伍於吏卒，誠不堪忍。晝夜涕泣，恆懼不測。負平生之心，抱萬古之痛。是以數鳴知感。冀還京師，得望天顏，或遂南還，父子相見，即更生之日也。」
HCH_012_147_000117	倫乃薦縉，召為翰林待詔。
HCH_012_147_000118	成祖入京師，擢侍讀。
HCH_012_147_000119	命與黃淮、楊士奇、胡廣、金幼孜、楊榮、胡儼並直文淵閣，預機務。
HCH_012_147_000120	內閣預機務自此始。
HCH_012_147_000121	尋進侍讀學士，奉命總裁《太祖實錄》及《列女傳》。
HCH_012_147_000122	書成，賜銀幣。
HCH_012_147_000123	永樂二年，皇太子立，進縉翰林學士兼右春坊大學士。
HCH_012_147_000124	帝嘗召縉等曰：「爾七人朝夕左右，朕嘉爾勤慎，時言之宮中。恆情，慎初易，保終難，願共勉焉。」
HCH_012_147_000125	因各賜五品服，命七人命婦朝皇后於柔儀殿，後勞賜備至。
HCH_012_147_000126	又以立春日賜縉等金綺衣，與尚書埒。
HCH_012_147_000127	縉等入謝，帝曰：「代言之司，機密所系，且旦夕侍朕，裨益不在尚書下也。」
HCH_012_147_000128	一日，帝御奉天門，諭六科諸臣直言，因顧縉等曰：「王、魏之風，世不多有。若使進言者無所懼，聽言者無所忤，天下何患不治？朕與爾等共勉之。」
HCH_012_147_000129	其年秋，胡儼出為祭酒，縉等六人從容獻納。
HCH_012_147_000130	帝嘗虛己以聽。
HCH_012_147_000131	縉少登朝，才高，任事直前，表裏洞達。
HCH_012_147_000132	引拔士類，有一善稱之不容口。
HCH_012_147_000133	然好臧否，無顧忌，廷臣多害其寵。
HCH_012_147_000134	又以定儲議，為漢王高煦所忌，遂致敗。
HCH_012_147_000135	先是，儲位未定，淇國公邱福言漢王有功，宜立。
HCH_012_147_000136	帝密問縉。
HCH_012_147_000137	縉稱：「皇長子仁孝，天下歸心。」
HCH_012_147_000138	帝不應。
HCH_012_147_000139	縉又頓首曰：「好聖孫。」
HCH_012_147_000140	謂宣宗也。
HCH_012_147_000141	帝頷之。
HCH_012_147_000142	太子遂定。
HCH_012_147_000143	高煦由是深恨縉。
HCH_012_147_000144	會大發兵討安南，縉諫。
HCH_012_147_000145	不聽。
HCH_012_147_000146	卒平之，置郡縣。
HCH_012_147_000147	而太子既立，又時時失帝意。
HCH_012_147_000148	高煦寵益隆，禮秩逾嫡。
HCH_012_147_000149	縉又諫曰：「是啟爭也，不可。」
HCH_012_147_000150	帝怒，謂其離間骨肉，恩禮浸衰。
HCH_012_147_000151	四年，賜黃淮等五人二品紗羅衣，而不及縉。
HCH_012_147_000152	久之，福等議稍稍傳達外廷，高煦遂譖縉泄禁中語。
HCH_012_147_000153	明年，縉坐廷試讀卷不公，謫廣西布政司參議。
