HCH_015_020_000051	上數遊幸諸苑囿，載宮人從後車，宮內深隱，不聞端門鼓漏聲，置鍾於景陽樓上，宮人聞鍾聲，早起裝飾，至今此鍾唯應五鼓及三鼓也。
HCH_015_020_000052	車駕數幸琅邪城，宮人常從，早發至湖北埭，鷄始鳴。
HCH_015_020_000053	吳郡韓藺英，婦人有文辭。
HCH_015_020_000054	宋孝武世，獻中興賦，被賞入宮。
HCH_015_020_000055	〔宋〕明帝世，用為宮中職僚。
HCH_015_020_000056	世祖以為博士，教六宮書學，以其年老多識，呼為「韓公」。
HCH_015_020_000057	文安王皇后諱寶明，琅邪臨沂人也。
HCH_015_020_000058	祖韶之，吳興太守。
HCH_015_020_000059	父曄之，太宰祭酒。
HCH_015_020_000060	宋世，太祖為文惠太子納后，桂陽賊至，太祖在新亭，傳言已沒，宅復為人所抄掠，文惠太子、竟陵王子良奉穆后、庾妃及后挺身送后兄昺之家，事平乃出。
HCH_015_020_000061	建元元年，為南郡王妃。
HCH_015_020_000062	四年，為皇太子妃，無寵。
HCH_015_020_000063	太子為宮人製新麗衣裳及首飾，而后牀帷陳設故舊，釵鑷十餘枚。
HCH_015_020_000064	永明十一年，為皇太孫太妃。
HCH_015_020_000065	鬱林即位，尊為皇太后，稱宣德宮。
HCH_015_020_000066	贈后父金紫光祿大夫，母桓氏豐安縣君。
HCH_015_020_000067	其年十二月，備法駕謁太廟。
HCH_015_020_000068	高宗即位，出居鄱陽王故第，為宣德宮。
HCH_015_020_000069	永元三年，梁王定京邑，迎后入宮稱制，至禪位。
HCH_015_020_000070	天監十一年，薨，年五十八。
HCH_015_020_000071	葬崇安陵。
HCH_015_020_000072	諡曰安后。
HCH_015_020_000073	兄晃義興太守。
HCH_015_020_000074	鬱林王何妃名婧英，廬江𤄵人，撫軍將軍戢之女也。
HCH_015_020_000075	永明二年，納為南郡王妃。
HCH_015_020_000076	十一年，為皇太孫妃。
HCH_015_020_000077	鬱林王即位，為皇后。
HCH_015_020_000078	嫡母劉氏為高昌縣都鄉君，所生母宋氏，為餘杭廣昌鄉君。
HCH_015_020_000079	將拜，鏡在床無故墮地。
HCH_015_020_000080	其冬，與太后同日謁太廟。
HCH_015_020_000081	后禀性淫亂，為妃時，便與外人姦通。
HCH_015_020_000082	在後宮，復通帝左右楊珉之，與同寢處如伉儷。
HCH_015_020_000083	珉之又與帝相愛褻，故帝恣之。
HCH_015_020_000084	迎后親戚入宮，賞賜人百數十萬。
HCH_015_020_000085	以世祖耀靈殿處后家屬。
HCH_015_020_000086	帝被廢，后貶為王妃。
HCH_015_020_000087	海陵王王妃名韶明，琅邪臨沂人，太常慈女也。
HCH_015_020_000088	永明八年，納為臨汝公夫人。
HCH_015_020_000089	鬱林即位，為新安王妃。
HCH_015_020_000090	延興元年，為皇后。
HCH_015_020_000091	其年，降為海陵王妃。
HCH_015_020_000092	明敬劉皇后諱惠端，彭城人，光祿大夫道弘孫也。
HCH_015_020_000093	太祖為高宗納之。
HCH_015_020_000094	建元三年，除西昌侯夫人。
HCH_015_020_000095	永明七年，卒，葬江乘縣張山。
HCH_015_020_000096	延興元年，贈宣城王妃。
HCH_015_020_000097	高宗即位，追尊為敬皇后。
HCH_015_020_000098	贈父通直郎景猷金紫光祿大夫，母王氏平陽鄉君。
HCH_015_020_000099	永泰元年，高宗崩，改葬，祔于興安陵。
HCH_015_020_000100	東昏褚皇后名令璩，河南陽翟人，太常澄女也。
HCH_015_020_000101	建武二年，納為皇太子妃。
HCH_015_020_000102	明年，謁敬后廟。
HCH_015_020_000103	東昏即位，為皇后。
HCH_015_020_000104	帝寵潘妃，后不被遇。
HCH_015_020_000105	黃淑儀生太子誦，東昏廢，竝為庶人。
HCH_015_020_000106	和帝王皇后名蕣華，琅邪臨沂人，太尉儉孫也。
HCH_015_020_000107	初為隨王妃。
HCH_015_020_000108	中興元年，為皇后。
HCH_015_020_000109	帝禪位，后降為妃。
HCH_015_020_000110	史臣曰：后妃之德，著自風謠，義起閨房，而道化天下。
HCH_015_020_000111	繰盆獻種，罔非耕織，佩管晨興，與子同事，可以光熙閫業，作儷公侯。
HCH_015_020_000112	孝、昭二后，竝有賢明之訓，不得母臨萬國。
HCH_015_020_000113	寶命方昌，椒庭虛位，有婦人焉，空慕周興，禎符顯瑞，徒萃徽名。
HCH_015_020_000114	若使掖作同休，陰教遠爕，則馬、鄧風流，復存乎此。
HCH_015_020_000115	太祖創命，宮禁貶約，毀宋明之紫極，革前代之踰奢，衣不文繡，色無紅采，永巷貧空，有同素室。
