HCH_013_056_000073	乃逮繫頤壽及侍郎劉玉、王啓，左都御史聶賢，副都御史劉文莊，大理寺卿湯沐，少卿徐文華、顧佖於詔獄。
HCH_013_056_000074	其原鞫郎中、御史、寺正等官，俱逮繫待罪。
HCH_013_056_000075	八月，帝命桂萼攝刑部事，張璁攝都察院，方獻夫攝大理寺雜治之。
HCH_013_056_000076	太僕卿汪玄錫與光祿少卿余才忽偶語曰：「福達獄已得情，何更多事乃爾？」
HCH_013_056_000077	詗者有白璁等，奏聞，帝命逮繫玄錫、才於詔獄，并掠之。
HCH_013_056_000078	大學士賈詠與馬錄俱河南人，錄被逮，詠遺書慰之，鎮撫司以聞。
HCH_013_056_000079	復搜得都御史張仲賢、工部侍郎閔楷、大理寺丞汪淵、御史張英私書，上責狀，詠引罪，得致仕去，而逮仲賢等。
HCH_013_056_000080	九月，張璁、桂萼、方獻夫逢合帝意，復鞫錄等於闕廷，榜掠備至。
HCH_013_056_000081	錄不勝五毒，乃誣服「挾私故入人罪」。
HCH_013_056_000082	璁等以聞，遂釋福達。
HCH_013_056_000083	帝怒錄，欲坐以死。
HCH_013_056_000084	璁營解之，得免，乃論戍，編伍南丹衞，子孫世及焉。
HCH_013_056_000085	帝以羣臣皆抗疏劾勛，朋姦陷正，命逮繫給事中劉琦、常泰、張逵、程輅、王科、沈漢、秦祐、鄭一鵬等，御史姚鳴鳳、潘壯、高世魁、戚雄等，刑部郎中劉仕，大理評事杜鸞等詔獄，死箠楚狴犴者十餘人，餘戍邊、削籍，流毒至四十餘人。
HCH_013_056_000086	謫大理少卿徐文華、顧佖戍邊。
HCH_013_056_000087	初，顏頤壽等既逮治，備嘗五毒，聞者慘之。
HCH_013_056_000088	已而皆奪官罷歸，獨文華、佖論戍邊，二人皆與璁等廷爭大禮者。
HCH_013_056_000089	江潮、李璋、李珏、章綸、馬豸等俱奪官，韓良相及其佐證俱論遣。
HCH_013_056_000090	璁等自謂平反有功，請編《欽明大獄錄》，頒示內外諸臣，以明頤壽等之欺罔。
HCH_013_056_000091	從之。
HCH_013_056_000092	四十五年，四川妖寇蔡伯貫反。
HCH_013_056_000093	已而就擒，鞫得以山西李同為師。
HCH_013_056_000094	四川撫、按官移文山西，捕同下獄。
HCH_013_056_000095	自吐為李午孫，大禮之子，世習白社妖教。
HCH_013_056_000096	假稱唐裔當出馭世，惑民倡亂，與《大獄錄》姓名無異。
HCH_013_056_000097	撫、按官論同坐斬，奉旨誅之。
HCH_013_056_000098	都御史龐尚鵬上言：「據李同之獄，福達之罪益彰。而當時流毒搢紳至四十餘人，衣冠之禍，可謂烈矣。郭勛世受國恩，乃黨逆寇，陷搢紳。而樞要之人，悉頤指氣使，一至於是。萬一陰蓄異謀，人人聽命，為禍可忍言哉！乞將勛等官爵追奪，以垂鑑戒；馬錄等特加優異，以伸忠良之氣。」
HCH_013_056_000099	穆宗從之，凡當時死事、謫戍者，皆得敍錄，是獄始明。
