HCH_012_265_000040	未幾，李自成破宣府，烽火逼京師。
HCH_012_265_000041	有請帝南幸者，命集議閣中。
HCH_012_265_000042	景文曰：「固結人心，堅守待援而已，此外非臣所知。」
HCH_012_265_000043	及都城陷，趨至宮門，宮人曰：「駕出矣。」
HCH_012_265_000044	復趨朝房，賊已塞道。
HCH_012_265_000045	從者請易服還邸，景文曰：「駕出安歸？」
HCH_012_265_000046	就道旁廟草遺疏，復大書曰：「身為大臣，不能滅賊雪恥，死有餘恨。」
HCH_012_265_000047	遂至演象所拜辭闕墓，赴雙塔寺旁古井死。
HCH_012_265_000048	景文死時，猶謂帝南幸也。
HCH_012_265_000049	贈太傅，謚文貞。
HCH_012_265_000050	本朝賜謚文忠。
HCH_012_265_000051	倪元璐，字玉汝，上虞人。
HCH_012_265_000052	父凍，歷知撫州、淮安、荊州、瓊州四府，有當官稱。
HCH_012_265_000053	天啟二年，元璐成進士，改庶吉士，授編修。
HCH_012_265_000054	冊封德府，移疾歸。
HCH_012_265_000055	還朝，出典江西鄉試。
HCH_012_265_000056	暨復命，則莊烈帝踐阼，魏忠賢已伏誅矣。
HCH_012_265_000057	楊維垣者，逆奄遺孽也，至是上疏並詆東林、崔、魏。
HCH_012_265_000058	元璐不能平，崇禎元年正月上疏曰：臣頃閱章奏，見攻崔、魏者必與東林並稱邪黨。
HCH_012_265_000059	夫以東林為邪黨，將以何者名崔、魏？
HCH_012_265_000060	崔、魏既邪黨矣，擊忠賢、呈秀者又邪黨乎哉！
HCH_012_265_000061	東林，天下才藪也，而或樹高明之幟，繩人過刻，持論太深，謂之非中行則可，謂之非狂狷不可。
HCH_012_265_000062	且天下議論，寧假借，必不可失名義；士人行己，寧矯激，必不可忘廉隅。
HCH_012_265_000063	自以假借矯激為大咎，於是彪虎之徒公然背畔名義，決裂廉隅。
HCH_012_265_000064	頌德不已，必將勸進；建祠不已，必且呼嵩。
HCH_012_265_000065	而人猶且寬之曰：「無可奈何，不得不然耳。」
HCH_012_265_000066	充此無可奈何、不得不然之心，又將何所不至哉！
HCH_012_265_000067	乃議者以忠厚之心曲原此輩，而獨持已甚之論苛責吾徒，所謂舛也。
HCH_012_265_000068	今大獄之後，湯火僅存，屢奉明綸，俾之酌用，而當事者猶以道學封疆，持為鐵案，毋亦深防其報復乎？
HCH_012_265_000069	然臣以為過矣。
HCH_012_265_000070	年來借東林媚崔、魏者，其人自敗，何待東林報復？
HCH_012_265_000071	若不附崔、魏，又能攻去之，其人已喬嶽矣，雖百東林烏能報復哉？
HCH_012_265_000072	臣又伏讀聖旨，有「韓爌清忠有執，朕所鑒知」之諭。
HCH_012_265_000073	而近聞廷臣之議，殊有異同，可為大怪。
HCH_012_265_000074	爌相業光偉，他不具論，即如紅丸議起，舉國沸然，爌獨侃侃條揭，明其不然。
HCH_012_265_000075	夫孫慎行，君子也，爌且不附，況他人乎！
HCH_012_265_000076	而今推轂不及，點灼橫加，則徒以其票擬熊廷弼一事耳。
