HCH_012_326_000140	禮官請表賀，帝勿許。
HCH_012_326_000141	明年遣侯顯齎詔使其國，王與妃、大臣皆有賜。
HCH_012_326_000142	正統三年貢麒麟，百官表賀。
HCH_012_326_000143	明年又入貢。
HCH_012_326_000144	自是不復至。
HCH_012_326_000145	其國，地大物阜。
HCH_012_326_000146	城池街市，聚貨通商，繁華類中國。
HCH_012_326_000147	四時氣候常如夏。
HCH_012_326_000148	土沃，一歲二稔，不待耔耘。
HCH_012_326_000149	俗淳龐，有文字，男女勤於耕織。
HCH_012_326_000150	容體皆黑，間有白者。
HCH_012_326_000151	王及官民皆回回人，喪祭冠婚，悉用其禮。
HCH_012_326_000152	男子皆薙髮，裹以白布。
HCH_012_326_000153	衣從頸貫下，用布圍之。
HCH_012_326_000154	歷不置閏。
HCH_012_326_000155	刑有笞杖徒流數等。
HCH_012_326_000156	官司上下，亦有行移。
HCH_012_326_000157	醫卜、陰陽、百工、技藝悉如中國，蓋皆前世所流入也。
HCH_012_326_000158	其王敬天朝。
HCH_012_326_000159	聞使者至，遣官具儀物，以千騎來迎。
HCH_012_326_000160	王宮高廣，柱皆黃銅包飾，雕琢花獸。
HCH_012_326_000161	左右設長廊，內列明甲馬隊千餘，外列巨人，明盔甲，執刀劍弓矢，威儀甚壯。
HCH_012_326_000162	丹墀左右，設孔雀翎傘蓋百餘，又置象隊百餘於殿前。
HCH_012_326_000163	王飾八寶冠，箕踞殿上高座，橫劍於膝。
HCH_012_326_000164	朝使入，令拄銀杖者二人來導，五步一呼，至中則止；又拄金杖者二人，導如初。
HCH_012_326_000165	其王拜迎詔，叩頭，手加額。
HCH_012_326_000166	開讀受賜訖，設絨毯於殿，宴朝使；不飲酒，以薔薇露和香蜜水飲之。
HCH_012_326_000167	贈使者金盔、金繫腰、金瓶、金盆，其副則悉用銀，從者皆有贈。
HCH_012_326_000168	厥貢：良馬、金銀琉璃器、青花白瓷、鶴頂、犀角、翠羽、鸚鵡、洗白苾布、兜鑼綿、撒哈剌、糖霜、乳香、熟香、烏香、麻藤香、烏爹泥、紫膠、藤竭、烏木、蘇木、胡椒、粗黃。
HCH_012_326_000169	沼納朴兒，其國在榜葛剌之西。
HCH_012_326_000170	或言即中印度，古所稱佛國也。
HCH_012_326_000171	永樂十年遣使者齎敕撫諭其國，賜王亦不剌金絨錦、金織文綺、彩帛等物。
HCH_012_326_000172	十八年，榜葛剌使者醞其國王數舉兵侵擾，詔中官侯顯齎敕諭以睦鄰保境之義，因賜之彩幣；所過金剛寶座之地，亦有賜。
HCH_012_326_000173	然其王以去中國絕遠，朝貢竟不至。
HCH_012_326_000174	祖法兒，自古里西北放舟，順風十晝夜可至。
HCH_012_326_000175	永樂十九年遣使偕阿丹、剌撒諸國入貢，命鄭和齎璽書賜物報之。
HCH_012_326_000176	二十一年，貢使復至。
HCH_012_326_000177	宣德五年，和再使其國，其王阿里即遣使朝貢，八年達京師。
HCH_012_326_000178	正統元年還國，賜璽書獎王。
HCH_012_326_000179	其國東南大海，西北重山，天時常若八九月。
HCH_012_326_000180	五穀、蔬果、諸畜咸備。
HCH_012_326_000181	人體頎碩。
HCH_012_326_000182	王及臣民悉奉回回教，婚喪亦遵其制。
HCH_012_326_000183	多建禮拜寺。
HCH_012_326_000184	遇禮拜日，市絕貿易，男女長幼皆沐浴更新衣，以薔薇露或沉香油拭面，焚沉、檀、俺八兒諸香土ＣＬ，人立其上以薰衣，然後往拜。
HCH_012_326_000185	所過街市，香經時不散。
HCH_012_326_000186	天使至，詔書開讀訖，其王遍諭國人，盡出乳香、血竭、蘆薈、沒藥、蘇合油、安息香諸物，與華人交易。
HCH_012_326_000187	乳香乃樹脂。
HCH_012_326_000188	其樹似榆而葉尖長，土人砍樹取其脂為香。
HCH_012_326_000189	有駝雞，頸長類鶴，足高三四尺，毛色若駝，行亦如之，常以充貢。
HCH_012_326_000190	木骨都束，自小葛蘭舟行二十晝夜可至。
HCH_012_326_000191	永樂十四年遣使與不剌哇、麻林諸國奉表朝貢，命鄭和齎敕及幣偕其使者往報之。
HCH_012_326_000192	後再入貢，覆命和偕行，賜王及妃彩幣。
HCH_012_326_000193	二十一年，貢使又至。
HCH_012_326_000194	比還，其王及妃更有賜。
HCH_012_326_000195	宣德五年，和復頒詔其國。
HCH_012_326_000196	國濱海，山連地曠，磽瘠少收。
HCH_012_326_000197	歲常旱，或數年不雨。
HCH_012_326_000198	俗頑嚚，時操兵習射。
HCH_012_326_000199	地不產木。
HCH_012_326_000200	亦如忽魯謨斯，壘石為屋，及用魚臘以飼牛羊馬駝雲。
HCH_012_326_000201	不剌哇，與木骨都束接壤。
HCH_012_326_000202	自錫蘭山別羅里南行，二十一晝夜可至。
HCH_012_326_000203	永樂十四年至二十一年，凡四入貢，並與木骨都束偕。
HCH_012_326_000204	鄭和亦兩使其國。
HCH_012_326_000205	宣德五年，和復往使。
HCH_012_326_000206	其國，傍海而居，地廣斥鹵，少草木，亦壘石為屋。
HCH_012_326_000207	其鹽池。
HCH_012_326_000208	但投樹枝於中，已而取起，鹽即凝其上。
HCH_012_326_000209	俗淳。
HCH_012_326_000210	田不可耕，蒜蔥之外無他種，專捕魚為食。
HCH_012_326_000211	所產有馬哈獸，狀如麞；花福祿，狀如驢；及犀、象、駱駝、沒藥、乳香、龍涎香之類，常以充貢。
HCH_012_326_000212	竹步，亦與木骨都束接壤。
HCH_012_326_000213	永樂中嘗入貢。
HCH_012_326_000214	其地戶口不繁，風俗頗淳。
HCH_012_326_000215	鄭和至其地。
HCH_012_326_000216	地亦無草木，壘石以居，歲多旱，皆與木骨都束同。
HCH_012_326_000217	所產有獅子、金錢豹、駝蹄雞、龍涎香、乳香、金珀、胡椒之屬。
HCH_012_326_000218	阿丹，在古里之西，順風二十二晝夜可至。
HCH_012_326_000219	永樂十四年遣使奉表貢方物。
HCH_012_326_000220	辭還，命鄭和齎敕及彩幣偕往賜之。
HCH_012_326_000221	自是，凡四入貢，天子亦厚加賜賚。
HCH_012_326_000222	宣德五年，海外諸番久缺貢，覆命和齎敕宣諭。
HCH_012_326_000223	其王抹立克那思兒即遣使來貢。
HCH_012_326_000224	八年至京師。
HCH_012_326_000225	正統元年始還。
HCH_012_326_000226	自後，天朝不復通使，遠番貢使亦不至。
HCH_012_326_000227	前世梁、隋、唐時，並有丹丹國，或言即其地。
HCH_012_326_000228	地膏腴，饒粟麥。
HCH_012_326_000229	人性強悍，有馬步銳卒七八千人，鄰邦畏之。
HCH_012_326_000230	王及國人悉奉回回教。
HCH_012_326_000231	氣候常和，歲不置閏。
HCH_012_326_000232	其定時之法，以月為準，如今夜見新月，明日即為月朔。
HCH_012_326_000233	四季不定，自有陰陽家推算。
HCH_012_326_000234	其日為春首，即有花開；其日為秋初，即有葉落；及日月交食、風雨潮汐，皆能預測。
HCH_012_326_000235	其王甚尊中國。
HCH_012_326_000236	聞和船至，躬率部領來迎。
HCH_012_326_000237	入國宣詔訖，遍諭其下，盡出珍寶互易。
HCH_012_326_000238	永樂十九年，中官周姓者往，市得貓睛，重二錢許，珊瑚樹高二尺者數枝，又大珠、金珀、諸色雅姑異寶、麒麟、獅子、花貓、鹿、金錢豹、駝雞、白鳩以歸，他國所不及也。
HCH_012_326_000239	蔬果、畜產咸備，獨無鵝、豕二者。
HCH_012_326_000240	市肆有書籍。
HCH_012_326_000241	工人所制金首飾，絕勝諸蕃。
HCH_012_326_000242	所少惟無草木，其居亦皆壘石為之。
HCH_012_326_000243	麒麟前足高九尺，後六尺，頸長丈六尺有二，短角，牛尾，鹿身，食粟豆餅餌。
HCH_012_326_000244	獅子形似虎，黑黃色無斑，首大、口廣、尾尖，聲吼若雷，百獸見之皆伏地。
HCH_012_326_000245	嘉靖時制方丘朝日壇玉爵，購紅黃玉於天方、哈密諸蕃，不可得。
HCH_012_326_000246	有通事言此玉產於阿丹，去土魯番西南二千里，其地兩山對峙，自為雌雄，或自鳴，請如永樂、宣德故事，齎重賄往購。
HCH_012_326_000247	帝從部議，已之。
HCH_012_326_000248	剌撒，自古里順風二十晝夜可至。
HCH_012_326_000249	永樂十四年遣使來貢，命鄭和報之。
HCH_012_326_000250	後凡三貢，皆與阿丹、不剌哇諸國偕。
HCH_012_326_000251	宣德五年，和復齎敕往使，竟不復貢。
HCH_012_326_000252	國傍海而居，氣候常熱，田瘠少收。
HCH_012_326_000253	俗淳，喪葬有禮。
HCH_012_326_000254	有事則禱鬼神。
HCH_012_326_000255	草木不生，久旱不雨。
HCH_012_326_000256	居室，悉與竹步諸國同。
HCH_012_326_000257	所產有乳香、龍涎香、千里駝之類。
HCH_012_326_000258	麻林，去中國絕遠。
HCH_012_326_000259	永樂十三年遣使貢麒麟。
HCH_012_326_000260	將至，禮部尚書呂震請表賀，帝曰：「往儒臣進《五經四書大全》，請上表，朕許之，以此書有益於治也。麟之有無，何所損益，其已之。」
HCH_012_326_000261	已而麻林與諸蕃使者以麟及天馬、神鹿諸物進，帝御奉天門受之。
HCH_012_326_000262	百僚稽首稱賀，帝曰：「此皇考厚德所致，亦賴卿等翊贊，故遠人畢來。繼自今，益宜秉德迪朕不逮。」
HCH_012_326_000263	十四年又貢方物。
HCH_012_326_000264	忽魯謨斯，西洋大國也。
HCH_012_326_000265	自古裡西北行，二十五日可至。
HCH_012_326_000266	永樂十年，天子以西洋近國已航海貢琛，稽顙闕下，而遠者猶未賓服，乃命鄭和齎璽書往諸國，賜其王錦綺、彩帛、紗羅，妃及大臣皆有賜。
HCH_012_326_000267	王即遣陪臣已即丁奉金葉表，貢馬及方物。
HCH_012_326_000268	十二年至京師。
HCH_012_326_000269	命禮官宴賜，酬以馬直。
HCH_012_326_000270	比還，賜王及妃以下有差。
HCH_012_326_000271	自是凡四貢。
HCH_012_326_000272	和亦再使。
HCH_012_326_000273	後朝使不往，其使亦不來。
HCH_012_326_000274	宣德五年復遣和宣詔其國。
HCH_012_326_000275	其王賽弗丁乃遣使來貢。
HCH_012_326_000276	八年至京師，宴賜有加。
HCH_012_326_000277	正統元年附爪哇舟還國。
HCH_012_326_000278	嗣後遂絕。
HCH_012_326_000279	其國居西海之極。
HCH_012_326_000280	自東南諸蠻邦及大西洋商舶、西域賈人，皆來貿易，故寶物填溢。
HCH_012_326_000281	氣候有寒暑，春發葩，秋隕葉，有霜無雪，多露少雨。
HCH_012_326_000282	土瘠穀麥寡，然他方轉輸者多，故價殊賤。
