HCH_015_012_000064	又難曰：「日之夜蝕，驗於夜星之亡，晝蝕既盡，晝星何故反不見？」
HCH_015_012_000065	答之曰：「夫言光有所衝，則有不衝之光矣；言有所當，亦有所不當矣。夜食度遠，與所當而同沒；晝食度近，由非衝而得明。」
HCH_015_012_000066	又問：「太白經天，實緣遠日。今度近更明，於何取喻？」
HCH_015_012_000067	荅曰：「向論二蝕之體，周衝不同，經與不經，自由星遲疾，難蝕引經，恐未得也。」
HCH_015_012_000068	建元四年十一月午時，日色赤黃無光，至暮，在箕宿。
HCH_015_012_000069	二年閏正月乙酉，日黃赤無光，至暮。
HCH_015_012_000070	永明五年十一月丁亥，日出高三竿，朱色赤黃，日暈，虹抱珥直背。
HCH_015_012_000071	建元元年十二月未時，日暈，帀，黃白色，至申乃消散。
HCH_015_012_000072	永明二年正月丁酉，日交暈再重。
HCH_015_012_000073	三年二月丁卯，日有半暈，暈上生一〔珥〕。
HCH_015_012_000074	四年五月丙午，日暈再重，仍白虹貫日，在東井度。
HCH_015_012_000075	六年三月甲申，日於蘭雲中薄半暈，須臾過帀，日東南暈外有一直，竝黃色。
HCH_015_012_000076	壬辰，日暈，須臾，日西北生虹貫日中。
HCH_015_012_000077	八年十一月己亥，日半暈，南面不帀，日東西帶暈，各生珥，長三尺，白色，珥各長十丈許，正衝日，久久消散，背因成重暈，竝青絳色。
HCH_015_012_000078	九年正月甲午，日半暈，南面不帀，北帶暈生一抱，東西各生一珥，抱北又有半暈，抱珥竝黃色，北又生白虹貫日，久久消散。
HCH_015_012_000079	建元元年六月甲申，日南北兩珥，西有抱，黃白色。
HCH_015_012_000080	永明二年十一月辛巳，日東北有一背。
HCH_015_012_000081	三年十一月庚寅，日西北有一背。
HCH_015_012_000082	四年正月辛巳，日南北各生一珥，又生一背。
HCH_015_012_000083	十二月辛未，日西北生一直，黃白色。
HCH_015_012_000084	戊寅，日北生一背，青絳色。
HCH_015_012_000085	五年八月己卯，日東南生一珥，並青絳色。
HCH_015_012_000086	六年二月丁巳，日東北生黃色，北有一珥，黃赤色，久久並散。
HCH_015_012_000087	庚申，日西有一背，赤青色，東西生一直，南北各生一珥，並黃白色。
HCH_015_012_000088	七年十月癸未，日東北生一背，青赤色，須臾消。
HCH_015_012_000089	八年六月戊寅，日於蒼白雲中南北各生一珥，青黃絳雜色，澤潤，並長三尺許，至巳午消。
