HCH_012_168_000001	陳循王文江淵許彬陳文萬安劉珝劉吉尹直陳循，字德遵，泰和人。
HCH_012_168_000002	永樂十三年進士第一。
HCH_012_168_000003	授翰林修撰。
HCH_012_168_000004	習朝廷典故。
HCH_012_168_000005	帝幸北京，命取秘閣書詣行在，遂留侍焉。
HCH_012_168_000006	洪熙元年，進侍講。
HCH_012_168_000007	宣德初，受命直南宮，日承顧問。
HCH_012_168_000008	賜第玉河橋西，巡幸未嘗不從。
HCH_012_168_000009	進侍講學士。
HCH_012_168_000010	正統元年兼經筵官。
HCH_012_168_000011	久之，進翰林院學士。
HCH_012_168_000012	九年入文淵閣，典機務。
HCH_012_168_000013	初，廷議天下吏民建言章奏，皆三楊主之。
HCH_012_168_000014	至是榮、士奇已卒，循及曹鼐、馬愉在內閣，禮部援故事請。
HCH_012_168_000015	帝以楊溥老，宜優閑，令循等預議。
HCH_012_168_000016	明年進戶部右侍郎，兼學士。
HCH_012_168_000017	土木之變，人心洶懼。
HCH_012_168_000018	循居中，所言多采納。
HCH_012_168_000019	進戶部尚書，兼職如故。
HCH_012_168_000020	也先犯京師，請敕各邊精騎入衛，馳檄回番以疑敵。
HCH_012_168_000021	帝皆從其計。
HCH_012_168_000022	景泰二年，以葬妻與鄉人爭墓地，為前後巡按御史所不直，循輒訐奏。
HCH_012_168_000023	給事中林聰等極論循罪。
HCH_012_168_000024	帝是聰言，而置循不問。
HCH_012_168_000025	循本以才望顯，及是素譽隳焉。
HCH_012_168_000026	二年十二月進少保兼文淵閣大學士。
HCH_012_168_000027	帝欲易太子，內畏諸閣臣，先期賜循及高谷白金百兩，江淵、王一寧、蕭鎡半之。
HCH_012_168_000028	比下詔議，循等遂不敢諍，加兼太子太傅。
HCH_012_168_000029	尋以太子令旨賜百官銀帛。
HCH_012_168_000030	逾月，帝復賜循等六人黃金五十兩，進華蓋殿大學士，兼文淵閣如故。
HCH_012_168_000031	循子英及王文子倫應順天鄉試被黜，相與構考官劉儼、黃諫，為給事中張寧等所劾。
HCH_012_168_000032	帝亦不罪。
HCH_012_168_000033	英宗復位，于謙、王文死，杖循百，戍鐵嶺衛。
HCH_012_168_000034	循在宣德時，御史張楷獻詩忤旨。
HCH_012_168_000035	循曰「彼亦忠愛也」，遂得釋。
HCH_012_168_000036	御史陳祚上疏，觸帝怒，循婉為解，得不死。
HCH_012_168_000037	景帝朝，嘗集古帝王行事，名《勤政要典》，上之。
HCH_012_168_000038	河南江北大雪，麥苗死，請發帑市麥種給貧民。
HCH_012_168_000039	因事進言，多足采者。
HCH_012_168_000040	然久居政地，刻躁為士論所薄。
HCH_012_168_000041	其嚴譴則石亨輩為之，非帝意也。
HCH_012_168_000042	亨等既敗，循自貶所上書自訟，言：「天位，陛下所固有。當天與人歸之時，群臣備法駕大樂，恭詣南內，奏請臨朝。非特宮禁不驚，抑亦可示天下萬世。而亨等僥倖一時，計不出此，卒皆自取禍敗。臣服事累葉，曾著微勞，實為所擠，惟陛下憐察。」
HCH_012_168_000043	詔釋為民，一年卒。
HCH_012_168_000044	成化中，于謙事雪，循子引例請恤，乃復官賜祭。
HCH_012_168_000045	同邑蕭鎡。
HCH_012_168_000046	字孟勤。
HCH_012_168_000047	宣德二年進士，需次於家。
HCH_012_168_000048	八年，帝命楊溥合選三科進士，拔二十八人為庶吉士，鎡為首。
HCH_012_168_000049	英宗即位，授編修。
HCH_012_168_000050	正統三年進侍讀。
HCH_012_168_000051	久之，代李時勉為國子監祭酒。
HCH_012_168_000052	景泰元年以老疾辭。
HCH_012_168_000053	既得允，監丞鮑相率六館生連章乞留。
HCH_012_168_000054	帝可其奏。
HCH_012_168_000055	明年以本官兼翰林學士，與侍郎王一寧並入直文淵閣。
HCH_012_168_000056	又明年進戶部右侍郎，兼官如故。
HCH_012_168_000057	易儲議起，鎡曰：「無易樹子，霸者所禁，矧天朝乎。」
HCH_012_168_000058	不聽。
HCH_012_168_000059	加太子少師。
HCH_012_168_000060	《寰宇通志》成，進戶部尚書。
HCH_012_168_000061	帝不豫，諸臣議復憲宗東宮。
HCH_012_168_000062	李賢私問鎡，鎡曰：「既退，不可再也。」
HCH_012_168_000063	英宗復位，遂削籍。
HCH_012_168_000064	天順八年卒。
HCH_012_168_000065	成化中，復官賜祭。
HCH_012_168_000066	鎡學問該博，文章爾雅。
HCH_012_168_000067	然性猜忌，遇事多退避雲。
HCH_012_168_000068	王文，字千之，初名強，束鹿人。
HCH_012_168_000069	永樂十九年進士。
HCH_012_168_000070	授監察御史。
HCH_012_168_000071	持廉奉法，為都御史顧佐所稱。
HCH_012_168_000072	宣德末，奉命治彰德妖賊張普祥獄。
HCH_012_168_000073	還奏稱旨，賜今名。
HCH_012_168_000074	英宗即位，遷陜西按察使。
HCH_012_168_000075	遭父憂，命奔喪，起視事。
HCH_012_168_000076	正統三年正月擢右副都御史，巡撫寧夏，五年召為大理寺卿。
HCH_012_168_000077	明年與刑部侍郎何文淵錄在京刑獄，尋遷右都御史。
HCH_012_168_000078	九年出視延綏、寧夏邊務。
HCH_012_168_000079	劾治定邊營失律都督僉事王禎、都督同知黃真等罪，邊僥為肅。
HCH_012_168_000080	明年代陳鎰鎮守陜西，平涼、臨洮、鞏昌饑，奏免其租。
HCH_012_168_000081	尋進左都御史。
HCH_012_168_000082	在陜五年，鎮靜不擾。
HCH_012_168_000083	景泰改元，召掌院事。
HCH_012_168_000084	文為人深刻有城府，面目嚴冷，與陳鎰同官，一揖外未嘗接談。
HCH_012_168_000085	諸御史畏之若神，廷臣無敢幹以私者，然中實柔媚。
HCH_012_168_000086	初，按大理少卿薛瑄獄，希王振指，欲坐瑄死。
HCH_012_168_000087	至是治中官金英縱家奴不法事，但抵奴罪。
HCH_012_168_000088	給事中林聰等劾文、鎰畏勢長奸，下詔獄。
HCH_012_168_000089	二人俱伏，乃宥之。
HCH_012_168_000090	二年六月，學士江淵上言法司斷獄多枉。
HCH_012_168_000091	文及刑部尚書俞士悅求罷。
HCH_012_168_000092	且言淵嘗私以事，不聽，故見誣。
HCH_012_168_000093	帝兩置之。
HCH_012_168_000094	三年春，加太子太保。
HCH_012_168_000095	時陳鎰鎮陜西，將還，文當代。
HCH_012_168_000096	諸御史交章留之，乃改命侍郎耿九疇。
HCH_012_168_000097	南京地震，江、淮北大水，命巡視。
HCH_012_168_000098	偕南九卿議上軍民便宜九事。
HCH_012_168_000099	又言徐、淮間饑甚，而南京儲蓄有餘，請盡發徐、淮倉粟振貸，而以應輸南京者輸徐、淮，補其缺。
HCH_012_168_000100	皆報可。
HCH_012_168_000101	是時，陳循最任，好剛自用。
HCH_012_168_000102	高谷與循不相能，以文強悍，思引與共政以敵之，乃疏請增閣員。
HCH_012_168_000103	循舉其鄉人蕭維禎，谷遂舉文。
HCH_012_168_000104	而文得中官王誠助，於是詔用文。
HCH_012_168_000105	尋自江、淮還朝，改吏部尚書，兼翰林院學士，直文淵閣。
HCH_012_168_000106	二品大臣入閣自文始。
HCH_012_168_000107	尋遭母喪，奪哀如前。
HCH_012_168_000108	文雖為谷所引，而谷遲重，循性明決，文反與循合而不附谷。
HCH_012_168_000109	其後以子倫故，欲傾考官，又用谷言而罷。
HCH_012_168_000110	由是兩人卒不相得。
HCH_012_168_000111	五年三月，江、淮大水，復命巡視。
HCH_012_168_000112	先是蘇、松、常、鎮四府糧四石折白銀一兩，民以為便。
HCH_012_168_000113	後戶部復征米，令輸徐、淮，凡一百十餘萬石。
HCH_012_168_000114	率三石而致一石，有破家者。
HCH_012_168_000115	文用便宜停之。
HCH_012_168_000116	又發廩振饑民三百六十餘萬。
HCH_012_168_000117	時年饑多盜，文捕長洲盜許道師等二百人。
HCH_012_168_000118	欲張其功，坐以謀逆。
HCH_012_168_000119	大理卿薛瑄辨其誣。
HCH_012_168_000120	給事中王鎮乞會廷臣勘實，得為盜者十六人置之法，而余得釋。
HCH_012_168_000121	還進少保，兼東閣大學士。
HCH_012_168_000122	再進謹身殿大學士，仍兼東閣。
HCH_012_168_000123	初，英宗之還也，廷臣議奉迎禮。
HCH_012_168_000124	文時為都御史，厲聲曰：「公等謂上皇果還耶？也先不索土地、金帛而遽送駕來耶？」
HCH_012_168_000125	眾素畏文，皆愕然不決而罷。
HCH_012_168_000126	及易儲議起，文率先承命。
HCH_012_168_000127	景帝不豫，群臣欲乞還沂王東宮。
HCH_012_168_000128	文曰：「安知上意誰屬？」
HCH_012_168_000129	乃疏請早選元良。
HCH_012_168_000130	以是中外喧傳文與中官王誠等謀召取襄世子。
HCH_012_168_000131	英宗復位，即日與于謙執於班內。
HCH_012_168_000132	言官劾文與謙等謀立外藩，命鞫於廷。
HCH_012_168_000133	文力辯曰：「召親王須用金牌信符，遣人必有馬牌，內府兵部可驗也。」
HCH_012_168_000134	辭氣激壯。
HCH_012_168_000135	逮車駕主事沈敬按問，無跡。
HCH_012_168_000136	廷臣遂坐謙、文召敬謀未定，與謙同斬於市，諸子悉戍邊。
HCH_012_168_000137	敬亦坐知謀反故縱，減死，戍鐵嶺。
HCH_012_168_000138	文之死，人皆知其誣。
HCH_012_168_000139	以素刻忮，且迎駕、復儲之議不愜輿論，故冤死而民不思。
HCH_012_168_000140	成化初，赦其子還，尋復官，贈太保，謚毅湣。
HCH_012_168_000141	倫，改名宗彜。
HCH_012_168_000142	成化初進士。
HCH_012_168_000143	歷戶部郎中，出理遼東餉。
HCH_012_168_000144	中官汪直東征，言宗彜督餉勞，擢太僕少卿。
HCH_012_168_000145	弘治中，累官南京禮部尚書。
HCH_012_168_000146	卒，謚安簡。
HCH_012_168_000147	江淵，字世用，江津人。
HCH_012_168_000148	宣德五年庶吉士，授編修。
HCH_012_168_000149	正統十二年詔與杜寧、裴綸、劉儼、商輅、陳文、楊鼎、呂原、劉俊、王玉共十人，肄業東閣，曹鼐等為之師。
HCH_012_168_000150	郕王監國，徐有貞倡議南遷，太監金英叱出之，踉蹌過左掖門。
HCH_012_168_000151	淵適入，迎問之。
HCH_012_168_000152	有貞曰：「以吾議南遷不合也。」
HCH_012_168_000153	於是淵入，極陳固守之策。
HCH_012_168_000154	遂見知於王，由侍講超擢刑部右侍郎。
HCH_012_168_000155	也先薄京師，命淵參都督孫鏜軍事。
HCH_012_168_000156	景泰元年出視紫荊、倒馬、白羊諸關隘，與都指揮同知翁信督修雁門關。
HCH_012_168_000157	其秋遂以本官兼翰林學士，入閣預機務。
HCH_012_168_000158	尋改戶部侍郎，兼職如故。
HCH_012_168_000159	明年六月以天變條上三事：一，厚結朵顏、赤斤諸衛，為東西藩籬；一，免京軍余丁，以資生業；一，禁訐告王振余黨，以免枉濫。
HCH_012_168_000160	詔悉從之。
HCH_012_168_000161	又明年二月改吏部，仍兼學士。
HCH_012_168_000162	是春，京師久雨雪。
HCH_012_168_000163	淵上言：「漢劉向曰，凡雨陰也，雪又雨之陰也。仲春少陽用事，而寒氣脅之，占法謂人君刑法暴濫之象。陛下恩威溥洽，未嘗不赦過宥罪，竊恐有司奉行無狀，冤抑或有未伸。且向者下明詔，免景泰二年田租之三。今復移檄追征，則是朝廷自失大信於民。怨氣郁結，良由此也。」
HCH_012_168_000164	帝乃令法司申冤濫，詰戶部違詔，下尚書金濂於獄，卒免稅加詔。
HCH_012_168_000165	東宮既易，加太子少師。
HCH_012_168_000166	四川巡撫僉都御史李匡不職，以淵言罷之。
HCH_012_168_000167	母憂起復。
HCH_012_168_000168	初侍講學士倪謙遭喪，淵薦謙為講官，謙遂奪哀。
HCH_012_168_000169	至是御史周文言淵引謙，正自為今日地。
HCH_012_168_000170	帝以事既處分，不問，而令自今群臣遭喪無濫保。
HCH_012_168_000171	五年春，山東、河南、江北饑，命同平江侯陳預往撫。
HCH_012_168_000172	淵前後條上軍民便宜十數事。
HCH_012_168_000173	並請築淮安月城以護常盈倉，廣徐州東城以護廣運倉。
HCH_012_168_000174	悉議行。
HCH_012_168_000175	時江北洊饑，淮安糧運在塗者，淵悉追還備振，漕卒乘機侵耗。
HCH_012_168_000176	事聞，遣御史按實。
HCH_012_168_000177	淵被劾。
HCH_012_168_000178	當削籍。
HCH_012_168_000179	廷臣以淵守便宜，不當罪。
HCH_012_168_000180	帝宥之。
HCH_012_168_000181	閣臣既不相協，而陳循、王文尤刻私。
HCH_012_168_000182	淵好議論，每為同官所抑，意忽忽不樂。
HCH_012_168_000183	會兵部尚書于謙以病在告，詔推一人協理部事。
HCH_012_168_000184	淵心欲得之。
HCH_012_168_000185	循等佯推淵，而密令商輅草奏，示以「石兵江工」四字，淵在旁不知也。
HCH_012_168_000186	比詔下，調工部尚書石璞於兵部，而以淵代璞。
HCH_012_168_000187	淵大失望。
HCH_012_168_000188	英宗復位，與陳循等俱謫戍遼東，未幾卒。
HCH_012_168_000189	初，黃矰之奏易儲也，或疑淵主之。
HCH_012_168_000190	丘浚曰：「此易辨也，廣西紙與京師紙異。」
HCH_012_168_000191	索奏視之，果廣西紙，其誣乃白。
HCH_012_168_000192	成化初，復官。
HCH_012_168_000193	許彬，字道中，寧陽人。
HCH_012_168_000194	永樂十三年進士。
HCH_012_168_000195	改庶吉士，授檢討。
HCH_012_168_000196	正統末，累遷太常少卿，兼翰林待詔，提督四夷館。
HCH_012_168_000197	上皇將還，遣彬至宣府奉迎。
HCH_012_168_000198	上皇命書罪己詔及諭群臣敕，遣祭土木陣亡官軍。
HCH_012_168_000199	以此受知上皇。
HCH_012_168_000200	還擢本寺卿。
HCH_012_168_000201	石亨等謀復上皇，以其謀告彬，彬進徐有貞，語具有貞傳。
HCH_012_168_000202	英宗復位，進禮部左侍郎，兼翰林院學士。
HCH_012_168_000203	入直文淵閣。
HCH_012_168_000204	未幾，為石亨所忌，出為南京禮部右侍郎，甫行，貶陜西參政。
HCH_012_168_000205	至則乞休去。
HCH_012_168_000206	憲宗立，命以侍郎致仕，尋卒。
HCH_012_168_000207	彬性坦率，好交遊，不能擇人，一時浮蕩士多出其門。
HCH_012_168_000208	晚參大政，方欲杜門謝客，而客惡其變態，競相騰謗，竟不安其位。
HCH_012_168_000209	陳文，字安簡，廬陵人。
HCH_012_168_000210	鄉試第一，正統元年進士及第，授編修。
HCH_012_168_000211	十二年命進學東閣。
HCH_012_168_000212	秩滿，遷侍講。
HCH_012_168_000213	景泰二年，閣臣高谷薦文才，遂擢雲南右布政使，貴州比歲用兵，資餉雲南，民困轉輸。
HCH_012_168_000214	文令商賈代輸，而民倍償其費，皆稱便。
HCH_012_168_000215	稅課額鈔七十餘萬，吏俸所取給，典者侵蝕，吏或累歲不得俸。
HCH_012_168_000216	文悉按治，課日羨溢。
HCH_012_168_000217	雲南產銀，民間用銀貿易，視內地三倍。
HCH_012_168_000218	隸在官者免役，納銀亦三之，納者不為病。
HCH_012_168_000219	文曰：「雖如是，得無傷廉乎？」
HCH_012_168_000220	損之，復令減隸額三之一。
HCH_012_168_000221	名譽日起，遷廣東左布政使，母憂未赴。
HCH_012_168_000222	英宗即復位，一日謂左右曰：「向侍朕編修，皙而長者安在？」
HCH_012_168_000223	左右以文對，即召為詹事。
HCH_012_168_000224	乞終制。
HCH_012_168_000225	不允。
HCH_012_168_000226	入侍東宮講讀。
HCH_012_168_000227	學士呂原卒，帝問李賢誰可代者，曰：「柯潛可。」
HCH_012_168_000228	出告王翺，翺曰：「陳文以次當及，奈何抑之？」
HCH_012_168_000229	明日，賢入見，如翺言。
HCH_012_168_000230	七年二月進禮部右侍郎兼學士，入內閣。
HCH_012_168_000231	文既入，數撓賢以自異，曰：「吾非若所薦也。」
HCH_012_168_000232	侍讀學士錢溥與文比舍居，交甚歡。
HCH_012_168_000233	溥嘗授內侍書。
HCH_012_168_000234	其徒多貴幸，來謁，必邀文共飲。
HCH_012_168_000235	英宗大漸，東宮內侍王綸私詣溥計事，不召文。
HCH_012_168_000236	文密覘之。
HCH_012_168_000237	綸言：「帝不豫，東宮納妃，如何？」
HCH_012_168_000238	溥謂：「當奉遺詔行事。」
HCH_012_168_000239	已而英宗崩，賢當草詔。
HCH_012_168_000240	文起奪其筆曰：「無庸，已有草者。」
HCH_012_168_000241	因言綸、溥定計，欲逐賢以溥代之，而以兵部侍郎韓雍代尚書馬昂。
HCH_012_168_000242	賢怒，發其事。
HCH_012_168_000243	是時憲宗初立，綸自謂當得司禮，氣張甚。
HCH_012_168_000244	英宗大殮，綸衰服襲貂，帝見而惡之。
HCH_012_168_000245	太監牛玉恐其軋己，因數綸罪，逐之去。
HCH_012_168_000246	溥謫知順德縣，雍浙江參政。
HCH_012_168_000247	詞所連，順天府尹王福，通政參議趙昂，南寧伯毛榮，都督馬良、馮宗、劉聚，錦衣都指揮僉事門達等皆坐謫。
HCH_012_168_000248	雍亦文素所不悅者也。
HCH_012_168_000249	改吏部左侍郎，同知經筵事。
HCH_012_168_000250	成化元年進禮部尚書。
HCH_012_168_000251	羅倫論賢奪情。
HCH_012_168_000252	文內愧，陰助賢逐倫，益為時論所鄙。
HCH_012_168_000253	三年春，帝命戶部尚書馬昂、副都御史林聰及給事中潘禮、陳越清理京營。
HCH_012_168_000254	文奏必得內臣共事，始可刬除宿弊，因薦太監懷恩。
HCH_012_168_000255	帝從之。
HCH_012_168_000256	《英宗實錄》成，加太子少保，兼文淵閣大學士。
HCH_012_168_000257	四年卒。
HCH_012_168_000258	贈少傅，謚莊靖。
HCH_012_168_000259	文素以才自許，在外頗著績效，士大夫多冀其進用。
HCH_012_168_000260	及居宮端，行事鄙猥。
HCH_012_168_000261	既參大政，無所建明。
HCH_012_168_000262	朝退則引賓客故人置酒為曲宴，專務請屬。
HCH_012_168_000263	性卞急，遇睚眥怨必報。
HCH_012_168_000264	及賢卒，文益恣意行，名節大喪。
HCH_012_168_000265	歿後，禮部主事陸淵之、御史謝文祥皆疏論文不當得美謚。
HCH_012_168_000266	帝以事已施行，不許。
HCH_012_168_000267	萬安，安循吉，眉州人。
HCH_012_168_000268	長身魁顏，眉目如刻畫，外寬而深中。
HCH_012_168_000269	正統十三年進士。
HCH_012_168_000270	改庶吉士，授編修。
HCH_012_168_000271	成化初，屢遷禮部左侍郎。
HCH_012_168_000272	五年命兼翰林學士，入內閣參機務。
HCH_012_168_000273	同年生詹事李泰，中官永昌養子也，齒少於安。
HCH_012_168_000274	安兄事之，得其歡。
HCH_012_168_000275	自為同官，每當遷，必推安出己上。
HCH_012_168_000276	至是議簡閣臣，泰復推安曰：「子先之，我不患不至。」
HCH_012_168_000277	故安得入閣，而泰忽暴病死。
HCH_012_168_000278	安無學術，既柄用，惟日事請托，結諸閹為內援。
HCH_012_168_000279	時萬貴妃寵冠後宮，安因內侍致殷勤，自稱子侄行。
HCH_012_168_000280	妃嘗自愧無門閥，聞則大喜，妃弟錦衣指揮通，遂以族屬數過安家。
HCH_012_168_000281	其妻王氏有母至自博興。
HCH_012_168_000282	王謂母曰：「向家貧時，以妹為人娣，今安在？」
HCH_012_168_000283	母曰：「第憶為四川萬編修者。」
HCH_012_168_000284	通心疑是安，訪之則安小婦，由是兩家婦日往來。
HCH_012_168_000285	通妻著籍禁內，恣出入，安得備知宮中動靜，益自固。
HCH_012_168_000286	侍郎刑讓、祭酒陳鑒與安同年不相能。
HCH_012_168_000287	安構獄，除兩人名。
HCH_012_168_000288	七年冬，彗見天田，犯太微。
HCH_012_168_000289	廷臣多言君臣否隔，宜時召大臣議政。
HCH_012_168_000290	大學士彭時、商輅力請。
HCH_012_168_000291	司禮中官乃約以禦殿日召對，且曰：「初見，情未洽，勿多言，姑俟他日。」
HCH_012_168_000292	將入，復約如初。
HCH_012_168_000293	比見，時言天變可畏，帝曰：「已知，卿等宜盡心。」
HCH_012_168_000294	時又言：「昨御史有疏，請減京官俸薪，武臣不免觖望，乞如舊便。」
HCH_012_168_000295	帝可之。
