HCH_012_217_000063	遣官賫敕存問，賚金幣羊酒。
HCH_012_217_000064	又二年卒，年六十八。
HCH_012_217_000065	贈少保，謚文端。
HCH_012_217_000066	熹宗立，再贈太保，任一子尚寶丞。
HCH_012_217_000067	家屏家居時，朝鮮用兵。
HCH_012_217_000068	貽書經略顧養謙曰：「昔衛為狄滅，齊桓率諸侯城楚丘，《春秋》高其義；未聞遂與狄仇，連諸侯兵以伐之也。今第以保會稽之恥，激厲朝鮮，以城楚丘之功，獎率將吏，無為主而為客，則善矣。」
HCH_012_217_000069	養謙不能用，朝鮮兵數年無功。
HCH_012_217_000070	其深識有謀，皆此類也。
HCH_012_217_000071	陳于陛，字元忠，大學士以勤子也。
HCH_012_217_000072	隆慶二年進士。
HCH_012_217_000073	選庶吉士，授編修。
HCH_012_217_000074	萬曆初，預修世、穆兩朝實錄，充日講官。
HCH_012_217_000075	累遷侍講學士，擢詹事，掌翰林院。
HCH_012_217_000076	疏請早建東宮。
HCH_012_217_000077	十九年，拜禮部右侍郎，領詹事府事。
HCH_012_217_000078	明年，改吏部，進左侍郎，教習庶吉士。
HCH_012_217_000079	奏言元子不當封王，請及時冊立豫教，又請早朝勤政，皆不報。
HCH_012_217_000080	又明年，進禮部尚書，仍領詹事府事。
HCH_012_217_000081	于陛少從父以勤習國家故實。
HCH_012_217_000082	為史官，益究經世學。
HCH_012_217_000083	以前代皆修國史，疏言：「臣考史家之法，紀、表、誌、傳謂之正史。宋去我朝近，制尤可考。真宗祥符間，王旦等撰進太祖、太宗兩朝正史。仁宗天聖間，呂夷簡等增入真宗朝，名《三朝國史》。此則本朝君臣自修本朝正史之明證也。我朝史籍，止有列聖實錄，正史闕焉未講。伏睹朝野所撰次，可備采擇者無慮數百種。倘不及時網羅，歲月浸邈，卷帙散脫，耆舊漸雕，事跡罕據。欲成信史，將不可得。惟陛下立下明詔，設局編輯，使一代經制典章，犁然可考，鴻謨偉烈，光炳天壤，豈非萬世不朽盛事哉！」
HCH_012_217_000084	詔從之。
HCH_012_217_000085	二十二年三月，遂命詞臣分曹類纂，以于陛及尚書沈一貫、少詹事馮琦為副總裁，而閣臣總裁之。
HCH_012_217_000086	其年夏，首輔王錫爵謝政，遂命于陛兼東閣大學士，入參機務。
HCH_012_217_000087	疏陳親大臣、錄遺賢、獎外吏、核邊餉、儲將才、擇邊吏六事。
HCH_012_217_000088	末言：「以肅皇帝之精明，而末年貪黜成風，封疆多事，則倦勤故也。今至尊端拱，百職不修，不亟圖更始，後將安極。」
HCH_012_217_000089	帝優詔答之，而不能用。
HCH_012_217_000090	帝以軍政失察，斥兩都言官三十餘人。
HCH_012_217_000091	于陛與同官申救至再，又獨疏請宥，俱不納。
HCH_012_217_000092	以甘肅破賊功，加太子少保。
HCH_012_217_000093	乾清、坤寧兩宮災，請面對，不報。
HCH_012_217_000094	乞罷，亦不許。
HCH_012_217_000095	其秋，二品三年滿，改文淵閣，進太子太保。
HCH_012_217_000096	時內閣四人。
HCH_012_217_000097	趙誌臯、張位、沈一貫皆于陛同年生，遇事無齟齬。
HCH_012_217_000098	而帝拒諫益甚，上下否隔。
HCH_012_217_000099	于陛憂形於色，以不能補救，在直廬數太息視日影。
HCH_012_217_000100	二十四年冬，病卒於位，史亦竟罷。
HCH_012_217_000101	贈少保，謚文憲。
HCH_012_217_000102	終明世，父子為宰輔者，惟南充陳氏。
HCH_012_217_000103	世以比漢韋、平焉。
HCH_012_217_000104	沈鯉，字仲化，歸德人。
HCH_012_217_000105	祖瀚，建寧知府。
HCH_012_217_000106	鯉，嘉靖中舉鄉試。
HCH_012_217_000107	師尚詔作亂，陷歸德，已而西去。
HCH_012_217_000108	鯉策賊必再至，急白守臣，捕殺城中通賊者，嚴為守具。
HCH_012_217_000109	賊還逼，見有備，去。
HCH_012_217_000110	奸人倡言屠城，將驅掠居民，鯉請諭止之，眾始定。
HCH_012_217_000111	四十四年，成進士，改庶吉士，授檢討。
HCH_012_217_000112	大學士高拱，其座主又鄉人也，旅見外，未嘗以私謁。
HCH_012_217_000113	神宗在東宮，鯉為講官。
HCH_012_217_000114	嘗令諸講官書扇，鯉書魏卞蘭《太子頌》以進，因命陳清大義甚悉。
HCH_012_217_000115	神宗咨美，遂蒙眷。
HCH_012_217_000116	比即位，用宮僚恩，進編修。
HCH_012_217_000117	旋進左贊善。
HCH_012_217_000118	每直講，舉止端雅，所陳說獨契帝心。
HCH_012_217_000119	帝亟稱之。
HCH_012_217_000120	連遭父母喪，帝數問沈講官何在，又問服闋期，命先補講官俟之。
HCH_012_217_000121	萬曆九年還朝。
HCH_012_217_000122	屬當輟講，特命展一日，示優異焉。
HCH_012_217_000123	明年秋，擢侍講學士，再遷禮部右侍郎。
HCH_012_217_000124	尋改吏部，進左侍郎。
HCH_012_217_000125	屏絕私交，好推轂賢士，不使知。
HCH_012_217_000126	十二年冬，拜禮部尚書。
HCH_012_217_000127	去六品甫二年，至正卿。
HCH_012_217_000128	素負物望，時論不以為驟。
HCH_012_217_000129	久之，《會典》成，加太子少保。
