HCH_010_110_000082	酒酣，命賦《雲上於天詩》，詔孝傑坐禦榻旁。
HCH_010_110_000083	上誦《黍離》詩：「知我者謂我心憂，不知我者謂我何求。」
HCH_010_110_000084	孝傑奏曰：「今天下太平，陛下何憂？富有四海，陛下何求？」
HCH_010_110_000085	帝大悅。
HCH_010_110_000086	三年，群臣侍燕，上曰：「先帝用仁先、化葛，以賢智也。朕有孝傑、乙辛，不在仁先、化葛下，誠為得人。」
HCH_010_110_000087	歡飲至夜，乃罷。
HCH_010_110_000088	是年夏，乙辛譖皇太子，孝傑同力相濟。
HCH_010_110_000089	及乙辛受詔按皇太子黨人，誣害忠良，孝傑之謀居多。
HCH_010_110_000090	乙辛薦孝傑忠於社稷，帝謂孝傑可比狄仁傑，賜名仁傑，乃許放海東青鶻。
HCH_010_110_000091	六年，既出乙辛，上亦悟孝傑奸佞，尋出為武定軍節度使。
HCH_010_110_000092	坐私販廣濟湖鹽及擅改詔旨，削爵，貶安肅州，數年乃歸。
HCH_010_110_000093	大安中，死於鄉。
HCH_010_110_000094	乾統初，剖棺戮屍，以族產分賜臣下。
HCH_010_110_000095	孝傑久在相位，貪貨無厭，時與親戚會飲，嘗曰：「無百萬兩黃金，不足為宰相家。」
HCH_010_110_000096	初，孝傑及第，詣佛寺，忽迅風吹孝傑襆頭，與浮圖齊，墜地而碎。
HCH_010_110_000097	有老僧曰：「此人必驟貴，然亦不得其死。」
HCH_010_110_000098	竟如其言。
HCH_010_110_000099	耶律燕哥，字善寧，季父房之後。
HCH_010_110_000100	四世祖鐸穩，太祖異母弟。
HCH_010_110_000101	父曰豁裏斯，官至太師。
HCH_010_110_000102	燕哥狡佞而敏。
HCH_010_110_000103	清寧間，為左護衛太保。
HCH_010_110_000104	大康初，轉北面林牙。
HCH_010_110_000105	初，耶律乙辛自中京留守復為樞密使，以燕哥為耳目，凡聞見必以告。
HCH_010_110_000106	乙辛愛而薦之，帝亦以為賢，拜左夷離畢。
HCH_010_110_000107	及皇太子被誣，帝遣燕哥往訊之，太子謂燕哥曰：「帝惟我一子，今為儲嗣，復何求，敢為此事！公與我為昆弟行，當念無辜，達意於帝。」
HCH_010_110_000108	禱之甚懇。
HCH_010_110_000109	蕭十三聞之，謂燕哥曰：「宜以太子言易為伏狀。」
HCH_010_110_000110	燕哥頷之，盡如所教以奏。
HCH_010_110_000111	及太子被逐，乙辛殺害忠良，多燕哥之謀，為契丹行宮都部署。
HCH_010_110_000112	五年夏，拜南府宰相，遷惕隱。
HCH_010_110_000113	大安三年，為西京留守，致仕。
HCH_010_110_000114	壽隆初，以疾卒。
HCH_010_110_000115	蕭十三，蔑古乃部人。
HCH_010_110_000116	父鐸魯斡，歷官節度使。
HCH_010_110_000117	十三辨黠，善揣摩人意。
HCH_010_110_000118	清寧間，以年勞遷護衛太保。
HCH_010_110_000119	大康初，耶律乙辛復入樞府，益橫恣。
HCH_010_110_000120	時十三出入乙辛家，以朝臣不附者輒使出之，十三由宿衛遷殿前副點檢。
HCH_010_110_000121	三年夏，護衛蕭忽古等謀殺乙辛，事覺下獄。
HCH_010_110_000122	十三謂乙辛曰：「今太子猶在，臣民屬心。大王素無根柢之助，復有誣皇后之怨。若太子立，王置身何地？宜熟計之。」
HCH_010_110_000123	乙辛曰：「吾憂此久矣！」
HCH_010_110_000124	是夜，召蕭得裏特謀所以構太子事。
HCH_010_110_000125	十三計既行，尋遷殿前都點檢，兼同知樞密院事。
HCH_010_110_000126	復令蕭訛都斡等誣首耶律查剌前告耶律撒剌等事皆實，詔究其事。
HCH_010_110_000127	太子不服，別遣夷離畢耶律燕哥問太子，太子具陳所以見誣之狀。
HCH_010_110_000128	十三聞之，謂燕哥曰：「如此奏，則大事去矣，當易其辭為伏款。」
HCH_010_110_000129	燕哥入，如十三言奏之。
HCH_010_110_000130	上大怒，廢太子。
HCH_010_110_000131	太子將出，曰：「我何罪至是！」
HCH_010_110_000132	十三叱令登車，遣衛卒闔車門。
HCH_010_110_000133	是年，遷北院樞密副使，復陳陰害太子計，乙辛從之。
HCH_010_110_000134	及乙辛出知南院大王事，亦出十三為保州統軍使，卒。
HCH_010_110_000135	乾統間，剖棺戮屍。
HCH_010_110_000136	二子：的裏得、念經，皆伏誅。
HCH_010_110_000137	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
