HCH_013_057_000071	十二年冬十月，大同戍卒叛，殺總兵李瑾。
HCH_013_057_000072	先是，七月，套部渡河將入寇，巡撫大同都御史潘倣以聞，兵部尚書王憲曰：「非設總制重臣不可。」
HCH_013_057_000073	乃請以兵部侍郎劉源清為總制，都督郤永總兵禦之。
HCH_013_057_000074	舊鎮大同總兵李瑾，議於天城之左濬濠四十里，以遏［虜］騎，源清從之，期三日事竣。
HCH_013_057_000075	瑾素嚴，馭士卒少恩。
HCH_013_057_000076	及承源清令，益為捶楚，鎮卒季富子、王寶等［六七人］倡亂，從者六七十人，脇朱振攝指揮使，遂殺瑾。
HCH_013_057_000077	還圍巡撫潘倣，倣踰垣避匿，亡其符敕，諸卒搜得之。
HCH_013_057_000078	倣為奏：「鎮將用法苛刻，兵悉變，請置勿問。」
HCH_013_057_000079	源清曰：「即兵悉變，法不可廢，請討之。」
HCH_013_057_000080	事下兵部議，尚書憲曰：「兵未必悉變。脇從宥弗治，渠魁必殲。」
HCH_013_057_000081	降璽書責總制、巡撫相機撫勦之，倣督僉事孫允中等計擒首惡十餘人縛以獻。
HCH_013_057_000082	時源清駐陽和，乃榜示大同城中，曰：「五堡之變，朝廷處太寬。乃今稔惡戕王帥，天討所必加者。」
HCH_013_057_000083	五堡遺孼見榜示，輒偶語不自安，謂追理甲申事也。
HCH_013_057_000084	允中檻諸囚詣軍門，請沮師，稍徐圖之，逆黨可盡得。
HCH_013_057_000085	又五堡事朝廷已處分，願勿以為言。
HCH_013_057_000086	源清曰：「甲申之役，胡公以兵不臨城，致言者紛紛，吾不可更襲前轍。」
HCH_013_057_000087	乃以囚屬御史蘇祐訊，而遣參將趙剛等率甲士三百人捕亂黨。
HCH_013_057_000088	倣驗所捕名，多擒賊有功，為諸囚所仇誣者，乃止捕無功八十餘人。
HCH_013_057_000089	比晚，諸鎮卒皆變，拒巷不納捕者。
HCH_013_057_000090	源清遣允中入城諭意，令明日釋甲迎王師。
HCH_013_057_000091	至夜，城中益譁，言：「兵來屠城矣。」
HCH_013_057_000092	遂羣起為亂，倣命允中暨諸裨將擒斬二十餘人，餘解散。
HCH_013_057_000093	源清為書召朱振，振至，切責之，振飲藥死。
HCH_013_057_000094	明日，源清師至城下，斬關入，大肆殺掠，城外橫屍枕藉。
HCH_013_057_000095	五堡遺孼遂變，悍橫不可制。
HCH_013_057_000096	閉城門弗敌，擁指揮馬昇、楊麟為渠帥。
HCH_013_057_000097	亡何，郤永師亦至，整隊及城。
HCH_013_057_000098	亂兵開門迎敵，殺參將一人。
HCH_013_057_000099	倣、允中亟馳往諭之，眾曰：「城外屍塞道矣，尚紿我。」
HCH_013_057_000100	反覆諭不聽，倣與允中計曰：「亂不可遏矣。」
HCH_013_057_000101	乃列將士貪功妄殺，激變鎮兵狀，間道上之。
HCH_013_057_000102	源清亦疏奏巡撫諸臣黨逆，卒致抗王師。
HCH_013_057_000103	言官劾倣，罷去。
HCH_013_057_000104	源清次聚落驛，允中往見之，言將士妄殺故。
HCH_013_057_000105	源清曰：「毋為賊說。」
HCH_013_057_000106	允中遂留居懷仁。
HCH_013_057_000107	時禮部侍郎顧鼎臣、黃綰皆言用兵之非，綰言尤力，忤輔臣張孚敬意。
HCH_013_057_000108	吏部以他事謫參政出，綰發憤上疏自列，且指言用兵失。
HCH_013_057_000109	上悟，命復其官。
