HCH_012_010_000090	戊戌，下詔寬卹，求直言。
HCH_012_010_000091	秋七月庚戌，免兩畿、山東、江西、河南被災稅糧。
HCH_012_010_000092	壬申，汰冗官。
HCH_012_010_000093	八月戊戌，增設沿海備倭官。
HCH_012_010_000094	己亥，京師地震。
HCH_012_010_000095	冬十二月丁丑，都督同知李安充總兵官，僉都御史王翺參贊軍務，討松潘祈命簇叛番。
HCH_012_010_000096	是年，琉球、占城、安南、瓦剌、榜葛剌、滿剌加、哈密入貢。
HCH_012_010_000097	五年春正月己未，大祀天地於南郊。
HCH_012_010_000098	二月乙亥，侍講學士馬愉、侍講曹鼐入閣預機務。
HCH_012_010_000099	甲申，僉都御史張純、大理少卿李畛振撫畿內流民。
HCH_012_010_000100	三月戊申，建北京宮殿。
HCH_012_010_000101	夏四月壬申，免山西逋賦。
HCH_012_010_000102	丙戌，祈命簇番降。
HCH_012_010_000103	五月，征麓川，參將張榮敗績於芒市。
HCH_012_010_000104	六月丁丑，免兩畿被災田糧。
HCH_012_010_000105	戊寅，錄囚。
HCH_012_010_000106	秋七月辛丑，遣刑部侍郎何文淵等分行天下，修備荒之政。
HCH_012_010_000107	壬寅，楊榮卒。
HCH_012_010_000108	八月乙未，令各邊修舉荒政。
HCH_012_010_000109	九月壬寅，蠲雲南逋賦。
HCH_012_010_000110	冬十一月壬寅，振浙江饑。
HCH_012_010_000111	壬子，免蘇、松、常、鎮、嘉、湖水災稅糧。
HCH_012_010_000112	丁巳，廣西僧楊行祥偽稱建文帝，械送京師，錮錦衣衞獄死。
HCH_012_010_000113	乙丑，沐昂討平師宗叛蠻。
HCH_012_010_000114	十二月壬午，免南畿、浙江、山東、河南被災稅糧。
HCH_012_010_000115	是年，占城、琉球中山、哈密、烏斯藏入貢。
HCH_012_010_000116	六年春正月己亥朔，日當食，不見，禮官請表賀，不許。
HCH_012_010_000117	庚戌，大祀天地於南郊。
HCH_012_010_000118	乙卯，以莊浪地屢震，躬祀郊廟，遣使祭西方嶽鎮。
HCH_012_010_000119	大舉征麓川，定西伯蔣貴為平蠻將軍，都督同知李安、僉事劉聚副之，兵部尚書王驥總督軍務。
HCH_012_010_000120	三月庚子，下兵部侍郎于謙於獄。
HCH_012_010_000121	夏四月甲午，以災異遣使省天下疑獄。
HCH_012_010_000122	五月甲寅，刑部侍郎何文淵、大理卿王文錄在京刑獄，巡撫侍郎周忱、刑科給事中郭瑾錄南京刑獄。
HCH_012_010_000123	釋于謙為大理少卿。
HCH_012_010_000124	秋七月丁未，振浙江、湖廣饑。
HCH_012_010_000125	冬十月丁丑，戶部尚書劉中敷，侍郎吳璽、陳瑺荷校於長安門，旬餘釋還職。
HCH_012_010_000126	庚寅，免畿內被災稅糧。
HCH_012_010_000127	十一月甲午朔，乾清、坤寧二宮，奉天、華蓋、謹身三殿成，大赦。
HCH_012_010_000128	定都北京，文武諸司不稱行在。
HCH_012_010_000129	癸卯，王驥拔麓川上江寨。
HCH_012_010_000130	癸丑，免河南、山東及鳳陽等府被災稅糧。
HCH_012_010_000131	閏月甲戌，復下劉中敷、吳璽、陳瑺於獄。
HCH_012_010_000132	踰年，釋中敷為民，璽、瑺戍邊。
HCH_012_010_000133	十二月，王驥克麓川，思任發走孟養。
HCH_012_010_000134	丁未，班師。
HCH_012_010_000135	左副總兵李安攻餘賊於高黎貢山，敗績。
HCH_012_010_000136	是年，占城、瓦剌、哈密入貢。
HCH_012_010_000137	七年春正月甲戌，大祀天地於南郊。
HCH_012_010_000138	二月庚申，如天壽山。
HCH_012_010_000139	三月甲子，還宮。
