HCH_012_030_000089	二年，兩京、山東、河南、湖廣、江西及嘉興、大同、成都俱旱，赤地千里，殍殣載道。
HCH_012_030_000090	三年，山東旱。
HCH_012_030_000091	五年，江左大旱。
HCH_012_030_000092	六年，北畿四府，河南、山西及鳳陽、淮安俱旱。
HCH_012_030_000093	七年，北畿、湖廣、河南、山東、山西、陝西大旱。
HCH_012_030_000094	八年，山西及臨洮、鞏昌旱。
HCH_012_030_000095	九年，應天、蘇、鬆旱。
HCH_012_030_000096	十年，陝西、山西大旱。
HCH_012_030_000097	十一年，湖廣、陝西大旱。
HCH_012_030_000098	十七年夏，兩京、山東、陝西、福建、湖廣大旱。
HCH_012_030_000099	十九年，畿內旱。
HCH_012_030_000100	二十年三月，久旱，親禱。
HCH_012_030_000101	二十三年，湖廣、江西旱。
HCH_012_030_000102	二十四年，南、北畿、山東、山西、陝西、浙江、江西、湖廣、河南俱旱。
HCH_012_030_000103	二十五年，南畿、江西旱。
HCH_012_030_000104	二十九年，北畿、山西、陝西旱。
HCH_012_030_000105	三十三年，兗州、東昌、淮安、揚州、徐州、武昌旱。
HCH_012_030_000106	三十四年，陝西五府及太原旱。
HCH_012_030_000107	三十五年夏，山東旱。
HCH_012_030_000108	三十七年，大旱，禾盡槁。
HCH_012_030_000109	三十九年，太原、延安、慶陽、西安旱。
HCH_012_030_000110	四十年，保定等六府旱。
HCH_012_030_000111	四十一年，西安等六府旱。
HCH_012_030_000112	隆慶二年，浙江、福建、四川、陝西及淮安、鳳陽大旱。
HCH_012_030_000113	四年夏，旱，詔諸司停刑。
HCH_012_030_000114	六年夏，不雨。
HCH_012_030_000115	萬曆十一年八月庚戌朔，河東鹽臣言，解池旱涸，鹽花不生。
HCH_012_030_000116	十三年四月戊午，因久旱，步禱郊壇。
HCH_012_030_000117	京師自去秋至此不雨，河井並涸。
HCH_012_030_000118	十四年三月乙巳，以久旱，命順天府祈禱。
HCH_012_030_000119	十七年，蘇、鬆連歲大旱，震澤爲平陸。
HCH_012_030_000120	浙江、湖廣、江西大旱。
HCH_012_030_000121	十八年四月，旱。
HCH_012_030_000122	二十四年，杭、嘉、湖三府旱。
HCH_012_030_000123	二十六年四月，旱。
HCH_012_030_000124	二十七年夏，旱。
HCH_012_030_000125	二十九年，畿輔、山東、山西、河南及貴州黔東諸府衛旱。
HCH_012_030_000126	三十年夏，旱。
HCH_012_030_000127	三十四年夏，亢旱。
HCH_012_030_000128	三十七年，楚、蜀、河南、山東、山西、陝西皆旱。
HCH_012_030_000129	三十八年夏，久旱。
HCH_012_030_000130	濟、青、登、萊四府大旱。
HCH_012_030_000131	三十九年夏，京師大旱。
HCH_012_030_000132	四十二年夏，不雨。
HCH_012_030_000133	四十三年三月，不雨，至於六月。
