HCH_009_052_000068	是年九月，複詔令後及第人，策試中者初任即升之。
HCH_009_052_000069	二十三年格，進士，上甲，初錄事、防判，二下令，三中令。
HCH_009_052_000070	中甲，初中簿，二上簿，三下令。
HCH_009_052_000071	下甲，初下簿，二中簿，三下令。
HCH_009_052_000072	試中策者，上甲，初錄事、防判，二中令，三上令。
HCH_009_052_000073	中甲，初上簿，二下令，三中令。
HCH_009_052_000074	下甲，初中簿，二錄事、防判、三中令。
HCH_009_052_000075	又詔今後狀元授應奉，一年後所撰文字無過人者與外除。
HCH_009_052_000076	二十六年格，以相次合為令者減一資歷。
HCH_009_052_000077	二十六年格，三降兩降免一降，文資右職外官減最後，上令一任通五任回呈省，遂定格，上甲，初錄事、防判，二中令，三、四、五上令。
HCH_009_052_000078	中甲，初中簿，二下令，三中令，四、五上令，策試進士，初錄事、防判，二、三、四、五上令。
HCH_009_052_000079	其次，初上簿，二中令，三、四、五上令。
HCH_009_052_000080	又次，初中簿，二下令，三中令，四、五上令。
HCH_009_052_000081	下甲，初下簿，二下令，三中令，四，五上令。
HCH_009_052_000082	二十七年，制進士階至中大夫呈省。
HCH_009_052_000083	明昌二年，罷勘會狀元行止之制。
HCH_009_052_000084	七年格，縣令守闕各依舊格注授。
HCH_009_052_000085	泰和格，諸進士及第合授資任須曆遍乃呈省。
HCH_009_052_000086	雖未盡曆，官已至中大夫亦呈省。
HCH_009_052_000087	又諸詞賦、經義進士及第後，策試中選，合授資任曆遍呈省，仍每任升本等首銓選。
HCH_009_052_000088	貞祐三年，狀元授奉直大夫，上甲儒林郎，中甲以下授征事郎。
HCH_009_052_000089	經義進士。
HCH_009_052_000090	皇統八年，就燕京擬注。
HCH_009_052_000091	六年，與詞賦第一人皆擬縣令，第二人當除察判，以無闕遂擬軍判。
HCH_009_052_000092	第二、第三甲隨各人住貫擬為軍判、丞、簿。
HCH_009_052_000093	舊制，《五經》及第未及十年與關內差使，已十年者與關外差使，四十年除下令。
HCH_009_052_000094	正隆三年，不授差使，至三十年則除縣令。
HCH_009_052_000095	大定二十八年始複設是科，每舉專主一經。
HCH_009_052_000096	女直進士。
HCH_009_052_000097	大定十三年，皆除教授。
HCH_009_052_000098	二十二年，上甲第二第三人初除上簿，中甲則除中簿，下甲則除下簿。
HCH_009_052_000099	大定二十五年，上甲甲首遷四重，餘各遷兩重。
HCH_009_052_000100	第二第三甲授隨路教授，三十月為一任，第二任注九品，第三、第四任注錄事、軍防判，第五任下令。
HCH_009_052_000101	尋複令第四任注縣令。
HCH_009_052_000102	二十六年，減一資歷注縣令。
HCH_009_052_000103	二十八年，添試論。
HCH_009_052_000104	後皆依漢人格。
HCH_009_052_000105	宏詞，上等遷兩官，次等遷一官，臨時取旨授之。
HCH_009_052_000106	恩榜，章宗大定二十九年，敕今後凡五次禦簾進士，可一試而不黜落，止以文之高下定其次，謂之恩榜。
HCH_009_052_000107	女直人遷將仕，漢人登仕，初任教授，三十月任滿，依本格從九品注授。
HCH_009_052_000108	明昌元年，敕四舉終場，亦同五舉恩例，直赴禦試。
HCH_009_052_000109	明昌五年，敕神童三次終場，同進士恩榜遷轉。
HCH_009_052_000110	兩次終場，全免差使。
HCH_009_052_000111	第六任與縣令，依本格遷官，如一次終場，初入仕則一除一差。
HCH_009_052_000112	其餘並依本門戶，仍使應二舉，然後入仕。
HCH_009_052_000113	每舉放四十人。
HCH_009_052_000114	凡恩例補廕同進士者，謂大禮補致仕、遺表、陣亡等恩澤，補承襲錄用，並與國王並宗室女為婚者。
HCH_009_052_000115	正隆二年格，初下簿，二中簿，三上簿，四下令，五中令，六、七上令，回呈省。
HCH_009_052_000116	凡特賜同進士者，謂進粟、出使回、歿于王事之類，皆同雜班，補廕亦以雜班。
HCH_009_052_000117	正隆元年格，初授下簿，二中簿，三縣丞、四軍判，五、六防判。
HCH_009_052_000118	七、八下令，九中令，十上令。
HCH_009_052_000119	尋複更初注下等軍判、丞、簿、尉，次注中等軍判、丞、簿、尉，第三注上等軍判、丞、簿、尉，四下令，五中令，六上令。
HCH_009_052_000120	律科、經童。
HCH_009_052_000121	正隆元年格，初授將仕郎，皆任司候，十年以上並一除一差，十年外則初任主簿，第二任司候，第三主簿，四主簿，五警判，六市丞，七諸縣丞，八次赤丞，九赤縣丞，十下縣令。
HCH_009_052_000122	十一中縣令，五任上縣令，呈省。
HCH_009_052_000123	三年制，律科及第及七年者與關內差使，七年外者與關外差。
HCH_009_052_000124	諸經及第人未十年者關內差，已十年關外差。
HCH_009_052_000125	律科四十年除下令。
HCH_009_052_000126	經童及第人視余人複展十年，然後理算月日。
HCH_009_052_000127	大定十四年，以從下新增官階，遂定制，律科及第者授將仕佐郎。
HCH_009_052_000128	十六年特旨，以四十年除下令太遠，其以三十二年不犯贓罪者授下令。
HCH_009_052_000129	十七年，敕諸科人仕至下令者免差。
HCH_009_052_000130	二十年，省擬，無贓罪及廉察無惡者減作二十九年注下令，經童亦同此。
HCH_009_052_000131	二十六年，省擬，以相次當為縣令者減一資歷選注。
HCH_009_052_000132	敕命諸科人累任之餘月日至四十二月，准一除一差。
HCH_009_052_000133	又敕，舊格六任縣令呈省，遂減為五任。
HCH_009_052_000134	二十八年，減赤縣丞一任。
HCH_009_052_000135	明昌五年，制仕二十六年之上者，如該廉升則注縣令。
HCH_009_052_000136	六年，減諸縣丞、赤縣丞兩任後吏格，十年內擬注差使，十年外一除一差。
